ep_reward_mean,policy_loss,serial_timesteps,fps,ep_len_mean,value_loss,explained_variance,n_updates,total_timesteps,approxkl,clipfrac,time_elapsed,policy_entropy
963.21085675,-0.0021326318,1261568,509,1273.74,20.88544,0.894806019961834,616,1261568,0.0024662395,0.025195312,2391.4258992671967,7.212176
964.2030277799998,-0.0027427708,1263616,546,1275.13,13.569842,0.8167775273323059,617,1263616,0.002179025,0.024121094,2395.4463999271393,7.2066946
945.0256243699998,-0.0060561495,1265664,555,1261.49,26.877588,0.7717401385307312,618,1265664,0.0028338744,0.03251953,2399.19247674942,7.2060585
945.5288896899998,-0.0043761902,1267712,505,1261.49,20.415058,0.8881775140762329,619,1267712,0.006031476,0.07236328,2402.880103826523,7.214208
945.8316164099998,-0.0013421678,1269760,505,1261.49,20.083975,0.8937477469444275,620,1269760,0.0016935654,0.016210938,2406.9326708316803,7.225422
930.71645829,-0.007238111,1271808,520,1246.05,4.786009,0.9824376944452524,621,1271808,0.0040576863,0.036816407,2410.984802007675,7.231452
901.30077332,-0.004928859,1273856,529,1215.12,27.16399,0.8977293521165848,622,1273856,0.0020501926,0.020996094,2414.918357849121,7.2285995
910.5281627800001,-0.0036878542,1275904,499,1221.13,20.600256,0.8815947622060776,623,1275904,0.0053944164,0.06943359,2418.783217906952,7.224833
910.9946751100001,-0.0019953775,1277952,497,1221.13,20.410011,0.8922818005084991,624,1277952,0.0043534455,0.052246094,2422.8877232074738,7.2203956
921.6008194000001,-0.0031930017,1280000,510,1228.79,22.207144,0.8861753866076469,625,1280000,0.0037521247,0.043261718,2427.004293203354,7.21602
934.6021444200001,-0.005023199,1282048,514,1242.05,22.120625,0.9265540987253189,626,1282048,0.0043920437,0.042333983,2431.019036054611,7.217389
924.40057392,-0.0035910844,1284096,525,1226.45,2.9666152,0.9882785202935338,627,1284096,0.0028982407,0.029443359,2434.99920296669,7.2152734
894.2467165500001,-0.0022845657,1286144,548,1195.15,27.817112,0.8827669471502304,628,1286144,0.0026590829,0.025585938,2438.9005024433136,7.216535
901.0718785999999,-0.0014085062,1288192,503,1198.09,20.749321,0.8860500007867813,629,1288192,0.0030029353,0.029882813,2442.63654255867,7.217669
855.8853359,-0.0017197288,1290240,554,1152.78,14.345576,0.761648952960968,630,1290240,0.0011618871,0.009521484,2446.708208322525,7.2143655
854.7817228799998,-0.0019540344,1292288,512,1152.78,21.135199,0.9026261642575264,631,1292288,0.0034484188,0.036035158,2450.402698993683,7.2009554
822.1448061,-0.001720384,1294336,571,1119.51,12.985321,0.8357068747282028,632,1294336,0.0020008737,0.023242187,2454.4024703502655,7.196
819.35500877,-0.0031200668,1296384,537,1115.5,5.0981884,0.9782557841390371,633,1296384,0.0043853493,0.04121094,2457.987650156021,7.1760406
818.7310544699999,-0.0005435494,1298432,553,1116.52,28.371408,0.8859625682234764,634,1298432,0.0016213215,0.01508789,2461.7960901260376,7.1499543
833.64176328,-0.0068585714,1300480,513,1131.19,19.894276,0.9106449633836746,635,1300480,0.0085042,0.10107422,2465.4998886585236,7.136805
833.11547622,0.00039298777,1302528,515,1131.19,20.168749,0.8974141329526901,636,1302528,0.0017764128,0.01665039,2469.4893724918365,7.1333704
829.6849234799998,-0.0027894718,1304576,527,1126.47,25.178425,0.9103119820356369,637,1304576,0.0025662868,0.027148437,2473.462095975876,7.135066
829.60028358,-0.0031960607,1306624,508,1126.47,20.089785,0.9067883267998695,638,1306624,0.005316611,0.06201172,2477.342850446701,7.1338806
814.0319454099999,-0.0040320344,1308672,517,1110.99,2.2542207,0.9886904330924153,639,1308672,0.0071115494,0.08735351,2481.37193107605,7.1328797
829.04930571,-0.002026513,1310720,534,1126.33,25.218555,0.8982612639665604,640,1310720,0.003119765,0.03491211,2485.3302710056305,7.1257067
843.87346668,-0.0017601497,1312768,513,1141.73,20.056786,0.8861840218305588,641,1312768,0.0034224472,0.04111328,2489.160774707794,7.1225395
860.8440358499997,-0.0023615751,1314816,533,1159.51,22.571653,0.9226833581924438,642,1314816,0.0035215323,0.041308593,2493.1503043174744,7.12379
875.47416377,-0.002328888,1316864,519,1172.96,24.277754,0.9065473526716232,643,1316864,0.0048824074,0.06313477,2496.9927735328674,7.1285896
859.8504717199999,-0.004032302,1318912,529,1157.49,5.680266,0.9743434768170118,644,1318912,0.0033083584,0.0296875,2500.938803434372,7.1369987
865.9209411599998,-0.0022266565,1320960,516,1158.31,19.92223,0.8893697932362556,645,1320960,0.0028126636,0.024658203,2504.8086364269257,7.1254134
881.4910643799999,-0.0032185582,1323008,512,1173.72,20.326372,0.8769626319408417,646,1323008,0.0036833056,0.039404295,2508.7725536823273,7.109732
896.95473233,-0.0018426366,1325056,536,1189.4,21.45859,0.8038129806518555,647,1325056,0.0017166309,0.01669922,2512.771154165268,7.109384
907.31893365,-0.004356307,1327104,517,1205.0,9.021526,0.9511667713522911,648,1327104,0.0056927353,0.030859375,2516.5889508724213,7.1135645
923.0423269600001,-0.0009883473,1329152,553,1220.45,20.67445,0.8083059340715408,649,1329152,0.0021418724,0.023583984,2520.549122571945,7.1182632
917.67689176,-0.004890791,1331200,539,1219.54,14.37383,0.9385788552463055,650,1331200,0.0025997176,0.027148437,2524.250768661499,7.1207404
917.50541458,-0.0018028293,1333248,506,1219.54,20.33318,0.8669913411140442,651,1333248,0.004636981,0.05703125,2528.0484204292297,7.121382
931.7749592600001,-0.0017150383,1335296,521,1232.37,26.870377,0.8878221437335014,652,1335296,0.0018497352,0.015673827,2532.0909085273743,7.1262274
927.6938835000001,-0.0006480694,1337344,529,1232.37,21.685047,0.8322789072990417,653,1337344,0.00067788,0.0044433596,2536.0176858901978,7.130759
918.8250581299998,-0.0015320828,1339392,502,1226.22,7.4215,0.9632692523300648,654,1339392,0.005357073,0.034863282,2539.887796163559,7.1319275
934.8983955300001,-0.0016342103,1341440,510,1241.93,20.202213,0.8673705011606216,655,1341440,0.0030329716,0.03618164,2543.9649064540863,7.133765
950.7055082799999,-0.00471739,1343488,518,1257.36,20.408741,0.8853369876742363,656,1343488,0.004662783,0.058007814,2547.974867582321,7.123809
935.2443926699999,-0.001380201,1345536,539,1242.21,29.964062,0.8650269359350204,657,1345536,0.0021929126,0.025,2551.922828435898,7.1198144
929.51373853,-0.0016643011,1347584,553,1242.05,17.874628,0.7751697301864624,658,1347584,0.002422569,0.027880859,2555.7169165611267,7.121412
