total_timesteps,fps,clipfrac,approxkl,n_updates,policy_entropy,serial_timesteps,policy_loss,value_loss,explained_variance,time_elapsed,ep_len_mean,ep_reward_mean
227328,544,0.04350586,0.003915139,111,5.0556183,227328,-0.005127705,30.644022,0.8574789613485336,406.241131067276,1181.81,878.17744845
229376,576,0.01171875,0.0013128263,112,5.056873,229376,-0.0022041933,7.044038,0.9707717504352331,410.00359749794006,1181.7,878.1537554000001
231424,547,0.036621094,0.0035814985,113,5.057717,231424,-0.002311205,19.899725,0.8894439935684204,413.556556224823,1181.7,877.5833148500001
233472,567,0.046240233,0.0038525362,114,5.0669518,233472,-0.006319006,26.243729,0.893686331808567,417.2965176105499,1187.55,883.7762508400001
235520,548,0.023583984,0.0024672109,115,5.066182,235520,-0.0013025096,19.516954,0.8953770622611046,420.90543723106384,1187.55,884.78677832
237568,554,0.050585937,0.004269281,116,5.0688086,237568,-0.003724755,24.830042,0.9166953861713409,424.6403577327728,1204.53,900.7310375
239616,572,0.04042969,0.0035145804,117,5.071363,239616,-0.0032965087,18.32462,0.7435992360115051,428.3378219604492,1222.93,912.5195905
241664,549,0.036035158,0.0031686742,118,5.0739884,241664,-0.0019739831,16.763494,0.7676039040088654,431.9162561893463,1226.58,912.3339321899999
243712,553,0.02475586,0.002376453,119,5.076951,243712,-0.0010604882,6.974669,0.9806935824453831,435.6415023803711,1227.87,912.9544686999999
245760,569,0.03540039,0.002891229,120,5.085093,245760,-0.0037062354,25.426176,0.9140860438346863,439.3442494869232,1229.09,915.26558972
247808,541,0.06201172,0.005032747,121,5.082277,247808,-0.0052063656,20.67435,0.8858295381069183,442.9398715496063,1247.37,932.1065547200001
249856,564,0.0421875,0.0034085033,122,5.0710287,249856,-0.0052786893,21.192041,0.8496590256690979,446.7203667163849,1263.02,943.8918656000002
251904,571,0.04296875,0.0033873257,123,5.0780497,251904,-0.0031040453,20.41484,0.870005875825882,450.349401473999,1279.63,959.88313171
253952,569,0.03017578,0.0027004238,124,5.0940204,253952,-0.004697688,11.43377,0.9604443684220314,453.9348974227905,1299.9,975.9493825299999
256000,542,0.016064454,0.001962126,125,5.1096973,256000,-0.0005964992,19.779877,0.8927645310759544,457.53292632102966,1317.7,992.4981617699999
258048,587,0.04458008,0.0037490646,126,5.106164,258048,-0.0066839717,15.014613,0.8813021257519722,461.31104731559753,1317.7,989.6885185899998
