serial_timesteps,policy_entropy,fps,total_timesteps,time_elapsed,explained_variance,approxkl,policy_loss,value_loss,clipfrac,n_updates,ep_len_mean,ep_reward_mean
315392,4.9172506,470,315392,666.7204959392548,0.7596071660518646,0.0015634624,-0.0022434227,28.247738,0.013867187,154,1542.96,1018.2998319400001
317440,4.9179635,494,317440,671.0773251056671,0.8833897113800049,0.0025325555,-0.003256413,9.710822,0.027490234,155,1541.02,1016.9762689500002
319488,4.9207582,465,319488,675.2167451381683,0.7868059724569321,0.0029910023,-0.0036037597,14.134863,0.03359375,156,1554.9,1027.8063164700004
321536,4.934684,459,321536,679.6147112846375,0.872677743434906,0.0031209574,-0.005084098,11.551524,0.032421876,157,1556.95,1028.6350575900003
323584,4.929897,441,323584,684.070405960083,0.8736112862825394,0.0023531816,-0.0021619815,12.181519,0.021679688,158,1556.95,1029.3622681900001
325632,4.9116793,475,325632,688.7044594287872,0.8522112965583801,0.0046297205,-0.006500869,8.886592,0.052099608,159,1555.66,1027.64091384
327680,4.9008656,463,327680,693.0156321525574,0.7659667730331421,0.0028780596,-0.004080846,15.776927,0.031054687,160,1555.66,1028.02278625
329728,4.8982806,458,329728,697.439126253128,0.8349263817071915,0.0024639617,-0.0007433856,19.90777,0.025439452,161,1559.54,1031.34388328
331776,4.883144,488,331776,701.9052093029022,0.84705950319767,0.0041472632,-0.0033984655,14.749426,0.05239258,162,1546.66,1021.7399588399999
333824,4.876016,464,333824,706.1007564067841,0.9554959498345852,0.0043252534,-0.0026129282,4.9733424,0.05415039,163,1540.19,1016.9465851900001
335872,4.87892,436,335872,710.5061094760895,0.8466062843799591,0.0028109571,-0.0049522677,17.713017,0.030322265,164,1534.48,1014.77962508
337920,4.884657,445,337920,715.1988289356232,0.9061631336808205,0.0053039296,-0.0019653842,10.024461,0.059570312,165,1534.48,1016.83364481
339968,4.887656,479,339968,719.7930808067322,0.829043984413147,0.002678918,-0.0038179632,16.739855,0.027539063,166,1526.72,1011.0325101100003
342016,4.867629,467,342016,724.0630934238434,0.912670224905014,0.0022700713,-0.002924142,8.713818,0.02211914,167,1526.72,1013.2645276500002
344064,4.85628,445,344064,728.4487245082855,0.8581660985946655,0.0029094196,-0.00026430748,19.449743,0.030371094,168,1545.7,1027.5113426199998
346112,4.853833,458,346112,733.0510311126709,0.876286119222641,0.0031936876,-0.0037797168,11.296091,0.036083985,169,1544.51,1027.17190454
348160,4.85944,441,348160,737.5193848609924,0.8773916661739349,0.0036037113,-0.008262646,18.306412,0.042773437,170,1534.42,1021.0529273100001
350208,4.870283,452,350208,742.1605441570282,0.8878085911273956,0.00198882,-0.004402934,10.683462,0.020263672,171,1538.72,1024.68928181
352256,4.8669024,473,352256,746.6869823932648,0.8636257499456406,0.0035312716,-0.0033051197,8.613145,0.039648436,172,1534.21,1021.9292629799999
