policy_entropy,fps,approxkl,explained_variance,n_updates,serial_timesteps,total_timesteps,policy_loss,value_loss,time_elapsed,clipfrac,ep_reward_mean,ep_len_mean
7.633645,400,0.0012146874,0.0180932879447937,474,970752,970752,-0.00022009194,19.767303,2390.5934636592865,0.01171875,1705.42188338,1725.71
7.6320915,371,0.0011522048,0.7689672112464905,475,972800,972800,-0.0015542982,22.722836,2395.7049899101257,0.012158203,1686.4282061100002,1706.71
7.62514,357,0.0005785591,0.9658574312925339,476,974848,974848,-0.0013915276,5.181916,2401.2154066562653,0.0047851563,1661.7888091400005,1682.28
7.623357,380,0.0035354272,0.051889657974243164,477,976896,976896,-0.0028743881,20.178833,2406.93706202507,0.04458008,1661.7470855200002,1682.28
7.6154237,414,0.0009007319,0.9455284364521503,478,978944,978944,-0.0028042733,5.867999,2412.3135714530945,0.006298828,1657.5255093300002,1678.64
7.604463,409,0.00072484,-0.003499746322631836,479,980992,980992,-0.00029054712,20.072414,2417.2493867874146,0.0032226562,1676.4054354400002,1697.6
7.6071763,423,0.0015921496,0.0006430149078369141,480,983040,983040,-0.0014340559,20.036888,2422.251200437546,0.016992187,1695.58181687,1716.85
7.6033545,398,0.003030388,-0.010482192039489746,481,985088,985088,-0.0021279105,20.164545,2427.091327190399,0.034277342,1695.48822544,1716.85
7.5953255,367,0.00033940526,0.7545948326587677,482,987136,987136,-0.001180407,24.091389,2432.228187561035,0.0029785156,1676.5316483199997,1697.83
7.6058464,414,0.0038002625,6.604194641113281e-05,483,989184,989184,-0.00247155,20.013151,2437.7968411445618,0.047851562,1676.46570033,1697.83
7.6140556,370,0.0026187506,0.7339004278182983,484,991232,991232,-0.0035441667,25.836142,2442.7335760593414,0.032080077,1657.53962787,1678.97
7.620777,422,0.0018856401,-0.004029631614685059,485,993280,993280,-0.0014023312,20.0645,2448.268539905548,0.019189453,1657.4943088799998,1678.97
7.6274805,412,0.00076040905,-0.014106988906860352,486,995328,995328,0.00019406946,20.084505,2453.119789838791,0.0072753904,1657.48998628,1678.97
7.636434,405,0.0009005467,-0.0009130239486694336,487,997376,997376,6.0169723e-06,19.994717,2458.084497451782,0.0071777343,1657.4983129,1678.97
