fps,serial_timesteps,policy_entropy,clipfrac,explained_variance,approxkl,n_updates,policy_loss,total_timesteps,value_loss,time_elapsed,ep_len_mean,ep_reward_mean
409,79872,3.2999847,0.05214844,0.9148931875824928,0.004256336,39,-0.00484738,79872,8.29549,299.45854902267456,1337.5593220338983,619.6496779322034
427,81920,3.3011544,0.025097657,0.813683494925499,0.0025002426,40,-0.003306318,81920,16.870134,304.45588874816895,1334.655737704918,622.9951139180329
278,83968,3.3063483,0.058740236,0.9342771917581558,0.0053879935,41,-0.0031744638,83968,9.829485,309.2500550746918,1346.1774193548388,632.9888090806452
132,86016,3.3196406,0.14116211,0.47818899154663086,0.01687135,42,-0.0006368149,86016,3.014818,316.61079931259155,1353.4761904761904,628.0696401587301
175,88064,3.324976,0.035351563,0.9661518335342407,0.0032556683,43,-0.0027151483,88064,3.0486846,332.03036856651306,1364.34375,624.500996984375
451,90112,3.3156695,0.013916016,0.912551574409008,0.0017126283,44,-0.00072655163,90112,8.758276,343.72056913375854,1374.876923076923,634.3203543692308
437,92160,3.3128827,0.011669922,0.8241460919380188,0.001551152,45,-0.002197309,92160,11.346067,348.2557723522186,1385.090909090909,642.4789199090909
427,94208,3.3046544,0.016064454,0.8994706943631172,0.0016818255,46,-0.0023910492,94208,8.560287,352.9419298171997,1395.0,654.2473771641792
438,96256,3.2970614,0.028564453,0.8174375891685486,0.002504552,47,-0.0025250078,96256,11.526038,357.7275879383087,1404.6176470588234,662.839780132353
471,98304,3.293888,0.026708985,0.8363467752933502,0.0029241522,48,-0.0017033068,98304,15.983816,362.39812183380127,1399.5,664.8354976571429
483,100352,3.2881489,0.03720703,0.8616503328084946,0.0034443997,49,-0.001557577,100352,12.367949,366.74413871765137,1408.6478873239437,673.8937993239437
472,102400,3.2858176,0.06782226,0.851365715265274,0.0057369894,50,-0.0049165487,102400,9.521822,370.98259711265564,1417.5416666666667,680.9287313194445
466,104448,3.291163,0.017089844,0.9273167327046394,0.001794589,51,-0.002736803,104448,5.6948886,375.3210895061493,1412.6575342465753,679.7088315616439
186,106496,3.2842655,0.070458986,0.9442663453519344,0.0065589948,52,-0.0018110387,106496,11.24885,379.70793557167053,1421.2567567567567,686.4086710810811
259,108544,3.2721143,0.046191406,0.9858217863366008,0.004046101,53,-0.0047533433,108544,2.6239877,390.67637729644775,1429.6266666666668,682.5851888933335
456,110592,3.2675412,0.05102539,0.8327775150537491,0.00399715,54,-0.004932924,110592,9.672666,398.555451631546,1437.7763157894738,690.421494263158
455,112640,3.2670124,0.046826173,0.7389855086803436,0.0039212652,55,-0.0035920516,112640,9.559492,403.0401768684387,1445.7142857142858,698.6611904805196
266,114688,3.2673683,0.058984376,0.881565123796463,0.0049706427,56,-0.004261434,114688,16.929142,407.5367867946625,1444.139240506329,701.3034067848104
184,116736,3.285314,0.06850586,0.8027576953172684,0.0054131234,57,-0.0037926764,116736,6.7063384,415.20930457115173,1438.0,690.5449538641976
462,118784,3.2895584,0.021582032,0.9491778165102005,0.002023364,58,-0.00394895,118784,4.543703,426.29290652275085,1426.1341463414635,684.4172538414635
379,120832,3.288916,0.058300782,0.5614528656005859,0.004710547,59,-0.003153943,120832,10.341246,430.72146701812744,1433.6385542168675,690.8773345180723
442,122880,3.2868981,0.051611327,0.6385144889354706,0.005336286,60,-0.0028529093,122880,13.514158,436.12446641921997,1425.0941176470587,689.0995747176471
448,124928,3.285867,0.038085938,0.8964196443557739,0.003811645,61,-0.0044236286,124928,8.643136,440.7574577331543,1432.3488372093022,695.3091221162791
447,126976,3.288299,0.019189453,0.8063003718852997,0.0018931448,62,-0.004485677,126976,17.535011,445.32221961021423,1419.7191011235955,693.5879859887641
419,129024,3.2892551,0.034765624,0.8462468832731247,0.0034192526,63,-0.0050829,129024,8.54148,449.89938974380493,1426.7111111111112,700.2635705444444
408,131072,3.2854302,0.08232422,0.8608967959880829,0.0065244595,64,-0.004948885,131072,11.1598835,454.7878623008728,1433.5494505494505,707.0373495604396
443,133120,3.2879276,0.036865234,0.8514211624860764,0.0032772254,65,-0.0037671092,133120,14.576128,459.8027334213257,1414.936170212766,699.9541023510639
159,135168,3.3032146,0.045996092,0.7616857290267944,0.00426871,66,-0.0016312685,135168,4.916812,464.4188528060913,1403.6105263157895,694.065712536842
273,137216,3.3130856,0.017578125,0.7031051516532898,0.0019477671,67,-0.004395874,137216,18.865646,477.2229571342468,1369.21,669.4668755199999
164,139264,3.3274753,0.042578124,0.7459047734737396,0.0035949964,68,-0.0027700884,139264,7.556951,484.7172763347626,1366.23,659.2999093700001
463,141312,3.336948,0.010449219,0.7790938466787338,0.0012945585,69,-0.0038577355,141312,14.283499,497.20506834983826,1337.69,641.8256677699999
487,143360,3.341161,0.0171875,0.8684977293014526,0.001929795,70,-0.001996564,143360,9.155073,501.619615316391,1337.69,642.01801887
301,145408,3.3426056,0.019824218,0.8980782702565193,0.0020946988,71,-0.0012335603,145408,17.286724,505.82140827178955,1323.95,632.87392271
163,147456,3.3435447,0.050488282,0.7356319725513458,0.0042764605,72,-0.0017354892,147456,5.7886133,512.6176834106445,1332.16,628.2708580000001
450,149504,3.3339221,0.032568358,0.8807097226381302,0.0030270065,73,-0.004789372,149504,9.802198,525.1204335689545,1342.77,636.56600565
431,151552,3.3348053,0.01328125,0.8060847967863083,0.0014046173,74,-0.0028699546,151552,8.907827,529.6688039302826,1359.53,646.44401908
222,153600,3.3332515,0.038330078,0.8611434698104858,0.0035843295,75,-0.0036822439,153600,12.716706,534.4160578250885,1311.98,631.6420452199999
193,155648,3.3244987,0.058544923,0.9682718515396118,0.0044769915,76,-0.0057385014,155648,3.239767,543.616991519928,1320.17,628.39862998
476,157696,3.3208504,0.034375,0.8342162519693375,0.0028358353,77,-0.005539122,157696,11.394474,554.2206072807312,1320.17,636.9428564599999
481,159744,3.3226902,0.02368164,0.8915908858180046,0.0023292894,78,-0.0035335168,159744,8.81254,558.5224013328552,1320.17,645.98112154
238,161792,3.3228347,0.03691406,0.9476871266961098,0.003209029,79,-0.003758723,161792,11.834556,562.7784502506256,1323.55,649.6211232200001
192,163840,3.3336582,0.08198242,0.9726628791540861,0.0066395192,80,-0.006510187,163840,2.8130705,571.3602738380432,1340.31,651.8110371800001
238,165888,3.3401837,0.051367186,0.9373646005988121,0.0046058935,81,-0.0052928776,165888,11.252953,581.9892821311951,1352.11,658.6338229800001
183,167936,3.3400702,0.054980468,0.9809252936393023,0.004188192,82,-0.005540546,167936,2.6124506,590.568475484848,1352.11,658.78435243
395,169984,3.3412633,0.021435548,0.8651005923748016,0.0020972036,83,-0.0025221072,169984,11.539499,601.716269493103,1370.1,670.20409226
236,172032,3.339576,0.042382814,0.9338191449642181,0.0036074347,84,-0.0028232553,172032,10.71487,606.8915417194366,1385.09,678.0366022200001
179,174080,3.3337262,0.0647461,0.9853885760530829,0.0052149184,85,-0.0053363815,174080,2.9041638,615.5451231002808,1385.09,678.05829874
403,176128,3.327905,0.03251953,0.8722992986440659,0.003039799,86,-0.005779927,176128,8.361498,626.9690623283386,1398.21,685.72934474
122,178176,3.3289113,0.043701172,0.8816526979207993,0.004609821,87,-0.006923313,178176,4.5171423,632.0501670837402,1400.03,686.5656310399999
320,180224,3.3230278,0.030566406,0.9718060549348593,0.0029900365,88,-0.0042296364,180224,3.213995,648.7913539409637,1418.31,689.44198461
164,182272,3.3255928,0.04423828,0.8615755289793015,0.0040965346,89,-0.0038954988,182272,12.7969265,655.1825625896454,1418.31,692.43990413
438,184320,3.3265176,0.018847656,0.9797349460422993,0.0019022364,90,-0.0037292447,184320,2.3092809,667.6428120136261,1429.75,691.3690227999999
191,186368,3.3407028,0.04736328,0.9001670107245445,0.0043482585,91,-0.0037373356,186368,10.414824,672.3153207302094,1429.75,700.6427961699999
468,188416,3.347594,0.016455078,0.9772007372230291,0.0019529623,92,-0.0022219918,188416,2.743458,682.9859023094177,1436.44,696.6681598999998
594,190464,3.341127,0.019677734,0.7398072779178619,0.0018066963,93,-0.0038370457,190464,24.937504,687.3579254150391,1407.33,694.99134734
229,192512,3.3235652,0.033984374,0.9551807604730129,0.0036042999,94,-0.0043963506,192512,8.963462,690.8004274368286,1407.33,703.6755209000002
321,194560,3.307611,0.030664062,0.8899051174521446,0.0028612155,95,-0.00425757,194560,11.001516,699.7133667469025,1402.68,691.1660332399999
337,196608,3.3167942,0.057275392,0.9507414661347866,0.004662532,96,-0.0047541233,196608,9.696433,706.0808539390564,1410.77,696.07186469
233,198656,3.327259,0.058691405,0.88438381254673,0.0057242047,97,-0.008784626,198656,7.744086,712.154360294342,1414.59,688.9210609200002
566,200704,3.3324788,0.024560547,0.8106437027454376,0.0023337402,98,-0.0016528061,200704,8.2077055,720.9185612201691,1414.59,697.2548364300003
466,202752,3.3384888,0.020898437,0.8843115195631981,0.0020520496,99,-0.0032824322,202752,10.911772,724.5325815677643,1432.55,708.99057855
181,204800,3.356404,0.17587891,0.05859577655792236,0.01236861,100,-0.0066907494,204800,2.6523042,728.925271987915,1432.55,699.81543781
191,206848,3.3757603,0.08798828,0.8506194055080414,0.0065929554,101,-0.0041266466,206848,1.9550701,740.2395257949829,1432.55,691.8077556800001
581,208896,3.381839,0.0265625,0.7947629541158676,0.0023162514,102,-0.0012365504,208896,12.22885,750.9499185085297,1432.55,691.8364055000001
