approxkl,value_loss,policy_entropy,clipfrac,ep_reward_mean,time_elapsed,n_updates,total_timesteps,explained_variance,serial_timesteps,policy_loss,ep_len_mean,fps
0.004331325,7.020198,3.7946045,0.048193358,758.0651106800001,2694.4266464710236,799,1636352,0.9490221291780472,1636352,-0.0060805166,1113.49,569
0.0035377603,11.709937,3.7914746,0.03754883,759.51572013,2698.025719165802,800,1638400,0.6309514939785004,1638400,-0.0021415544,1115.89,601
0.0045165,19.47572,3.7998574,0.046533205,771.74651209,2701.4310734272003,801,1640448,0.5273586809635162,1640448,-0.008232634,1135.92,572
0.0038895656,9.691671,3.8079104,0.046972655,774.7036126699999,2705.0102829933167,802,1642496,0.8621294349431992,1642496,-0.0057611773,1143.7,580
0.0035681142,14.002533,3.8094487,0.041992188,789.0964777100002,2708.5387427806854,803,1644544,0.9011006280779839,1644544,-0.0037964974,1162.86,580
0.003456052,20.011827,3.806538,0.038671874,802.7164792899999,2712.0693657398224,804,1646592,0.6889272034168243,1646592,-0.0037591797,1182.67,576
0.006411121,13.94148,3.8036046,0.07104492,791.8820183500002,2715.6207010746,805,1648640,0.7696617245674133,1648640,-0.0038854084,1164.81,574
0.0032397914,7.54701,3.7927659,0.034277342,793.9860662899998,2719.1865124702454,806,1650688,0.885908730328083,1650688,-0.0052685505,1164.81,582
0.0029604114,10.816978,3.7809997,0.03046875,808.3910345400001,2722.7052216529846,807,1652736,0.9113897085189819,1652736,-0.0025789705,1181.55,582
0.0021514683,8.876161,3.7795253,0.022558594,821.1686133799999,2726.2197103500366,808,1654784,0.6770797669887543,1654784,-0.00072177517,1201.4,586
0.0019366324,11.119459,3.7774441,0.017822266,814.40842743,2729.7115211486816,809,1656832,0.9045585170388222,1656832,-0.0032753968,1193.84,593
0.005888409,13.007591,3.777227,0.078271486,827.5782624000001,2733.163843870163,810,1658880,0.8877710103988647,1658880,-0.0082851965,1207.63,572
0.0070395744,12.38376,3.776937,0.08286133,828.3567212199999,2736.739027738571,811,1660928,0.8696639090776443,1660928,-0.0040950594,1208.58,579
0.0039446107,12.989843,3.7707095,0.04433594,832.9121610399998,2740.2725162506104,812,1662976,0.9213424175977707,1662976,-0.004581796,1213.38,575
0.004258703,12.901091,3.761315,0.044189453,824.35508097,2743.8341438770294,813,1665024,0.914970763027668,1665024,-0.0030994448,1198.5,584
0.0026461328,14.643171,3.7576103,0.029052734,801.84640024,2747.3383469581604,814,1667072,0.9000298753380775,1667072,-0.003301349,1169.28,599
0.003096548,5.2611494,3.754794,0.036230467,811.7541484300001,2750.7528574466705,815,1669120,0.9065151512622833,1669120,-0.00630954,1182.08,583
0.0040391088,5.903695,3.7481487,0.042871095,821.1160562299999,2754.2664382457733,816,1671168,0.9586435742676258,1671168,-0.0054708216,1194.86,594
0.004273585,20.867222,3.7513077,0.047460936,821.9837761700002,2757.710826396942,817,1673216,0.8667464852333069,1673216,-0.0053256983,1196.03,571
0.0044029998,4.7387,3.7633126,0.05288086,809.14016946,2761.2954733371735,818,1675264,0.9515013657510281,1675264,-0.0072768973,1179.08,586
0.0026111,23.57215,3.7604957,0.030273438,824.9202836,2764.7875485420227,819,1677312,0.7962465435266495,1677312,-0.0031990209,1198.14,583
0.0042616623,3.3781152,3.753114,0.047753908,824.3281103699999,2768.3003437519073,820,1679360,0.9788147378712893,1679360,-0.004816196,1195.41,578
0.0036109989,20.02651,3.7420888,0.038330078,829.10014677,2771.843853712082,821,1681408,0.8126731961965561,1681408,-0.004296368,1195.41,580
0.005504431,1.2825348,3.7394109,0.06435547,836.0310464099999,2775.374981880188,822,1683456,0.9898640858009458,1683456,-0.0052327807,1204.28,578
0.0016247944,8.649734,3.7303672,0.013720703,841.82674917,2778.914687395096,823,1685504,0.9508603923022747,1685504,-0.004804457,1208.47,581
0.0034519415,16.635227,3.7058156,0.0359375,841.41112863,2782.4400651454926,824,1687552,0.8257878869771957,1687552,-0.0047514956,1208.47,581
0.005397741,18.860432,3.6935496,0.05756836,843.2611292299999,2785.964642047882,825,1689600,0.8378754109144211,1689600,-0.003198376,1208.47,556
0.0052508735,5.306924,3.6898475,0.056884766,846.0562823299999,2789.6474618911743,826,1691648,0.9646865427494049,1691648,-0.006101088,1205.69,547
0.0054734177,22.828552,3.6914895,0.072021484,860.15135856,2793.3880443573,827,1693696,0.8432565033435822,1693696,-0.0052413563,1217.13,549
0.0022546232,6.0733747,3.694938,0.021337891,855.8826526600001,2797.117712020874,828,1695744,0.9558993503451347,1695744,-0.0044276672,1211.48,578
0.0035747874,19.795853,3.6915252,0.04145508,859.50133909,2800.658971309662,829,1697792,0.3921393156051636,1697792,-0.0041759876,1211.48,597
0.004854997,17.114292,3.6865966,0.058496095,865.66794474,2804.0899786949158,830,1699840,0.719640463590622,1699840,-0.005363585,1224.56,613
0.0052303905,19.009182,3.686089,0.06601562,868.1753856600001,2807.4287679195404,831,1701888,0.8328377902507782,1701888,-0.0061335713,1228.59,559
0.0047615347,19.236856,3.6924748,0.058935545,883.2815148600001,2811.0934734344482,832,1703936,0.8272577822208405,1703936,-0.005543143,1245.71,577
0.0063767307,19.125343,3.6929073,0.072705075,899.41972693,2814.6420226097107,833,1705984,0.8363764733076096,1705984,-0.0056251977,1263.41,569
0.00428915,4.451931,3.6881366,0.047802735,906.5465745099999,2818.2364180088043,834,1708032,0.9642085880041122,1708032,-0.0029823694,1271.09,547
0.0040307813,19.63054,3.686475,0.04399414,912.74381642,2821.9791181087494,835,1710080,0.8035215586423874,1710080,-0.0012119726,1271.09,558
