value_loss,clipfrac,total_timesteps,serial_timesteps,fps,policy_loss,explained_variance,approxkl,time_elapsed,policy_entropy,n_updates,ep_reward_mean,ep_len_mean
19.969193,0.055078126,77824,77824,494,-0.0024066449,0.8758482113480568,0.0042192424,153.4383146762848,5.843129,38,1156.4099217037037,1431.037037037037
23.365072,0.045654297,79872,79872,491,-0.003528785,0.913640484213829,0.0052061146,157.58033108711243,5.84501,39,1150.4448020178572,1423.8392857142858
19.981556,0.030615235,81920,81920,483,-0.001648213,0.8633103668689728,0.0027721296,161.74654531478882,5.854642,40,1162.3146766842106,1434.8070175438597
7.8349276,0.02451172,83968,83968,516,-0.0074917474,0.9692707043141127,0.0023091994,165.98675060272217,5.8619123,41,1131.9214637288135,1403.2711864406779
21.905437,0.018359374,86016,86016,496,-0.0034185438,0.9235536977648735,0.0022022733,169.95236372947693,5.855546,42,1127.1085350819674,1397.8196721311476
20.748661,0.030810546,88064,88064,466,-0.0024008374,0.8627313673496246,0.0031372488,174.07971692085266,5.851509,43,1138.3654728387098,1408.3225806451612
24.434568,0.040722657,90112,90112,466,-0.0031467255,0.9033119007945061,0.0035357464,178.47528076171875,5.8555994,44,1134.5748400156249,1403.109375
24.733173,0.015478516,92160,92160,515,-0.0014832556,0.8257770240306854,0.0014386436,182.8700888156891,5.8596687,45,1085.2674315,1353.7205882352941
20.228546,0.08881836,94208,94208,444,-0.004386876,0.8652937561273575,0.0071213925,186.84585309028625,5.8489065,46,1096.2022305072464,1363.7971014492753
20.136683,0.051855467,96256,96256,451,-0.0030082867,0.8610067218542099,0.004826431,191.45857691764832,5.843244,47,1106.7282158285714,1373.5857142857142
20.153833,0.06333008,98304,98304,481,-0.0021143514,0.8646088689565659,0.005478116,195.99403619766235,5.845544,48,1117.0648285633804,1383.0985915492959
19.960653,0.006689453,100352,100352,485,-0.0007757799,0.8755447864532471,0.0010147244,200.25239038467407,5.856367,49,1126.5841007083334,1392.3472222222222
19.609806,0.07050781,102400,102400,456,-0.00392919,0.867611825466156,0.0058486173,204.47264456748962,5.8534727,50,1136.24759869863,1401.3424657534247
15.199768,0.018310547,104448,104448,498,-0.0019226831,0.9453561380505562,0.0020995552,208.965829372406,5.850259,51,1111.2679451733334,1375.2533333333333
20.217823,0.044873048,106496,106496,454,-0.0020302988,0.8560973703861237,0.0039550844,213.07771754264832,5.857723,52,1120.7589118815788,1384.1184210526317
25.734095,0.021875,108544,108544,484,-0.003443061,0.921208880841732,0.0021761397,217.5843665599823,5.8670497,53,1106.197806898734,1367.620253164557
23.179203,0.0675293,110592,110592,469,-0.0057704104,0.9071944281458855,0.005400456,221.81462049484253,5.883547,54,1103.8631835432097,1364.358024691358
12.375168,0.019189453,112640,112640,490,-0.0040267888,0.952190812677145,0.0019121595,226.1789402961731,5.887362,55,1083.334131120482,1343.7228915662652
21.179508,0.054052733,114688,114688,426,-0.003185187,0.8765266314148903,0.0044175074,230.3563084602356,5.8843403,56,1091.8429557976192,1352.1190476190477
20.331059,0.032226562,116736,116736,474,-0.0029039346,0.8725097179412842,0.0031174934,235.15719866752625,5.883723,57,1099.6789226,1360.3176470588235
30.601904,0.027392577,118784,118784,484,-0.0031689957,0.9074227884411812,0.0025342633,239.47284197807312,5.878453,58,1087.9468935795455,1348.0227272727273
20.848766,0.030712891,120832,120832,477,-0.004304667,0.8633564412593842,0.0033449102,243.69748830795288,5.881925,59,1095.9559052471911,1355.8988764044943
20.24594,0.056005858,122880,122880,456,-0.002227156,0.8637578785419464,0.004682951,247.98963284492493,5.8765407,60,1104.2128274000002,1363.6
13.774826,0.02109375,124928,124928,506,-0.00715104,0.9161627814173698,0.0022654296,252.47517824172974,5.8735256,61,1069.5659709468086,1328.404255319149
20.239277,0.025537109,126976,126976,446,-0.0028915177,0.8682895451784134,0.0026048324,256.51556062698364,5.875475,62,1077.632372726316,1335.9894736842105
20.188816,0.02421875,129024,129024,444,-0.002260723,0.8611558824777603,0.0025337194,261.0991153717041,5.8758593,63,1085.6056467395833,1343.4166666666667
8.397526,0.015917968,131072,131072,498,-0.0023063067,0.9712688382714987,0.0015056352,265.7043855190277,5.8832817,64,1067.777024734694,1324.8265306122448
21.22879,0.025488282,133120,133120,435,-0.0013612738,0.8687482476234436,0.0024700903,269.81263732910156,5.893645,65,1075.566550939394,1332.141414141414
19.853592,0.04951172,135168,135168,438,-0.0035962942,0.8668344914913177,0.003749,274.51285314559937,5.9047046,66,1082.7377180400001,1339.31
20.166473,0.03300781,137216,137216,458,-0.0024874436,0.8675965517759323,0.0033664654,279.18095779418945,5.915963,67,1083.0803572300001,1339.31
