approxkl,serial_timesteps,explained_variance,policy_entropy,n_updates,value_loss,fps,clipfrac,total_timesteps,policy_loss,time_elapsed,ep_reward_mean,ep_len_mean
0.003368285,448512,0.8919821754097939,4.1978316,219,28.470142,446,0.033935547,448512,-0.004191612,978.1980311870575,1172.4170318200001,1385.34
0.0040497724,450560,0.8996660858392715,4.196124,220,19.740128,419,0.04814453,450560,-0.0051293075,982.7829270362854,1171.3580550800002,1385.34
0.0018503977,452608,0.8801728934049606,4.1886744,221,23.93565,434,0.017285157,452608,-0.0021487228,987.6620714664459,1187.4217949600002,1404.35
0.0022682608,454656,0.9733908623456955,4.198556,222,6.809169,438,0.023583984,454656,-0.0023806232,992.3764746189117,1186.1896764399999,1402.76
0.0028653198,456704,0.8931630849838257,4.2167473,223,25.637857,420,0.030712891,456704,-0.002598057,997.0443849563599,1170.03806918,1385.64
0.0052625462,458752,0.7942261248826981,4.218681,224,19.922163,418,0.066748045,458752,-0.0050524306,1001.9132513999939,1169.77889271,1385.64
0.0036159833,460800,0.7970075607299805,4.2197156,225,20.531916,422,0.039746094,460800,-0.004198714,1006.804126739502,1168.8369284500002,1385.64
0.005643075,462848,0.8095735907554626,4.2240148,226,20.443712,423,0.074121095,462848,0.00012360312,1011.6592962741852,1167.95894243,1385.64
0.0028008944,464896,0.8570036888122559,4.225784,227,37.56739,439,0.026855469,464896,-0.0016147776,1016.4986085891724,1163.4941411099999,1378.04
0.001833386,466944,0.8802685216069221,4.236395,228,25.316761,430,0.015429688,466944,-0.0008147907,1021.1545803546906,1160.77874755,1374.09
0.0032786452,468992,0.8025901466608047,4.2483916,229,19.969135,418,0.03540039,468992,-0.0012229715,1025.9127883911133,1160.7483293699997,1374.09
0.0038354248,471040,0.8231460452079773,4.257285,230,19.955856,409,0.044140626,471040,-0.0023464048,1030.8074390888214,1160.99044831,1374.09
0.003931684,473088,0.9801729116588831,4.2666597,231,3.2742012,431,0.042919923,473088,-0.00094445224,1035.812596321106,1145.1547441999999,1359.04
