value_loss,fps,explained_variance,clipfrac,n_updates,time_elapsed,serial_timesteps,policy_loss,total_timesteps,ep_reward_mean,approxkl,ep_len_mean,policy_entropy
20.768682,526,0.8679130971431732,0.042626955,64,243.40335845947266,131072,-0.0036027809,131072,1117.4920863578946,0.0035238503,1370.5684210526315,5.716296
19.951614,520,0.8633949160575867,0.026220703,65,247.2908971309662,133120,-0.0025736575,133120,1124.4470673125,0.0025422913,1377.6354166666667,5.7306952
30.099636,519,0.8811195939779282,0.028515626,66,251.22882413864136,135168,-0.0034585167,135168,1121.763152377551,0.0027040378,1374.8673469387754,5.7468643
20.48293,508,0.8679371625185013,0.029638672,67,255.1688826084137,137216,-0.0016821234,137216,1128.8584782020203,0.002737674,1381.6767676767677,5.7472835
20.07102,532,0.879739835858345,0.014892578,68,259.19452142715454,139264,-0.0008582164,139264,1135.45515514,0.0016724921,1388.35,5.738319
5.967969,522,0.9620707891881466,0.027050782,69,263.0398197174072,141312,-0.0019765291,141312,1134.1787577700002,0.0027404018,1385.61,5.738165
17.90505,524,0.884966179728508,0.04663086,70,266.9593834877014,143360,-0.0044840043,143360,1149.04328767,0.0038709126,1399.81,5.738633
17.993404,499,0.8845173493027687,0.0171875,71,270.8630223274231,145408,-0.0022004116,145408,1163.8142746100002,0.0018956972,1414.68,5.737873
19.521896,529,0.8654333502054214,0.03359375,72,274.96508598327637,147456,-0.0044577965,147456,1180.81255426,0.0035903812,1432.72,5.726832
18.694042,530,0.8896182626485825,0.025634766,73,278.83083963394165,149504,-0.0035329324,149504,1180.8843685999998,0.002354954,1432.72,5.7135606
18.498775,524,0.8629600554704666,0.025439452,74,282.6947250366211,151552,-0.0018228531,151552,1193.7098045999999,0.0026451438,1445.9,5.6983504
19.11996,542,0.8837506920099258,0.013427734,75,286.59907960891724,153600,-0.0025150143,153600,1208.39836272,0.0016578234,1459.17,5.682931
49.025337,575,0.6486158668994904,0.019140625,76,290.37820076942444,155648,-0.00520957,155648,1204.54030545,0.0016520886,1452.94,5.679831
20.042404,526,0.8438511937856674,0.018115234,77,293.9354157447815,157696,-0.0013128613,157696,1218.96481803,0.002110736,1467.13,5.6757
24.701778,517,0.8992300555109978,0.044140626,78,297.8260757923126,159744,-0.0021974822,159744,1232.7300169,0.0040113563,1478.04,5.6601686
20.177174,522,0.8483718931674957,0.040136717,79,301.7871768474579,161792,-0.001520009,161792,1248.35007881,0.0035073385,1492.97,5.653055
9.350088,560,0.9556320793926716,0.02109375,80,305.70950722694397,163840,-0.0038698453,163840,1232.3889072900001,0.0021916647,1475.97,5.6531706
20.292858,539,0.844809502363205,0.020117188,81,309.3616940975189,165888,-0.0020972393,165888,1230.49644299,0.0021203668,1475.97,5.645261
24.165874,548,0.8911407738924026,0.020996094,82,313.16167187690735,167936,-0.0021902155,167936,1192.55541035,0.0024581596,1439.46,5.6449594
20.174612,514,0.854799285531044,0.044433594,83,316.89605593681335,169984,-0.0020389196,169984,1193.05812117,0.0035980805,1439.46,5.6488304
32.08345,541,0.8970030024647713,0.051074218,84,320.88062930107117,172032,-0.005249451,172032,1193.5794225500001,0.004181137,1438.77,5.657794
2.9746718,523,0.9819494318217039,0.017480468,85,324.66483211517334,174080,-0.006001263,174080,1193.4372282000002,0.0024839367,1438.37,5.656401
43.93029,560,0.8321543484926224,0.019482423,86,328.5745816230774,176128,-0.0031518932,176128,1177.4014949300001,0.0017898164,1420.41,5.6558223
19.864908,527,0.8560988456010818,0.05996094,87,332.2298948764801,178176,-0.0038680427,178176,1178.0608835900002,0.004888554,1420.41,5.659516
29.341537,534,0.9123286232352257,0.022558594,88,336.113853931427,180224,-0.00067755854,180224,1161.62229832,0.0024752037,1400.74,5.6590104
10.066402,544,0.8246419727802277,0.03564453,89,339.94883036613464,182272,-0.0047009387,182272,1145.6964119900001,0.0032905308,1384.81,5.640994
25.800854,548,0.9220415949821472,0.014453125,90,343.71313214302063,184320,-0.0031093573,184320,1138.07390146,0.0015303335,1381.19,5.634328
30.051428,534,0.9061889946460724,0.024072265,91,347.44955110549927,186368,-0.0027077557,186368,1123.4458123,0.0022859997,1366.0,5.6441956
6.650552,525,0.9604245573282242,0.019189453,92,351.2842490673065,188416,-0.0034747857,188416,1108.58233941,0.002239442,1350.61,5.6330557
25.70025,546,0.6992111504077911,0.035742186,93,355.18537425994873,190464,-0.0016848234,190464,1108.4055877399999,0.0030624706,1350.61,5.6254377
19.312252,530,0.9203720837831497,0.027929688,94,358.9343454837799,192512,-0.0068860366,192512,1086.2337394800002,0.0032182944,1333.61,5.627
20.159664,510,0.8387731313705444,0.072265625,95,362.7987132072449,194560,-0.0023680443,194560,1086.74033084,0.005643129,1333.61,5.6465716
30.769491,541,0.8974690660834312,0.040527344,96,366.81053400039673,196608,-0.004417273,196608,1070.07071491,0.0041123275,1314.22,5.664298
26.795023,526,0.9171373471617699,0.03959961,97,370.5936167240143,198656,-0.0036266155,198656,1069.87194085,0.003218457,1313.99,5.677511
20.416206,523,0.8415603041648865,0.054882813,98,374.48386430740356,200704,-0.0034420907,200704,1070.57963288,0.0047760895,1313.99,5.6669426
12.496408,518,0.5457149744033813,0.02446289,99,378.3990972042084,202752,8.642617e-05,202752,1080.8779238,0.002460158,1331.08,5.655342
6.3641195,533,0.9678075537085533,0.021044921,100,382.3527834415436,204800,-0.003272829,204800,1064.91128528,0.0020302616,1314.26,5.6572294
22.209255,541,0.7076253890991211,0.010839844,101,386.1957895755768,206848,-0.00062296033,206848,1064.5634180799998,0.0014196562,1314.26,5.6621885
12.687077,529,0.7500965893268585,0.01225586,102,389.9777617454529,208896,-0.0015286399,208896,1059.3484094499997,0.0014019328,1314.26,5.657155
42.679684,555,0.8189443349838257,0.016210938,103,393.84950375556946,210944,-0.0065410906,210944,1004.6003419499998,0.0016594564,1260.86,5.6516256
18.723677,537,0.8762409314513206,0.057958983,104,397.53562116622925,212992,-0.006006616,212992,1003.6162248899999,0.0047592684,1260.86,5.6639223
19.775393,525,0.869203507900238,0.035546876,105,401.3487334251404,215040,-0.0017325927,215040,1003.17177429,0.0032582965,1260.86,5.668586
7.425265,553,0.9745986107736826,0.0125488285,106,405.2431299686432,217088,-0.0039399713,217088,970.3260126399999,0.0013314259,1226.45,5.6661177
36.940544,564,0.8603594750165939,0.02421875,107,408.9411644935608,219136,-0.0040673474,219136,939.45398867,0.0021900202,1194.05,5.6749125
9.032503,526,0.9670088924467564,0.021826172,108,412.5728142261505,221184,-0.0032846476,221184,922.40700365,0.001933115,1174.93,5.6820617
19.882559,493,0.8465796858072281,0.061865233,109,416.46147537231445,223232,-0.0043124757,223232,922.60193812,0.005122021,1174.93,5.6935496
48.233734,556,0.8095943480730057,0.009960937,110,420.6156075000763,225280,-0.0025510336,225280,885.7553418400001,0.0011274029,1135.24,5.7016783
5.646098,491,0.9690053518861532,0.026806641,111,424.29566740989685,227328,-0.0018891875,227328,869.1241267000001,0.0029428469,1118.54,5.701611
29.32554,523,0.8877036422491074,0.016113281,112,428.46740436553955,229376,-0.0037952058,229376,852.0124715100003,0.0015409646,1101.37,5.7025347
24.536411,514,0.8998342603445053,0.016748047,113,432.37927055358887,231424,-0.0032887305,231424,836.41851177,0.0016187901,1086.91,5.703767
19.573807,489,0.8549889773130417,0.02709961,114,436.3605201244354,233472,-0.0020295132,233472,851.94026827,0.0024826904,1101.64,5.7084217
19.57574,522,0.8815179169178009,0.019091796,115,440.54084396362305,235520,-0.0015273509,235520,867.8118204999998,0.0019976858,1118.29,5.71308
19.421577,500,0.8461955189704895,0.04296875,116,444.4626874923706,237568,-0.0031553481,237568,884.14236391,0.003806917,1134.1,5.703332
9.714071,477,0.9641171656548977,0.025341798,117,448.5591037273407,239616,-0.0016213788,239616,851.8947585000001,0.002715123,1101.31,5.698785
19.463106,458,0.8449020683765411,0.03173828,118,452.85045289993286,241664,-0.0028405208,241664,852.2747102000001,0.0031825318,1101.31,5.6924314
21.148281,526,0.8504100292921066,0.047314454,119,457.3136112689972,243712,-0.0041183843,243712,852.7826744100004,0.0036837806,1101.31,5.69377
22.828999,499,0.8930949494242668,0.030810546,120,461.20299768447876,245760,-0.0020486773,245760,829.4300732400003,0.0028137027,1082.62,5.706294
19.919968,515,0.8517629206180573,0.030761719,121,465.3000319004059,247808,-0.0010823583,247808,829.9145981600002,0.0028053066,1082.62,5.7158422
19.773937,515,0.8310437500476837,0.009814453,122,469.2717487812042,249856,-0.0010412112,249856,846.0842028500001,0.0014941683,1098.66,5.7149076
20.35393,520,0.8573319315910339,0.018164063,123,473.2456922531128,251904,-0.0026858987,251904,846.93408562,0.0018414095,1098.66,5.7164817
21.949745,519,0.9162036627531052,0.029003907,124,477.1845784187317,253952,-0.0025253992,253952,831.27331082,0.0027544682,1082.87,5.715394
20.296486,516,0.8347141295671463,0.033203125,125,481.1246888637543,256000,-0.0013551946,256000,832.1325978000001,0.003109642,1082.87,5.710063
20.338312,515,0.8406971246004105,0.039746094,126,485.0913007259369,258048,-0.004632139,258048,834.2404811499999,0.0035609151,1082.87,5.701726
21.615429,515,0.8757245317101479,0.0265625,127,489.0665888786316,260096,-0.0022264104,260096,834.1220242999999,0.0024023638,1082.87,5.710102
3.1548395,519,0.9791258852928877,0.050097656,128,493.04053592681885,262144,-0.0048763114,262144,818.53175592,0.004315607,1064.86,5.711158
16.437527,511,0.8884423524141312,0.052246094,129,496.98121762275696,264192,-0.0034884226,264192,834.7405182499999,0.0043306183,1081.71,5.7007227
18.012892,510,0.8934277221560478,0.06523438,130,500.9839072227478,266240,-0.002358084,266240,850.3161366899999,0.0047616893,1097.56,5.6976423
23.828976,522,0.9060867503285408,0.039648436,131,504.9954581260681,268288,-0.0050760983,268288,866.67116616,0.0033806022,1114.9,5.701763
19.877834,510,0.8634430170059204,0.034521483,132,508.91307616233826,270336,-0.0032572027,270336,866.9628558300001,0.0032699998,1114.9,5.7050953
20.195621,501,0.8633422553539276,0.05,133,512.9283151626587,272384,-0.0048080888,272384,866.36448321,0.0045217304,1114.9,5.6950617
41.718967,550,0.8226768523454666,0.013867187,134,517.0125617980957,274432,-0.0029413165,274432,852.3232194999999,0.0013642068,1098.69,5.6842823
20.2339,508,0.8367359340190887,0.034423828,135,520.7346522808075,276480,-0.0022119577,276480,858.2076604599999,0.003445116,1098.69,5.6865616
22.818832,578,0.7805884033441544,0.03276367,136,524.7596888542175,278528,-0.006219842,278528,827.6457028200001,0.0030664387,1070.45,5.6886444
7.0875335,537,0.9692419376224279,0.016992187,137,528.301144361496,280576,-0.0031892578,280576,828.2854958800001,0.0020692267,1071.51,5.701944
19.86541,534,0.8870986849069595,0.03642578,138,532.1101622581482,282624,-0.0019170081,282624,845.45912129,0.0032938023,1089.44,5.710259
27.522938,535,0.8804009184241295,0.02470703,139,535.9422459602356,284672,-0.004306117,284672,845.1633424700001,0.0025486802,1090.75,5.7110415
20.19402,505,0.8399024903774261,0.00913086,140,539.7643091678619,286720,-0.0016238258,286720,858.9881249000001,0.0012261698,1105.05,5.719227
20.101734,520,0.8360572457313538,0.08173828,141,543.8147146701813,288768,-0.0033960599,288768,876.4559575100002,0.006784132,1122.86,5.7420793
20.185562,511,0.8689085692167282,0.016748047,142,547.7463538646698,290816,-0.0022657826,290816,876.8722394600002,0.0018199834,1122.86,5.746566
20.300173,516,0.867452085018158,0.02890625,143,551.754358291626,292864,-0.0026296708,292864,876.3867252600003,0.003954085,1122.86,5.7359095
20.21156,508,0.8686597049236298,0.032324217,144,555.7183601856232,294912,-0.002780572,294912,891.39772721,0.003040777,1140.74,5.734283
20.026937,515,0.8477643877267838,0.01875,145,559.7465550899506,296960,-0.0007939677,296960,908.4403250400001,0.0023146884,1158.58,5.7386365
20.13808,507,0.8421630561351776,0.03017578,146,563.7193052768707,299008,-0.0032308423,299008,924.5895635400001,0.0027944813,1174.51,5.72982
25.477736,516,0.8957700878381729,0.053222656,147,567.7545056343079,301056,-0.0074013593,301056,931.27760899,0.004810213,1175.55,5.738991
28.675327,510,0.882707379758358,0.02109375,148,571.7231435775757,303104,-0.0029059774,303104,948.4447190300001,0.0018887247,1192.75,5.7616663
21.356611,519,0.9228518530726433,0.031201173,149,575.737345457077,305152,-0.0050832736,305152,947.9206010100002,0.0031728721,1192.43,5.7823114
14.808118,537,0.945792194455862,0.007910157,150,579.6824581623077,307200,-0.0018856911,307200,946.3069884099999,0.0010738808,1190.21,5.793115
19.87157,523,0.8734628111124039,0.030908203,151,583.49143409729,309248,-0.0033994545,309248,945.77465088,0.0027102144,1190.21,5.7973466
27.83902,538,0.9206993207335472,0.023632813,152,587.4072864055634,311296,-0.006245207,311296,933.0976812299999,0.002081105,1171.94,5.8040214
24.84483,521,0.8926323130726814,0.015673827,153,591.2081725597382,313344,-0.0027029682,313344,932.94725173,0.0015541022,1171.88,5.8173585
25.358654,527,0.9022829309105873,0.015966797,154,595.1347086429596,315392,-0.003048452,315392,933.83545554,0.0016786574,1172.88,5.834197
4.597297,531,0.9791657906025648,0.01875,155,599.0158648490906,317440,-0.002865554,317440,934.73274674,0.001813484,1174.04,5.8592315
42.450756,548,0.8226169049739838,0.009667968,156,602.8726117610931,319488,-0.0045475224,319488,921.8530968300001,0.0011835932,1155.69,5.87275
30.41636,516,0.9103899076581001,0.014404297,157,606.6098525524139,321536,-0.0026599679,321536,899.14735817,0.0016377555,1122.79,5.885082
20.161312,503,0.8684915006160736,0.035205077,158,610.5731616020203,323584,-0.0010561183,323584,914.71592782,0.0032338635,1138.86,5.8884974
10.169649,521,0.9659744277596474,0.010302735,159,614.6428289413452,325632,-0.0024820445,325632,913.9312015900001,0.0009716294,1137.71,5.8982577
29.34383,508,0.8883538171648979,0.03227539,160,618.5722770690918,327680,-0.002746346,327680,933.27702208,0.0026326794,1158.96,5.9093695
20.817368,518,0.8901526406407356,0.036816407,161,622.6023252010345,329728,-0.0025249508,329728,933.83307703,0.0033890647,1158.96,5.9149504
11.7865305,516,0.8983842507004738,0.016162109,162,626.5555167198181,331776,-0.0017953264,331776,928.45572764,0.0012640746,1158.96,5.9212217
24.720325,519,0.9348813816905022,0.017675782,163,630.52055311203,333824,-0.0022971977,333824,929.79296513,0.0016732041,1161.04,5.9237404
13.044667,542,0.7912411242723465,0.018359374,164,634.4604890346527,335872,-0.0015658911,335872,939.6705393,0.0017462668,1176.39,5.9297853
20.265001,499,0.8800533711910248,0.058984376,165,638.2368216514587,337920,-0.003174832,337920,955.8215351399999,0.0049891183,1193.14,5.922678
12.282027,487,0.9464143477380276,0.021044921,166,642.3406527042389,339968,-0.0033413894,339968,956.58435869,0.002115665,1194.31,5.920325
45.1822,494,0.8380386084318161,0.021386718,167,646.5423493385315,342016,-0.0037980482,342016,940.1188101300002,0.0019848242,1179.17,5.9164677
9.371417,525,0.9246833696961403,0.023242187,168,650.6870119571686,344064,-0.0051745297,344064,950.0065929900001,0.0022059537,1194.86,5.9221425
6.862993,518,0.9696840271353722,0.017626952,169,654.5814881324768,346112,-0.0051739905,346112,950.46380308,0.0014921639,1195.47,5.9328637
36.715275,422,0.7723315060138702,0.015771484,170,658.5328090190887,348160,-0.004296834,348160,969.11800914,0.0014704547,1215.58,5.9427557
24.408583,470,0.9294214323163033,0.024121094,171,663.375893831253,350208,-0.004217282,350208,965.5167175600001,0.0023743743,1214.12,5.940451
9.928389,454,0.7526884526014328,0.03339844,172,667.7319929599762,352256,-0.0022379837,352256,976.1706557500002,0.0027745988,1231.22,5.9269495
11.539444,507,0.9582702964544296,0.020214844,173,672.2370219230652,354304,-0.004503891,354304,959.4175512200002,0.002079835,1213.63,5.9053483
26.023006,498,0.9058118537068367,0.013964844,174,676.2726502418518,356352,-0.0022041418,356352,942.9777933700003,0.0016492819,1197.51,5.8933344
27.394955,472,0.9191200733184814,0.027636718,175,680.3833720684052,358400,-0.0046777846,358400,943.48464363,0.0025090617,1199.65,5.8827276
19.749271,392,0.8841722384095192,0.02236328,176,684.7194857597351,360448,-0.0022223035,360448,942.80074371,0.002035483,1199.65,5.880365
20.530039,419,0.8516690582036972,0.042773437,177,689.9391462802887,362496,-0.0043758578,362496,942.8965996800001,0.0038587884,1199.65,5.8765035
5.916089,503,0.9313447177410126,0.018896485,178,694.8197255134583,364544,-0.0016205258,364544,932.1458777200002,0.0019857357,1182.51,5.872464
12.454645,514,0.8047501295804977,0.021826172,179,698.884818315506,366592,-0.0014911506,366592,943.0951568700001,0.002212584,1199.54,5.87175
21.743439,534,0.86479252576828,0.0076171877,180,702.8671438694,368640,-0.002442488,368640,920.9167641599998,0.00092327566,1183.62,5.866888
31.730526,530,0.8928973451256752,0.0171875,181,706.7025053501129,370688,-0.0050252946,370688,901.4512373199999,0.0017411947,1165.06,5.861306
20.609484,538,0.9262313768267632,0.025,182,710.5646893978119,372736,-0.006158513,372736,854.5013765,0.0021271573,1118.16,5.8524685
12.5169325,510,0.9366563558578491,0.05024414,183,714.3658454418182,374784,-0.0059583085,374784,868.6908934400001,0.004592944,1136.17,5.847659
