ep_reward_mean,serial_timesteps,n_updates,explained_variance,policy_entropy,total_timesteps,fps,value_loss,approxkl,clipfrac,time_elapsed,ep_len_mean,policy_loss
874.3696134599999,952320,465,0.7757566422224045,2.2987628,952320,570,32.31103,0.004729658,0.05805664,1726.0276110172272,1289.25,-0.0070978776
882.9455471599999,954368,466,0.8818571642041206,2.310376,954368,549,7.5264816,0.0054719322,0.06391601,1729.6182277202606,1300.14,-0.0033635583
888.86463641,956416,467,0.8998240828514099,2.3054502,956416,553,5.8567514,0.004427287,0.04799805,1733.3480343818665,1307.82,-0.003652007
888.5666287000001,958464,468,0.8335147649049759,2.294535,958464,572,27.133762,0.005377077,0.054541014,1737.0506772994995,1305.57,-0.0036538548
900.9647086800002,960512,469,0.6766582727432251,2.301295,960512,508,14.150309,0.0056295535,0.06572266,1740.6279566287994,1323.49,-0.0019010945
905.0124464900001,962560,470,0.7694066762924194,2.295026,962560,561,9.465824,0.007036847,0.09277344,1744.654189825058,1327.77,-0.0029750501
910.6885612200002,964608,471,0.6645164489746094,2.297029,964608,513,12.478907,0.007611493,0.08286133,1748.2991135120392,1334.77,-0.0033662724
906.03384214,966656,472,0.7937503457069397,2.3025203,966656,550,16.012516,0.0029903657,0.03305664,1752.290087223053,1328.04,-0.0047495137
920.1060386400002,968704,473,0.7213390171527863,2.305815,968704,556,11.714954,0.0058942116,0.06933594,1756.0121228694916,1345.96,-0.006705382
929.38428467,970752,474,0.7200756967067719,2.2968137,970752,560,10.409212,0.00531685,0.06020508,1759.689824104309,1358.43,-0.001902628
938.47606888,972800,475,0.6965706646442413,2.285028,972800,562,9.683447,0.0086279325,0.103271484,1763.3416225910187,1370.92,-0.007077217
949.5924801900001,974848,476,0.8299437612295151,2.2844093,974848,554,17.7735,0.004689525,0.05571289,1766.9866824150085,1384.19,-0.0030282368
940.3750757999999,976896,477,0.732670247554779,2.298081,976896,522,16.839014,0.0063630105,0.077978514,1770.6800329685211,1371.79,-0.004346748
933.6748761299999,978944,478,0.9358330592513084,2.3062143,978944,545,3.6706092,0.003274799,0.033251952,1774.5965778827667,1362.0,-0.004164474
930.72433732,980992,479,0.8589968830347061,2.307036,980992,509,7.6978035,0.004718772,0.051367186,1778.3542778491974,1358.65,-0.004469211
933.5720033900002,983040,480,0.8011988550424576,2.3230126,983040,551,16.117535,0.004257014,0.050146483,1782.3780477046967,1360.5,-0.0038493231
930.74196668,985088,481,0.8035889267921448,2.3317378,985088,513,14.133261,0.0062655457,0.07304688,1786.088948249817,1356.21,-0.0028794594
941.6638439200001,987136,482,0.6952082514762878,2.3314104,987136,489,8.155468,0.0035547013,0.038427733,1790.0816338062286,1374.02,-0.0032714095
942.79223004,989184,483,0.7151963114738464,2.340874,989184,546,11.05472,0.005541142,0.05834961,1794.263688325882,1374.02,-0.006528911
944.00666805,991232,484,0.7189837992191315,2.3572958,991232,548,11.16504,0.0063713365,0.07646485,1798.0090062618256,1374.02,-0.0057537677
939.2812911499999,993280,485,0.8448905646800995,2.3716397,993280,544,12.459982,0.0052808854,0.054003906,1801.7401986122131,1366.16,-0.0035549204
933.5995581899999,995328,486,0.9532807730138302,2.3843727,995328,515,3.1230323,0.005068233,0.058300782,1805.4994144439697,1358.05,-0.005759468
934.50550988,997376,487,0.680557906627655,2.3887327,997376,516,11.555666,0.0046999245,0.056103516,1809.4742188453674,1358.05,-0.0035334118
908.0811935300002,999424,488,0.8630360513925552,2.4049058,999424,558,20.897953,0.005349447,0.06669922,1813.4394838809967,1321.01,-0.008037397
884.42142699,1001472,489,0.8694454729557037,2.4157567,1001472,560,14.569525,0.0036346775,0.03881836,1817.1096522808075,1283.43,-0.0048915157
886.61784432,1003520,490,0.7349776327610016,2.4240754,1003520,559,13.750666,0.0047216564,0.0578125,1820.7655758857727,1283.43,-0.0031226058
886.29106237,1005568,491,0.9521497301757336,2.4239697,1005568,558,5.571332,0.003328335,0.03701172,1824.4255437850952,1282.22,-0.0025986833
886.1667800900001,1007616,492,0.8504338562488556,2.4251475,1007616,561,14.378222,0.005987946,0.0753418,1828.0898745059967,1279.94,-0.0057702917
859.6470591500001,1009664,493,0.8440374284982681,2.4263568,1009664,568,24.837622,0.0040299497,0.04916992,1831.7380483150482,1242.5,-0.0068433047
851.5600015900001,1011712,494,0.9230106547474861,2.432134,1011712,561,4.9355135,0.0042333156,0.048828125,1835.3404371738434,1231.13,-0.0059215915
864.6558331900001,1013760,495,0.7648276388645172,2.4319928,1013760,542,10.975157,0.0053653475,0.06601562,1838.9908065795898,1247.74,-0.0048639094
864.60637244,1015808,496,0.7322233319282532,2.4426718,1015808,537,11.025927,0.006409213,0.07138672,1842.7647833824158,1247.74,-0.0031786053
864.58895816,1017856,497,0.6517239212989807,2.4439714,1017856,526,15.270355,0.0073475405,0.07841797,1846.5774726867676,1247.74,-0.0011811957
878.01539943,1019904,498,0.6864110231399536,2.4375732,1019904,543,12.787259,0.006504331,0.08232422,1850.467451095581,1264.33,-0.005436164
885.0216059399999,1021952,499,0.9514004848897457,2.4319935,1021952,550,5.3417935,0.0057168882,0.06538086,1854.2362031936646,1273.73,-0.007225979
887.13989842,1024000,500,0.8504199385643005,2.4303784,1024000,540,8.6225195,0.0034846768,0.039160155,1857.9559125900269,1276.48,-0.0039273296
874.5507043000001,1026048,501,0.7532338798046112,2.4321885,1026048,547,17.549395,0.0043249913,0.047851562,1861.7501211166382,1258.9,-0.0066950484
868.3307469200001,1028096,502,0.9300285279750824,2.4363315,1028096,564,4.2065783,0.004604642,0.054980468,1865.4904918670654,1251.37,-0.00293808
879.5592049900001,1030144,503,0.6319546699523926,2.436133,1030144,557,12.624264,0.003925257,0.04345703,1869.1169211864471,1265.99,-0.0026364508
891.8429766500001,1032192,504,0.5878162682056427,2.4428008,1032192,561,15.30705,0.004332003,0.050146483,1872.7931151390076,1282.52,-0.0046375897
891.7775693799999,1034240,505,0.5660057365894318,2.4556801,1034240,526,11.284032,0.0075783194,0.087841794,1876.439001083374,1282.52,-0.0021071718
902.5100999300001,1036288,506,0.654291957616806,2.4760275,1036288,538,11.86758,0.005302141,0.063085936,1880.3259177207947,1298.29,-0.0036147982
908.7447411699999,1038336,507,0.6834663450717926,2.4817657,1038336,558,14.356694,0.0047058025,0.05205078,1884.1309518814087,1305.41,-0.0036336624
919.71340415,1040384,508,0.6178364753723145,2.4763598,1040384,552,15.311632,0.004698503,0.054980468,1887.7957170009613,1320.59,-0.0020619682
924.84367161,1042432,509,0.7958630323410034,2.4681935,1042432,552,9.779593,0.0072047473,0.089257814,1891.5003578662872,1327.0,-0.0029816094
926.12288675,1044480,510,0.745339572429657,2.462029,1044480,543,10.632673,0.005982154,0.07670899,1895.208796262741,1327.0,-0.0053267833
925.5860900800002,1046528,511,0.7294545769691467,2.4617152,1046528,537,11.887657,0.004488933,0.050390624,1898.974639415741,1327.0,-0.0015403151
914.2575465900002,1048576,512,0.7710435390472412,2.4660954,1048576,559,16.862316,0.0038215655,0.043261718,1902.785225391388,1310.74,-0.003302556
914.4225738400002,1050624,513,0.7321212291717529,2.4745114,1050624,553,10.1758795,0.0048988694,0.05625,1906.4475314617157,1310.74,-0.00502315
903.45959807,1052672,514,0.7976524829864502,2.4885404,1052672,564,14.588945,0.0041500037,0.047607422,1910.147653579712,1295.64,-0.0052244286
885.2135556699999,1054720,515,0.8216562122106552,2.4915788,1054720,575,14.436157,0.0040731668,0.051074218,1913.7744300365448,1271.18,-0.003309947
885.49624824,1056768,516,0.7643025070428848,2.4913666,1056768,551,10.428811,0.0048360457,0.052978516,1917.3316159248352,1271.18,-0.0028554068
891.19054389,1058816,517,0.6992948353290558,2.4956229,1058816,567,12.052359,0.0050613326,0.063085936,1921.0462148189545,1277.93,-0.003869505
891.8177072,1060864,518,0.654699832201004,2.4897027,1060864,541,16.08174,0.0045205792,0.047216795,1924.6551716327667,1277.93,-0.00237879
890.0742735199998,1062912,519,0.5981741845607758,2.479089,1062912,484,13.178601,0.008554457,0.09169922,1928.4350547790527,1277.93,-0.0016165978
888.6553751299999,1064960,520,0.8182607293128967,2.4851272,1064960,568,15.381258,0.0036249354,0.040283203,1932.666098356247,1275.36,-0.0027362083
888.8932386899999,1067008,521,0.7537437528371811,2.4884164,1067008,549,11.376963,0.004181032,0.046533205,1936.2709290981293,1275.36,-0.0031301323
902.4603923200001,1069056,522,0.7101024985313416,2.4835286,1069056,551,14.138835,0.003545429,0.039013673,1939.9962260723114,1292.79,-0.0030766618
900.82392824,1071104,523,0.8359836935997009,2.4876761,1071104,541,16.84269,0.0064886073,0.06728516,1943.7110786437988,1291.53,-0.005099143
903.26021474,1073152,524,0.7935374677181244,2.486694,1073152,540,11.587264,0.006587068,0.07783203,1947.4941501617432,1291.53,-0.004737348
903.31449056,1075200,525,0.9442948698997498,2.494233,1075200,559,3.5957744,0.004867935,0.057861328,1951.2864909172058,1291.52,-0.0070908777
909.8393292799999,1077248,526,0.8161646276712418,2.5184476,1077248,555,20.654135,0.003458329,0.037744142,1954.9504232406616,1300.76,-0.0042675426
885.4015573600003,1079296,527,0.8694496154785156,2.5312703,1079296,544,21.869938,0.0041495403,0.0484375,1958.63556432724,1267.98,-0.005049129
901.44884567,1081344,528,0.6948068141937256,2.52284,1081344,557,19.143986,0.0034117834,0.0359375,1962.3960180282593,1288.51,-0.0038528875
896.3888522199999,1083392,529,0.9000727161765099,2.5183678,1083392,561,14.449849,0.0027553546,0.027148437,1966.0682792663574,1282.36,-0.0028717117
897.8511830699999,1085440,530,0.8761310502886772,2.5135226,1085440,566,14.788574,0.0039740214,0.046484374,1969.7180714607239,1282.51,-0.00036752233
897.6170446099999,1087488,531,0.9168999344110489,2.5189419,1087488,575,6.2465467,0.004568641,0.053515624,1973.3323392868042,1282.27,-0.0056462027
909.0574045,1089536,532,0.6166045367717743,2.5219467,1089536,555,16.09563,0.004468905,0.05415039,1976.8931560516357,1296.59,-0.004820438
921.7499134299998,1091584,533,0.8069184124469757,2.531963,1091584,541,11.117327,0.0048039453,0.058544923,1980.5836939811707,1313.82,-0.0025952188
925.0425265199998,1093632,534,0.7699802368879318,2.5370982,1093632,572,20.374416,0.0050966083,0.05883789,1984.3649723529816,1316.27,-0.0026032787
925.6437444599999,1095680,535,0.7035369277000427,2.5340652,1095680,553,13.890028,0.006352371,0.068310544,1987.9427955150604,1316.27,-0.0009262137
