ep_reward_mean,value_loss,clipfrac,total_timesteps,serial_timesteps,fps,policy_loss,explained_variance,ep_len_mean,approxkl,time_elapsed,policy_entropy,n_updates
501.86469496999996,12.665529,0.07104492,178176,178176,516,-0.0058291545,0.8400037586688995,884.95,0.0058386168,334.4559898376465,3.9346118,87
504.86860520999994,4.290237,0.055371094,180224,180224,521,-0.0071222214,0.9200633019208908,889.81,0.0045980336,338.42503118515015,3.9183261,88
517.19656398,10.090284,0.04399414,182272,182272,498,-0.006920348,0.8961460143327713,907.87,0.0041211373,342.3551435470581,3.9027534,89
529.6152600200002,11.557702,0.039208986,184320,184320,500,-0.0041168486,0.8516637086868286,925.66,0.0036662507,346.4634349346161,3.9001384,90
542.22335579,18.767532,0.027783204,186368,186368,503,-0.0031220587,0.7922127097845078,941.85,0.0026562256,350.55940437316895,3.9034202,91
552.30761324,9.675102,0.026464844,188416,188416,531,-0.0031266033,0.861877366900444,955.74,0.0024031573,354.6289920806885,3.9074929,92
552.41094913,9.838758,0.05332031,190464,190464,522,-0.0036832825,0.8714287132024765,955.74,0.0047625713,358.48613691329956,3.8918545,93
567.64694875,16.899565,0.03022461,192512,192512,525,-0.006447986,0.8457873165607452,976.77,0.002925919,362.4048857688904,3.8828862,94
579.59133572,10.657413,0.034863282,194560,194560,508,-0.002174771,0.8652824014425278,992.19,0.0031783476,366.304381608963,3.899669,95
591.43549617,9.7214985,0.057421874,196608,196608,550,-0.0038458663,0.8394504189491272,1007.81,0.004875724,370.33285546302795,3.9150918,96
604.13913785,9.352346,0.038183592,198656,198656,539,-0.003746199,0.8265670090913773,1026.74,0.0035422468,374.0543386936188,3.9160304,97
607.3516569899999,15.524355,0.033740234,200704,200704,533,-0.0046644737,0.7757502049207687,1031.07,0.0032977853,377.8481421470642,3.9137936,98
608.7530825099999,18.75154,0.034423828,202752,202752,530,-0.005692543,0.8437564671039581,1031.85,0.0030731119,381.68696665763855,3.9192233,99
622.2800354199999,9.852074,0.039404295,204800,204800,461,-0.004107344,0.8716907650232315,1050.01,0.0035935096,385.54729437828064,3.9213383,100
625.1251003499999,10.1703205,0.026660156,206848,206848,502,-0.0064728893,0.8940481096506119,1053.43,0.002640897,389.98349809646606,3.9171472,101
636.53694514,19.938633,0.042138673,208896,208896,528,-0.0032475204,0.7591335028409958,1069.42,0.0035971832,394.0573136806488,3.9207122,102
648.2989098099999,10.947485,0.07416992,210944,210944,517,-0.0032298989,0.7682344317436218,1087.18,0.0065192254,397.93495774269104,3.929081,103
652.04544272,18.628168,0.035253905,212992,212992,519,-0.00642079,0.8647646009922028,1091.19,0.0029191766,401.8950545787811,3.9224267,104
661.9614615200001,24.888672,0.052734375,215040,215040,536,-0.00607342,0.7789907157421112,1103.49,0.0044920086,405.83530497550964,3.9274845,105
674.82918989,7.4832144,0.04536133,217088,217088,531,-0.0060350588,0.8735411763191223,1121.43,0.004028086,409.65110659599304,3.925539,106
686.48858949,11.799173,0.046923827,219136,219136,520,-0.004746468,0.827384814620018,1136.96,0.0038515627,413.50612711906433,3.918033,107
695.1869190099999,8.505778,0.034521483,221184,221184,533,-0.0047045816,0.8742135018110275,1148.93,0.0030852535,417.43809747695923,3.9229863,108
707.89539382,13.095677,0.050048828,223232,223232,537,-0.0019192895,0.8004122227430344,1166.55,0.0044641914,421.27625727653503,3.9332485,109
708.5067630000001,16.827576,0.033203125,225280,225280,511,-0.0025595585,0.8434014469385147,1164.32,0.0030000247,425.08465027809143,3.9378762,110
712.61803736,18.123898,0.028759766,227328,227328,543,-0.0027567153,0.7100180089473724,1170.02,0.0027067175,429.0892536640167,3.940867,111
713.45746586,18.999023,0.06875,229376,229376,528,-0.009602863,0.820629432797432,1170.13,0.0058893138,432.85801243782043,3.942968,112
717.1176386400001,13.069974,0.028857421,231424,231424,545,-0.0029455314,0.8405444622039795,1175.96,0.002813,436.7344253063202,3.9532635,113
717.8393179799999,8.66379,0.06298828,233472,233472,517,-0.0047278325,0.8409617841243744,1175.96,0.0051835007,440.492475271225,3.9530914,114
720.53848769,12.585772,0.027294923,235520,235520,521,-0.0016049376,0.7884074449539185,1178.64,0.002549302,444.45368480682373,3.949185,115
725.61056746,11.237941,0.02470703,237568,237568,523,-0.0014863841,0.8742535263299942,1186.63,0.0024596301,448.3818380832672,3.9418552,116
737.8762831200002,13.330754,0.043359376,239616,239616,544,-0.0043131416,0.7796725630760193,1204.6,0.0035720854,452.29346227645874,3.9273968,117
746.5762802000002,11.601517,0.029785156,241664,241664,536,-0.0034205928,0.8230979591608047,1214.92,0.0026767205,456.0572757720947,3.917026,118
755.9916709200002,5.0578566,0.026708985,243712,243712,536,-0.0033439596,0.9258491098880768,1227.82,0.0024195735,459.87279057502747,3.9142041,119
747.9308953700003,18.912142,0.03701172,245760,245760,525,-0.0009991061,0.7699899673461914,1215.83,0.0031307847,463.691792011261,3.9163742,120
760.7062218100001,15.732079,0.029003907,247808,247808,529,-0.004242357,0.8761159405112267,1232.09,0.002647651,467.5876407623291,3.9236858,121
760.91116592,3.305762,0.03125,249856,249856,525,-0.0045782393,0.9584949500858784,1232.38,0.0028417967,471.45919489860535,3.929198,122
773.3505696400002,7.150107,0.048779298,251904,251904,536,-0.005857509,0.8826790526509285,1248.19,0.0043462524,475.35850715637207,3.922298,123
784.5004342300001,5.958022,0.03227539,253952,253952,500,-0.003995433,0.8958397284150124,1263.3,0.0034119855,479.17320442199707,3.9092422,124
794.04605605,21.07702,0.0390625,256000,256000,520,-0.0046943286,0.7203677892684937,1275.63,0.0033762,483.26822543144226,3.904457,125
800.8590207399998,17.058506,0.039013673,258048,258048,446,-0.00695238,0.8162929266691208,1284.98,0.003735337,487.2022409439087,3.903654,126
775.4995974400001,18.112621,0.053808592,260096,260096,447,-0.0057117147,0.8125327974557877,1247.81,0.004987373,491.78798270225525,3.9055443,127
774.85089758,8.865198,0.032714844,262144,262144,401,-0.0038915067,0.8559016585350037,1247.81,0.0029760567,496.3696117401123,3.9137452,128
778.01044943,9.706293,0.023339843,264192,264192,407,-0.0030861786,0.8629785478115082,1251.73,0.0023150186,501.4754605293274,3.91123,129
787.9869635400001,12.512031,0.043115236,266240,266240,415,-0.0025590747,0.7634778916835785,1265.1,0.0036917143,506.5029900074005,3.9043193,130
772.4276685599999,20.832737,0.05024414,268288,268288,439,-0.007071498,0.8461897075176239,1238.6,0.0045009935,511.4374372959137,3.909862,131
775.4895515600001,11.349672,0.023974609,270336,270336,440,-0.0031172275,0.8395448923110962,1241.24,0.0025568237,516.0927338600159,3.9164188,132
786.3477834100001,10.703978,0.036035158,272384,272384,413,-0.0038002103,0.84478560090065,1254.92,0.003681567,520.7397859096527,3.8878868,133
787.63306762,9.75437,0.04711914,274432,274432,391,-0.004302212,0.8596111088991165,1254.92,0.0040650493,525.6912167072296,3.8604171,134
800.3619323999999,11.069665,0.050927736,276480,276480,416,-0.0035170994,0.8487712889909744,1272.58,0.004753709,530.9273211956024,3.8568764,135
805.39857138,9.578641,0.049121093,278528,278528,474,-0.0034172372,0.8783173561096191,1277.37,0.0044197724,535.8494045734406,3.8517003,136
807.61005804,6.16932,0.040771484,280576,280576,462,-0.005658842,0.9105480089783669,1280.98,0.0038410746,540.1672945022583,3.8387818,137
810.98238939,16.013432,0.056152344,282624,282624,471,-0.005375791,0.8498377203941345,1284.36,0.0048528574,544.5917675495148,3.8270278,138
