fps,n_updates,explained_variance,value_loss,ep_reward_mean,policy_loss,ep_len_mean,time_elapsed,policy_entropy,total_timesteps,approxkl,clipfrac,serial_timesteps
280,756,0.6644324660301208,13.152133,836.8395528899999,-0.0038299593,1367.92,5087.4152772426605,3.2986007,1548288,0.005263583,0.059472658,1548288
298,757,0.865305483341217,11.888185,832.7930036500001,-0.0049838154,1363.16,5094.715739488602,3.3078804,1550336,0.0036256362,0.0375,1550336
281,758,0.8692049384117126,5.3624625,832.5736107400002,-0.0059871925,1363.16,5101.579886198044,3.3145194,1552384,0.0040364373,0.04501953,1552384
293,759,0.9199961498379707,4.3890395,826.7368546800001,-0.0029259992,1356.96,5108.865186691284,3.315951,1554432,0.0026541227,0.027050782,1554432
282,760,0.7667469382286072,8.784754,832.25659641,-0.0034309826,1356.96,5115.848409175873,3.308622,1556480,0.0054398393,0.0668457,1556480
293,761,0.7604538947343826,14.821154,828.4287032199999,-0.0023375086,1351.19,5123.100280284882,3.3129756,1558528,0.0040417314,0.047070313,1558528
292,762,0.8958110734820366,6.2756395,829.2262428399999,-0.0032818697,1351.79,5130.067924499512,3.3170204,1560576,0.005109158,0.060253907,1560576
280,763,0.9015672355890274,5.7588506,819.04942502,-0.003988494,1338.92,5137.06704044342,3.3091037,1562624,0.004234951,0.046972655,1562624
287,764,0.777529701590538,8.911829,829.6901858399999,-0.0053853,1351.89,5144.376828670502,3.3109565,1564672,0.00625448,0.07626953,1564672
286,765,0.7117115557193756,11.9462805,842.7937526000001,-0.0042977245,1371.79,5151.505213499069,3.3112576,1566720,0.0052855415,0.061669923,1566720
296,766,0.8195800930261612,9.98815,846.3372832800001,-0.0021783577,1375.49,5158.665581941605,3.30059,1568768,0.0030731303,0.03261719,1568768
283,767,0.6847272515296936,10.795006,846.2138832700001,-0.0017425586,1375.49,5165.582186937332,3.295776,1570816,0.0032323834,0.034228515,1570816
283,768,0.6874717473983765,10.110421,849.8352559700002,-0.0067716204,1375.49,5172.818375587463,3.2863183,1572864,0.0052382573,0.06694336,1572864
