n_updates,serial_timesteps,fps,approxkl,explained_variance,policy_entropy,time_elapsed,value_loss,policy_loss,total_timesteps,ep_reward_mean,clipfrac,ep_len_mean
76,155648,170,0.0016681129,0.9754509255290031,4.2498636,1156.1128416061401,4.1280117,-0.0033256956,155648,688.15887893,0.016796876,901.12
77,157696,130,0.003299414,0.9060421958565712,4.2593207,1168.1229150295258,13.030271,-0.006094078,157696,692.48969142,0.03857422,910.09
78,159744,177,0.0032693446,0.9675830155611038,4.26974,1183.7941167354584,7.3810005,-0.006286134,159744,696.18000978,0.033154298,916.58
79,161792,111,0.0023938576,0.9343849271535873,4.2850294,1195.3514316082,17.215298,-0.005217907,161792,709.65824612,0.023339843,931.88
80,163840,118,0.0027076278,0.9405806474387646,4.294303,1213.7108988761902,12.43697,-0.0059436145,163840,705.5725781499999,0.030029297,926.14
81,165888,133,0.0036734715,0.9787080325186253,4.2971354,1230.9649021625519,6.3227596,-0.008580117,165888,702.25805277,0.038916014,926.31
82,167936,140,0.0037253455,0.9751567393541336,4.310922,1246.3257610797882,5.365929,-0.0025012323,167936,679.6481055099998,0.038769532,904.85
83,169984,138,0.002326517,0.9705775007605553,4.324136,1260.8578267097473,6.1243443,-0.002252147,169984,681.40202347,0.024072265,907.09
84,172032,204,0.004561147,0.9593283198773861,4.2941127,1275.6416306495667,2.6592288,-0.006658432,172032,692.46521683,0.04711914,917.82
85,174080,148,0.0035232368,0.9727301858365536,4.265996,1285.6749267578125,5.621464,-0.007296228,174080,709.9490136999999,0.031347655,934.9
86,176128,166,0.002492744,0.9623553566634655,4.247005,1299.5028471946716,3.5413978,-0.005726811,176128,723.2993398699999,0.022851562,947.61
87,178176,198,0.004191951,0.9687143936753273,4.2105994,1311.8409082889557,2.4884496,-0.004947079,178176,739.6706074499999,0.041259766,962.56
88,180224,190,0.0044705323,0.9586939141154289,4.195393,1322.151340007782,2.6930747,-0.0029797966,180224,757.13228714,0.044189453,980.34
89,182272,166,0.0026199273,0.9659426920115948,4.1706076,1332.9221551418304,2.518557,-0.0026709386,182272,774.05697073,0.025048828,995.26
90,184320,165,0.0036856947,0.9653899781405926,4.1370716,1345.2219185829163,2.5204368,-0.0047544353,184320,790.9618437800001,0.03461914,1011.78
91,186368,165,0.0044711996,0.9654821902513504,4.106107,1357.5618164539337,2.4306748,-0.0058564264,186368,808.68321683,0.0519043,1029.55
92,188416,199,0.0017621104,0.9582194909453392,4.086093,1369.9665989875793,2.667136,-0.0043868087,188416,824.7620039400001,0.015380859,1045.09
93,190464,165,0.004039065,0.9657090790569782,4.0744095,1380.2514152526855,3.1334288,-0.0042701787,190464,843.5939648799999,0.04135742,1064.71
94,192512,165,0.0035762712,0.9662871137261391,4.055068,1392.6634392738342,2.4537003,-0.0050375024,192512,860.7924023800001,0.035839844,1082.26
95,194560,198,0.0028356551,0.9557982161641121,4.0182886,1405.026959180832,2.737165,-0.0032503195,194560,877.30793558,0.02709961,1098.01
96,196608,169,0.0021591699,0.9601311273872852,4.0020113,1415.3431460857391,4.6189036,-0.0043350672,196608,893.53103324,0.022021484,1113.43
97,198656,182,0.002371709,0.9561005458235741,4.004675,1427.4353241920471,2.6777325,-0.0030824326,198656,909.9082519900003,0.0203125,1130.22
98,200704,132,0.0026598498,0.9702989738434553,4.000618,1438.6670107841492,6.1001225,-0.005393685,200704,929.90673441,0.027832031,1151.19
99,202752,199,0.0044097137,0.9529634080827236,4.0118256,1454.11962890625,4.8571367,-0.0054254397,202752,942.6087363600001,0.055322267,1163.71
100,204800,199,0.00475718,0.9590440839529037,4.007695,1464.4114828109741,2.4706929,-0.004975157,204800,955.36468949,0.05722656,1179.57
101,206848,199,0.004754818,0.9596655480563641,3.9927227,1474.6884660720825,2.4467113,-0.006979869,206848,972.74389066,0.047167968,1196.68
102,208896,198,0.0035600965,0.9598622396588326,3.9713237,1484.9599595069885,2.409125,-0.0044121733,208896,990.34314066,0.037158202,1214.14
