n_updates,fps,clipfrac,explained_variance,total_timesteps,value_loss,time_elapsed,policy_loss,approxkl,serial_timesteps,policy_entropy,ep_reward_mean,ep_len_mean
202,564,0.095214844,0.7201791405677795,413696,10.476075,748.9077482223511,-0.0049255234,0.0075021656,413696,4.7149477,886.8813348500001,1235.51
203,553,0.075,0.7924172580242157,415744,11.565772,752.5356645584106,-0.005697734,0.006115029,415744,4.7143087,897.4027872600001,1251.9
204,552,0.051855467,0.8751337602734566,417792,18.202967,756.2379727363586,-0.0071440665,0.004546444,417792,4.718362,888.1269519599998,1238.76
205,564,0.05341797,0.7061886489391327,419840,10.675884,759.9440357685089,-0.0029962654,0.0043701353,419840,4.7264566,883.7226855199999,1238.76
206,538,0.030810546,0.8663139343261719,421888,19.294994,763.5718796253204,-0.0016143161,0.0027071147,421888,4.737975,900.3365193200001,1256.47
207,559,0.030615235,0.8692066371440887,423936,19.082981,767.372932434082,-0.0018521326,0.0027568783,423936,4.743448,914.0296743,1271.17
208,535,0.09584961,0.8490299582481384,425984,19.309128,771.0369303226471,-0.00332862,0.0072046905,425984,4.7371345,930.0488478799999,1286.61
209,535,0.0265625,0.8539236485958099,428032,18.579252,774.8605468273163,-0.0016102142,0.002759403,428032,4.727278,931.2186477399998,1286.61
210,541,0.044433594,0.8482623398303986,430080,19.017109,778.685142993927,-0.0015637592,0.0039192853,430080,4.724589,936.1493401299999,1286.61
211,594,0.02421875,0.7064817249774933,432128,36.3579,782.4678370952606,-0.0044300584,0.0023222016,432128,4.724637,912.7126793100001,1256.93
212,558,0.084033206,0.7154975533485413,434176,10.511055,785.9114549160004,-0.0058234306,0.0090514645,434176,4.7362504,907.8001453900001,1256.93
213,566,0.027734375,0.7190478146076202,436224,10.237984,789.5798921585083,-0.0020576804,0.0025434964,436224,4.7550907,919.4938044200003,1274.78
214,547,0.043603517,0.9240988865494728,438272,14.868159,793.1977100372314,-0.008018518,0.004789206,438272,4.7713475,907.5358005800001,1257.08
215,547,0.04111328,0.8888672590255737,440320,13.985768,796.9377200603485,-0.0045100995,0.0039727488,440320,4.7738423,907.87712331,1257.08
216,564,0.060058594,0.7283324897289276,442368,11.569856,800.6771285533905,-0.0032566204,0.004958098,442368,4.760188,917.8627436099999,1271.71
217,535,0.0671875,0.8479337096214294,444416,19.871588,804.3064095973969,-0.0018401816,0.0053335056,444416,4.751973,919.0041151499998,1271.71
218,540,0.06928711,0.854057639837265,446464,20.021593,808.1311166286469,-0.005490684,0.005864701,446464,4.754422,934.6732946399998,1287.35
219,560,0.033691406,0.8715897053480148,448512,20.312044,811.9238991737366,-0.0025994666,0.0030118092,448512,4.765121,951.1431071799999,1307.1
220,536,0.04033203,0.8625085651874542,450560,18.431992,815.5795569419861,-0.0013404987,0.0037453051,450560,4.765765,967.90561054,1324.95
221,579,0.01665039,0.9241767525672913,452608,8.632342,819.3987271785736,-0.0030542095,0.001893888,452608,4.7541037,970.1303806899999,1329.3
222,558,0.019042969,0.8255957961082458,454656,28.612095,822.9346635341644,-0.0024811341,0.0017826066,454656,4.7510023,980.5421750699998,1338.59
223,564,0.04824219,0.92927236109972,456704,8.200876,826.6002764701843,-0.0017161772,0.0041365223,456704,4.752738,970.5815653299998,1328.42
224,523,0.02084961,0.9402126036584377,458752,9.938546,830.2297651767731,-0.0044232435,0.0021668754,458752,4.7527966,967.3064387099998,1325.9
225,521,0.04375,0.8435613214969635,460800,35.210136,834.1423921585083,-0.005196492,0.0039878916,460800,4.771821,964.2448164200001,1312.39
226,551,0.021826172,0.8779735565185547,462848,14.705129,838.0747961997986,-0.006098088,0.0022327835,462848,4.782167,963.2418632000002,1309.03
227,500,0.08691406,0.8663717210292816,464896,19.564518,841.7895703315735,-0.0027219306,0.006533578,464896,4.7798715,968.54319403,1309.03
228,531,0.016015625,0.8767123147845268,466944,19.319506,845.880889415741,-0.002515993,0.0019064583,466944,4.7711325,984.77295921,1326.92
229,560,0.032324217,0.9591652043163776,468992,7.5296884,849.735239982605,-0.0018373362,0.0029193766,468992,4.7607183,985.9358575299998,1328.31
230,559,0.0328125,0.8835799619555473,471040,28.426031,853.3908126354218,-0.0034958082,0.0031013011,471040,4.758355,986.88253101,1330.79
231,539,0.011669922,0.8633845150470734,473088,19.672945,857.0538082122803,-0.0011593165,0.0014089632,473088,4.7543535,987.1104657600001,1330.79
232,496,0.049951173,0.851110190153122,475136,19.51335,860.8516476154327,-0.0047691623,0.0043142247,475136,4.7494197,1001.2465800300001,1345.59
233,415,0.08198242,0.8694659322500229,477184,19.964811,864.9768650531769,-0.0042285984,0.0066672713,477184,4.7443547,1017.57550595,1363.49
234,391,0.04863281,0.8872781172394753,479232,28.057693,869.9068999290466,-0.0039270194,0.0040039336,479232,4.744185,1007.81378209,1348.12
235,533,0.038476564,0.8824995011091232,481280,12.675581,875.1395099163055,-0.0044818367,0.0035132845,481280,4.7423453,1006.11139837,1348.12
236,531,0.020410156,0.8921545073390007,483328,19.192217,878.9806764125824,-0.0010897538,0.002108031,483328,4.7451205,1010.56572857,1348.12
237,518,0.045898438,0.9186609834432602,485376,12.596948,882.8350479602814,-0.003834223,0.0042478484,485376,4.7488775,997.8490904400002,1334.76
238,551,0.04433594,0.855224609375,487424,20.384613,886.7837417125702,-0.003529756,0.0036943946,487424,4.7457733,1002.8010070500002,1340.25
239,523,0.014892578,0.8796568289399147,489472,20.167585,890.4981679916382,-0.00038796497,0.001676691,489472,4.744957,1017.0215927800001,1357.79
240,541,0.02890625,0.8877983018755913,491520,20.292305,894.4102003574371,-0.001598759,0.0033052214,491520,4.751008,1025.61888515,1364.76
241,534,0.021875,0.8660932630300522,493568,19.822735,898.196191072464,-0.0007479062,0.0022946808,493568,4.7539625,1040.9271039599998,1381.42
242,534,0.047949217,0.8716062158346176,495616,19.885279,902.0271255970001,-0.001176134,0.0042706258,495616,4.74936,1039.9642561800001,1381.42
