total_timesteps,approxkl,n_updates,ep_len_mean,serial_timesteps,policy_entropy,clipfrac,policy_loss,value_loss,time_elapsed,fps,explained_variance,ep_reward_mean
112640,0.0024924984,55,354.85,112640,2.0701683,0.02451172,-0.0027945375,39.0732,189.48840498924255,562,0.5446509122848511,340.76754478
114688,0.001787352,56,359.58,114688,2.0836325,0.014208985,-0.0012995101,36.59177,193.12870693206787,574,0.5856544673442841,345.03831002000015
116736,0.0022216863,57,362.01,116736,2.0883615,0.017675782,-0.0029699798,35.253822,196.69154715538025,576,0.6541048288345337,347.20560309999996
118784,0.0011933038,58,367.34,118784,2.0919816,0.008300781,-0.0011149851,35.519356,200.24476289749146,579,0.6375929415225983,352.22667138
120832,0.0024911608,59,366.25,120832,2.095554,0.023583984,-0.00239931,33.538994,203.78295612335205,579,0.7041735947132111,351.13248705
122880,0.00345462,60,369.99,122880,2.10907,0.038085938,-0.0024832217,32.63053,207.3173475265503,586,0.7066938579082489,354.62832228
124928,0.0013622756,61,369.89,124928,2.1235976,0.009619141,-0.0011822807,31.733084,210.80780029296875,589,0.7316990196704865,354.58078273000007
126976,0.0012170485,62,360.5,126976,2.1276135,0.0051757814,-0.0017284993,28.685085,214.28123903274536,574,0.785077765583992,345.5121828
129024,0.0019491429,63,352.2,129024,2.1285737,0.017480468,-0.0030717456,28.185566,217.8485083580017,575,0.8015939742326736,337.6013394600001
131072,0.00126578,64,357.7,131072,2.1338096,0.008056641,-0.0015698591,33.51365,221.40751838684082,589,0.6621865928173065,342.94535691
133120,0.0041011,65,360.97,133120,2.1407974,0.049560547,-0.0053601624,34.218056,224.88459372520447,602,0.5362971723079681,346.0343403999999
135168,0.0027125382,66,350.02,135168,2.1496465,0.027978515,-0.0039474843,32.46915,228.28704261779785,595,0.6936213672161102,335.49647575
137216,0.0013049635,67,347.01,137216,2.1530519,0.006982422,-0.0014614522,30.057215,231.72918009757996,574,0.7209524214267731,332.48727329
139264,0.0018281009,68,342.3,139264,2.1539743,0.011572266,-0.0009873102,26.9016,235.29351234436035,562,0.8056730479001999,328.13723403000006
141312,0.002676279,69,335.19,141312,2.1607533,0.028515626,-0.0025090803,31.438328,238.93642449378967,578,0.6382507979869843,321.35733677
143360,0.001995184,70,338.12,143360,2.1759996,0.021191407,-0.0011333277,26.459284,242.4793417453766,576,0.8277188837528229,324.35375831
145408,0.0019668667,71,341.25,145408,2.177975,0.017724609,-0.003330386,21.827036,246.03194379806519,584,0.8816498443484306,327.45900416999996
147456,0.0023489862,72,349.12,147456,2.1777005,0.025,-0.0028898455,25.089401,249.5387933254242,547,0.8352905362844467,335.2542465
149504,0.0011243199,73,352.99,149504,2.1885228,0.009521484,-0.0007100572,23.245745,253.28103160858154,577,0.8578884452581406,339.20701361000005
151552,0.0012158441,74,362.88,151552,2.18385,0.009423828,-0.00376162,25.65121,256.8283259868622,591,0.7871532291173935,348.86684527000006
153600,0.0017704846,75,369.26,153600,2.1897042,0.015625,-0.001709375,22.454266,260.290225982666,569,0.8562459200620651,355.1304182100001
155648,0.0021185684,76,379.66,155648,2.2096527,0.01875,-0.0018455979,19.663164,263.8864960670471,577,0.9158790484070778,365.34270557
157696,0.0023422511,77,390.49,157696,2.2050476,0.018164063,-0.003254115,20.158138,267.4342255592346,562,0.905477985739708,375.93345854
159744,0.002543118,78,404.18,159744,2.2208743,0.027929688,-0.0047742617,19.477116,271.07380986213684,585,0.8877193033695221,389.10232437999997
161792,0.0005448262,79,412.58,161792,2.2397437,0.001171875,9.593349e-05,21.63388,274.57160806655884,582,0.7736601680517197,397.25726327000007
163840,0.0011846495,80,424.21,163840,2.2311397,0.006982422,-0.0012506103,27.313965,278.09075689315796,592,0.6658025979995728,408.55677008
165888,0.00094194926,81,435.21,165888,2.2299547,0.008300781,-0.0012186697,22.645958,281.55094051361084,583,0.7759779840707779,419.33352481000003
167936,0.00093517156,82,443.28,167936,2.229572,0.0043945312,-0.0005081332,21.924482,285.0621109008789,582,0.7957313358783722,427.15240466
169984,0.0035784747,83,455.68,169984,2.2191386,0.038330078,-0.0034383424,17.518112,288.5784955024719,569,0.9163721576333046,439.24295487
172032,0.0021617056,84,470.03,172032,2.2179034,0.019335937,-0.003442997,18.545753,292.1775977611542,545,0.8369893133640289,453.2553277199999
174080,0.0027960597,85,481.73,174080,2.227369,0.02841797,-0.0026046697,15.817963,295.92959690093994,574,0.93487399071455,464.6336645399999
176128,0.0015964918,86,496.6,176128,2.2410936,0.016162109,-0.0018097367,18.550503,299.4927759170532,565,0.8338313698768616,479.32533864
178176,0.0019399183,87,511.04,178176,2.2520318,0.01928711,-0.0021020037,16.588467,303.1122465133667,587,0.8597756028175354,493.31481774
180224,0.0031185977,88,525.0,180224,2.246941,0.03125,-0.0031636402,26.077896,306.59628033638,587,0.23269814252853394,506.9059891
182272,0.0024865516,89,537.13,182272,2.2482429,0.026660156,-0.0029367828,20.13956,310.08053278923035,589,0.6568537056446075,518.74649949
184320,0.0034685228,90,555.64,184320,2.2586303,0.03959961,-0.0009731451,17.950298,313.55403780937195,575,0.7778570801019669,536.65327958
186368,0.001731224,91,573.24,186368,2.2612083,0.01586914,-0.0012682949,21.780897,317.1144881248474,572,0.009063422679901123,554.0576970999999
188416,0.0037244721,92,584.9,188416,2.266936,0.04536133,-0.0029336927,19.711987,320.6926338672638,611,0.055263400077819824,565.3274480700001
190464,0.0038269921,93,600.64,190464,2.2799997,0.044189453,-0.0052890824,19.270105,324.0417056083679,596,0.7017358541488647,580.4875633500001
192512,0.003911975,94,613.16,192512,2.2850366,0.044287108,-0.0018377509,13.83827,327.4750232696533,584,0.7648185342550278,592.33469704
194560,0.0020098698,95,628.22,194560,2.2935576,0.017138671,-0.0015005384,17.141832,330.97726464271545,569,0.3470205068588257,606.88660034
196608,0.002843576,96,636.89,196608,2.3101819,0.026123047,-0.0025644726,11.455808,334.5761811733246,571,0.892403744161129,615.2924848099999
198656,0.0023067496,97,652.95,198656,2.3224947,0.022460938,-0.0008614203,18.449162,338.16046929359436,571,0.023262858390808105,630.98749744
200704,0.0019301074,98,667.62,200704,2.3229995,0.018603515,-0.0012313137,17.521795,341.74348402023315,576,0.20779049396514893,645.1988537499999
202752,0.004721562,99,685.34,202752,2.327771,0.057763673,-0.0038600028,18.196173,345.2946207523346,554,0.018368840217590332,662.5585631999999
204800,0.0026429319,100,702.31,204800,2.3374183,0.025390625,-0.00068735203,15.546167,348.98873567581177,548,0.39635562896728516,679.12087883
206848,0.002595967,101,719.8,206848,2.34061,0.029003907,-0.001482348,17.70483,352.7245304584503,555,0.038014769554138184,696.27987593
208896,0.001970556,102,738.1,208896,2.342285,0.01694336,-0.0011475716,16.672718,356.4130394458771,531,0.12808656692504883,714.2338614800001
210944,0.0018566109,103,754.29,210944,2.3348696,0.0128417965,8.960647e-05,15.628342,360.26966094970703,536,0.27613377571105957,729.9833600600001
212992,0.0018426748,104,773.55,212992,2.3343155,0.012353515,-0.0003714733,9.443904,364.0904552936554,567,0.8765048757195473,748.70307426
215040,0.0031959866,105,791.66,215040,2.3468907,0.03666992,-0.0020148058,11.711935,367.700945854187,583,0.934316448867321,765.9552336499999
217088,0.002228211,106,807.91,217088,2.3626387,0.021044921,-0.0005759854,10.297071,371.2107319831848,559,0.8208590298891068,781.7044551499998
219136,0.0008091984,107,821.08,219136,2.3634777,0.003515625,6.340749e-05,8.92869,374.8696913719177,564,0.9501653052866459,794.21625395
221184,0.0027855774,108,836.14,221184,2.3609176,0.026416015,-0.0028548734,6.7267137,378.496435880661,570,0.9772657752037048,808.6429599100001
223232,0.0030234777,109,849.66,223232,2.3587084,0.028515626,-0.0018398261,15.436015,382.08664083480835,581,0.12672293186187744,821.82588539
225280,0.0013731899,110,861.14,225280,2.3508024,0.008056641,-8.249332e-05,8.133815,385.6124007701874,587,0.971293680369854,832.6115912700001
227328,0.0031490184,111,881.18,227328,2.3447044,0.030419922,-0.004973992,7.0628533,389.09689497947693,577,0.983649643138051,851.72907541
229376,0.002376529,112,898.05,229376,2.3346853,0.020117188,-0.0010354833,16.463026,392.64495158195496,587,0.010408580303192139,868.4310716400001
231424,0.0038316962,113,915.04,231424,2.3394725,0.043359376,-0.0026942906,13.69801,396.13209080696106,596,0.30690330266952515,885.06322449
233472,0.0045817555,114,925.77,233472,2.3618205,0.05678711,-0.0074768513,6.183593,399.56725692749023,589,0.8911564648151398,895.5925421199998
235520,0.0026628377,115,944.06,235520,2.3736262,0.026660156,-0.0013917857,26.99212,403.04007863998413,607,0.09207367897033691,913.4003297000002
237568,0.00364547,116,958.25,237568,2.3937535,0.03959961,-0.0027209532,24.05676,406.4141480922699,612,0.2950611710548401,927.3024482999998
239616,0.0042752824,117,974.17,239616,2.4151413,0.051416017,-0.0031002802,16.118631,409.76016879081726,566,0.010815024375915527,943.0359528399998
241664,0.0020463201,118,991.93,241664,2.4262693,0.015283203,-0.00092055445,16.202013,413.3777997493744,589,0.002124309539794922,960.40129584
243712,0.0033710971,119,1009.74,243712,2.4271216,0.036230467,-0.0026151717,16.21048,416.85102581977844,581,-0.0009237527847290039,977.94688947
245760,0.0014500779,120,1026.37,245760,2.439233,0.0128417965,-1.2494222e-05,15.122948,420.3760917186737,574,0.1299436092376709,994.34170939
247808,0.0033903744,121,1043.29,247808,2.4452395,0.038085938,-0.0025811626,20.874884,423.94384026527405,580,0.9613821096718311,1010.41323659
249856,0.0041979896,122,1058.69,249856,2.4507668,0.046679687,-0.0012486571,13.83975,427.4751102924347,594,0.31983113288879395,1025.5397767499999
251904,0.0003256172,123,1076.34,251904,2.4642758,0.0005859375,0.00016162012,15.987615,430.92178320884705,581,0.03528326749801636,1042.8901894399999
253952,0.003493602,124,1091.59,253952,2.468465,0.041259766,-0.0026460104,16.354633,434.4462585449219,573,0.02113443613052368,1058.0858606799998
256000,0.00898529,125,1109.47,256000,2.4697754,0.12939453,-0.004430049,16.555767,438.01821660995483,552,0.005475521087646484,1075.87895938
258048,0.002599904,126,1127.58,258048,2.4565635,0.025097657,-0.0013720845,14.785242,441.7247803211212,569,0.1769842505455017,1093.6364285
260096,0.0020951892,127,1144.06,260096,2.4442997,0.017431641,9.1478476e-05,16.360346,445.3234465122223,574,0.024086177349090576,1109.87064734
262144,0.0042889654,128,1159.83,262144,2.4456618,0.049316406,-0.0020401261,13.273326,448.89205026626587,571,0.37648940086364746,1125.2133149899998
264192,0.0048795044,129,1174.52,264192,2.4435885,0.059765626,-0.0027931076,15.676091,452.4750192165375,565,0.09577280282974243,1139.48521171
266240,0.0027483804,130,1190.11,266240,2.4379427,0.027978515,-0.00075645815,16.922707,456.0943765640259,568,0.007025659084320068,1154.95910463
268288,0.0019834212,131,1205.93,268288,2.4357426,0.015478516,-0.00036391825,16.112974,459.69554257392883,574,0.12114012241363525,1170.53871458
270336,0.0036550132,132,1221.91,270336,2.4436154,0.04423828,-0.0011243398,16.62089,463.25888228416443,562,0.055670201778411865,1186.39302749
272384,0.006962517,133,1236.84,272384,2.4560504,0.08935547,-0.005359916,17.542355,466.8983266353607,576,-0.0019047260284423828,1201.31844013
274432,0.0058363494,134,1254.52,274432,2.473566,0.07768555,-0.0018408543,17.869213,470.4523527622223,566,-0.0003832578659057617,1219.00750929
276480,0.00091371604,135,1270.07,276480,2.4796789,0.0076171877,0.00015879827,17.385128,474.0672585964203,569,0.028449714183807373,1234.42751086
278528,0.0030316734,136,1282.87,278528,2.482569,0.030273438,-0.0014269107,16.496199,477.66494059562683,576,0.11903393268585205,1247.18046668
280576,0.0037485722,137,1298.43,280576,2.4708564,0.03881836,-0.0012012718,18.046022,481.2186200618744,572,0.01585566997528076,1262.6419841400002
282624,0.0028630183,138,1314.48,282624,2.469274,0.03261719,5.4092583e-05,18.642584,484.7982060909271,566,-0.006403088569641113,1278.6768207300001
284672,0.0033517391,139,1330.59,284672,2.4663622,0.031396486,-0.0010774692,18.257221,488.41735219955444,570,0.021646857261657715,1294.7237154000002
286720,0.0025749924,140,1345.49,286720,2.4582415,0.021582032,-0.00070514204,17.858633,492.0095899105072,575,0.06494021415710449,1309.55825514
288768,0.00051396014,141,1360.98,288768,2.4565377,0.00024414062,0.00054020697,18.371452,495.56978964805603,571,0.029936254024505615,1325.0105215400001
290816,0.0053372025,142,1375.85,290816,2.4579666,0.06772461,-0.0025850325,18.830673,499.15373730659485,576,0.03319132328033447,1339.9669931000003
292864,0.0024715061,143,1388.19,292864,2.4621947,0.017529298,-0.00091142766,18.152601,502.7072505950928,572,0.10080325603485107,1352.29063631
294912,0.0024036071,144,1405.01,294912,2.4593644,0.019921875,-0.00095332257,18.580101,506.283983707428,569,0.06218254566192627,1369.04438167
296960,0.0049879155,145,1422.77,296960,2.4553528,0.062109374,-0.0018133076,19.690306,509.8840310573578,579,-0.0024230480194091797,1386.76549383
299008,0.0031779346,146,1437.34,299008,2.4504185,0.02734375,-0.001430317,19.68113,513.4183857440948,568,-0.011638164520263672,1401.42244889
301056,0.004352484,147,1454.09,301056,2.4485936,0.049462892,-0.0027301922,19.637749,517.0210053920746,567,-0.0018634796142578125,1418.12285322
303104,0.0057603056,148,1464.25,303104,2.4465883,0.074121095,-0.0016774066,19.607054,520.6287982463837,567,-0.002514958381652832,1428.38204825
305152,0.0017542584,149,1480.0,305152,2.4566205,0.013818359,-9.320236e-05,19.57179,524.2358167171478,570,0.002004384994506836,1444.2034917400001
307200,0.002015209,150,1495.44,307200,2.482768,0.019873047,-0.0007599746,19.583864,527.828052520752,569,0.004237949848175049,1459.6894197899999
309248,0.004371417,151,1508.62,309248,2.4966931,0.050097656,-0.0013475417,19.869612,531.4242036342621,562,-0.003214597702026367,1473.0476300699997
311296,0.0027666052,152,1521.52,311296,2.4736068,0.019677734,-0.0021919035,19.640558,535.0675926208496,560,0.015405356884002686,1486.0339455499998
313344,0.0035407543,153,1535.48,313344,2.4570022,0.03203125,-0.0011912581,19.742355,538.7210161685944,559,0.003404676914215088,1499.9628176
315392,0.0038285677,154,1547.86,315392,2.468017,0.042919923,-0.0021967704,19.811764,542.3815093040466,564,0.007219552993774414,1512.4450715000003
317440,0.0054572774,155,1561.34,317440,2.4790382,0.06713867,-0.0051609958,19.33695,546.0114614963531,566,0.047173917293548584,1525.9419326800003
319488,0.0038513143,156,1572.76,319488,2.4863403,0.045410156,-0.00037478007,20.040525,549.6271991729736,542,0.0005826950073242188,1537.5384816300002
321536,0.0064642862,157,1590.27,321536,2.4819078,0.08339844,-0.0020643002,20.05096,553.4041404724121,564,0.002550184726715088,1555.1136692500002
323584,0.0016219424,158,1603.05,323584,2.4717517,0.009960937,0.0004701332,20.090775,557.0350532531738,567,-0.0004553794860839844,1568.00437358
325632,0.001609965,159,1620.32,325632,2.4751594,0.011230469,0.00011044242,19.910679,560.6441848278046,556,0.01424640417098999,1585.2797975600001
327680,0.0047616414,160,1635.29,327680,2.478493,0.058691405,-0.004398615,20.177425,564.324056148529,565,0.0038909316062927246,1600.2538025500003
329728,0.004172151,161,1649.48,329728,2.4699283,0.04501953,-0.0019733391,20.168571,567.9468188285828,567,0.004160463809967041,1614.6496367900002
331776,0.003208163,162,1664.2,331776,2.4684157,0.032958984,-0.00017157228,20.051342,571.5571677684784,566,0.011999726295471191,1629.51738997
333824,0.0030229469,163,1678.47,333824,2.4795828,0.0328125,0.00073286414,20.363754,575.1752460002899,559,0.002876877784729004,1643.85374251
335872,0.0024355317,164,1692.71,335872,2.4772763,0.023046875,-0.0006084511,19.178535,578.8333163261414,575,0.09515762329101562,1658.0664445300001
337920,0.0055395574,165,1707.39,337920,2.4823685,0.07128906,-0.0018859904,19.91746,582.3944771289825,568,0.0283128023147583,1672.77982537
