serial_timesteps,policy_entropy,fps,total_timesteps,ep_reward_mean,explained_variance,ep_len_mean,time_elapsed,policy_loss,approxkl,value_loss,clipfrac,n_updates
473088,1.7998152,483,473088,700.4522301100001,0.6868284940719604,1170.94,1019.6624014377594,-0.0044666613,0.0039942325,10.74685,0.045898438,231
475136,1.7934647,511,475136,704.5246396000001,0.7028447687625885,1174.9,1023.8955562114716,-0.0019181318,0.0043289945,10.041315,0.043798827,232
477184,1.7847688,498,477184,713.20517642,0.7239468097686768,1186.51,1027.8970911502838,-0.0024624378,0.006273589,9.125003,0.078027345,233
479232,1.7790606,483,479232,707.3715229100001,0.805153951048851,1176.67,1032.006504058838,-0.00021668515,0.004133663,6.952745,0.047949217,234
481280,1.7763865,483,481280,719.2404799400001,0.7046051919460297,1193.47,1036.2427871227264,-0.002608888,0.0053666313,15.307302,0.06352539,235
483328,1.7714932,477,483328,722.39793535,0.7497567236423492,1195.84,1040.4788677692413,-0.004157428,0.0045639533,9.987727,0.053710938,236
485376,1.7653084,486,485376,731.5172733800001,0.7995748370885849,1207.91,1044.7731485366821,-0.0002222573,0.0035841241,8.566375,0.0359375,237
487424,1.768766,488,487424,735.0323735400001,0.6973780691623688,1211.69,1048.9873774051666,-0.0027377217,0.0066396953,16.003155,0.07216797,238
489472,1.7789757,502,489472,735.29220099,0.6512031257152557,1211.25,1053.1768498420715,-0.0020990989,0.0038342152,23.665262,0.039355468,239
491520,1.7848928,505,491520,739.3174448900002,0.8321269601583481,1216.28,1057.2494719028473,-0.004426726,0.0045572603,6.2981005,0.04609375,240
493568,1.7855412,489,493568,730.8251286800001,0.7443601489067078,1198.2,1061.303349494934,-0.0053847814,0.0042974087,18.624815,0.051855467,241
495616,1.7810061,426,495616,739.8113448800001,0.6709730625152588,1210.42,1065.4842975139618,0.00040139194,0.004098413,10.205875,0.04121094,242
497664,1.7790035,482,497664,741.1206304599999,0.7940104752779007,1210.42,1070.2815582752228,-0.0016573581,0.005066637,8.479933,0.061425783,243
499712,1.784632,502,499712,742.4363689,0.7512352913618088,1210.42,1074.5251965522766,-0.007932921,0.005481529,8.3137455,0.066259764,244
501760,1.7959707,500,501760,750.09819909,0.8367328643798828,1222.98,1078.6032547950745,-0.0063011884,0.004240717,6.1284647,0.046533205,245
503808,1.7926384,497,503808,750.78379632,0.6964737772941589,1222.98,1082.6937835216522,0.0016631853,0.005766847,9.517048,0.06435547,246
505856,1.7759006,468,505856,751.6630912599999,0.7668623924255371,1222.98,1086.807698726654,-0.0012066546,0.0068712095,8.9347315,0.07739258,247
507904,1.7688675,465,507904,752.93045914,0.7510374337434769,1222.98,1091.1780042648315,-0.003848277,0.0061740647,10.435653,0.064697266,248
509952,1.7777693,478,509952,766.2976255100001,0.7315473556518555,1242.91,1095.5804421901703,-0.0015549387,0.005378443,9.6104145,0.06660156,249
512000,1.7788948,479,512000,779.5254722200001,0.7692453563213348,1262.85,1099.8623480796814,-0.00024873725,0.004249796,8.460147,0.04838867,250
514048,1.7768109,482,514048,793.0013253999999,0.6155905723571777,1282.77,1104.1356267929077,-0.00042818565,0.005636488,10.9396715,0.06738281,251
516096,1.7722054,491,516096,811.26109743,0.6487337350845337,1310.81,1108.3841845989227,-0.004164549,0.004702305,15.99295,0.055761717,252
518144,1.7723637,482,518144,824.6061055,0.5831141769886017,1330.68,1112.5545330047607,0.0016436086,0.0039932537,12.202229,0.0453125,253
520192,1.7776476,492,520192,838.3329151199999,0.7433578670024872,1350.58,1116.7992420196533,-0.00018762544,0.004172139,9.536858,0.047216795,254
522240,1.7776722,504,522240,852.0709614699999,0.6757462620735168,1370.46,1120.9624736309052,-0.0007528389,0.0054711355,11.731738,0.06113281,255
524288,1.7633953,480,524288,846.3573392199999,0.8107029050588608,1360.36,1125.0217781066895,-0.0041387836,0.0069759376,7.7582984,0.07143555,256
526336,1.7481964,482,526336,847.9324552899999,0.7219123542308807,1360.36,1129.2840130329132,-0.0028914001,0.0042428854,12.860019,0.051464844,257
528384,1.7410711,513,528384,861.0516150399998,0.7971171438694,1380.25,1133.5280179977417,-0.0022643479,0.0066772117,8.307855,0.08208008,258
530432,1.7469537,499,530432,869.7618549199999,0.7817413508892059,1391.11,1137.5159132480621,-0.0018312646,0.006790705,9.057108,0.07792969,259
532480,1.7582228,485,532480,882.7135766099999,0.745021641254425,1411.01,1141.6148927211761,-0.0016692614,0.0033470136,11.044431,0.039257813,260
534528,1.7660167,480,534528,896.4990029799999,0.7486814558506012,1430.96,1145.8327300548553,-0.002960697,0.005865675,8.879365,0.06962891,261
536576,1.7685976,501,536576,902.0808440999998,0.7613355666399002,1437.67,1150.0920238494873,-0.00058343576,0.004573831,8.943092,0.050634764,262
538624,1.76916,475,538624,900.0652772799999,0.7321975827217102,1432.15,1154.17644572258,-0.0028005068,0.004671593,20.752544,0.05053711,263
540672,1.7581984,483,540672,907.2754198199999,0.710519403219223,1441.02,1158.4816706180573,-0.00064117473,0.0040233796,9.784592,0.046484374,264
542720,1.7605588,497,542720,916.38891945,0.7493718266487122,1452.1,1162.7147343158722,1.3737159e-05,0.0056318627,8.680917,0.06914063,265
