n_updates,explained_variance,fps,ep_reward_mean,serial_timesteps,time_elapsed,approxkl,policy_loss,clipfrac,total_timesteps,ep_len_mean,policy_entropy,value_loss
41,0.07419544458389282,560,235.59679464935064,83968,147.58787727355957,0.004190015,-0.0016425878,0.048046876,83968,1083.1298701298701,1.5015761,0.88130206
42,0.025401532649993896,525,239.0576733076923,86016,151.24286937713623,0.003941161,-0.0020803348,0.04511719,86016,1095.5128205128206,1.5137506,0.9948928
43,0.046137988567352295,505,242.55226025316458,88064,155.1433925628662,0.0042448607,2.1140859e-05,0.050732423,88064,1107.5822784810127,1.5331336,1.0824438
44,0.042542457580566406,533,246.0465965875,90112,159.1994013786316,0.00456309,-0.0022247648,0.05546875,90112,1119.35,1.5470486,1.0411227
45,0.012294173240661621,562,249.63682055555554,92160,163.03688716888428,0.0028926688,-0.0009854387,0.028515626,92160,1130.8271604938273,1.5568513,1.1003083
46,0.08321040868759155,563,253.07832285365853,94208,166.68162322044373,0.006292498,-0.0014313722,0.07890625,94208,1142.0243902439024,1.5688703,1.1294508
47,0.03346329927444458,553,256.47391186746984,96256,170.31616115570068,0.0039540194,-0.0011043502,0.0421875,96256,1152.9518072289156,1.5855505,1.1365428
48,0.07343989610671997,560,259.705554797619,98304,174.01471543312073,0.0030394907,-0.0011634117,0.03100586,98304,1163.6190476190477,1.5953041,1.0861019
49,0.05044257640838623,551,262.8165364352941,100352,177.67030310630798,0.0044332244,-0.0023520968,0.055322267,100352,1174.035294117647,1.6006355,1.0911291
50,-0.009946703910827637,564,265.8087800232558,102400,181.38296747207642,0.0035145425,-0.002193387,0.039160155,102400,1184.2093023255813,1.6145064,1.1193476
51,0.04480713605880737,511,268.6653951149425,104448,185.01368498802185,0.0063785193,-0.0033042773,0.08115234,104448,1194.1494252873563,1.6208509,1.0917276
52,0.043041884899139404,507,271.3658607954545,106496,189.02047300338745,0.0026278533,0.00051323243,0.023974609,106496,1203.8636363636363,1.6180748,1.1076475
53,0.0464475154876709,553,273.92819153932584,108544,193.06046867370605,0.003279765,-0.0004777285,0.033154298,108544,1213.3595505617977,1.6199051,1.1407813
54,0.03569340705871582,576,276.40327644444443,110592,196.7607867717743,0.0036387742,0.0005066543,0.042773437,110592,1222.6444444444444,1.6277487,1.1348022
55,0.013275086879730225,577,278.73187185714283,112640,200.31148600578308,0.005294667,-0.001104488,0.06171875,112640,1231.7252747252746,1.6381048,1.1034421
56,0.037025630474090576,561,281.00485971739124,114688,203.85934782028198,0.0047833733,-0.00051399594,0.056933593,114688,1240.608695652174,1.6513189,1.1576719
57,0.01725703477859497,581,283.23312895698916,116736,207.50401973724365,0.004319587,-0.0015451976,0.04897461,116736,1249.3010752688172,1.6518059,1.1357923
58,0.04835540056228638,576,285.4018156170212,118784,211.02813720703125,0.0032901764,-0.0012756295,0.033837892,118784,1257.8085106382978,1.6485255,1.0804747
59,0.04035884141921997,583,287.4897851263157,120832,214.57835745811462,0.0045319768,-0.0018401782,0.05024414,120832,1266.1368421052632,1.6500652,1.0904759
60,-0.028380393981933594,578,289.54576719791663,122880,218.08635759353638,0.0042826026,-0.00087829866,0.050146483,122880,1274.2916666666667,1.656784,1.156325
61,0.03464537858963013,588,291.56179091752574,124928,221.62970066070557,0.003358564,1.6488531e-05,0.036035158,124928,1282.278350515464,1.6662527,1.0771959
62,0.01274019479751587,583,293.5046549897959,126976,225.10767674446106,0.003918852,-0.0010309825,0.047265626,126976,1290.1020408163265,1.6697941,1.0914538
63,0.0069768428802490234,578,295.35168867676765,129024,228.6175353527069,0.0035106118,-0.00056692166,0.038964845,129024,1297.7676767676767,1.6830599,1.0866177
64,-0.009376287460327148,557,297.35216078999997,131072,232.16063404083252,0.0024804135,0.0005887051,0.024267578,131072,1305.28,1.6946123,1.1244866
65,0.03857451677322388,539,301.76247507,133120,235.83593845367432,0.0044616377,-0.0013935328,0.052441407,133120,1322.97,1.7030611,1.13099
66,0.05743366479873657,530,305.924935,135168,239.63159203529358,0.004441903,-0.002488059,0.055615235,135168,1338.72,1.7176409,1.1084868
67,0.05460256338119507,569,310.15080608,137216,243.49335289001465,0.0037223995,-0.0004173965,0.040527344,137216,1354.78,1.7292726,1.0956106
68,-0.007431983947753906,610,314.14080758000006,139264,247.09306836128235,0.006046888,-0.0018977976,0.078027345,139264,1369.78,1.7322687,1.1353171
69,0.02483057975769043,598,317.73574866,141312,250.44765949249268,0.003121695,-0.0006790655,0.029052734,141312,1382.85,1.73944,1.2147526
70,0.03489595651626587,550,321.44369198,143360,253.87230920791626,0.004172968,-0.001274388,0.04873047,143360,1396.25,1.7453133,1.1504875
71,0.016105473041534424,573,325.65744516,145408,257.59335947036743,0.003656963,-0.0024504648,0.041992188,145408,1411.97,1.7550472,1.2258428
72,0.07922124862670898,573,329.76286985,147456,261.16585779190063,0.005296648,-0.0025310698,0.068115234,147456,1426.97,1.7623463,1.1656549
73,0.07499831914901733,562,334.65908895,149504,264.7375273704529,0.0044694957,-0.0017829199,0.054736327,149504,1445.36,1.7771022,1.2381102
74,0.004619419574737549,542,336.67802391000004,151552,268.3820288181305,0.005735203,-0.002549311,0.0769043,151552,1451.47,1.7935905,1.3066266
75,0.09100538492202759,542,341.35752492000006,153600,272.15670800209045,0.0037060704,-0.0020369967,0.039501954,153600,1468.34,1.8022296,1.1820252
76,0.12242281436920166,526,345.67596441,155648,275.9339015483856,0.004140163,-0.0028158012,0.04897461,155648,1483.06,1.7966583,1.283766
77,0.1316598653793335,545,350.51143447000004,157696,279.8249981403351,0.0051382887,-0.002679002,0.06289063,157696,1499.66,1.7994277,1.2457777
78,0.09151208400726318,577,355.10280677000003,159744,283.58194756507874,0.0044289785,-0.0006353576,0.050390624,159744,1516.05,1.801843,1.2705394
79,0.06261664628982544,590,360.09597370000006,161792,287.13163805007935,0.0033795037,-0.000486869,0.035205077,161792,1533.88,1.8056681,1.3771493
80,0.12706047296524048,553,365.02866846000006,163840,290.6013731956482,0.0049364297,-0.0023424155,0.0637207,163840,1551.61,1.8073753,1.3291351
81,0.18098092079162598,541,369.19102245,165888,294.29935359954834,0.005839361,-0.00452838,0.07421875,165888,1566.61,1.8169914,1.3286388
82,0.18910843133926392,554,373.2394483,167936,298.08447313308716,0.0046068886,-0.0022832267,0.055273436,167936,1581.15,1.8356378,1.337804
83,0.2930447459220886,557,378.13672879999996,169984,301.7785665988922,0.006725108,-0.0037522255,0.084179685,169984,1598.19,1.8390236,1.3599999
84,0.25607168674468994,552,382.09134413,172032,305.4534182548523,0.0035362993,-0.002011035,0.038476564,172032,1611.36,1.8376515,1.4954404
85,0.20564782619476318,545,383.60319774000004,174080,309.16415762901306,0.0043724524,-0.00078531087,0.05283203,174080,1614.0,1.827578,1.5680387
86,0.2862361669540405,550,389.00159878,176128,312.9180190563202,0.0040649823,-0.0019193019,0.047509767,176128,1631.73,1.8176901,1.5224651
87,0.20124709606170654,516,394.57460712,178176,316.64207792282104,0.0063660694,-0.0028910197,0.084375,178176,1649.93,1.8236239,1.4898906
88,0.2703828811645508,520,400.3986841,180224,320.60412979125977,0.004291012,-0.00078224915,0.049902342,180224,1668.76,1.8381224,1.6647208
89,0.2983526587486267,512,406.30394014000007,182272,324.53698539733887,0.0059004948,-0.002228276,0.07509766,182272,1686.99,1.8417513,1.7662233
90,0.2578049898147583,501,412.0255049200001,184320,328.5352084636688,0.00491934,-0.0010855056,0.057763673,184320,1705.2,1.8506739,1.5619776
91,0.2438623309135437,541,417.96717025000004,186368,332.61642360687256,0.0053451853,-0.0029821668,0.06611328,186368,1724.03,1.8578179,1.7492008
92,0.29684364795684814,538,423.53905559,188416,336.4022080898285,0.0029212357,-0.0017705997,0.027246093,188416,1740.78,1.8546158,1.6602728
93,0.3057634234428406,537,429.42529219000005,190464,340.20905685424805,0.0043639233,-0.0019108066,0.051123045,190464,1757.24,1.8377594,1.808165
94,0.3245810866355896,539,434.4952336500001,192512,344.0207188129425,0.0050792797,-0.0016750982,0.057910156,192512,1770.56,1.8327099,1.8435602
95,0.2637630105018616,537,440.8569230400001,194560,347.8201313018799,0.0062282407,-0.003740775,0.080322266,194560,1789.41,1.8434479,1.9507002
96,0.34136801958084106,505,447.47213673,196608,351.62816739082336,0.003957928,-0.0008449791,0.04458008,196608,1807.91,1.8508978,2.0887005
97,0.41429752111434937,541,453.8856690200001,198656,355.6789426803589,0.0038747739,-0.0013433322,0.046484374,198656,1825.52,1.8555834,1.9048086
98,0.3804117441177368,545,457.68004361000004,200704,359.46193504333496,0.004935407,-0.0035961405,0.05859375,200704,1831.79,1.8571103,2.3061023
99,0.3887908458709717,543,464.6174981100001,202752,363.21938586235046,0.0037677798,-0.0012199042,0.04135742,202752,1849.75,1.84501,2.8154435
100,0.3844016194343567,515,472.4649325800001,204800,366.9857716560364,0.0043581645,-0.0025288595,0.05078125,204800,1868.69,1.8378961,4.1468797
101,0.45017242431640625,479,476.7687815500001,206848,370.9636070728302,0.0039944397,-0.0034625873,0.045166016,206848,1872.39,1.849128,3.270005
102,0.44018983840942383,549,483.98583705,208896,375.235107421875,0.004651092,-0.0034077547,0.056103516,208896,1886.89,1.8613476,4.1130495
103,0.45536917448043823,554,490.29181800000003,210944,378.96591687202454,0.0034756237,-0.0024512454,0.040625,210944,1896.36,1.8622549,4.4461684
104,0.42950981855392456,543,497.61407091,212992,382.65875363349915,0.0049662935,-0.0033694035,0.066259764,212992,1912.65,1.8621197,3.4669964
105,0.4789115786552429,541,501.30964711000007,215040,386.4250922203064,0.0031905554,-0.0024318406,0.032226562,215040,1912.65,1.8626379,2.8166952
106,0.4381359815597534,547,509.4233297200001,217088,390.2073528766632,0.002478961,-0.00092975656,0.019238282,217088,1930.41,1.8537159,3.674108
