policy_loss,fps,total_timesteps,clipfrac,n_updates,approxkl,time_elapsed,policy_entropy,serial_timesteps,value_loss,explained_variance,ep_reward_mean,ep_len_mean
-0.0063622827,169,178176,0.05419922,87,0.0052937646,1203.7489776611328,4.2018003,178176,2.4084814,0.9630154818296432,1048.78409568,1290.24
-0.0044502006,168,180224,0.056005858,88,0.0049535744,1215.8207931518555,4.18353,180224,4.351239,0.95070656016469,1065.0254238100001,1305.68
-0.0043554143,114,182272,0.047460936,89,0.0037886165,1227.948070526123,4.183963,182272,14.741246,0.8620874285697937,1076.4830253700002,1318.56
-0.005786848,175,184320,0.049316406,90,0.0048036436,1245.9114077091217,4.183401,184320,2.4924207,0.9645613431930542,1082.9395566200003,1326.49
-0.0072713913,179,186368,0.05493164,91,0.0049321386,1257.571120262146,4.1919303,186368,2.9879494,0.9635587632656097,1087.4906874800001,1331.2
-0.0053027673,170,188416,0.058886718,92,0.0050523602,1268.9618108272552,4.1974964,188416,2.836418,0.960844624787569,1103.27336912,1347.71
-0.0037630752,120,190464,0.026464844,93,0.0026402615,1280.943698644638,4.2022657,190464,13.065457,0.918946161866188,1090.84324217,1334.27
-0.00674247,175,192512,0.066259764,94,0.0056998846,1297.8956007957458,4.20211,192512,3.9494328,0.9547216556966305,1087.4977167799998,1331.2
-0.0051040114,165,194560,0.06738281,95,0.006325406,1309.5348711013794,4.1862555,194560,2.8467712,0.9614950940012932,1102.6833671699999,1346.9
-0.002891911,178,196608,0.05205078,96,0.004794488,1321.8836131095886,4.1639795,196608,2.4172297,0.9634383507072926,1107.7236659999999,1351.68
-0.0076603694,170,198656,0.047070313,97,0.004685669,1333.3605477809906,4.1519237,198656,3.3210595,0.96269865706563,1108.0888398300003,1351.67
-0.004006253,175,200704,0.053759765,98,0.0047966777,1345.3636059761047,4.155204,200704,6.6587167,0.7674820423126221,1122.2719667800002,1366.45
-0.0049400465,189,202752,0.06621094,99,0.0062255627,1357.0528502464294,4.137492,202752,1.5393195,0.9760015122592449,1130.764041,1379.11
-0.009354756,138,204800,0.060595702,100,0.0058965916,1367.8773415088654,4.1326065,204800,7.9789963,0.9538227804005146,1147.50866015,1395.52
-0.0057536205,185,206848,0.06347656,101,0.005590985,1382.6779961585999,4.141551,206848,2.4503446,0.9659182503819466,1160.79607812,1408.45
-0.008148784,165,208896,0.050683595,102,0.004917606,1393.742115020752,4.1411924,208896,5.0287733,0.951265636831522,1176.7898593700002,1424.05
-0.006687563,174,210944,0.091845706,103,0.008277194,1406.0852310657501,4.1376443,210944,2.400721,0.9631388336420059,1189.82064257,1439.47
-0.0073099784,177,212992,0.0519043,104,0.005027418,1417.8049221038818,4.1105323,212992,2.4480193,0.9638606980443001,1206.6731621000001,1456.15
-0.0070424452,170,215040,0.053759765,105,0.005121737,1429.3381605148315,4.103649,215040,2.5113065,0.9690312426537275,1224.78731053,1474.56
-0.009241269,177,217088,0.06035156,106,0.0050800117,1441.3458533287048,4.1103487,217088,3.0219445,0.9576527252793312,1240.0320449100002,1489.09
-0.007917303,165,219136,0.049902342,107,0.0050126505,1452.914255142212,4.109094,219136,2.9523897,0.9675401374697685,1255.8450566299998,1504.69
-0.0061049806,149,221184,0.043945312,108,0.003813489,1465.25736951828,4.1117144,221184,9.413888,0.9061597213149071,1277.21989452,1529.72
-0.0046075126,182,223232,0.041796874,109,0.003956593,1478.955979347229,4.1166515,223232,5.0659237,0.9405736811459064,1278.85085155,1530.79
-0.007164748,171,225280,0.04091797,110,0.0034613968,1490.1777918338776,4.1164427,225280,5.5567126,0.910211592912674,1279.73934374,1536.0
-0.00678275,171,227328,0.06992187,111,0.00584278,1502.1494495868683,4.1081543,227328,2.6784441,0.9612597264349461,1292.23205858,1551.81
-0.002093946,170,229376,0.034179688,112,0.0033925376,1514.1247427463531,4.106264,229376,4.4170713,0.8212531358003616,1308.75567382,1567.65
-0.006907462,169,231424,0.07265625,113,0.0059582237,1526.138771533966,4.1122165,231424,6.6228685,0.9303358718752861,1323.57196483,1588.94
-0.0072526387,186,233472,0.0519043,114,0.0053903395,1538.2348096370697,4.0896344,233472,1.3436439,0.9786827489733696,1329.4358613100003,1597.44
-0.003971316,166,235520,0.04609375,115,0.0042379815,1549.2338869571686,4.0661263,235520,2.3919396,0.9622996598482132,1346.08865624,1613.43
-0.008061851,164,237568,0.059570312,116,0.0051963907,1561.5625624656677,4.062535,237568,3.0866466,0.9667515940964222,1350.74420506,1617.92
-0.0070232786,174,239616,0.07768555,117,0.006718205,1574.0018599033356,4.0769625,239616,4.109134,0.9510204158723354,1365.9339902099998,1633.75
-0.007808055,165,241664,0.053222656,118,0.0044989716,1585.7125895023346,4.091933,241664,2.8506265,0.9674184061586857,1381.0803925600003,1651.84
-0.0071540973,166,243712,0.07792969,119,0.007675983,1598.0835435390472,4.0935493,243712,2.6377575,0.9636264704167843,1392.31004881,1662.0
-0.0057822457,165,245760,0.06567383,120,0.0054641515,1610.4209532737732,4.092256,245760,4.6457634,0.8792834579944611,1409.2806425600002,1679.36
-0.0049775774,201,247808,0.072949216,121,0.0068151727,1622.7886366844177,4.0718017,247808,1.56692,0.9777229018509388,1404.39536717,1679.36
-0.0041211345,146,249856,0.053613283,122,0.0049724616,1632.9774165153503,4.0492506,249856,2.572533,0.9653603732585907,1418.33690819,1691.06
-0.0051822783,163,251904,0.036474608,123,0.0037271944,1646.9199059009552,4.024565,251904,2.42032,0.9630735889077187,1428.7186406100002,1699.84
-0.008213187,177,253952,0.09677734,124,0.007951534,1659.4249517917633,3.988711,253952,2.3951793,0.962338175624609,1430.0485624799999,1699.84
-0.005894312,177,256000,0.051513672,125,0.004741155,1670.959510087967,3.9610715,256000,2.3768914,0.9638281650841236,1430.1992753700001,1699.84
-0.008060991,165,258048,0.04375,126,0.0042647943,1682.498239994049,3.9519563,258048,2.4586833,0.9690851327031851,1431.7482812300002,1699.84
-0.0071404898,181,260096,0.047216795,127,0.0041121235,1694.8766593933105,3.9704986,260096,2.7426088,0.9659961462020874,1432.28269139,1699.84
-0.0055123447,165,262144,0.058300782,128,0.0049195155,1706.1683852672577,3.9727795,262144,2.6627839,0.9645200446248055,1432.21115037,1699.84
-0.008861162,165,264192,0.051171876,129,0.005507455,1718.5120074748993,3.9529972,264192,2.5592399,0.9650048017501831,1434.26725779,1699.84
-0.005793083,165,266240,0.06416015,130,0.005699485,1730.9219090938568,3.9472096,266240,3.0858111,0.963188961148262,1434.4861679499998,1699.84
-0.0046619247,178,268288,0.053808592,131,0.005080849,1743.269896030426,3.9415097,268288,2.4203343,0.9639049209654331,1433.68082225,1699.84
-0.0064830715,174,270336,0.06333008,132,0.0064022145,1754.729570388794,3.9105592,270336,2.6387696,0.9622335806488991,1449.91934178,1715.4
-0.009822617,174,272384,0.07060547,133,0.00885112,1766.4978172779083,3.8914635,272384,2.4386888,0.960888396948576,1455.0287109199999,1720.32
-0.008139915,175,274432,0.04638672,134,0.0046537886,1778.2062015533447,3.8871617,274432,2.817282,0.9625051058828831,1471.7162245900001,1736.18
-0.0051844185,177,276480,0.058935545,135,0.0067925258,1789.8841576576233,3.8814209,276480,2.4302652,0.9619879573583603,1476.6598847399998,1740.8
-0.0023004343,169,278528,0.039013673,136,0.0041517997,1801.4512686729431,3.8612106,278528,2.6627886,0.9634289555251598,1477.7186991899998,1740.8
-0.0066715665,173,280576,0.04838867,137,0.004627879,1813.5262293815613,3.8520935,280576,2.5684218,0.9644727893173695,1478.4365702899997,1740.8
