policy_loss,serial_timesteps,policy_entropy,fps,time_elapsed,value_loss,clipfrac,explained_variance,approxkl,n_updates,total_timesteps,ep_len_mean,ep_reward_mean
-0.002951443,303104,4.868342,461,605.6816289424896,37.367462,0.037597656,0.8393210768699646,0.0032168329,148,303104,1353.68,1088.82551951
-0.004567488,305152,4.8887258,452,610.117595911026,24.809174,0.050585937,0.8250374644994736,0.0046989005,149,305152,1333.78,1072.4342467400002
-3.0137075e-05,307200,4.901767,474,614.6437003612518,19.713093,0.033740234,0.7992006093263626,0.0032438051,150,307200,1333.78,1073.10929496
-0.004113447,309248,4.909122,481,618.9605693817139,11.033343,0.046923827,0.9349316507577896,0.004014765,151,309248,1334.7,1073.7280007199997
-0.0034783029,311296,4.9145746,465,623.2165505886078,19.94457,0.05332031,0.843118205666542,0.0043456424,152,311296,1351.78,1088.7970497899998
-0.0032088018,313344,4.9143147,524,627.6148035526276,20.764217,0.050048828,0.5576359927654266,0.0039868224,153,313344,1353.35,1094.97730844
-0.0059577962,315392,4.9146495,537,631.5169641971588,21.61416,0.06274414,0.6238544285297394,0.0054131504,154,315392,1355.61,1090.7135373600001
-0.00278045,317440,4.9111185,514,635.3304622173309,11.456001,0.02475586,0.9174116179347038,0.0024892583,155,317440,1372.01,1101.4423938400002
-0.004109662,319488,4.914075,518,639.3148682117462,23.110928,0.039404295,0.8772419542074203,0.0036914651,156,319488,1370.88,1101.08186872
-0.0039018602,321536,4.916622,525,643.2690544128418,21.798391,0.027197266,0.773604229092598,0.0025245291,157,321536,1370.88,1095.3263372400002
-0.0025097253,323584,4.916208,504,647.1668634414673,20.395079,0.032128908,0.8392250090837479,0.0029907967,158,323584,1370.88,1094.9945057600003
-0.005384013,325632,4.9246354,527,651.2274978160858,14.202753,0.034277342,0.8880674168467522,0.0031722586,159,325632,1366.07,1085.74984534
-0.0033708424,327680,4.922787,499,655.1125755310059,19.92607,0.035498045,0.8499648869037628,0.0034054227,160,327680,1366.07,1083.25449329
-0.0046692817,329728,4.926658,538,659.2112858295441,29.233465,0.02993164,0.9186671823263168,0.0029916032,161,329728,1309.48,1028.9680144000001
-0.006253764,331776,4.93163,541,663.0150392055511,18.540613,0.06616211,0.6266205012798309,0.0057412903,162,331776,1309.48,1023.2915631000001
-0.003290885,333824,4.9265733,465,666.7961411476135,20.935696,0.022265624,0.8463165163993835,0.0022199918,163,333824,1309.48,1021.13459523
-0.0039823907,335872,4.922041,500,671.1914963722229,12.537482,0.030615235,0.8793965354561806,0.002714305,164,335872,1309.48,1017.0064577300001
-0.0040922756,337920,4.9197865,497,675.2821686267853,12.035574,0.030761719,0.9491175897419453,0.0032765209,165,337920,1276.7,984.82983355
-0.0024955317,339968,4.906764,480,679.3953156471252,20.86825,0.03720703,0.8604170083999634,0.0035514745,166,339968,1293.39,1001.77665561
-0.0034072816,342016,4.887189,483,683.6553189754486,19.962826,0.06777344,0.8374349623918533,0.005363976,167,342016,1310.45,1016.4946765399999
-0.0027418812,344064,4.896916,486,687.8876159191132,19.842949,0.047070313,0.8156751841306686,0.0040238835,168,344064,1310.45,1016.4078826000001
-0.004840421,346112,4.8970904,470,692.1011838912964,20.007017,0.056005858,0.8301713317632675,0.0049817674,169,346112,1327.17,1032.5979394800002
-0.0071176076,348160,4.8949933,497,696.4555778503418,29.918238,0.035449218,0.8448315411806107,0.0031493544,170,348160,1339.38,1045.3801281
-0.0030396269,350208,4.8970027,483,700.5722599029541,26.494473,0.026367188,0.9090351387858391,0.0026390865,171,350208,1354.74,1060.62718015
-0.0022557965,352256,4.8983684,517,704.8056466579437,22.17052,0.021240234,0.7559269517660141,0.0020539972,172,352256,1371.88,1073.9996617799998
-0.0055601085,354304,4.8991942,536,708.7648508548737,12.07764,0.022021484,0.9150897040963173,0.0019156486,173,354304,1361.45,1061.63861591
-0.0046327477,356352,4.9111433,477,712.584046125412,20.048336,0.03339844,0.8308242410421371,0.0031648465,174,356352,1361.45,1067.90222585
-0.0033479636,358400,4.919548,484,716.8719861507416,23.594975,0.024951171,0.8514653444290161,0.0025158809,175,358400,1354.96,1063.3308379
-0.0025131407,360448,4.91786,484,721.1036682128906,20.06647,0.065820314,0.8362986594438553,0.005898246,176,360448,1354.96,1068.5313645200001
-0.0032467376,362496,4.9209313,517,725.3301808834076,24.569647,0.021435548,0.8693022280931473,0.0019940247,177,362496,1305.27,1023.5102763999998
-0.0039010968,364544,4.9410143,486,729.2863190174103,22.140545,0.027294923,0.8950063288211823,0.00259814,178,364544,1304.35,1021.9557496699998
-0.005757815,366592,4.946369,478,733.5000779628754,19.796986,0.07172851,0.7911660820245743,0.0060371854,179,366592,1318.93,1036.8949892799997
-0.0044640647,368640,4.938155,476,737.7818944454193,18.441463,0.076123044,0.8163931518793106,0.0061164247,180,368640,1318.93,1043.1860713599997
-0.002588456,370688,4.942441,483,742.0794417858124,21.022312,0.029101562,0.8608096390962601,0.0028447027,181,370688,1337.08,1060.83024613
-0.0029145065,372736,4.923554,489,746.3153991699219,0.54273474,0.05366211,0.9959851000458002,0.005247324,182,372736,1335.61,1059.60814805
