policy_entropy,approxkl,ep_len_mean,ep_reward_mean,total_timesteps,n_updates,explained_variance,clipfrac,value_loss,policy_loss,serial_timesteps,time_elapsed,fps
1.7196248,0.007133849,739.62,484.46604508999997,466944,228,0.928305946290493,0.09013672,4.171099,-0.0036983066,466944,952.0372071266174,527
1.7325933,0.0018419286,748.85,490.28780491,468992,229,0.884071908891201,0.016503906,7.9221087,-0.0022218316,468992,955.9209508895874,527
1.7309157,0.006338445,766.8,498.77515873,471040,230,0.9378313347697258,0.078466795,3.8716843,-0.005120855,471040,959.8062222003937,513
1.7233431,0.0033849522,756.94,497.00416937999995,473088,231,0.8870088905096054,0.028710937,4.289956,-0.002089959,473088,963.795648097992,536
1.7217432,0.0051096445,775.62,509.47107694,475136,232,0.8224062323570251,0.06743164,12.002386,-0.0035030502,475136,967.61061668396,499
1.7189432,0.0027470496,794.32,521.8000672400001,477184,233,0.792556956410408,0.023388673,16.181385,-0.0011921857,477184,971.7097954750061,494
1.7290275,0.005564195,809.86,529.5128333500002,479232,234,0.9281366318464279,0.070458986,4.5918818,-0.0048533683,479232,975.8543157577515,526
1.737696,0.005090357,828.71,542.1812973500001,481280,235,0.6043614447116852,0.06279297,18.103039,-0.005592115,481280,979.7479014396667,525
1.7411171,0.005846966,846.49,552.4379453600002,483328,236,0.9442595429718494,0.07348633,5.0134096,-0.004797641,483328,983.6454548835754,519
1.7431301,0.0039460086,864.55,564.7895493200001,485376,237,0.7061358392238617,0.04423828,8.379376,-0.0024033152,485376,987.5880901813507,547
1.7359174,0.003250983,867.33,566.7741703200002,487424,238,0.9021778404712677,0.028515626,4.658663,-0.0029928603,487424,991.3285887241364,512
1.7286584,0.003134565,884.2,578.9487340500001,489472,239,0.6005088984966278,0.03227539,11.43674,-0.0029206176,489472,995.3265793323517,524
1.7260481,0.0028574995,902.28,591.81512676,491520,240,0.6900087893009186,0.026806641,8.632363,-0.00017940263,491520,999.230635881424,519
1.7250187,0.0046517127,920.09,603.98506143,493568,241,0.5469741225242615,0.053466797,12.605138,-0.0032582544,493568,1003.1753141880035,532
1.733345,0.0063429936,938.17,616.08125758,495616,242,0.653850644826889,0.0828125,10.136197,-0.0027824086,495616,1007.0204784870148,530
1.7385399,0.003931307,952.78,626.0555032999999,497664,243,0.7150046825408936,0.03852539,9.806851,-0.0011789921,497664,1010.8831686973572,531
1.7443625,0.0028246702,979.97,644.48880476,499712,244,0.6570470035076141,0.027734375,15.986532,-0.001066469,499712,1014.7368607521057,529
1.7492899,0.0031704784,994.36,654.829534,501760,245,0.7893126606941223,0.031542968,7.0887756,-0.0021594125,501760,1018.6016025543213,531
1.740771,0.005258155,1003.27,660.7544924499999,503808,246,0.6426321864128113,0.06298828,10.107386,-0.0033449163,503808,1022.4550261497498,562
1.745813,0.0031169273,1004.49,665.6331069500001,505856,247,0.7643517702817917,0.035253905,14.988047,-0.0029916435,505856,1026.0976622104645,545
1.7543116,0.004208674,1019.07,675.82887649,507904,248,0.6472949385643005,0.04472656,9.556726,-0.003932191,507904,1029.8547616004944,535
1.7504278,0.0047042626,1040.89,690.4507088,509952,249,0.718003898859024,0.05444336,14.891436,-0.0043993006,509952,1033.6824185848236,528
1.7459358,0.0051751314,1040.95,690.9716575500001,512000,250,0.7323128283023834,0.06074219,9.414378,-0.0040038493,512000,1037.557041168213,523
1.7361711,0.0037360892,1064.6,705.9848395000001,514048,251,0.8581802546977997,0.03725586,12.488386,-0.0041822297,514048,1041.4722566604614,527
1.7357314,0.004651568,1063.8,705.29060127,516096,252,0.7734962850809097,0.05522461,7.4710913,-0.0048052534,516096,1045.3539068698883,543
1.7386558,0.0053448495,1081.69,717.48689896,518144,253,0.7081969380378723,0.066992186,10.119532,-0.0035628113,518144,1049.1203813552856,533
1.7303518,0.0046235276,1095.33,727.7706890499999,520192,254,0.815419539809227,0.05522461,14.7747135,-0.002716526,520192,1052.9603497982025,513
1.7217633,0.005973677,1100.79,733.2004658699999,522240,255,0.7876435667276382,0.066552736,20.079777,-0.002030712,522240,1056.9461538791656,523
1.7116117,0.0039874637,1118.53,745.1530644399999,524288,256,0.4691419005393982,0.046533205,10.054009,-0.0009577136,524288,1060.857679605484,517
1.7056402,0.0038699645,1134.61,755.6485806799999,526336,257,0.6441650688648224,0.041894533,9.181425,-0.0015568418,526336,1064.8127596378326,528
1.7019227,0.004827111,1152.52,768.9022181799999,528384,258,0.7572607398033142,0.056591798,8.7181225,-0.0037253643,528384,1068.6851921081543,536
1.6912502,0.0033641648,1155.19,770.81311038,530432,259,0.8608275353908539,0.03515625,6.1184053,-0.0025591443,530432,1072.5032968521118,546
1.6883036,0.0046791667,1178.57,787.6619535799999,532480,260,0.7928027361631393,0.05390625,13.97377,-0.002393385,532480,1076.2520334720612,522
1.6895931,0.006304869,1195.62,799.5176107999998,534528,261,0.685900866985321,0.07504883,11.3444605,-0.004306614,534528,1080.168921470642,521
1.69517,0.004891519,1211.9,810.8134063900001,536576,262,0.7211961448192596,0.05683594,9.489985,-0.0022933322,536576,1084.0979053974152,528
1.7062718,0.0064773234,1229.02,823.35592188,538624,263,0.7387785315513611,0.08256836,8.65591,-0.002531027,538624,1087.9703695774078,523
1.7083015,0.007838612,1240.92,830.68372126,540672,264,0.8859427273273468,0.07807617,14.411685,-0.00066722976,540672,1091.880767583847,533
1.7084873,0.004165035,1251.77,837.7718992499999,542720,265,0.8528973609209061,0.04609375,14.470041,-0.0024319864,542720,1095.7231385707855,556
1.7079089,0.0037739377,1268.46,849.5328235099998,544768,266,0.6377728581428528,0.043017577,11.111613,-0.00042572207,544768,1099.4044258594513,534
1.7149808,0.0026878435,1260.04,846.4301042399999,546816,267,0.894431546330452,0.023535157,4.795665,-0.002128761,546816,1103.2393262386322,528
1.7225068,0.0028923792,1269.35,853.2936378599999,548864,268,0.6179361641407013,0.029345702,8.411722,-0.0022105488,548864,1107.1186821460724,510
1.7258106,0.002671837,1254.84,842.89244121,550912,269,0.6474771797657013,0.027392577,17.769192,-0.0014411494,550912,1111.1331522464752,514
