serial_timesteps,ep_reward_mean,approxkl,clipfrac,time_elapsed,policy_entropy,fps,value_loss,ep_len_mean,policy_loss,explained_variance,n_updates,total_timesteps
165888,524.115829139785,0.0053246175,0.068847656,268.5469479560852,1.5256844,600,3.1034043,1775.7096774193549,-0.0049193925,0.3078843951225281,81,165888
167936,526.0729608617022,0.0024787332,0.025048828,271.96027421951294,1.5469341,588,2.3626802,1778.6170212765958,-0.0027661363,0.308704137802124,82,167936
169984,526.7606225789474,0.0035633766,0.038330078,275.4398386478424,1.5525959,581,3.306398,1775.7894736842106,-0.0020892257,0.368497371673584,83,169984
172032,529.8319849270833,0.0039339093,0.044628907,278.96292328834534,1.5564547,595,2.9565494,1778.6354166666667,-0.001280241,0.3327057957649231,84,172032
174080,532.1553759484536,0.0031502221,0.03540039,282.40025520324707,1.5618559,601,2.4380715,1781.4226804123712,-0.00054522295,0.2855185270309448,85,174080
176128,534.2191380204082,0.0025113209,0.019921875,285.8046009540558,1.559654,597,2.6993337,1784.1530612244899,-0.0014951307,0.3438757061958313,86,176128
178176,534.4742539,0.0025652265,0.02578125,289.2345917224884,1.5506018,600,4.487923,1777.45,-0.0033455533,0.42171239852905273,87,178176
180224,536.60758161,0.0031527407,0.033935547,292.64815616607666,1.5437285,597,2.5431855,1780.69,-0.0019090471,0.5185794234275818,88,180224
182272,543.50676288,0.0030722013,0.033496093,296.0763726234436,1.5465423,584,2.6044838,1796.13,-0.0022048927,0.5760995149612427,89,182272
184320,550.02345894,0.003973208,0.046142578,299.5796060562134,1.5575738,598,2.7703536,1811.03,-0.004234386,0.5687403678894043,90,184320
186368,560.3297771499999,0.0044868644,0.053808592,303.0022416114807,1.5552155,586,5.1027427,1835.37,-0.0038243055,0.42787301540374756,91,186368
188416,565.05296142,0.0047499132,0.052685548,306.49612736701965,1.5465994,596,2.6286905,1844.79,-0.004679017,0.6979397535324097,92,188416
190464,570.37250193,0.0040283175,0.043847658,309.93290615081787,1.5379153,607,3.117841,1853.26,-0.0055658417,0.6033837795257568,93,190464
192512,577.0385060699999,0.004089095,0.045654297,313.30539107322693,1.5266688,594,3.0960526,1865.98,-0.0023223197,0.5612162947654724,94,192512
194560,581.06506305,0.0028690337,0.027783204,316.7502784729004,1.5305526,607,3.6010132,1865.98,-0.00060175697,0.6103639602661133,95,194560
196608,587.20819701,0.0024809982,0.02216797,320.12063813209534,1.5428174,601,3.2612832,1877.74,-0.003124279,0.5144741833209991,96,196608
198656,591.99421325,0.004855945,0.06015625,323.524950504303,1.5472279,607,4.1973214,1877.74,-0.0033678475,0.5739665925502777,97,198656
200704,599.65481855,0.0052027423,0.064257815,326.8973054885864,1.550424,594,4.211547,1890.28,-0.0035327026,0.649442195892334,98,200704
202752,603.9969357,0.0043247472,0.04902344,330.3458695411682,1.5399507,606,4.585035,1890.28,-0.0025868036,0.51394984126091,99,202752
204800,608.18752385,0.0057206433,0.07011719,333.72475600242615,1.537032,618,4.5835514,1890.28,-0.0033465691,0.6451613903045654,100,204800
