approxkl,time_elapsed,clipfrac,policy_entropy,total_timesteps,serial_timesteps,fps,ep_reward_mean,value_loss,policy_loss,n_updates,ep_len_mean,explained_variance
0.005020561,892.4709935188293,0.049316406,4.549344,430080,430080,475,767.98823635,15.010518,-0.004317506,210,1161.66,0.8165395855903625
0.0033743656,896.7760705947876,0.04145508,4.543361,432128,432128,440,768.0447440899999,10.336423,-0.0012185283,211,1161.66,0.838142067193985
0.0035507823,901.4266176223755,0.042138673,4.543288,434176,434176,483,766.6366456899999,11.999786,-0.0042087967,212,1161.66,0.8193722516298294
0.004635071,905.6666522026062,0.05029297,4.548358,436224,436224,458,723.4395657200001,34.96811,-0.008349432,213,1104.29,0.7839042544364929
0.0027812454,910.1322968006134,0.030957032,4.550398,438272,438272,461,696.50413371,13.881279,-0.0043954924,214,1072.45,0.9200990274548531
0.004673294,914.5731401443481,0.034472656,4.540624,440320,440320,479,661.0210904699999,29.074268,-0.008905552,215,1027.57,0.4774438738822937
0.004138982,918.8424775600433,0.050585937,4.5559087,442368,442368,499,617.17444604,24.844656,-0.009358092,216,971.85,0.5701268315315247
0.005589194,922.943000793457,0.054980468,4.5790076,444416,444416,460,591.97182428,10.043592,-0.009525989,217,936.72,0.9518074281513691
0.002216829,927.3880715370178,0.02319336,4.5887346,446464,446464,477,602.34200739,7.085128,-0.0022339835,218,947.99,0.9332201704382896
0.0029689255,931.6795582771301,0.034375,4.5851903,448512,448512,470,601.4189059000001,17.156118,-0.0034268643,219,947.99,0.7585234344005585
0.004414941,936.0342824459076,0.048535157,4.5764275,450560,450560,471,593.1419597800001,20.21648,-0.0054180482,220,939.07,0.795750305056572
0.005762116,940.3792977333069,0.06728516,4.577083,452608,452608,465,603.54567661,9.559637,-0.0064778244,221,954.44,0.816938579082489
0.003023578,944.7766668796539,0.03149414,4.5843706,454656,454656,482,604.7180807700001,9.5868435,-0.001914961,222,954.44,0.9181659892201424
0.0032850665,949.0228660106659,0.036035158,4.5847692,456704,456704,489,616.9692517200001,11.422275,-0.0025952712,223,972.29,0.7706582695245743
0.004103067,953.2098965644836,0.048193358,4.5838327,458752,458752,452,614.4769488200001,8.386544,-0.0050821626,224,970.83,0.8763435184955597
0.0019032322,957.7413744926453,0.018701172,4.5784364,460800,460800,468,614.3363796,9.307642,-0.0046950476,225,971.02,0.8388268351554871
0.0068144565,962.113648891449,0.07333984,4.578243,462848,462848,463,618.87562745,10.157658,-0.005020826,226,979.08,0.9065055325627327
0.0034094653,966.5369648933411,0.034472656,4.5836954,464896,464896,476,630.3069419799999,9.758488,-0.0029424382,227,993.06,0.8900275006890297
0.0026308505,970.835296869278,0.02421875,4.5694914,466944,466944,451,634.80468212,16.1259,-0.0015272112,228,999.33,0.8698767721652985
0.0036421348,975.3726606369019,0.03642578,4.5727053,468992,468992,453,648.2200850400001,10.174871,-0.0036357716,229,1017.2,0.9198695570230484
0.0051868344,979.8894054889679,0.055029295,4.6018043,471040,471040,472,656.61891146,26.136322,-0.008585135,230,1027.78,0.8195027709007263
0.0043051504,984.2226023674011,0.05332031,4.614147,473088,473088,502,668.3004922900001,11.17626,-0.0035860322,231,1045.61,0.781100332736969
0.0018521568,988.2984521389008,0.019873047,4.6184607,475136,475136,469,669.67048204,5.103076,-0.0034920697,232,1048.18,0.9311601743102074
0.0048002205,992.658322095871,0.054248046,4.6134996,477184,477184,454,676.18457576,10.801208,-0.005759445,233,1059.25,0.911520205438137
0.0027983994,997.1639108657837,0.030273438,4.6198964,479232,479232,464,691.25666433,13.10792,-0.0022752318,234,1076.7,0.7400268912315369
0.003323235,1001.5727167129517,0.03725586,4.6367664,481280,481280,448,702.19757895,9.505746,-0.0032463209,235,1093.41,0.7421219944953918
0.0028077327,1006.1377463340759,0.030517578,4.643197,483328,483328,462,703.1424305300002,10.650889,-0.0023260696,236,1096.62,0.873266875743866
0.0021351872,1010.570328950882,0.023632813,4.6542883,485376,485376,469,707.31562785,18.145433,-0.0033451566,237,1104.28,0.8298786878585815
0.0036471933,1014.9346759319305,0.041503906,4.6693544,487424,487424,467,711.1014992300001,15.746279,-0.004891333,238,1111.0,0.8069154769182205
0.002790568,1019.3163895606995,0.029003907,4.6711707,489472,489472,443,717.0621617500001,13.585373,-0.0035560862,239,1119.17,0.9085086062550545
0.0025623795,1023.9328088760376,0.02836914,4.662031,491520,491520,436,714.28039106,12.447212,-0.004809922,240,1119.4,0.815998449921608
0.0027686928,1028.6264848709106,0.027978515,4.656645,493568,493568,463,702.4254030200001,1.5258174,-0.0025908719,241,1101.54,0.9576156623661518
0.0041562975,1033.0483288764954,0.04975586,4.66784,495616,495616,469,705.7207957900001,7.8165917,-0.004839697,242,1108.29,0.8896983116865158
0.0051079364,1037.41282081604,0.062402345,4.670459,497664,497664,473,707.1503855800001,7.1426954,-0.007149756,243,1108.29,0.7966560423374176
0.0033214923,1041.7386846542358,0.038183592,4.6623297,499712,499712,479,706.32045044,13.024261,-0.001400223,244,1110.69,0.8015462309122086
0.0025869098,1046.0060555934906,0.02993164,4.660478,501760,501760,482,708.6565095499999,10.46712,-0.005266119,245,1116.27,0.8093183487653732
0.0039352947,1050.2508051395416,0.04633789,4.6656065,503808,503808,453,718.83766504,14.924518,-0.004418011,246,1130.57,0.8714248687028885
0.0026354855,1054.7629344463348,0.03100586,4.6645384,505856,505856,477,733.81441102,10.32495,-0.003069537,247,1148.35,0.8602777123451233
0.003157923,1059.0493793487549,0.032958984,4.662878,507904,507904,489,726.07100434,23.35941,-0.004782094,248,1141.65,0.782476469874382
0.0019618585,1063.2327570915222,0.018017579,4.6611757,509952,509952,477,736.30752394,10.0842,-0.0003495043,249,1157.04,0.7480602860450745
0.0031204182,1067.5182945728302,0.03300781,4.658963,512000,512000,472,734.1565268899999,8.32287,-0.0029346321,250,1157.69,0.7697916924953461
0.0060218847,1071.8558280467987,0.0680664,4.6555843,514048,514048,479,744.2141841299999,10.961623,-0.0046455637,251,1171.29,0.8399563878774643
0.0042989287,1076.1245620250702,0.053125,4.6459665,516096,516096,453,750.41899349,8.131941,-0.001750833,252,1181.33,0.7478111982345581
0.0028972807,1080.644392490387,0.029003907,4.6373544,518144,518144,459,748.1088829400001,8.468317,-0.0032515326,253,1178.47,0.9102778136730194
0.005881855,1085.0988245010376,0.064453125,4.6327734,520192,520192,457,759.8876236199999,6.55079,-0.00811528,254,1192.5,0.9395726770162582
0.0028028213,1089.580097913742,0.027441407,4.6266146,522240,522240,466,754.1482332500001,12.944059,-0.0048061353,255,1185.51,0.899991475045681
0.003462242,1093.968478679657,0.037988283,4.617612,524288,524288,459,758.4787010499999,13.778501,-0.0032604418,256,1190.14,0.8881935030221939
0.0029942372,1098.4213697910309,0.03339844,4.6116114,526336,526336,488,769.64458082,8.863238,-0.0025376244,257,1205.74,0.820539653301239
0.0025166846,1102.6170058250427,0.02451172,4.617568,528384,528384,466,775.6446091899999,5.9966135,-0.0059908824,258,1213.1,0.8921988010406494
0.0040029716,1107.0042595863342,0.04765625,4.6288733,530432,530432,480,787.3529860599999,9.039712,-0.003795573,259,1230.88,0.9086216986179352
