policy_entropy,approxkl,total_timesteps,n_updates,explained_variance,clipfrac,value_loss,policy_loss,serial_timesteps,time_elapsed,fps,ep_len_mean,ep_reward_mean
5.5597506,0.0036239172,151552,74,0.04155910015106201,0.04169922,19.697685,-0.00095715123,151552,366.68868827819824,417,1743.7325581395348,1731.7847186395347
5.557663,0.0041888445,153600,75,0.008714914321899414,0.051660158,20.128101,-0.00021191654,153600,371.5953583717346,412,1747.2413793103449,1735.3414165632182
5.552992,0.002638454,155648,76,0.0038773417472839355,0.03276367,20.409338,-0.000902319,155648,376.5634422302246,418,1750.6704545454545,1738.835897238636
5.5627556,0.004603907,157696,77,0.005580127239227295,0.055859376,20.410982,-0.00144689,157696,381.4541199207306,415,1754.0224719101125,1742.2720161011234
5.5738435,0.0012543838,159744,78,-0.004658102989196777,0.009179687,20.612377,0.00020380903,159744,386.38278436660767,416,1757.3,1745.6033892333332
5.58899,0.0021013934,161792,79,-0.0021686553955078125,0.019824218,20.546589,-0.00070356805,161792,391.2982642650604,426,1760.5054945054944,1748.8348586373627
5.604744,0.0026344387,163840,80,-0.002701997756958008,0.028955078,20.4394,-0.00031087143,163840,396.0970335006714,422,1763.641304347826,1751.996301597826
5.6114902,0.00125251,165888,81,0.00364762544631958,0.007714844,20.305012,0.00016790393,165888,400.94202160835266,410,1766.7096774193549,1755.0599089032257
5.601168,0.003358883,167936,82,0.008335590362548828,0.035791017,20.099087,-0.0004332223,167936,405.93669080734253,410,1769.712765957447,1758.0605155425533
5.592309,0.005595216,169984,83,0.6929779350757599,0.06645508,22.726467,-0.0010194496,169984,410.9277865886688,396,1754.5,1742.9140380937497
5.5896387,0.006628228,172032,84,0.01928126811981201,0.09414063,19.908867,-0.004107906,172032,416.09500455856323,415,1757.5360824742268,1745.9516781855668
5.5930243,0.0019305398,174080,85,0.018838882446289062,0.016455078,19.852062,0.0005524034,174080,421.0193088054657,399,1760.5102040816328,1748.9096469693875
5.588846,0.003071846,176128,86,0.03980147838592529,0.028710937,19.673336,-0.00054216356,176128,426.1505801677704,415,1763.4242424242425,1751.782698191919
5.5910225,0.00234138,178176,87,0.708647221326828,0.021777343,21.617048,0.00021880872,178176,431.0782051086426,377,1746.1,1734.5699838899998
5.5957193,0.002079846,180224,88,0.018221020698547363,0.021630859,19.921354,-0.0008642487,180224,436.5096843242645,417,1746.1,1734.56632837
5.59912,0.002288421,182272,89,0.10864412784576416,0.024365235,18.61228,0.0006593418,182272,441.4135808944702,419,1746.1,1734.53065041
5.6140842,0.0039536804,184320,90,0.019435584545135498,0.045410156,20.011028,-0.0015316822,184320,446.2981336116791,405,1746.1,1734.4634544500002
5.6242075,0.002168224,186368,91,0.0238419771194458,0.01826172,19.878582,0.00023884754,186368,451.34850001335144,398,1746.1,1734.42323021
5.631009,0.0032179442,188416,92,0.03244131803512573,0.034082033,19.76031,-7.167789e-05,188416,456.48293948173523,416,1746.1,1734.3369413900002
5.6435957,0.0025219093,190464,93,0.05368649959564209,0.028710937,19.59605,0.00035864807,190464,461.4052805900574,417,1746.1,1734.22890772
5.647254,0.0021533829,192512,94,0.035435497760772705,0.01821289,19.881567,-0.00023335978,192512,466.3064663410187,407,1746.1,1734.1640751099999
5.6528263,0.0025714734,194560,95,0.02888941764831543,0.027392577,20.125834,0.0009810788,194560,471.3279433250427,408,1746.1,1734.1014087400001
