serial_timesteps,ep_len_mean,policy_loss,policy_entropy,n_updates,ep_reward_mean,total_timesteps,approxkl,time_elapsed,value_loss,fps,explained_variance,clipfrac
190464,1343.2,-0.00474213,1.6817392,93,500.46647310000003,190464,0.0051354896,422.8750741481781,4.89791,470,0.5102322697639465,0.05629883
192512,1309.77,-0.0035162638,1.6804594,94,499.15041451999997,192512,0.00417984,427.2323467731476,7.5679345,478,0.5605108439922333,0.044433594
194560,1271.83,-0.0032359369,1.6774657,95,493.61150794,194560,0.0033299862,431.5089166164398,7.9300575,452,0.5371350646018982,0.035742186
196608,1244.18,-0.0010389962,1.6727836,96,488.01491467,196608,0.0026589292,436.0389184951782,5.1267643,324,0.6876051127910614,0.025488282
198656,1189.65,-0.0017392756,1.6746843,97,478.15690551000006,198656,0.002098563,442.3514332771301,7.905539,351,0.6394784152507782,0.017382812
200704,1162.05,-0.004577969,1.6863724,98,473.1000072300001,200704,0.0038341484,448.1865119934082,5.1030197,405,0.640436440706253,0.042285156
202752,1145.22,-0.0012858047,1.6968224,99,473.59825288,202752,0.0022187843,453.24174427986145,7.482258,428,0.4748414158821106,0.020117188
204800,1133.66,-0.00075968343,1.6942966,100,471.69242491999995,204800,0.0033669327,458.0219314098358,3.1407304,414,0.7264103591442108,0.03276367
206848,1125.63,-0.0025418752,1.6926138,101,475.66055807000004,206848,0.0033569983,462.9629738330841,6.9298334,414,0.526610404253006,0.034570314
208896,1125.63,-0.0032022968,1.7087395,102,479.85160935,208896,0.0050291577,467.89892745018005,4.1559324,450,0.5497886538505554,0.06430664
210944,1125.63,-0.0012169174,1.7144823,103,483.8593852,210944,0.004176357,472.4496591091156,5.0323644,434,0.5185781419277191,0.04902344
212992,1125.63,-0.0016039049,1.7189925,104,487.0558589,212992,0.003416637,477.1604890823364,4.3941965,428,0.616182804107666,0.035351563
215040,1105.22,-0.0031603803,1.717606,105,482.02005689,215040,0.0048567094,481.94418692588806,6.328374,392,0.5211496353149414,0.053808592
217088,1062.46,-0.0030236596,1.7099907,106,468.3745343299999,217088,0.0037565865,487.1676604747772,8.610083,412,0.5187687575817108,0.040966798
219136,1038.14,-0.00065715297,1.7151245,107,462.1251499999999,219136,0.0023656595,492.1312007904053,6.062057,396,0.5710454285144806,0.021044921
221184,1057.91,-0.0040042545,1.7205732,108,472.0476868399999,221184,0.0048028147,497.29567980766296,4.616312,370,0.5862799286842346,0.057958983
223232,1057.91,0.0007698374,1.7224318,109,474.9318983699999,223232,0.0027157413,502.823885679245,5.1474357,421,0.46499544382095337,0.025927734
225280,1059.54,-0.00038270163,1.734967,110,480.02136378999995,225280,0.0064832093,507.68230628967285,9.9824505,403,0.5740456283092499,0.07905273
227328,1038.69,-0.0044010286,1.7578974,111,475.17994364,227328,0.0038697706,512.7648267745972,7.614669,389,0.6440714001655579,0.04399414
229376,1003.51,-0.0056566894,1.7650635,112,462.71654719000003,229376,0.003836301,518.0248503684998,12.41837,480,0.5543487668037415,0.041308593
231424,951.13,-0.00078067975,1.7699627,113,442.96795004,231424,0.0033469573,522.2916722297668,14.368769,396,0.44833582639694214,0.03461914
