fps,explained_variance,total_timesteps,serial_timesteps,policy_loss,clipfrac,n_updates,time_elapsed,value_loss,approxkl,policy_entropy,ep_len_mean,ep_reward_mean
405,0.8253619223833084,38912,38912,-0.00056345563,0.031396486,19,91.72551226615906,19.838474,0.003156652,5.12966,1550.9583333333333,1270.8347072916665
429,0.7692909836769104,40960,40960,-0.0045899726,0.05078125,20,96.77343511581421,24.445452,0.004169707,5.12951,1570.88,1293.48641256
422,0.7921597957611084,43008,43008,-0.004109113,0.059472658,21,101.5464084148407,20.985315,0.00492936,5.131272,1589.2692307692307,1302.1048737692306
433,0.8196131139993668,45056,45056,-0.005710847,0.059765626,22,106.39553737640381,21.672699,0.004582811,5.1336493,1606.2962962962963,1309.700201925926
405,0.8517142981290817,47104,47104,-0.0011805268,0.032470703,23,111.11744594573975,19.578077,0.002799872,5.138579,1622.107142857143,1315.8451888214283
413,0.8429440408945084,49152,49152,-0.0030400958,0.032421876,24,116.16956090927124,33.743416,0.0029287157,5.158331,1590.9333333333334,1291.244455733333
412,0.8303859233856201,51200,51200,-0.004866041,0.036816407,25,121.12319874763489,22.356699,0.003105428,5.1734285,1605.7096774193549,1307.9164859677417
411,0.8258640170097351,53248,53248,-0.004148091,0.05180664,26,126.11482119560242,20.15008,0.0044286433,5.174139,1619.5625,1313.27550740625
424,0.8494424074888229,55296,55296,-0.0030719372,0.031396486,27,131.08858633041382,31.530508,0.0035894874,5.1793523,1594.6764705882354,1294.7208759411765
386,0.8617861568927765,57344,57344,-0.001900554,0.07329102,28,135.91767930984497,19.955448,0.0058032307,5.1907463,1607.6571428571428,1306.5883485428571
383,0.8796218782663345,59392,59392,-0.0022907765,0.026708985,29,141.2108612060547,19.905378,0.003172328,5.190497,1619.9166666666667,1320.5323129166666
376,0.8585489243268967,61440,61440,-0.00073823147,0.024267578,30,146.558434009552,30.281515,0.0035419702,5.177288,1596.5,1300.7025717631577
352,0.8201203793287277,63488,63488,-0.00548048,0.10732422,31,152.00171041488647,20.21403,0.007865883,5.176349,1608.1025641025642,1313.2992146153842
411,0.8422386944293976,65536,65536,-0.0026524388,0.02758789,32,157.8158679008484,32.394783,0.0033465088,5.1844845,1596.4878048780488,1303.0187917560975
404,0.9554663896560669,67584,67584,-0.0037655092,0.020019531,33,162.79391860961914,10.983629,0.0020213,5.1920805,1533.3953488372092,1246.7994317209302
397,0.8434175699949265,69632,69632,-0.002178399,0.026708985,34,167.86060404777527,19.928974,0.0029442122,5.186795,1545.1136363636363,1260.6368842499999
385,0.8618306666612625,71680,71680,-0.0010325939,0.03100586,35,173.01086568832397,27.2925,0.0031915538,5.1792355,1527.7826086956522,1247.3147539565216
389,0.8358704149723053,73728,73728,-0.00483518,0.08164062,36,178.32134413719177,20.01367,0.0062892726,5.1787386,1538.872340425532,1260.2441845319147
392,0.8680611401796341,75776,75776,-0.001090511,0.032177735,37,183.57725167274475,19.781034,0.0029854435,5.180815,1549.5,1271.5817893333333
414,0.8686003684997559,77824,77824,-0.0013900205,0.03237305,38,188.8016803264618,20.379572,0.0029471074,5.173237,1559.6938775510205,1281.514516285714
379,0.8192790150642395,79872,79872,-0.0013370229,0.04902344,39,193.74845552444458,20.035378,0.004411484,5.16116,1569.48,1287.79884958
399,0.844060093164444,81920,81920,-0.0018784914,0.05102539,40,199.14333295822144,20.838562,0.0043202196,5.164287,1578.8823529411766,1298.4517219411766
378,0.8061665445566177,83968,83968,-0.003543539,0.091748044,41,204.2647340297699,19.811386,0.0074860654,5.1538887,1587.923076923077,1305.330224346154
399,0.8235822916030884,86016,86016,-0.0031995669,0.041259766,42,209.68084836006165,19.96039,0.0038480372,5.150687,1596.622641509434,1315.5079659622645
390,0.8256923109292984,88064,88064,-0.0010198461,0.03173828,43,214.80447268486023,19.899311,0.0029655248,5.150686,1605.0,1324.5350675185186
413,0.9032806307077408,90112,90112,-0.006887904,0.047509767,44,220.0507345199585,24.941557,0.0040310705,5.1439424,1588.3392857142858,1311.4344833214286
390,0.8179441392421722,92160,92160,-0.002136364,0.05053711,45,225.00786662101746,19.702835,0.0044574374,5.153098,1596.421052631579,1316.7886359122806
417,0.8411230593919754,94208,94208,-0.005733474,0.06621094,46,230.249037027359,30.381674,0.0059347274,5.1703844,1588.2033898305085,1309.6571393050845
398,0.8788995295763016,96256,96256,-0.004223871,0.07475586,47,235.15458631515503,16.347988,0.0059564495,5.170414,1595.8833333333334,1317.5346994333331
405,0.9403405264019966,98304,98304,-0.0065956167,0.034375,48,240.29680252075195,10.799871,0.0032230231,5.1637855,1582.688524590164,1303.171459491803
401,0.817060112953186,100352,100352,-0.00618713,0.05024414,49,245.34780526161194,30.863195,0.004417467,5.1720886,1551.734375,1273.474107546875
371,0.864394947886467,102400,102400,-0.00629374,0.06020508,50,250.4434723854065,36.105804,0.004970801,5.1809077,1520.4925373134329,1242.001779313433
374,0.8903312087059021,104448,104448,-0.0028337582,0.04350586,51,255.95219492912292,24.500862,0.003833206,5.1871567,1509.608695652174,1234.2157141449277
398,0.8405917137861252,106496,106496,-0.001657069,0.014208985,52,261.42207622528076,29.284729,0.0015563562,5.1919622,1448.876712328767,1177.0944343013698
385,0.8897141888737679,108544,108544,-0.0019661374,0.024560547,53,266.5597004890442,26.226511,0.002795014,5.191794,1440.92,1171.5706618400002
356,0.9647135622799397,110592,110592,-0.003981563,0.051660158,54,271.86962485313416,6.8004813,0.0041960054,5.2025433,1428.9342105263158,1159.529501013158
421,0.37540072202682495,112640,112640,-0.0021808043,0.020361328,55,277.61308670043945,55.792736,0.0019879458,5.2217374,1356.4578313253012,1092.3771078554216
422,0.6723594665527344,114688,114688,-0.0042537614,0.0203125,56,282.47349977493286,36.207024,0.0021533938,5.2172537,1301.1136363636363,1040.8870693181818
407,0.929846964776516,116736,116736,-0.0057300525,0.026416015,57,287.31592559814453,11.229518,0.002549192,5.214419,1287.6,1026.2710500666667
389,0.8809083700180054,118784,118784,-0.0011544361,0.0265625,58,292.3406882286072,19.95513,0.0027572806,5.2202015,1295.967032967033,1034.317725758242
371,0.9410077184438705,120832,120832,-0.0013512966,0.028125,59,297.6038691997528,10.48588,0.0026833804,5.2270226,1293.4347826086957,1029.764824804348
423,0.7691987752914429,122880,122880,-0.003399244,0.033251952,60,303.1184914112091,45.43734,0.0029454187,5.236911,1240.3131313131314,981.6242192828284
418,0.8209391981363297,124928,124928,-0.0039824443,0.026904296,61,307.9567892551422,24.0832,0.0025062223,5.2330885,1186.28,932.1691642299999
386,0.9823313672095537,126976,126976,-0.0071228547,0.045898438,62,312.84527230262756,3.8269658,0.0042136605,5.2198253,1168.17,915.40366654
431,0.6652750074863434,129024,129024,-0.0031257034,0.025537109,63,318.1445999145508,35.087852,0.0025328265,5.2079844,1174.54,923.6763269600001
400,0.9232760295271873,131072,131072,-0.0038129066,0.04472656,64,322.8911485671997,11.322625,0.004031701,5.220445,1174.54,917.6704538400002
399,0.8668262660503387,133120,133120,-0.004359311,0.047949217,65,328.0061674118042,28.197636,0.003857514,5.241805,1184.52,930.4222712400001
422,0.8924858942627907,135168,135168,-0.002403559,0.030615235,66,333.12913727760315,20.504366,0.0028211044,5.2430305,1202.52,945.4469734200002
417,0.8918894678354263,137216,137216,-0.001375464,0.025585938,67,337.9791100025177,24.178185,0.0024057133,5.2526274,1184.57,926.8489379600001
393,0.8357205539941788,139264,139264,-0.0044201566,0.028466797,68,342.87920022010803,21.153141,0.0025883657,5.258356,1184.57,926.00050884
428,0.8125556707382202,141312,141312,-0.0046437476,0.03769531,69,348.0810809135437,20.69411,0.003444761,5.2614436,1184.57,921.4817631600001
384,0.8991912230849266,143360,143360,-0.0010982087,0.0234375,70,352.86468482017517,23.60503,0.0025073795,5.2636166,1182.22,920.2556602700001
379,0.8141273707151413,145408,145408,-0.0037586156,0.05283203,71,358.1929278373718,19.409365,0.0044539226,5.2615404,1182.22,919.97751733
396,0.9043933376669884,147456,147456,-0.0059915786,0.042773437,72,363.587110042572,22.191475,0.0038094833,5.263106,1163.99,903.1567748399998
393,0.872286930680275,149504,149504,-0.0020284727,0.10161133,73,368.74684619903564,19.89583,0.007681693,5.264606,1163.99,903.38137673
402,0.8447964787483215,151552,151552,-0.0030829718,0.043017577,74,373.95259070396423,20.00161,0.003766004,5.2676163,1163.99,902.4497049599998
397,0.8592599034309387,153600,153600,-0.006391801,0.07709961,75,379.0439794063568,19.00922,0.00618939,5.257165,1179.82,916.7146067099999
401,0.8876894637942314,155648,155648,-0.0034670453,0.053027343,76,384.19396352767944,19.93605,0.0044441405,5.2543693,1179.82,917.78607005
426,0.6087161004543304,157696,157696,-0.003357966,0.03652344,77,389.2925543785095,13.472506,0.0033859871,5.256809,1179.82,910.67194106
404,0.8878795951604843,159744,159744,-0.0016409805,0.026220703,78,394.0925557613373,25.99223,0.0026112585,5.257455,1163.03,897.9240047999999
384,0.8735328018665314,161792,161792,-0.003494624,0.06069336,79,399.15429401397705,19.569849,0.004907799,5.256892,1163.03,900.4688613699999
400,0.897683285176754,163840,163840,-0.0030165499,0.046679687,80,404.4874176979065,19.336496,0.00409861,5.252843,1163.03,899.1880251399999
351,0.8854446932673454,165888,165888,-0.0032479507,0.04741211,81,409.6037106513977,19.8202,0.0041065416,5.251973,1180.92,914.1122726699999
432,0.9259695783257484,167936,167936,-0.007189491,0.057861328,82,415.43498182296753,7.067163,0.0049550226,5.2442036,1165.49,898.51425519
412,0.8735656589269638,169984,169984,-0.003947194,0.06484375,83,420.1684362888336,20.300018,0.004858269,5.231582,1165.49,897.8077240100001
402,0.886187769472599,172032,172032,-0.0026905267,0.059912108,84,425.1349585056305,19.587605,0.005020955,5.2334003,1165.49,895.8692264499998
388,0.8411269634962082,174080,174080,-0.0005029311,0.051464844,85,430.2177264690399,19.340054,0.00429586,5.251975,1182.54,911.93056072
401,0.877958856523037,176128,176128,-0.0041148914,0.049121093,86,435.4892406463623,19.246052,0.00428163,5.2681737,1182.54,913.3110506799999
405,0.8865227103233337,178176,178176,-0.00091737683,0.012792969,87,440.5857484340668,19.767904,0.0014369282,5.277858,1182.54,913.06059597
411,0.8309293836355209,180224,180224,-0.0025466378,0.035888672,88,445.63468527793884,27.454205,0.0031537258,5.274916,1182.49,911.8818641499998
436,0.8715746849775314,182272,182272,-0.0011209848,0.030712891,89,450.61501836776733,18.756166,0.0029875473,5.2598734,1164.59,889.2759058099999
407,0.8745197504758835,184320,184320,-0.0027404954,0.039208986,90,455.3060472011566,20.094501,0.0038083196,5.24973,1178.17,902.6783144800002
400,0.9026995599269867,186368,186368,-0.0023616054,0.038183592,91,460.32717180252075,36.464237,0.0033262498,5.256043,1160.4,885.0486769200002
412,0.49950575828552246,188416,188416,-0.0021746368,0.051660158,92,465.44149136543274,20.344639,0.004533579,5.2564354,1178.45,896.9175243400001
396,0.8537144809961319,190464,190464,-0.0016255456,0.021826172,93,470.4045498371124,20.401484,0.0021860085,5.254834,1178.45,895.01910401
400,0.8829447403550148,192512,192512,-0.00066318864,0.025390625,94,475.57162284851074,19.528164,0.0025664365,5.257677,1178.45,895.08201048
388,0.8717044740915298,194560,194560,-0.0056587197,0.08041992,95,480.68659114837646,20.041069,0.006182519,5.260144,1178.45,895.3427686500003
377,0.8791627213358879,196608,196608,-0.00014962869,0.031689454,96,485.9620051383972,19.850368,0.002904796,5.2648764,1178.45,896.6911867900001
381,0.8643273115158081,198656,198656,-0.0036680303,0.07490234,97,491.38460993766785,20.233463,0.006441293,5.2807903,1178.45,896.1335248600001
386,0.8712301701307297,200704,200704,-0.0038055428,0.05605469,98,496.75565791130066,20.960632,0.004434749,5.287067,1178.45,896.75545527
399,0.8660951256752014,202752,202752,-0.0032448538,0.04375,99,502.0493075847626,25.792751,0.00431054,5.2743654,1160.48,879.7139839100001
384,0.8447504192590714,204800,204800,-0.0040417514,0.06367187,100,507.1718146800995,19.772943,0.0054333406,5.268172,1160.48,879.2864757799999
443,0.8380368053913116,206848,206848,-0.0041603036,0.035058595,101,512.5034997463226,20.633877,0.003119494,5.2651496,1152.89,871.2205905599999
396,0.8443892300128937,208896,208896,-0.003045904,0.033740234,102,517.1180856227875,20.911448,0.0033087372,5.2586412,1152.89,869.9221490699998
396,0.9113651588559151,210944,210944,-0.003269707,0.033984374,103,522.2803134918213,21.027126,0.0034193336,5.249657,1166.79,883.5600568499998
458,0.9295557737350464,212992,212992,-0.0027231765,0.025634766,104,527.4486010074615,11.784867,0.0025331913,5.2524743,1158.08,871.8606815499999
436,0.8489153981208801,215040,215040,-0.0047726454,0.04345703,105,531.912127494812,20.983913,0.0038792863,5.2686477,1170.66,886.1605512399998
469,0.8652758151292801,217088,217088,-0.003260611,0.03725586,106,536.6089792251587,32.01693,0.003304929,5.2767415,1177.51,890.18517254
476,0.8446690589189529,219136,219136,-0.0021361373,0.02709961,107,540.9705631732941,23.497889,0.0024849535,5.269787,1193.33,901.7975114000001
484,0.923851989209652,221184,221184,-0.0054274066,0.054345705,108,545.2705416679382,8.991759,0.0043468256,5.269463,1178.37,889.0544722799999
443,0.9036337956786156,223232,223232,-0.0017488173,0.046191406,109,549.499917268753,20.229837,0.00411884,5.2661633,1196.12,901.35218281
464,0.6698641777038574,225280,225280,-0.003199812,0.03237305,110,554.1207292079926,39.735508,0.003062995,5.2529416,1204.98,905.9694599400001
454,0.8879913836717606,227328,227328,-0.0033333157,0.06616211,111,558.5318193435669,24.71846,0.005917804,5.244792,1220.51,918.21593478
418,0.9060471504926682,229376,229376,-0.0067232354,0.08979492,112,563.0419538021088,23.600994,0.007561973,5.2433114,1234.62,933.1029112999997
468,0.9727781414985657,231424,231424,-0.007583684,0.053857423,113,567.9345803260803,8.184298,0.005313893,5.2537756,1216.64,915.7253454899999
461,0.8811323270201683,233472,233472,-0.004020474,0.04272461,114,572.3048255443573,20.917349,0.0038174074,5.2598467,1231.83,928.0698886499999
446,0.8826126605272293,235520,235520,-0.003495295,0.045703124,115,576.7397124767303,20.305517,0.0042723073,5.2585325,1231.83,926.3819403499999
445,0.8309270441532135,237568,237568,-0.0013923727,0.020166015,116,581.3306529521942,20.231813,0.0023692097,5.2509155,1249.72,942.4961189
439,0.8921636044979095,239616,239616,-0.002918734,0.07333984,117,585.9245362281799,19.657635,0.0057201358,5.247569,1264.04,958.0826951599998
438,0.9031502529978752,241664,241664,-0.0019098403,0.0659668,118,590.5883390903473,20.094065,0.0053356504,5.2457566,1281.81,974.2663847199999
445,0.8460394442081451,243712,243712,-0.004609026,0.039501954,119,595.2580852508545,25.666342,0.0038564124,5.2441792,1299.26,990.45336498
472,0.7378102242946625,245760,245760,-0.002359669,0.030615235,120,599.8557283878326,29.929754,0.0028504715,5.251251,1323.38,1006.3070175799999
424,0.9015067964792252,247808,247808,-0.0014818079,0.037109375,121,604.186437368393,19.654192,0.0037178774,5.2366996,1341.2,1022.4388858499999
