policy_entropy,n_updates,approxkl,value_loss,clipfrac,total_timesteps,serial_timesteps,explained_variance,ep_reward_mean,fps,time_elapsed,ep_len_mean,policy_loss
1.6733536,110,0.0036621182,5.2184772,0.036376953,225280,225280,0.5873327255249023,651.6505739700001,282,820.8243415355682,1869.22,-0.0022310484
1.6705654,111,0.002389216,10.616829,0.022314453,227328,227328,0.44440311193466187,653.5092600500001,283,828.0852224826813,1854.55,-0.0020084188
1.6648343,112,0.0027176116,10.930614,0.027294923,229376,229376,0.41891026496887207,647.4541882499999,283,835.3082370758057,1814.91,-0.002607509
1.6762679,113,0.0050522676,4.7531285,0.059277344,231424,231424,0.4375808835029602,651.9114392299999,295,842.5428488254547,1814.91,-0.0015937884
1.6897242,114,0.0026867376,5.5996647,0.026464844,233472,233472,0.5453145802021027,657.7412147,300,849.4768941402435,1814.91,-0.0003620532
1.6995096,115,0.0039947545,7.9984803,0.049951173,235520,235520,0.4949108362197876,660.0046247700001,294,856.2919533252716,1799.8,-0.0016641149
1.7119433,116,0.0037206959,18.58125,0.038330078,237568,237568,0.3444950580596924,643.81152104,288,863.255117893219,1720.52,-0.0019569881
1.7216127,117,0.004837432,8.0135145,0.05493164,239616,239616,0.31374305486679077,636.29365848,279,870.3503534793854,1687.36,-0.00077358284
1.7261403,118,0.0039118547,15.102244,0.042382814,241664,241664,0.3771337866783142,626.67769233,279,877.6879980564117,1638.66,-0.00034103045
1.729654,119,0.0024155818,8.18913,0.021240234,243712,243712,0.49337470531463623,625.26428935,287,885.0113689899445,1616.77,-0.0016051807
1.7388012,120,0.0031350455,11.030864,0.034082033,245760,245760,0.48632746934890747,615.94612694,283,892.1449580192566,1572.53,-0.0010305358
1.7410904,121,0.0027295353,7.5788064,0.024267578,247808,247808,0.6153679192066193,615.8287681799999,284,899.381819486618,1553.53,-0.0013345064
1.7405373,122,0.0034154397,7.042576,0.039160155,249856,249856,0.6028845608234406,609.69627625,286,906.5711166858673,1524.4,-0.002356945
1.7389231,123,0.0043595615,4.374837,0.050732423,251904,251904,0.6850272417068481,612.0290569699999,300,913.7094669342041,1521.29,-0.0029758564
1.7326771,124,0.0020230399,15.449147,0.0126953125,253952,253952,0.5030520856380463,599.5444620899999,287,920.5290582180023,1452.69,0.00047177542
1.7330385,125,0.0037824835,11.215658,0.042333983,256000,256000,0.5044611096382141,588.7635566,288,927.6467995643616,1407.02,-0.0025251694
1.7369528,126,0.0034987633,15.608594,0.037841797,258048,258048,0.43279749155044556,577.59128432,281,934.7577502727509,1352.1,-0.0023782302
1.7354368,127,0.0032572988,10.53869,0.034814455,260096,260096,0.6393156945705414,570.2457094800001,282,942.0226638317108,1310.27,-0.0013431313
1.7314565,128,0.004294044,8.101225,0.051855467,262144,262144,0.5549741089344025,567.3375081199999,283,949.2797904014587,1286.15,-0.0025132026
1.7321987,129,0.003800237,13.670497,0.043554686,264192,264192,0.6042211651802063,551.97388011,280,956.493894815445,1226.97,-0.0029418045
1.7453263,130,0.0032557647,12.135965,0.032568358,266240,266240,0.5750246345996857,541.1469885399999,290,963.8017480373383,1182.12,-0.003240886
1.7572367,131,0.005325894,4.6776557,0.06225586,268288,268288,0.6549546122550964,538.25520784,284,970.8461382389069,1168.41,0.0014544002
1.754804,132,0.0051842635,13.272478,0.057128906,270336,270336,0.4134737253189087,535.42472647,274,978.0530798435211,1139.19,-0.0038176596
1.7571974,133,0.0025083586,8.960157,0.023535157,272384,272384,0.5551651418209076,534.5205808400001,281,985.5247132778168,1123.16,-0.0022572349
1.761392,134,0.0033360415,4.006699,0.036132812,274432,274432,0.7190825641155243,534.47526401,280,992.8108477592468,1121.51,-0.0021266511
1.7582048,135,0.004551482,12.724909,0.05708008,276480,276480,0.5301016271114349,522.0212413200002,279,1000.1163482666016,1092.48,-0.0047376025
1.7607524,136,0.0029043213,8.422687,0.031445313,278528,278528,0.5603364408016205,511.05615307,284,1007.4372227191925,1068.04,-0.0021862509
1.7676535,137,0.004547696,9.123307,0.054833986,280576,280576,0.5039614737033844,504.7228836299999,282,1014.6376097202301,1053.84,-0.003032439
1.7769696,138,0.002650755,11.757479,0.02836914,282624,282624,0.6659857034683228,489.72133766999997,295,1021.8761103153229,1017.36,-0.0020360076
1.7921417,139,0.006669238,6.126571,0.08916016,284672,284672,0.57459557056427,494.63358793,295,1028.808994293213,1026.24,-0.0028556644
1.7901999,140,0.0035382647,4.90348,0.037890624,286720,286720,0.6570192873477936,495.06186933000004,285,1035.7411682605743,1026.47,-0.0017168736
1.7961369,141,0.0031627268,12.961757,0.032177735,288768,288768,0.5107792317867279,485.4066844,282,1042.9174630641937,994.11,-0.0043165507
1.8016081,142,0.0029999295,4.9390135,0.03251953,290816,290816,0.610958993434906,490.71743397,289,1050.1585881710052,1003.3,-0.0011513169
1.8049805,143,0.0027620562,12.063146,0.029052734,292864,292864,0.5574034750461578,472.93662308,287,1057.2344934940338,964.88,-0.0035507623
1.806436,144,0.0033006635,4.0720687,0.034179688,294912,294912,0.6368504464626312,468.5405766599999,292,1064.369999408722,957.26,-0.0017400807
1.8108406,145,0.0026397847,11.855852,0.025439452,296960,296960,0.5067143440246582,466.51172892999995,282,1071.3680551052094,954.17,-0.0014409906
1.8193285,146,0.0030843744,3.9822204,0.031933594,299008,299008,0.7988962531089783,460.79980090999993,284,1078.6242935657501,943.77,-0.0053761434
1.8192575,147,0.0039060407,6.3427052,0.04526367,301056,301056,0.6046706438064575,466.49819842,274,1085.8318614959717,954.84,0.00065906707
1.8166952,148,0.0033488448,5.4812465,0.038134765,303104,303104,0.7252175509929657,470.84441733,276,1093.2821309566498,959.46,-0.0022321125
1.8254287,149,0.002605047,9.317858,0.02841797,305152,305152,0.5922152996063232,469.44669028000004,273,1100.703277349472,956.49,-0.0011382173
1.820077,150,0.0030704006,17.11832,0.032226562,307200,307200,0.5598810017108917,446.6454921800001,283,1108.1845564842224,910.64,-0.0038082902
1.8234516,151,0.0033254742,4.2234554,0.03857422,309248,309248,0.7078864872455597,445.1230498800001,277,1115.4069192409515,907.19,-0.002531063
1.8309902,152,0.0028398726,15.066704,0.027539063,311296,311296,0.49017322063446045,441.91851672000007,286,1122.7917330265045,899.1,-0.0024732915
1.8254402,153,0.0025657727,10.838439,0.02607422,313344,313344,0.7129872441291809,439.63861084,289,1129.936369419098,893.37,0.00010448289
1.83113,154,0.0035259787,7.766453,0.039453126,315392,315392,0.7248957753181458,434.03210893000005,282,1137.022151708603,882.24,-0.0030185124
1.8380063,155,0.0033161175,11.734344,0.035498045,317440,317440,0.6142203509807587,434.26693573999995,283,1144.2675740718842,886.52,0.00019748948
1.8283803,156,0.0021506166,15.519552,0.017382812,319488,319488,0.6297210454940796,410.08054488,281,1151.4832026958466,839.52,0.00019776393
1.8255053,157,0.0045487033,11.742552,0.052197266,321536,321536,0.6655573546886444,411.9892445400001,287,1158.749624967575,841.46,-0.0034131326
1.8273506,158,0.0044367984,5.350034,0.051416017,323584,323584,0.5409395396709442,419.56615267,273,1165.867277622223,857.54,-0.0012173678
1.8291683,159,0.006420198,15.584257,0.07050781,325632,325632,0.6319773495197296,428.65035014999995,288,1173.3490552902222,871.51,-0.0024094596
1.8370533,160,0.0039320663,7.0391426,0.043945312,327680,327680,0.7649157643318176,425.0560665299999,279,1180.4574220180511,857.78,-0.0038743496
1.8349403,161,0.0034265283,9.750498,0.036572266,329728,329728,0.699539065361023,435.87140872,280,1187.7792916297913,877.18,-0.002692323
1.8302253,162,0.0047178324,12.724633,0.053857423,331776,331776,0.766575038433075,429.9317688699999,277,1195.089809179306,864.26,-0.0048798826
1.8400433,163,0.004481801,16.607924,0.048828125,333824,333824,0.6557252407073975,426.29332263000003,287,1202.4686477184296,855.91,-0.0020690705
1.85276,164,0.0032760012,12.519693,0.034570314,335872,335872,0.653457522392273,416.82426297000006,289,1209.5880799293518,836.31,-0.0021713292
1.8643557,165,0.0056997584,5.721582,0.07192383,337920,337920,0.7673909068107605,419.43502061,283,1216.6680018901825,840.59,-0.0034892014
1.8832321,166,0.0034770425,10.43987,0.041064452,339968,339968,0.5077838599681854,429.08853958,278,1223.8975112438202,860.9,-0.001959313
1.9057701,167,0.0033505778,9.470641,0.03652344,342016,342016,0.7270581722259521,436.33944386,291,1231.2413682937622,872.27,0.00059594266
1.9225218,168,0.0031776917,11.912631,0.032666016,344064,344064,0.7359945476055145,436.25171838000017,288,1238.269760131836,870.21,-0.0025009182
1.9336154,169,0.005306746,14.946508,0.06196289,346112,346112,0.7406095862388611,429.94961341999993,289,1245.3583376407623,856.52,-0.0018868744
1.9430835,170,0.0025921124,16.1562,0.026171874,348160,348160,0.6981337368488312,427.98269595,283,1252.425439119339,851.69,-0.0022260188
1.9448763,171,0.0019795853,9.431898,0.016748047,350208,350208,0.7477732002735138,427.1603413300001,280,1259.6626601219177,850.52,-0.00037842747
1.9468731,172,0.0055002784,6.003125,0.068408206,352256,352256,0.658640593290329,435.85033117000006,293,1266.9580521583557,866.25,-0.0013634285
1.9618412,173,0.003340757,4.2851944,0.033154298,354304,354304,0.8444898873567581,439.28010542000004,289,1273.9371135234833,871.59,-0.00020534245
1.9741722,174,0.0028247475,17.507837,0.026855469,356352,356352,0.6393851935863495,436.7102394700001,292,1281.023653268814,867.76,-0.0016815985
1.9824454,175,0.0028088856,7.292978,0.030029297,358400,358400,0.8228146731853485,428.2545892400001,284,1288.0229561328888,851.65,-0.0021808378
1.9949611,176,0.005787196,14.963064,0.07290039,360448,360448,0.6313359439373016,426.13501148,293,1295.2327091693878,847.08,-0.0053024706
2.000625,177,0.0024653352,13.803813,0.023779297,362496,362496,0.7080082595348358,416.17127249,291,1302.2064456939697,826.67,-0.0011418613
2.0109353,178,0.0036137826,9.866915,0.035742186,364544,364544,0.8103152364492416,414.9136921300001,269,1309.2398688793182,823.97,-0.0041311383
2.02237,179,0.0044849645,10.22011,0.04111328,366592,366592,0.7160715758800507,406.91543966000006,270,1316.8457112312317,809.1,0.00031122335
2.0244765,180,0.0031771362,8.8580675,0.029541016,368640,368640,0.8467764109373093,401.38347838999994,281,1324.415298461914,798.22,-0.0038255278
2.033743,181,0.003163701,8.022722,0.032421876,370688,370688,0.851778507232666,394.19087468,285,1331.691395521164,784.12,-0.001034522
2.0461648,182,0.0035833209,7.3589935,0.035449218,372736,372736,0.8795787990093231,382.42957115999997,271,1338.8696556091309,758.59,-0.0033856302
2.0513763,183,0.002983341,10.758609,0.028857421,374784,374784,0.8352829217910767,366.62002342,265,1346.4026234149933,729.26,-0.0048143202
2.0610003,184,0.0031696588,11.228304,0.032177735,376832,376832,0.8428180813789368,355.5130915200001,282,1354.1151835918427,705.3,-0.0040120026
2.0668292,185,0.003993011,14.308718,0.039208986,378880,378880,0.7881783992052078,346.17769899,283,1361.3533301353455,685.49,-0.0036485386
2.0760355,186,0.004520962,10.430243,0.047509767,380928,380928,0.8122960329055786,336.6772389000001,289,1368.5787100791931,668.25,-0.0045738607
2.0940123,187,0.003177972,16.088926,0.034814455,382976,382976,0.7392393052577972,330.00763601,278,1375.6603157520294,651.18,-0.0048749195
2.113243,188,0.005193287,13.768863,0.050488282,385024,385024,0.775719165802002,329.64717858999995,286,1383.0094666481018,650.93,-0.005718682
2.129792,189,0.006915731,4.460634,0.09213867,387072,387072,0.8900827541947365,329.94980875,283,1390.1490280628204,651.55,-0.0051216083
