n_updates,serial_timesteps,value_loss,explained_variance,fps,approxkl,total_timesteps,policy_loss,policy_entropy,clipfrac,time_elapsed,ep_reward_mean,ep_len_mean
168,344064,20.029263,0.9271811097860336,189,0.0034328303,344064,-0.0025104396,3.093882,0.037109375,1518.0765030384064,1050.07213344,1072.15
169,346112,20.103964,0.9263024479150772,197,0.0033461056,346112,-0.0027432789,3.099248,0.03354492,1528.8564670085907,1047.73225056,1070.09
170,348160,0.44731942,0.9979957977775484,175,0.00329746,348160,-0.0033108736,3.1080842,0.035595704,1539.247658252716,1029.0707522700002,1051.62
171,350208,19.76068,-0.011048316955566406,140,0.00055798807,350208,-0.00024735127,3.1240108,0.0018554687,1550.8987596035004,1044.96490396,1067.47
172,352256,20.944542,0.9541270397603512,252,0.0026787412,352256,-0.0026101083,3.1270592,0.026220703,1565.457885503769,1021.5209613799999,1044.03
173,354304,0.0083727855,0.9998261873988668,143,0.00853504,354304,-0.008682658,3.119639,0.11669922,1573.5600745677948,1021.0254105399998,1043.55
174,356352,19.076008,0.9546556808054447,451,0.0033173773,356352,-0.0044004302,3.110609,0.03334961,1587.8389592170715,1035.3342643499998,1057.52
175,358400,1.7948835,0.99423732701689,425,0.005046007,358400,-0.0049711037,3.0971332,0.05444336,1592.372171163559,1004.7303637999999,1026.82
176,360448,19.297773,0.04438138008117676,133,0.0056895344,360448,-0.002829882,3.0789208,0.071826175,1597.189860343933,1021.7058116799998,1043.73
177,362496,0.9169895,0.9973964842502028,234,0.006279382,362496,-0.00997054,3.0742006,0.0831543,1612.5689947605133,984.4867146199999,1006.55
178,364544,19.955868,0.8739127516746521,157,0.0023688814,364544,-0.0005253633,3.0716918,0.02080078,1621.3210957050323,982.74203154,1004.8
179,366592,19.910055,-0.007794618606567383,141,0.0029837782,366592,-0.00083243137,3.0637636,0.02866211,1634.3451943397522,982.6200420299999,1004.8
180,368640,20.326708,0.7392238080501556,169,0.0067585087,368640,-0.0037779412,3.0626402,0.095263675,1648.8453509807587,993.0116190699998,1014.98
181,370688,4.036834,0.9885830581188202,318,0.006313694,370688,-0.005042697,3.0669532,0.079638675,1660.9452857971191,944.09777777,966.09
182,372736,20.835798,0.7500933855772018,161,0.00563869,372736,-0.0033496483,3.0658844,0.07651367,1667.3760764598846,958.3042606799999,980.17
183,374784,1.3967769,0.8826159909367561,134,0.008605672,374784,-0.011058427,3.044952,0.1050293,1680.0618007183075,957.50492113,979.3
184,376832,15.259737,0.9123772010207176,187,0.002052934,376832,-0.001308594,3.0265617,0.016992187,1695.293361902237,956.4390715499998,977.95
185,378880,20.10097,-0.01099097728729248,141,0.00679071,378880,-0.0017819874,3.0304809,0.09233399,1706.2133927345276,956.3629178399999,977.95
