approxkl,serial_timesteps,explained_variance,ep_len_mean,policy_loss,time_elapsed,ep_reward_mean,total_timesteps,clipfrac,n_updates,value_loss,policy_entropy,fps
0.0017598632,155648,0.9545663893222809,1277.13,-0.0036247366,1056.787390947342,912.43022262,155648,0.016113281,76,8.24264,4.268603,146
0.0015639707,157696,0.9444215632975101,1292.96,-0.0035301738,1070.7307460308075,926.7556777099999,157696,0.015380859,77,12.949353,4.271878,127
0.003152394,159744,0.9529659189283848,1296.66,-0.0046262396,1086.8547570705414,928.1328066199999,159744,0.032666016,78,10.60718,4.2798457,141
0.003513955,161792,0.9548367969691753,1306.99,-0.0065206615,1101.2990038394928,938.9104355199997,161792,0.033691406,79,8.20302,4.288617,157
0.0032394733,163840,0.951088335365057,1320.0,-0.0053769527,1114.3250963687897,952.0304062299998,163840,0.038964845,80,12.291927,4.3065615,130
0.0038479574,165888,0.9704351034015417,1331.2,-0.004551559,1130.0386717319489,962.3555859200001,165888,0.043017577,81,2.9585423,4.3231306,179
0.0012728322,167936,0.5013888478279114,1322.73,-0.0017315866,1141.440854549408,958.3640663900001,167936,0.011767578,82,54.238716,4.3169403,67
0.0036596723,169984,0.9259396865963936,1294.42,-0.008075672,1171.6945798397064,935.1727402200002,169984,0.037646484,83,16.35101,4.3296185,131
0.001455311,172032,0.9394064508378506,1296.89,-0.004042963,1187.218092918396,940.3086718800001,172032,0.015771484,84,12.909488,4.3432074,126
0.00411486,174080,0.9625786878168583,1290.24,-0.004001446,1203.3680295944214,938.9954668000001,174080,0.04008789,85,2.6911626,4.32619,179
0.0046494473,176128,0.9485850445926189,1294.72,-0.008475629,1214.7709345817566,944.5067578200002,176128,0.038476564,86,8.8100605,4.30261,148
0.003567099,178176,0.9584645554423332,1272.95,-0.00380808,1228.5612089633942,929.2926347800001,178176,0.034326173,87,7.2633286,4.3096814,138
0.0034011696,180224,0.9690198376774788,1285.73,-0.008228366,1243.3936083316803,942.2069961100002,180224,0.025195312,88,6.038426,4.3204923,148
0.0017790621,182272,0.8907618522644043,1286.21,-0.0020768978,1257.1902990341187,948.59427541,182272,0.016455078,89,18.890194,4.331663,101
0.0063335337,184320,0.9856422496959567,1269.76,-0.0038563695,1277.304020166397,935.5621035400001,184320,0.06694336,90,1.0008287,4.3374586,202
0.0016852983,186368,0.8444245755672455,1206.97,-0.0021669483,1287.4359517097473,897.5998789399999,186368,0.014941406,91,21.32819,4.3350654,94
0.00299835,188416,0.8722936362028122,1104.11,-0.0043405443,1309.0784485340118,831.13992581,188416,0.034326173,92,17.171026,4.3322134,107
0.003680116,190464,0.9639012962579727,1073.21,-0.0031482056,1328.1243169307709,802.2727148799999,190464,0.037060548,93,9.493696,4.330414,125
0.002558446,192512,0.7812168449163437,1042.28,-0.0050250716,1344.385865688324,774.1407637,192512,0.026953125,94,20.963581,4.327206,68
0.0030483485,194560,0.8261039704084396,997.42,-0.0043913177,1374.1453595161438,735.8938379200001,194560,0.03286133,95,21.846722,4.330153,69
0.0020346092,196608,0.7490020096302032,916.18,-0.004871214,1403.7510032653809,664.8889570599999,196608,0.020507812,96,18.57868,4.34006,78
0.0021086398,198656,0.7580225020647049,893.86,-0.0039146766,1429.86279296875,650.5382519799999,198656,0.021435548,97,11.243703,4.3407874,115
0.002695204,200704,0.8156779259443283,815.84,-0.0038724118,1447.5957026481628,594.74671877,200704,0.029785156,98,19.15646,4.3411427,74
0.0050265174,202752,0.9764612913131714,798.86,-0.008070799,1474.9040038585663,578.5408828300001,202752,0.052441407,99,2.5905719,4.3504014,197
0.00237542,204800,0.9781345333904028,802.62,-0.0038738102,1485.28728890419,584.6374277499999,204800,0.022705078,100,4.714155,4.3561373,153
0.0012306764,206848,0.9421502389013767,735.75,-0.0023119326,1498.5892043113708,536.2171015600001,206848,0.0109375,101,12.707247,4.357373,106
0.0023333014,208896,0.9707255493849516,734.72,-0.007400421,1517.7937507629395,535.16652148,208896,0.023339843,102,3.943626,4.356764,198
