clipfrac,policy_loss,value_loss,total_timesteps,policy_entropy,n_updates,explained_variance,fps,time_elapsed,serial_timesteps,approxkl,ep_reward_mean,ep_len_mean
0.04448242,-0.00028652177,20.225586,133120,3.6141467,65,-0.0014535188674926758,419,319.89630484580994,133120,0.0040814937,2039.037551765625,2049.0
0.050830077,-0.0007253307,20.142181,135168,3.630235,66,-0.007912874221801758,415,324.77493119239807,135168,0.0043680733,2039.0822336,2049.0
0.04736328,-0.00082304963,20.116041,137216,3.6423995,67,-0.004041314125061035,440,329.70573687553406,137216,0.004086735,2039.1630812121214,2049.0
0.04663086,-0.0002317678,20.041813,139264,3.6569722,68,-0.0029604434967041016,419,334.35431718826294,139264,0.0041738013,2039.201540283582,2049.0
0.047314454,-0.00039257715,20.065487,141312,3.6627395,69,0.002245008945465088,425,339.232070684433,141312,0.0040519247,2039.272823897059,2049.0
0.036083985,-0.0009861068,20.162113,143360,3.669232,70,-0.00010156631469726562,414,344.0463287830353,143360,0.0034234833,2039.3619029565218,2049.0
0.026904296,-0.00018015834,20.14819,145408,3.6787586,71,-0.005624532699584961,426,348.9909944534302,145408,0.0025997604,2039.4429161428573,2049.0
0.054638673,-0.0015066165,20.01408,147456,3.6904244,72,-0.0007774829864501953,426,353.7966287136078,147456,0.0045610466,2039.5208780704227,2049.0
0.09560547,-0.0037214465,19.953959,149504,3.6946266,73,-0.0006549358367919922,437,358.6016364097595,149504,0.0072506107,2039.5623821111112,2049.0
0.01694336,0.0002804508,19.850895,151552,3.7040286,74,-0.00523984432220459,410,363.285772562027,151552,0.0022436625,2039.6090906438355,2049.0
0.06333008,-0.0021686882,19.944206,153600,3.724018,75,-0.02340555191040039,419,368.27368807792664,153600,0.0049540233,2039.6956264459461,2049.0
0.04975586,-0.0015102128,19.778608,155648,3.7609277,76,-0.008058667182922363,422,373.16408944129944,155648,0.0043783574,2039.7425402266667,2049.0
0.015673827,-0.0005926834,19.887287,157696,3.7987106,77,-0.002247452735900879,412,378.0072662830353,157696,0.0018116923,2039.784164,2049.0
0.04536133,-0.0009892157,19.990414,159744,3.8051243,78,-0.010330796241760254,424,382.97581124305725,159744,0.0039364235,2039.8351643506494,2049.0
0.011572266,-0.0014576406,19.947899,161792,3.8032207,79,-0.00046634674072265625,428,387.798641204834,161792,0.0019084902,2039.8865974487182,2049.0
