policy_entropy,time_elapsed,value_loss,approxkl,clipfrac,explained_variance,serial_timesteps,policy_loss,fps,total_timesteps,n_updates,ep_reward_mean,ep_len_mean
4.907344,1232.8622148036957,19.730656,0.003437228,0.0421875,0.8462436497211456,507904,-0.0018260669,426,507904,248,836.84245238,1128.84
4.904417,1237.6647355556488,10.331842,0.0036035627,0.042382814,0.7332731783390045,509952,-0.003418836,428,509952,249,837.3357453100001,1128.84
4.905707,1242.447293996811,10.544967,0.0029133349,0.031982422,0.8949706554412842,512000,-0.005231821,497,512000,250,845.9110216000001,1143.39
4.8980246,1246.5699338912964,19.610918,0.0032431115,0.040380858,0.8450094312429428,514048,-0.0016125474,420,514048,251,862.2832274400002,1160.77
4.896716,1251.443702697754,2.3062286,0.0070184236,0.07905273,0.9859104435890913,516096,-0.0130519,456,516096,252,872.7998425000001,1172.6
4.897107,1255.9323635101318,19.156693,0.005939287,0.07543945,0.8455508202314377,518144,-0.0034052376,440,518144,253,891.1822235100001,1192.5
4.8935738,1260.582151889801,21.048502,0.0026997274,0.026416015,0.8704822808504105,520192,-0.0020800887,483,520192,254,909.21250202,1212.44
4.8926234,1264.8194313049316,27.035915,0.0037754425,0.044628907,0.8721009343862534,522240,-0.0035001866,436,522240,255,926.5853576500001,1232.64
4.8917184,1269.5092115402222,12.069036,0.0028330195,0.029785156,0.8006720691919327,524288,-0.0026990038,390,524288,256,938.9591661300001,1252.41
4.888695,1274.7579913139343,20.019817,0.0048482213,0.056103516,0.8451511263847351,526336,-0.0014561035,399,526336,257,956.73734319,1270.06
4.8954024,1279.885468006134,12.119074,0.004862814,0.059667967,0.4987519383430481,528384,-0.0036136738,411,528384,258,967.8764584000002,1287.43
4.9011116,1284.8618957996368,11.146967,0.0035545055,0.04296875,0.5605204105377197,530432,-0.0038496018,464,530432,259,962.53912335,1287.43
4.8836236,1289.2758314609528,21.200287,0.0024060388,0.020996094,0.8398698717355728,532480,-0.00522808,418,532480,260,978.48445813,1307.28
4.871376,1294.167349100113,6.7208138,0.0039007491,0.04458008,0.8750838860869408,534528,-0.0044346945,470,534528,261,971.52715301,1306.41
4.8730483,1298.5179386138916,9.44374,0.0035905917,0.037597656,0.9074582755565643,536576,-0.003676214,401,536576,262,974.71994711,1310.87
