n_updates,policy_loss,value_loss,total_timesteps,approxkl,serial_timesteps,time_elapsed,clipfrac,explained_variance,policy_entropy,fps,ep_reward_mean,ep_len_mean
113,-0.002995043,19.232937,231424,0.004019684,231424,550.5564563274384,0.047021486,0.8792202547192574,4.566348,429,1045.2873098999999,1312.13
114,-0.00061820354,19.70662,233472,0.0036358882,233472,555.3218545913696,0.036865234,0.8647589236497879,4.562388,395,1058.4644463400002,1323.35
115,-0.0027371284,19.344135,235520,0.0023796624,235520,560.5055737495422,0.023632813,0.8563863784074783,4.5664506,399,1073.4967525,1337.49
116,-0.002041671,18.676682,237568,0.0018331427,237568,565.6379663944244,0.014257813,0.8420644551515579,4.566798,436,1057.2684543700002,1320.67
117,-0.0017065052,19.691908,239616,0.0030877125,239616,570.3269057273865,0.035205077,0.8874828219413757,4.5639734,399,1072.84867282,1337.81
118,-0.0029219186,19.410517,241664,0.0030637032,241664,575.4509944915771,0.030615235,0.875320740044117,4.5638967,409,1071.9632928,1337.81
119,-0.003158233,18.961775,243712,0.0037738446,243712,580.454710483551,0.038232423,0.8806613013148308,4.5620966,422,1085.48581921,1351.69
120,-0.0062117153,18.77526,245760,0.008467124,245760,585.303300857544,0.11640625,0.862235352396965,4.556453,413,1100.9308558100004,1367.22
121,-0.0034997656,19.104452,247808,0.004905832,247808,590.2589361667633,0.057373047,0.8801424875855446,4.5563297,413,1100.88399385,1367.22
122,-0.00536172,7.5190735,249856,0.0037257846,249856,595.2108533382416,0.035839844,0.9561775699257851,4.5779395,421,1086.0141468200004,1353.7
123,-0.0037304386,41.776947,251904,0.0036400023,251904,600.0722773075104,0.031640626,0.836892306804657,4.588459,420,1054.31259955,1322.17
124,-0.0033717118,18.932316,253952,0.005730332,253952,604.9397554397583,0.070458986,0.8722183257341385,4.5835676,424,1069.84699862,1337.32
125,-0.0019777734,18.736774,256000,0.0034580075,256000,609.7679042816162,0.03745117,0.8729121685028076,4.579332,394,1085.9061139399998,1353.46
126,-0.001314863,18.254896,258048,0.0031029186,258048,614.9611027240753,0.03178711,0.875792883336544,4.579509,402,1101.51368532,1368.82
127,-0.0009685567,18.702347,260096,0.0024460314,260096,620.0457501411438,0.027392577,0.8639715909957886,4.587698,394,1101.18741245,1368.82
128,-0.0023920164,26.578995,262144,0.0023048609,262144,625.244256734848,0.025537109,0.8797172978520393,4.59461,415,1100.60469003,1367.01
129,-0.0015796877,19.154064,264192,0.0019160223,264192,630.1688094139099,0.016552735,0.8662507683038712,4.6077194,396,1116.85939758,1382.58
130,-0.0019804516,19.429394,266240,0.003673081,266240,635.3404495716095,0.035595704,0.8823889121413231,4.6112742,413,1132.50464199,1397.79
131,-0.004065404,23.376617,268288,0.003146783,268288,640.2991058826447,0.03300781,0.9136746674776077,4.6095505,429,1131.10092954,1394.98
132,-0.0073855007,27.335117,270336,0.005728776,270336,645.0642373561859,0.061865233,0.8734957873821259,4.6133437,430,1147.5952621799997,1411.55
133,-0.002290387,17.880856,272384,0.0023624024,272384,649.8172886371613,0.026757812,0.8617249578237534,4.61491,424,1163.98773951,1428.29
134,-0.0015061613,17.854124,274432,0.005296155,274432,654.6475625038147,0.06137695,0.8541401326656342,4.6117754,412,1180.43230669,1445.98
135,-0.0017117677,17.109133,276480,0.002556156,276480,659.614180803299,0.026416015,0.8673631399869919,4.611827,402,1180.2310030400001,1445.98
136,-0.002336559,16.980661,278528,0.0044090096,278528,664.6982498168945,0.051953126,0.8569031059741974,4.607305,422,1179.94470574,1445.98
137,-0.008507462,5.490551,280576,0.004763776,280576,669.5417866706848,0.05180664,0.9644922092556953,4.6034174,423,1191.7680153800002,1457.45
138,-0.0026515464,15.5916195,282624,0.0040710205,282624,674.3761320114136,0.043554686,0.8870464190840721,4.6128197,412,1207.77109148,1474.19
139,-0.003556251,17.222294,284672,0.0042810105,284672,679.3377673625946,0.048828125,0.8698368966579437,4.6226835,395,1221.5386104200002,1487.45
140,-0.00095050194,16.88947,286720,0.0020831698,286720,684.5154130458832,0.018847656,0.8418742269277573,4.6228356,387,1235.96849859,1501.94
141,-0.0019549853,17.306458,288768,0.0025485132,288768,689.8000087738037,0.028759766,0.8320302069187164,4.6177454,401,1251.19892662,1516.39
142,-0.001476427,29.23644,290816,0.0018000124,290816,694.9053800106049,0.0145019535,0.8765760436654091,4.613943,419,1249.91506051,1512.83
143,-0.003468059,16.716654,292864,0.0047163414,292864,699.7911236286163,0.05415039,0.8780370950698853,4.609059,397,1265.28718539,1528.86
144,-0.004299542,8.515185,294912,0.004910742,294912,704.9466061592102,0.04194336,0.9593987166881561,4.611289,437,1264.2681917700002,1527.51
145,-0.0039154235,33.20719,296960,0.0029542535,296960,709.6273624897003,0.03251953,0.8529241681098938,4.6232023,449,1266.0302753899998,1530.33
146,-0.009089622,15.213674,299008,0.004851158,299008,714.1826367378235,0.045947265,0.9414045885205269,4.628661,452,1235.45311682,1499.01
147,-0.0050157066,26.875156,301056,0.0037158995,301056,718.7092959880829,0.044287108,0.9127135723829269,4.621724,425,1219.34403734,1481.58
148,-0.0010600928,20.292698,303104,0.0040102205,303104,723.5274703502655,0.04838867,0.8820612728595734,4.610996,398,1231.99536046,1492.19
149,-0.004534523,17.788467,305152,0.0077167256,305152,728.6685311794281,0.09848633,0.8531240224838257,4.612227,397,1231.46894029,1492.19
150,-0.00570646,21.470509,307200,0.004012103,307200,733.8173158168793,0.04736328,0.9211687073111534,4.627798,410,1216.0475790599999,1475.79
151,-0.0042441185,8.173231,309248,0.0044445954,309248,738.8142488002777,0.04848633,0.9562726505100727,4.638149,410,1215.6455827799998,1475.06
152,-0.004229961,26.870853,311296,0.0035337824,311296,743.805967092514,0.041259766,0.8971826285123825,4.6406107,423,1201.2068093199998,1459.74
153,-0.0022692557,20.17586,313344,0.0036509666,313344,748.6388502120972,0.03754883,0.8653612434864044,4.644349,419,1200.6921750699998,1459.74
154,-0.005738209,23.720829,315392,0.0040070787,315392,753.5265529155731,0.04790039,0.9075124636292458,4.6495214,406,1202.31775603,1460.28
155,-0.0034574382,20.749008,317440,0.004078625,317440,758.5642609596252,0.052734375,0.8567118644714355,4.650405,403,1202.322999,1460.28
156,-0.0017026042,19.562046,319488,0.0021175616,319488,763.6397614479065,0.01586914,0.8780802637338638,4.645143,418,1201.85133176,1460.28
157,-0.007871276,19.836926,321536,0.00831189,321536,768.5397486686707,0.12163086,0.8576483428478241,4.6427407,420,1201.2811366499998,1460.28
158,-0.003435349,20.34401,323584,0.0039956644,323584,773.4127054214478,0.043408204,0.8737228363752365,4.6446624,411,1216.9800839399998,1476.48
159,-0.0024219542,26.216915,325632,0.0032207165,325632,778.3879930973053,0.037109375,0.8997572511434555,4.643258,442,1198.77463987,1459.9
160,-0.0031929617,19.871328,327680,0.0045595565,327680,783.0214161872864,0.05654297,0.83633953332901,4.641761,395,1198.44887827,1459.9
161,-0.0063733957,24.093525,329728,0.004049136,329728,788.204353094101,0.02890625,0.8850510790944099,4.6500664,410,1183.75900706,1444.03
162,-0.0010107695,19.594135,331776,0.0038057235,331776,793.1998114585876,0.045947265,0.8532511293888092,4.6673484,397,1184.55960738,1444.03
163,-0.0024721776,19.515121,333824,0.004444986,333824,798.3557496070862,0.0597168,0.8674193769693375,4.676838,413,1199.4959830100001,1458.94
164,-0.0059081875,6.267701,335872,0.003982034,335872,803.3102264404297,0.034716796,0.9727771375328302,4.691676,422,1183.75908335,1443.62
165,-0.0020760908,24.886654,337920,0.002774246,337920,808.160749912262,0.02758789,0.8998178318142891,4.7003956,420,1183.4232407299999,1443.49
166,-0.0026778313,22.613676,339968,0.0024994556,339968,813.0269870758057,0.024023438,0.9097537100315094,4.7050323,423,1167.32415056,1427.36
167,-0.0010284733,30.887344,342016,0.0032040025,342016,817.8668234348297,0.033837892,0.7281121909618378,4.7022214,449,1139.7777645,1400.08
168,-0.0008235952,18.940016,344064,0.0070693307,344064,822.427060842514,0.09047852,0.8607904314994812,4.7089615,408,1140.9052824,1400.08
169,-0.0066247387,9.982736,346112,0.005218325,346112,827.4373717308044,0.046191406,0.9657037444412708,4.7159743,432,1109.61705138,1367.55
170,-0.0014185698,19.560246,348160,0.0041903695,348160,832.1747717857361,0.05053711,0.8800640106201172,4.717602,418,1109.11684827,1367.55
171,-0.0053911703,27.845236,350208,0.0040029497,350208,837.0682120323181,0.03540039,0.8706658035516739,4.7141275,407,1108.47572836,1366.42
172,-0.0013705732,36.485733,352256,0.0019865544,352256,842.0917162895203,0.018310547,0.8612228780984879,4.7132254,418,1108.4998897699998,1366.11
173,-0.003210495,30.045755,354304,0.002063622,354304,846.9851458072662,0.019921875,0.7501757889986038,4.7118173,452,1075.07179626,1326.57
174,-0.0073315864,8.960314,356352,0.0025594502,356352,851.5080432891846,0.026367188,0.9608959183096886,4.7127776,383,1058.55379535,1309.2
175,-0.0035911077,27.729153,358400,0.0022489647,358400,856.8495674133301,0.022705078,0.912836842238903,4.7103567,425,1041.5163926300002,1290.14
176,-0.0029691923,19.1826,360448,0.0053513753,360448,861.6617493629456,0.0659668,0.8720748871564865,4.704779,409,1056.7498889,1304.3
177,-0.0018636545,19.624165,362496,0.0040763333,362496,866.669189453125,0.052734375,0.8705597668886185,4.7088623,397,1056.88806142,1304.3
178,-0.0015445512,20.06635,364544,0.0032535754,364544,871.8236703872681,0.039892577,0.8778451681137085,4.720583,416,1056.59620761,1304.3
179,-0.004119684,26.820156,366592,0.0018563215,366592,876.736132144928,0.017333984,0.92155472189188,4.7377596,420,1052.8856064200002,1299.72
180,-0.0051321574,11.437959,368640,0.003197696,368640,881.6129024028778,0.030664062,0.9576060734689236,4.755885,423,1037.64881206,1283.08
181,-0.0029870723,24.156536,370688,0.0026439843,370688,886.4487528800964,0.026708985,0.9008821472525597,4.769539,418,1024.68048872,1269.06
182,-0.004309223,17.199064,372736,0.0027863942,372736,891.3377497196198,0.027441407,0.9204894825816154,4.7785053,443,999.7759692600001,1245.52
183,-0.0018921777,23.744413,374784,0.0025492564,374784,895.9573197364807,0.025830079,0.9067961275577545,4.7781496,409,998.2499552300002,1242.71
184,-0.0020525176,19.375725,376832,0.002350424,376832,900.9579226970673,0.025927734,0.8772844895720482,4.7768087,405,1013.9860029000001,1258.93
185,-0.0011254359,21.85681,378880,0.003980062,378880,906.008805513382,0.03984375,0.9147769585251808,4.766899,419,1012.8955831999999,1257.91
186,-0.0040382985,15.294698,380928,0.0032318302,380928,910.8963248729706,0.02861328,0.9352075308561325,4.759139,444,981.6760129699999,1227.16
187,-0.0022242458,19.340717,382976,0.005433544,382976,915.509110212326,0.06689453,0.8781238570809364,4.749065,401,982.2562891499999,1227.16
188,-0.006839291,9.771186,385024,0.0037716553,385024,920.60932970047,0.03359375,0.9311057403683662,4.7409644,420,973.6064841499999,1219.02
