n_updates,explained_variance,fps,serial_timesteps,time_elapsed,approxkl,policy_loss,clipfrac,total_timesteps,policy_entropy,value_loss,ep_len_mean,ep_reward_mean
86,0.9149025976657867,542,176128,291.8922212123871,0.0050716167,-9.714585e-05,0.069042966,176128,6.605207,19.486332,1850.9894736842105,1268.306777368421
87,0.9212097674608231,546,178176,295.66619396209717,0.0055362443,-0.003584376,0.07080078,178176,6.613693,19.50606,1853.0520833333333,1272.3602232083333
88,0.915693424642086,552,180224,299.41691493988037,0.002390003,-0.0015749974,0.024658203,180224,6.615121,20.094128,1855.0721649484535,1275.828555072165
89,0.9113339111208916,546,182272,303.1232829093933,0.005495048,-0.0025527128,0.06977539,182272,6.6206255,19.883593,1857.0510204081634,1280.2893291836733
90,0.9132680520415306,551,184320,306.87321424484253,0.0043673683,-0.001756772,0.052734375,184320,6.614373,19.796682,1858.989898989899,1284.3260073939393
91,0.9163825884461403,543,186368,310.5902614593506,0.006970424,-0.0039583975,0.09423828,186368,6.6128855,20.279648,1860.89,1288.1582313699998
92,0.9159825295209885,546,188416,314.35603404045105,0.00433104,-0.00091448444,0.055517577,188416,6.6087465,20.327827,1860.89,1292.99131198
93,0.9163519963622093,553,190464,318.1070098876953,0.0033113572,-0.00080768985,0.03696289,190464,6.5919256,20.141739,1860.89,1296.90255328
94,0.928248681128025,638,192512,321.8096709251404,0.0013728479,-0.0017978235,0.011962891,192512,6.5779076,8.612635,1849.7,1284.55522869
95,0.9104950875043869,553,194560,325.0163824558258,0.0067461384,-0.0052107046,0.096875,194560,6.570569,20.509441,1849.7,1281.30827689
96,0.8901050165295601,592,196608,328.71828532218933,0.0017672079,-0.0014219763,0.016308594,196608,6.565007,20.719055,1849.7,1285.71099212
97,0.8987553641200066,545,198656,332.1756980419159,0.0038373098,0.00026044343,0.050390624,198656,6.562641,20.322979,1849.7,1287.94172592
98,0.9109553918242455,540,200704,335.93245220184326,0.0025662994,-0.00060329324,0.02211914,200704,6.5603957,19.953915,1849.7,1293.26831685
99,0.9066921100020409,548,202752,339.723521232605,0.0025305976,-0.00070044206,0.025244141,202752,6.5510054,19.871328,1849.7,1298.2525258
100,0.8887195661664009,592,204800,343.4556109905243,0.0055250684,-0.003844016,0.07509766,204800,6.547433,20.954056,1849.7,1302.8342026100001
101,0.9048260152339935,556,206848,346.91208028793335,0.002653458,0.00020499756,0.025195312,206848,6.534814,20.174463,1849.7,1306.00255988
102,0.9073025658726692,547,208896,350.5905523300171,0.004274194,-0.0024169784,0.052734375,208896,6.520488,20.18533,1849.7,1310.52015558
103,0.8893683031201363,597,210944,354.3318269252777,0.0043977527,-0.0028987252,0.05698242,210944,6.5253816,20.801376,1849.7,1309.7549926699999
104,0.9354583024978638,605,212992,357.76020312309265,0.003226289,-0.0017704815,0.033251952,212992,6.520102,12.461986,1849.7,1310.2033078099998
105,0.9110644534230232,542,215040,361.14132380485535,0.00812914,-0.0028731627,0.10834961,215040,6.512971,20.026543,1849.7,1314.70773348
106,0.8902794718742371,571,217088,364.9189803600311,0.0029472231,-0.00055400946,0.029150391,217088,6.51517,20.422737,1849.7,1319.74522886
107,0.9099648147821426,558,219136,368.5026934146881,0.0032899075,-0.0014821817,0.030322265,219136,6.502101,19.986216,1849.7,1323.2347730600002
108,0.9015293419361115,539,221184,372.1718327999115,0.006154745,-0.0018785751,0.077978514,221184,6.4970107,19.825037,1849.7,1327.6669511100001
109,0.8926648199558258,584,223232,375.96950006484985,0.0030912196,-0.0021077371,0.036230467,223232,6.5086784,25.709034,1842.05,1328.26682218
110,0.903694823384285,552,225280,379.4737317562103,0.0052577206,-0.0035584732,0.057617188,225280,6.511754,19.750427,1842.05,1332.57788886
111,0.9040955677628517,537,227328,383.1842408180237,0.0041079163,-0.00015031305,0.044921875,227328,6.5075073,19.567053,1842.05,1337.98649572
112,0.8053745478391647,649,229376,386.9981961250305,0.007866985,-0.006303148,0.07236328,229376,6.5030837,13.712191,1842.05,1338.31197571
113,0.9113830402493477,550,231424,390.1505582332611,0.0062221996,-0.0030796374,0.08286133,231424,6.4998217,20.239382,1842.05,1342.90011431
114,0.9475214928388596,627,233472,393.8726785182953,0.0028714691,-0.0022443528,0.029150391,233472,6.4922285,6.626251,1835.63,1339.05012954
115,0.9114356487989426,553,235520,397.1376030445099,0.0022651297,-0.00021838068,0.020361328,235520,6.4896736,20.323076,1835.63,1344.5024922400003
116,0.9741230644285679,542,237568,400.8374755382538,0.0047557643,-0.004614394,0.04458008,237568,6.4821434,5.985399,1822.72,1336.2721894100002
117,0.9133741408586502,554,239616,404.6127173900604,0.0068494105,-0.0015225802,0.09506836,239616,6.4812555,19.722887,1822.72,1341.3339429799996
118,0.9137055575847626,543,241664,408.30617094039917,0.0024522461,-0.0008998543,0.02265625,241664,6.487198,19.662197,1822.72,1346.1176936799998
119,0.9098833948373795,565,243712,412.07346773147583,0.0036309916,-0.0017051522,0.039697267,243712,6.480399,24.887333,1824.08,1347.4823086200004
120,0.9096128344535828,585,245760,415.69565534591675,0.0026602033,-0.0013620567,0.030517578,245760,6.4721537,25.27024,1810.53,1343.9829216800001
121,0.9120703935623169,535,247808,419.19534277915955,0.012908761,0.00087401364,0.049951173,247808,6.475531,25.197773,1795.69,1333.7334989199999
122,0.7588986903429031,641,249856,423.0204710960388,0.003212126,-0.0028262776,0.033740234,249856,6.458117,6.697249,1795.69,1331.68654526
123,0.9869828838855028,571,251904,426.21544313430786,0.002492826,-0.0021519219,0.02578125,251904,6.4499497,3.641636,1781.04,1322.46437489
124,0.904613234102726,532,253952,429.8007185459137,0.0045517297,-0.0011924659,0.054638673,253952,6.454828,20.103186,1795.65,1337.2632997400003
125,0.8858586102724075,550,256000,433.64537501335144,0.003330147,-0.0015356658,0.03857422,256000,6.4590554,20.92168,1795.65,1337.7062792
126,0.8990704417228699,513,258048,437.36724638938904,0.005099776,-0.00247309,0.058789063,258048,6.4608736,20.241884,1795.65,1336.8936728899998
127,0.8989083170890808,585,260096,441.3524079322815,0.004330103,-0.0025762136,0.048095703,260096,6.4587774,27.298883,1781.11,1322.9891646500002
128,0.9650922045111656,593,262144,444.84928846359253,0.0050097546,-0.008131116,0.059472658,262144,6.46819,6.838912,1778.33,1323.18742366
129,0.965698853135109,579,264192,448.29815435409546,0.0039294073,-0.0053270184,0.03701172,264192,6.4790826,7.632249,1788.48,1329.5534467
130,0.9005277827382088,525,266240,451.8325672149658,0.0023038809,-0.00039074942,0.02241211,266240,6.4823084,20.25854,1788.48,1329.46843157
131,0.9006055667996407,532,268288,455.7273910045624,0.0028097157,-0.00065035536,0.028320312,268288,6.4794006,20.16463,1788.48,1329.3767758100003
132,0.8975566625595093,598,270336,459.57312750816345,0.0032888758,-0.0040597217,0.041064452,270336,6.481018,20.843554,1802.68,1343.8623661599997
133,0.8891190215945244,613,272384,462.9963126182556,0.0023690104,-0.0021624162,0.025878906,272384,6.4892282,17.17527,1802.68,1343.78572425
134,0.8443448692560196,650,274432,466.33531069755554,0.0021013771,-0.0026229976,0.02211914,274432,6.488309,16.178432,1806.83,1347.5666575699997
135,0.9741239566355944,580,276480,469.48575043678284,0.0036750634,-0.002776607,0.03754883,276480,6.4940176,6.3260098,1795.19,1335.4132071099998
136,0.9067263826727867,554,278528,473.0145387649536,0.0041437848,-0.0033419996,0.04926758,278528,6.509806,19.991495,1807.29,1348.1039773
137,0.9059422463178635,550,280576,476.7077536582947,0.002911294,-0.0006821016,0.032128908,280576,6.516501,19.836832,1807.29,1347.4894867800003
138,0.8882984295487404,581,282624,480.4311101436615,0.0057157623,-0.004003549,0.07280274,282624,6.5291314,21.383696,1816.91,1358.0706791100001
139,0.9118074849247932,537,284672,483.9534661769867,0.0049500926,-0.0020803015,0.059375,284672,6.5545807,19.682938,1831.46,1370.5869196300002
140,0.9046749696135521,576,286720,487.7633008956909,0.0037642599,-0.0016674772,0.04863281,286720,6.5650535,20.216644,1831.46,1375.76791974
141,0.9084670692682266,546,288768,491.31866979599,0.0042150877,-0.002573897,0.04916992,288768,6.566973,19.985151,1831.46,1379.5816384100003
142,0.9031402319669724,562,290816,495.06947779655457,0.00452926,-0.0024343913,0.05493164,290816,6.5741997,20.266693,1831.46,1384.88344616
143,0.8402466773986816,585,292864,498.71147108078003,0.0017835402,-0.0010877524,0.016601562,292864,6.574134,40.230072,1819.87,1371.61535048
144,0.9087454751133919,546,294912,502.211275100708,0.0025457572,-0.0006851845,0.023291016,294912,6.568036,20.075052,1819.87,1370.9779873100001
145,0.9080093801021576,543,296960,505.9617474079132,0.0041771065,-0.0015208299,0.049707033,296960,6.5679765,20.083355,1834.31,1385.0780201300001
