fps,ep_reward_mean,approxkl,serial_timesteps,policy_loss,value_loss,clipfrac,total_timesteps,n_updates,time_elapsed,policy_entropy,ep_len_mean,explained_variance
439,1602.1640732777778,0.0012580114,30720,-0.00074261986,19.921726,0.009716797,30720,15,81.91322255134583,6.588605,1633.888888888889,-0.0035477876663208008
441,1624.8694821578947,0.00088121864,32768,-4.3141354e-05,19.85967,0.0049804687,32768,16,86.57664847373962,6.598506,1655.7368421052631,0.001767575740814209
448,1605.5697358095238,0.002014127,34816,-0.00054311764,44.925606,0.019970704,34816,17,91.2172954082489,6.59432,1638.0,0.6643379032611847
432,1608.3819849545455,0.0019806162,36864,-0.0034360797,4.610342,0.0108886715,36864,18,95.78014993667603,6.5990195,1642.1818181818182,0.9185614883899689
450,1579.6865076086956,0.0015180749,38912,-0.0024939808,4.135956,0.013427734,38912,19,100.52021646499634,6.609862,1612.9565217391305,0.9319952428340912
438,1597.4649669166665,0.0018298933,40960,-0.0012361897,19.820473,0.015380859,40960,20,105.06204009056091,6.6142364,1631.125,-0.003753066062927246
444,1613.94685988,0.00265367,43008,0.00029584585,19.861042,0.028759766,43008,21,109.73266696929932,6.6105795,1647.84,-0.0030908584594726562
453,1629.3110544230767,0.0008184168,45056,-0.00044317683,19.726006,0.0053222654,45056,22,114.33618974685669,6.611068,1663.2692307692307,-0.005687236785888672
433,1634.9696908571425,0.0022612864,47104,-0.0016633819,22.398558,0.019970704,47104,23,118.84983849525452,6.6037416,1670.2142857142858,0.7566549926996231
453,1647.6520401379307,0.00371955,49152,-0.0011116656,19.6536,0.04458008,49152,24,123.57122898101807,6.5936747,1683.2758620689656,0.0051727294921875
466,1659.1944781666664,0.00240364,51200,-0.0022098222,19.407587,0.026708985,51200,25,128.08900594711304,6.593923,1695.4666666666667,0.023958981037139893
439,1670.8305879999996,0.001119483,53248,0.00027398477,19.742231,0.008447265,53248,26,132.4955348968506,6.584428,1706.8709677419354,0.014795660972595215
461,1608.0529626666669,0.0028380102,55296,-0.0019805084,5.406024,0.027832031,55296,27,137.1601746082306,6.576093,1643.6060606060605,0.9720890335738659
475,1593.7962966857147,0.00082936056,57344,-0.0007973306,21.966755,0.0048828125,57344,28,141.59609127044678,6.574683,1629.2857142857142,0.8038511425256729
464,1605.1708306944447,0.0034883271,59392,-0.0015169964,19.377731,0.04399414,59392,29,145.90433025360107,6.5793877,1640.9444444444443,0.025562047958374023
298,1562.5692778421053,0.0038714088,61440,-0.0039279433,14.088671,0.04399414,61440,30,150.3130784034729,6.581468,1598.1052631578948,0.8922595381736755
472,1573.7772116410258,0.0035368588,63488,-0.0024111138,19.678661,0.042529296,63488,31,157.18163228034973,6.585002,1609.6666666666667,0.006222248077392578
443,1584.539589075,0.0019366604,65536,-0.001366968,19.598593,0.018652344,65536,32,161.51873636245728,6.582444,1620.65,0.011659741401672363
455,1583.792398292683,0.0015443264,67584,-0.0014236432,3.5982518,0.013818359,67584,33,166.13842868804932,6.5842123,1620.2439024390244,0.9457476660609245
435,1593.480888119048,0.0018161867,69632,-0.0012023468,19.086452,0.017773438,69632,34,170.63380765914917,6.5803022,1630.452380952381,0.043242692947387695
436,1603.0214106511628,0.0031080148,71680,-0.0024085997,19.297382,0.03300781,71680,35,175.33791518211365,6.5699706,1640.1860465116279,0.045222699642181396
