total_timesteps,n_updates,fps,explained_variance,clipfrac,value_loss,serial_timesteps,policy_loss,ep_len_mean,time_elapsed,approxkl,ep_reward_mean,policy_entropy
237568,116,604,0.5947802364826202,0.05307617,8.926466,237568,-0.003988872,1320.8,392.38244462013245,0.0044231224,511.66161507000004,2.0660691
239616,117,618,0.5047211349010468,0.055419922,4.0736403,239616,-0.0027292352,1320.8,395.7721207141876,0.0045963526,515.9121285699999,2.0931237
241664,118,597,0.4336276650428772,0.018554688,4.6563296,241664,-0.0011248091,1320.8,399.08459734916687,0.0021455379,519.90209224,2.1008792
243712,119,601,0.6316317617893219,0.040771484,3.085312,243712,-0.0015161905,1317.79,402.51091623306274,0.0036024817,521.5873801599998,2.111313
245760,120,605,0.4054577946662903,0.042285156,4.9922514,245760,-0.0022784837,1326.58,405.91400241851807,0.0037623078,528.05769148,2.118795
247808,121,591,0.5351910889148712,0.04868164,4.2721314,247808,-0.0015446341,1326.58,409.29872965812683,0.00414309,532.00773539,2.105268
249856,122,592,0.5600820779800415,0.038671874,6.340506,249856,-0.0012965922,1330.82,412.7600426673889,0.0033733766,537.68003175,2.1000237
251904,123,612,0.6427794992923737,0.023242187,8.559816,251904,-0.00080411526,1331.65,416.21618938446045,0.0021189812,542.54826011,2.1036391
253952,124,603,0.6709686815738678,0.04584961,4.2846107,253952,-0.0012964972,1328.02,419.56193232536316,0.00410073,543.61461523,2.1089754
256000,125,591,0.537758469581604,0.018115234,12.168801,256000,-0.00038600786,1315.55,422.9542179107666,0.0022178327,542.7636654800001,2.110507
258048,126,598,0.6347790956497192,0.017480468,11.084335,258048,-0.0027955326,1257.55,426.4198067188263,0.0019425722,528.61784849,2.1055956
260096,127,593,0.6330052018165588,0.021044921,11.827933,260096,-0.002908349,1197.43,429.84430503845215,0.0023411622,513.21076712,2.1107259
262144,128,606,0.595736175775528,0.031396486,12.268637,262144,-0.0034015928,1135.83,433.29803252220154,0.003024863,495.60704376,2.120215
264192,129,609,0.610399067401886,0.043701172,11.822145,264192,-0.0023987915,1073.23,436.67552614212036,0.003836207,475.7357880799999,2.119364
266240,130,582,0.5835306346416473,0.026416015,12.293025,266240,-0.0019629588,1045.52,440.0374791622162,0.0026298263,467.3614126499999,2.1260054
268288,131,601,0.6870440542697906,0.024609376,5.7075872,268288,-0.00062384875,1026.92,443.5515298843384,0.0024142347,459.5440467599999,2.133971
