policy_loss,value_loss,explained_variance,time_elapsed,clipfrac,approxkl,policy_entropy,fps,n_updates,total_timesteps,serial_timesteps,ep_reward_mean,ep_len_mean
-0.005645925,11.136053,0.8705499917268753,854.772038936615,0.060253907,0.0048618354,2.605467,420,197,403456,403456,975.0808926200001,1508.29
-0.0010144513,11.2006035,0.7840121984481812,859.6485567092896,0.034960937,0.0034401075,2.6017613,428,198,405504,405504,988.45672707,1526.3
-0.0028622062,11.186165,0.7451900243759155,864.4297378063202,0.06918945,0.006399294,2.6022775,420,199,407552,407552,989.2341048000002,1526.3
-0.007264568,9.652567,0.8177648037672043,869.3050665855408,0.074365236,0.006311829,2.6145155,395,200,409600,409600,990.78095705,1526.3
-0.002315375,6.7001877,0.8742547333240509,874.4819896221161,0.04057617,0.0034942739,2.6315284,395,201,411648,411648,998.3920429599999,1536.37
-0.005489231,22.886238,0.7802202552556992,879.6593670845032,0.04423828,0.0045445147,2.6451962,374,202,413696,413696,998.7068657000001,1535.56
-0.0022082664,15.215533,0.8062008768320084,885.1338002681732,0.047753908,0.0039961957,2.6516283,342,203,415744,415744,999.8315477100001,1536.69
-0.0031703457,10.957362,0.7982367426156998,891.1218044757843,0.029492188,0.0030229692,2.656935,382,204,417792,417792,1000.9372338200001,1536.69
-0.0031022865,9.064213,0.827789306640625,896.4736905097961,0.032324217,0.003334329,2.6541708,383,205,419840,419840,1000.2546644900001,1534.47
-0.003597015,16.595003,0.7788510173559189,901.8139281272888,0.032958984,0.0031062658,2.6495903,371,206,421888,421888,1000.7638111400001,1533.94
-0.0008720298,11.786645,0.7673008143901825,907.3250415325165,0.04863281,0.0043078223,2.6417747,396,207,423936,423936,1013.1967707700002,1550.42
-0.004729056,12.379097,0.7728192061185837,912.492996931076,0.06894531,0.005440309,2.632643,315,208,425984,425984,1013.6746453300001,1550.42
-0.00040679617,10.223291,0.7021034359931946,918.9834942817688,0.028125,0.002624113,2.6286626,379,209,428032,428032,1013.91267013,1550.42
-0.0016234152,14.254506,0.7113206684589386,924.3774464130402,0.04433594,0.0043914383,2.6165876,416,210,430080,430080,1026.9698307600001,1568.31
-0.0009060936,14.495544,0.8349234312772751,929.3000597953796,0.035058595,0.0032792229,2.6172938,372,211,432128,432128,1005.1221679300003,1537.36
-0.006339471,9.263098,0.8249515742063522,934.7990322113037,0.064697266,0.005752249,2.628483,454,212,434176,434176,1008.1724866400001,1541.06
-0.0019727696,19.16897,0.7962332963943481,939.301454782486,0.057421874,0.0048765293,2.6293864,453,213,436224,436224,995.8880885300001,1523.3
-0.0066769207,30.840443,0.734684020280838,943.8191184997559,0.0578125,0.0054949806,2.6424131,479,214,438272,438272,960.7959721899999,1474.31
-0.0020772964,11.7653885,0.7017051577568054,948.0950894355774,0.06455078,0.0060592033,2.6520581,484,215,440320,440320,960.55436124,1474.31
