explained_variance,time_elapsed,value_loss,serial_timesteps,fps,policy_loss,total_timesteps,n_updates,approxkl,clipfrac,policy_entropy,ep_reward_mean,ep_len_mean
0.7216593027114868,218.16944980621338,20.152033,108544,451,-0.0028110365,108544,53,0.002625412,0.02841797,6.14536,943.4384371521738,1177.3260869565217
0.787576362490654,222.70850276947021,19.971113,110592,454,0.00011694874,110592,54,0.0027233236,0.028222656,6.140781,953.7952670860216,1186.6989247311828
0.9487569406628609,227.2152602672577,5.6331034,112640,451,-0.006193003,112640,55,0.0030034073,0.02421875,6.1390314,945.3411670319149,1177.3191489361702
0.7783560752868652,231.75661206245422,20.73684,114688,461,-0.0032836434,114688,56,0.0023678741,0.023339843,6.1415343,955.088289,1186.4947368421053
0.772562712430954,236.19010281562805,20.53189,116736,441,-0.0010149932,116736,57,0.003128818,0.033496093,6.145017,964.30597003125,1195.4791666666667
0.7607549130916595,240.83245587348938,20.172987,118784,468,-0.0006773305,118784,58,0.0022678792,0.019433593,6.1499586,973.600032,1204.278350515464
0.8640460968017578,245.20340394973755,26.060562,120832,490,-0.004388404,120832,59,0.0021887745,0.020898437,6.1546397,975.4206884646464,1205.2424242424242
0.7145546972751617,249.38092064857483,20.019505,122880,460,-0.005125627,122880,60,0.0041359956,0.0515625,6.1656613,984.5015563899999,1213.68
0.7119806408882141,253.8251292705536,20.147959,124928,457,-0.0022689248,124928,61,0.002396049,0.024609376,6.1683645,984.6009885599998,1213.68
0.7215719223022461,258.3044250011444,20.173574,126976,457,-0.0029497647,126976,62,0.0029368985,0.031982422,6.1616025,1000.8947512999999,1229.89
0.7165741324424744,262.78198862075806,37.924564,129024,429,-0.0020259384,129024,63,0.002000472,0.019824218,6.163139,999.9236202599999,1228.6
0.8550930917263031,267.55110025405884,40.555595,131072,457,-0.0024925054,131072,64,0.007272487,0.030761719,6.1736236,1017.17393845,1245.55
0.7644658237695694,272.0275282859802,19.831497,133120,389,-0.0033939383,133120,65,0.0029705756,0.032080077,6.172556,1017.3668359100001,1245.55
0.8271198868751526,277.2883069515228,28.073517,135168,410,0.0023127776,135168,66,0.0026275269,0.022705078,6.172514,1016.1064879000002,1244.31
0.9590371660888195,282.2734625339508,9.182151,137216,461,-0.0007760126,137216,67,0.0020121383,0.01484375,6.1671968,997.9650530000002,1226.33
0.6978292167186737,286.710328578949,20.105448,139264,479,-0.0013946036,139264,68,0.0017082322,0.016113281,6.1654177,1013.7220624400001,1240.73
0.8817630335688591,290.9862093925476,30.51567,141312,499,-0.0021720107,141312,69,0.0009770094,0.007080078,6.166494,1030.70986054,1256.52
0.8471018970012665,295.0862708091736,24.081783,143360,496,-0.0038455226,143360,70,0.002161954,0.025537109,6.1842422,1046.8821215,1271.17
0.8791079372167587,299.2124011516571,33.556282,145408,500,-0.006208725,145408,71,0.0028944563,0.030664062,6.192534,1063.0568078899998,1286.09
0.9729429613798857,303.3042199611664,4.0276647,147456,490,-0.0058948407,147456,72,0.0027670278,0.02470703,6.1900835,1063.35402827,1286.36
0.8907971680164337,307.4810061454773,30.464834,149504,516,-0.0040666717,149504,73,0.002349122,0.024267578,6.184763,1077.48248522,1297.13
0.7082661390304565,311.4456160068512,19.473701,151552,482,-0.0013078402,151552,74,0.0032595147,0.03515625,6.186509,1094.4405726200002,1313.83
0.7782252430915833,315.68685483932495,34.07362,153600,443,-0.0016533624,153600,75,0.0031599682,0.0359375,6.1933975,1111.96128668,1330.6
0.8348082602024078,320.3098039627075,28.405924,155648,406,-0.0048762993,155648,76,0.002982619,0.031445313,6.204988,1112.85815899,1329.41
0.7928351610898972,325.35065364837646,19.664936,157696,447,-0.0018394316,157696,77,0.0028905456,0.033447266,6.2177577,1128.82569968,1345.09
0.7926142066717148,329.9291253089905,20.002026,159744,451,-0.006098617,159744,78,0.0048375255,0.055664062,6.211499,1145.5283087899998,1361.66
0.7606978267431259,334.4682958126068,20.316467,161792,445,-0.0011236597,161792,79,0.0017493585,0.011621093,6.2020526,1162.3646384899998,1378.28
0.7484422922134399,339.06829714775085,19.96644,163840,467,-0.00042314088,163840,80,0.00083659834,0.0046875,6.1869335,1179.7246882200002,1395.54
0.7295084297657013,343.4479720592499,19.529354,165888,477,-0.0009127023,165888,81,0.0035447918,0.036865234,6.1742067,1180.08805715,1395.54
0.9404743239283562,347.73429465293884,6.160599,167936,475,-0.0040028174,167936,82,0.0033902866,0.038427733,6.1674223,1178.8456369599999,1393.2
0.7970040291547775,352.0451486110687,21.052408,169984,476,-0.0023154803,169984,83,0.0019388653,0.021386718,6.1727266,1195.9074674400001,1409.64
0.7222372889518738,356.34328961372375,20.06557,172032,435,-0.0033879608,172032,84,0.0039077075,0.038671874,6.1651354,1212.1236748200001,1425.4
0.706681102514267,361.04491114616394,20.092495,174080,461,-0.0034624874,174080,85,0.0034118209,0.044384766,6.153388,1227.87008007,1438.67
