total_timesteps,policy_entropy,policy_loss,approxkl,n_updates,serial_timesteps,time_elapsed,explained_variance,clipfrac,fps,value_loss,ep_len_mean,ep_reward_mean
149504,3.7026489,-0.0050821407,0.0046840096,73,149504,397.7900581359863,0.8929220661520958,0.04399414,358,5.606288,1147.95,743.87238278
151552,3.7043843,-0.0018259004,0.0029174055,74,151552,403.5029637813568,0.8653595596551895,0.027539063,364,9.57214,1160.34,752.99373567
153600,3.6912532,-0.004827005,0.0034264561,75,153600,409.1244626045227,0.8493358343839645,0.035839844,383,9.541958,1167.88,757.1231818599999
155648,3.670011,-0.003508314,0.0035467162,76,155648,414.46537137031555,0.9303657189011574,0.03461914,382,9.457956,1183.78,768.6983336200001
157696,3.658244,-0.0060711037,0.0066455207,77,157696,419.8181211948395,0.8721755892038345,0.06782226,327,11.188765,1190.3,775.7274136299999
159744,3.6712906,-0.003863405,0.0044801123,78,159744,426.0763838291168,0.9251870959997177,0.052783202,343,9.689831,1190.01,775.6077026700001
161792,3.6812618,-0.0039840164,0.0034069452,79,161792,432.04671120643616,0.9508179351687431,0.037402343,303,7.4227195,1185.86,774.72155007
163840,3.6868758,-0.0045894408,0.0030087996,80,163840,438.7860507965088,0.8820658922195435,0.029052734,306,14.111771,1178.55,770.73023512
165888,3.685138,-0.0038673498,0.0035093334,81,165888,445.47604990005493,0.8809547871351242,0.039404295,316,10.083117,1187.51,778.39823278
167936,3.6913776,-0.0025708298,0.005179258,82,167936,451.94587898254395,0.8859471455216408,0.056347657,310,11.4757595,1202.93,788.64236756
169984,3.7078252,-0.005064454,0.003665192,83,169984,458.5482997894287,0.9498831294476986,0.040136717,334,10.209658,1206.89,793.73072481
172032,3.7296512,-0.005129518,0.0034412988,84,172032,464.6782157421112,0.9404735192656517,0.042773437,363,12.000675,1207.46,794.9061037399999
174080,3.7476451,-0.0041697617,0.0019138713,85,174080,470.3136124610901,0.872925877571106,0.020361328,386,10.994041,1200.8,791.02177454
176128,3.7495608,-0.0034909765,0.0014671322,86,176128,475.618775844574,0.8390943109989166,0.0140625,371,15.570982,1197.46,787.04046098
178176,3.752442,-0.0029560698,0.0026751154,87,178176,481.13539242744446,0.827274426817894,0.030078124,393,12.40168,1183.74,776.0415403600001
180224,3.771167,-0.0058415756,0.0056708,88,180224,486.3446898460388,0.9307721853256226,0.061767578,394,9.564161,1186.23,779.01294775
182272,3.7817254,-0.0036540653,0.003498489,89,182272,491.5309295654297,0.9309516027569771,0.040136717,393,11.405571,1178.35,773.21091539
184320,3.788609,-0.0065379017,0.0024314753,90,184320,496.73510670661926,0.9159349650144577,0.024023438,399,5.216882,1165.59,761.8324896299999
186368,3.7910187,-0.0032086172,0.002485049,91,186368,501.857873916626,0.8252699673175812,0.026953125,390,20.183487,1162.81,758.2697641399999
188416,3.7945418,-0.0006337121,0.0040588127,92,188416,507.1084654331207,0.9441269189119339,0.046533205,379,9.58976,1163.86,760.8272204799999
190464,3.801515,-0.004485615,0.0045697233,93,190464,512.5027923583984,0.8889694660902023,0.05283203,294,13.884199,1179.51,774.7200604599999
192512,3.800249,-0.0050965915,0.0030392979,94,192512,519.4599359035492,0.9364354908466339,0.034716796,338,9.68377,1166.1,763.6195683
194560,3.8112106,-0.0034353728,0.0030963675,95,194560,525.5067653656006,0.9084966853260994,0.035888672,360,15.802775,1182.12,778.8249483400001
196608,3.8210793,-0.0013636614,0.0020840424,96,196608,531.195107460022,0.8649805039167404,0.018017579,375,11.750596,1197.8,790.41007304
198656,3.821811,-0.004357459,0.0034084246,97,198656,536.6532504558563,0.8376057147979736,0.041308593,363,17.436451,1199.27,793.80629388
200704,3.8192768,-0.008747521,0.0053717685,98,200704,542.2937648296356,0.9682246036827564,0.062353514,335,5.978617,1194.59,792.0181588800001
202752,3.812041,-0.0037903353,0.003246833,99,202752,548.4057517051697,0.9171552062034607,0.038476564,368,7.229808,1203.51,798.9901945700002
204800,3.806207,-0.0024711457,0.0025526357,100,204800,553.965639591217,0.9107925221323967,0.024804687,389,12.890898,1218.12,809.8433520700002
206848,3.7995892,-0.003305652,0.0022893636,101,206848,559.222226858139,0.9205459579825401,0.023583984,363,7.8397455,1228.94,819.3666525500001
208896,3.794595,-0.004854575,0.0042642322,102,208896,564.8500833511353,0.8958307057619095,0.053759765,379,9.574865,1243.26,829.9125092200002
210944,3.7970643,-0.004681766,0.004573612,103,210944,570.2541329860687,0.8988520801067352,0.04951172,365,13.0263,1259.01,841.49386572
212992,3.8101075,-0.007832541,0.006197007,104,212992,575.858992099762,0.9626386947929859,0.07495117,353,6.1317563,1261.19,845.4058047300001
215040,3.8253505,-0.0038750623,0.0046457187,105,215040,581.6482951641083,0.8851522728800774,0.0421875,363,13.803149,1274.27,854.9532853300002
217088,3.8290699,-0.002814785,0.0028277333,106,217088,587.281477689743,0.839593693614006,0.031396486,360,10.880587,1278.38,856.7185531900001
219136,3.8306262,-0.0013813718,0.003074347,107,219136,592.9616177082062,0.913239911198616,0.031396486,341,11.68651,1296.56,869.90547865
221184,3.8341784,-0.009797348,0.00689137,108,221184,598.9513154029846,0.8197177201509476,0.07919922,392,8.01968,1315.55,881.8245286900002
223232,3.8461347,-0.0076254853,0.007907474,109,223232,604.1648654937744,0.9028467014431953,0.087841794,390,11.921344,1331.95,892.846871
225280,3.8619542,-0.00749617,0.0045796963,110,225280,609.4116444587708,0.9446627497673035,0.05283203,385,6.3367434,1344.54,903.54906102
227328,3.8667388,-0.0032899764,0.003340504,111,227328,614.726503610611,0.7764424383640289,0.03676758,388,12.4960985,1349.99,905.6791012699999
229376,3.8673997,-0.00332696,0.005553235,112,229376,620.0035376548767,0.7360511422157288,0.07070313,374,11.686881,1349.99,904.26123408
231424,3.8609993,-0.0047999253,0.0051937876,113,231424,625.467533826828,0.7419143319129944,0.057519533,385,21.39272,1347.15,897.28672902
