n_updates,ep_reward_mean,time_elapsed,policy_loss,serial_timesteps,explained_variance,clipfrac,ep_len_mean,approxkl,value_loss,policy_entropy,total_timesteps,fps
42,432.6810028125,308.99778056144714,-0.0009095281,86016,0.23537331819534302,0.0418457,1769.375,0.003588112,2.9572046,1.4338292,86016,246
43,437.86877457142856,317.31513953208923,-0.0012103065,88064,-0.006709098815917969,0.035791017,1775.0816326530612,0.0031692192,3.376672,1.4449017,88064,251
44,442.05996813999997,325.4531936645508,-0.0015557084,90112,0.23238462209701538,0.039160155,1780.56,0.0033414103,2.3738105,1.4625127,90112,236
45,445.68879599999997,334.1133494377136,-0.0028289729,92160,0.04605817794799805,0.052246094,1785.8235294117646,0.004446007,2.8996394,1.4723146,92160,261
46,450.35862394230764,341.9341678619385,-0.0014217723,94208,0.1407909393310547,0.037402343,1790.8846153846155,0.0034305186,3.2485073,1.4722599,94208,265
47,454.5585137169811,349.6629765033722,-0.001979505,96256,0.02084505558013916,0.046826173,1795.754716981132,0.004226561,2.3291647,1.4582862,96256,277
48,457.3755626481481,357.0519847869873,-0.001105359,98304,0.1453210711479187,0.025195312,1800.4444444444443,0.0026610936,2.7582176,1.4489262,98304,261
49,462.47825427272727,364.88613080978394,-0.0027849618,100352,0.2667579650878906,0.045556642,1804.9636363636364,0.004186222,4.298026,1.4457096,100352,257
50,468.5821511964286,372.84170627593994,-0.0006621169,102400,0.11175411939620972,0.026611328,1809.3214285714287,0.0026738478,4.674758,1.4470968,102400,260
51,473.1861924210527,380.7053875923157,-0.0009983949,104448,0.1069803237915039,0.04482422,1813.5263157894738,0.0037450357,4.2181787,1.4529861,104448,264
52,478.6130364137931,388.4513509273529,-0.0003362692,106496,0.17877352237701416,0.019384766,1817.5862068965516,0.0022991062,4.7484336,1.4623029,106496,261
53,484.4859133728814,396.27698278427124,-0.0021440205,108544,0.07347595691680908,0.02993164,1821.5084745762713,0.0029621276,5.1832495,1.4674457,108544,253
54,489.8455761833333,404.35163712501526,-0.0008139115,110592,0.12903952598571777,0.0375,1825.3,0.0034873846,5.7675514,1.4744227,110592,249
55,496.43511729508197,412.56656217575073,-0.001886392,112640,0.02958047389984131,0.049707033,1828.967213114754,0.0042346586,6.026286,1.4950063,112640,238
56,501.552682032258,421.14586663246155,-0.00078386685,114688,0.08318942785263062,0.023535157,1832.516129032258,0.0024715918,4.1668086,1.5145185,114688,244
