clipfrac,explained_variance,serial_timesteps,fps,total_timesteps,policy_loss,approxkl,ep_reward_mean,time_elapsed,ep_len_mean,value_loss,n_updates,policy_entropy
0.07265625,0.7658517807722092,466944,401,466944,-0.0013790313,0.005808549,874.8867036600001,1062.2872021198273,1110.94,19.811138,228,4.670427
0.08310547,0.8090630620718002,468992,375,468992,-0.0055013457,0.00650334,892.6555555900002,1067.383383512497,1128.73,19.637363,229,4.6815925
0.046484374,0.8123816847801208,471040,440,471040,-0.006221934,0.0037172842,894.5148607400001,1072.831225156784,1130.83,40.000786,230,4.6966777
0.048339844,0.9414301738142967,473088,391,473088,-0.004824157,0.004416527,896.0695929099999,1077.479246377945,1132.89,6.875348,231,4.7052197
0.043017577,0.8147168010473251,475136,408,475136,-0.0032427497,0.0037886822,911.9494157000001,1082.7124440670013,1148.92,19.839495,232,4.7176695
0.05307617,0.8307564109563828,477184,405,477184,-0.0016663164,0.0043015834,912.09564582,1087.730304479599,1148.92,20.385838,233,4.7313356
0.04560547,0.882495291531086,479232,425,479232,-0.0020191572,0.0042736963,894.0245129,1092.7866547107697,1131.39,32.43145,234,4.7353926
0.037988283,0.8523427098989487,481280,409,481280,-0.0030227348,0.0033633895,908.3812302799998,1097.5952649116516,1144.52,27.905243,235,4.74002
0.061083984,0.8486765474081039,483328,385,483328,-0.0049296636,0.004817291,907.92827244,1102.5934798717499,1144.52,20.726933,236,4.739995
0.031835936,0.8725438416004181,485376,414,485376,-0.0056964173,0.003269226,874.9445432699999,1107.9074506759644,1112.09,31.892176,237,4.7359524
0.029638672,0.7695798575878143,487424,369,487424,-0.0023669314,0.0029694377,875.8167936599999,1112.853749513626,1112.09,19.839752,238,4.7336273
0.022070313,0.948688168078661,489472,425,489472,-0.004577602,0.0020770067,827.41369228,1118.4003469944,1063.54,12.144023,239,4.739809
0.06821289,0.7588045597076416,491520,400,491520,-0.0011773916,0.0053503024,827.87024783,1123.2177436351776,1063.54,19.822216,240,4.7515235
0.039160155,0.879864826798439,493568,396,493568,-0.006244722,0.0034841385,795.6698771900001,1128.3352484703064,1029.54,32.190006,241,4.770583
0.0375,0.7794716656208038,495616,395,495616,-0.0027818172,0.0034206763,791.3745503600002,1133.5061588287354,1029.54,20.867176,242,4.7900915
0.03339844,0.9504548199474812,497664,415,497664,-0.0052446136,0.0029896796,785.2955942500001,1138.6788563728333,1020.51,12.414664,243,4.7972383
0.029443359,0.8974237442016602,499712,427,499712,-0.0033939113,0.0027189394,761.5848688400001,1143.6034338474274,994.69,32.93519,244,4.810391
0.11816406,0.8172582983970642,501760,402,501760,-0.0049693966,0.0082669575,775.6762231600001,1148.3913791179657,1007.85,19.943693,245,4.8189187
0.020703126,0.8978852182626724,503808,400,503808,-0.0026921541,0.0024841516,774.6124119499999,1153.4792890548706,1006.1,24.299244,246,4.8380823
0.015722657,0.8862978890538216,505856,422,505856,-0.0021853487,0.002071939,742.3026023399997,1158.5958840847015,975.22,13.6416855,247,4.8489122
0.040380858,0.8578605353832245,507904,420,507904,-0.004432504,0.0034443862,722.3098391799999,1163.4490995407104,957.86,31.273075,248,4.84181
0.045996092,0.8740091919898987,509952,391,509952,-0.0051359916,0.0042307377,727.8849805699999,1168.319237947464,957.68,25.953909,249,4.8377457
0.0421875,0.8149054944515228,512000,390,512000,-0.0017523874,0.0039524143,729.7495156499999,1173.5572683811188,957.68,20.854197,250,4.8372345
0.047558594,0.882919043302536,514048,414,514048,-0.0027575216,0.0039580674,724.1690740099999,1178.8035984039307,939.66,24.714653,251,4.8270645
0.042773437,0.9118388667702675,516096,400,516096,-0.0034321696,0.0037841585,721.1295520400001,1183.748398065567,924.83,28.782553,252,4.831833
0.0296875,0.9809693228453398,518144,414,518144,-0.0027055833,0.0028061885,719.3905941600001,1188.8591067790985,922.17,3.7495637,253,4.8336062
0.043164063,0.8771874532103539,520192,396,520192,-0.0015987905,0.0038969885,734.5581269800001,1193.8016946315765,937.07,20.333755,254,4.82693
0.02866211,0.9014547020196915,522240,416,522240,-0.0030325467,0.002618188,733.61584698,1198.9705550670624,936.53,28.395695,255,4.8203716
0.05283203,0.8908218666911125,524288,407,524288,-0.0024712984,0.004312846,748.8996261699999,1203.8858366012573,951.56,25.396664,256,4.8242273
0.0265625,0.910659909248352,526336,432,526336,-0.0010469373,0.0025523414,765.5225180000001,1208.9116716384888,968.6,23.809704,257,4.8397603
0.060498048,0.8967289924621582,528384,393,528384,-0.0026745466,0.004655325,773.5630423900001,1213.6492445468903,977.21,24.24125,258,4.8503256
0.02993164,0.9759803637862206,530432,375,530432,-0.0048460634,0.0029105125,774.9626368999999,1218.8599607944489,979.52,4.2110357,259,4.859206
0.054248046,0.6985955238342285,532480,413,532480,-0.004555613,0.004386883,792.3213878399999,1224.3200929164886,998.61,21.74255,260,4.880618
0.03286133,0.925985798239708,534528,428,534528,-0.0028832995,0.003775983,803.15672434,1229.2717587947845,1016.09,11.604553,261,4.89326
0.025830079,0.677021324634552,536576,404,536576,-0.002667653,0.0025954603,819.99971994,1234.0463831424713,1033.56,22.240665,262,4.8926063
0.011523438,0.714288055896759,538624,443,538624,-0.0022549536,0.0013571826,832.0651716799999,1239.1100845336914,1051.34,12.934375,263,4.891843
0.022021484,0.8763563632965088,540672,439,540672,-0.00266902,0.0021603354,829.7539679399998,1243.7324414253235,1056.0,19.097012,264,4.892216
0.08286133,0.8462364971637726,542720,397,542720,-0.0013596374,0.006191091,842.1828220499999,1248.3974173069,1071.46,19.96389,265,4.891599
0.03720703,0.8579108715057373,544768,401,544768,-0.0017884333,0.003442896,859.2664013699999,1253.5565767288208,1089.28,20.436367,266,4.8860335
0.054394532,0.8754832223057747,546816,426,546816,-0.004713646,0.0042605605,873.6550711900001,1258.6629893779755,1106.05,21.754269,267,4.888551
0.047021486,0.7740324437618256,548864,438,548864,-0.003237507,0.0041990113,889.3747762899999,1263.4605231285095,1123.88,19.951609,268,4.890049
0.105810545,0.8180454820394516,550912,417,550912,-0.0040847016,0.0075767376,893.5914802699997,1268.1355578899384,1123.88,19.798615,269,4.900072
0.019824218,0.8244122713804245,552960,462,552960,-0.0028962216,0.0019966795,860.29959961,1273.0380818843842,1080.49,50.53373,270,4.907099
0.02055664,0.821672335267067,555008,429,555008,-0.0033403062,0.0019704665,841.8262638099998,1277.468379020691,1061.34,16.327845,271,4.906895
0.05053711,0.7444726526737213,557056,444,557056,-0.0063551874,0.004118628,836.1798667299997,1282.2344636917114,1061.34,12.311533,272,4.9063807
0.026464844,0.9095350801944733,559104,423,559104,-0.0029507603,0.002334407,794.4613948699999,1286.8407108783722,1025.58,17.486639,273,4.910385
0.0484375,0.9733508620411158,561152,432,561152,-0.003932343,0.0044079735,801.8683607199999,1291.6830532550812,1035.7,6.890798,274,4.904922
0.025830079,0.844222903251648,563200,432,563200,-0.0050647478,0.0024983583,818.9374141900001,1296.4189352989197,1051.65,39.80599,275,4.9000125
0.06669922,0.8292832374572754,565248,424,565248,-0.0037080299,0.005581355,834.82160209,1301.1567432880402,1069.3,21.4315,276,4.8970847
0.062060546,0.7890894562005997,567296,433,567296,-0.0009825798,0.005005781,851.9910188299999,1305.9871180057526,1087.27,19.562176,277,4.8875465
0.015722657,0.896201878786087,569344,416,569344,-0.0016934552,0.0018516133,869.7796490699999,1310.7135779857635,1105.27,29.717957,278,4.890477
