total_timesteps,approxkl,explained_variance,clipfrac,policy_entropy,n_updates,fps,value_loss,policy_loss,time_elapsed,serial_timesteps,ep_len_mean,ep_reward_mean
110592,0.0034471762,0.9208544492721558,0.04008789,3.5945976,54,520,7.942202,-0.0055299886,216.32266569137573,110592,1184.695652173913,767.2112556195651
112640,0.0043932493,0.9426863826811314,0.048291016,3.595616,55,548,5.17923,-0.0067869835,220.25481867790222,112640,1192.752688172043,773.8847407956989
114688,0.0034957652,0.8143254071474075,0.04169922,3.5933762,56,524,27.955883,-0.004317021,223.98662638664246,114688,1190.2291666666667,772.2156592499999
116736,0.0067036627,0.8720252513885498,0.075976565,3.6041565,57,552,17.742764,-0.007259785,227.89070868492126,116736,1189.4897959183672,772.6915561224489
118784,0.004892635,0.8633744120597839,0.053515624,3.6156483,58,531,12.157664,-0.0020112158,231.59718775749207,118784,1198.171717171717,779.7422595353535
120832,0.0035588865,0.8598726987838745,0.0390625,3.625051,59,511,15.612482,-0.0037588063,235.45470929145813,120832,1181.7,767.8379838500001
122880,0.003255345,0.9139170423150063,0.03564453,3.6277893,60,497,7.899408,-0.004352093,239.4559543132782,122880,1189.09,773.37337224
124928,0.0060918797,0.7506884187459946,0.07788086,3.6322098,61,500,15.544733,-0.0061474917,243.5722577571869,124928,1206.89,785.64592867
126976,0.0027838047,0.9334950894117355,0.030517578,3.6415677,62,501,11.942463,-0.0056011467,247.66549944877625,126976,1217.06,793.59667025
129024,0.001674817,0.8694875538349152,0.01328125,3.6494358,63,504,10.340578,-0.0020912394,251.74820828437805,129024,1228.46,801.6539585200001
131072,0.009663881,0.7721040695905685,0.12470703,3.6635182,64,488,12.1847315,-0.0055978904,255.80434226989746,131072,1246.25,813.1696013000001
133120,0.0040897233,0.8858150914311409,0.0453125,3.671524,65,501,9.486864,-0.0030261404,259.99491906166077,133120,1264.15,826.72096274
135168,0.0029576123,0.8911565989255905,0.031152343,3.654055,66,504,9.052688,-0.003185571,264.07762026786804,135168,1269.64,830.51638013
137216,0.0038681452,0.8721095621585846,0.040771484,3.6518044,67,501,16.000223,-0.0038704188,268.1381571292877,137216,1290.8,846.4871934399999
139264,0.005517817,0.7565290629863739,0.066503905,3.647517,68,496,20.585787,-0.004581983,272.222571849823,139264,1296.97,849.8689813700001
141312,0.0028880918,0.8441051095724106,0.032177735,3.6312973,69,482,19.13173,-0.0031458396,276.3457233905792,141312,1311.12,860.12618712
143360,0.005686797,0.8618880808353424,0.06567383,3.6184433,70,510,12.962608,-0.004539824,280.5882976055145,143360,1329.2,874.52236672
145408,0.0061911275,0.8049271702766418,0.07348633,3.622113,71,501,10.860108,-0.0040906975,284.60038018226624,145408,1341.25,882.8076814199999
147456,0.0046804426,0.8602634072303772,0.06064453,3.6341572,72,504,10.485456,-0.0044696396,288.68838715553284,147456,1358.96,896.08548403
149504,0.004028026,0.9289079755544662,0.043652344,3.6374574,73,500,6.509533,-0.0071113943,292.74541902542114,149504,1359.26,896.2270579399999
151552,0.0025006866,0.8331628739833832,0.028271485,3.639772,74,500,13.147675,-0.0033632307,296.8393385410309,151552,1359.26,897.1701619699999
153600,0.0031114314,0.7996271997690201,0.028320312,3.6401432,75,469,23.169966,-0.001597362,300.9318735599518,153600,1368.0,904.4142432799999
155648,0.002842924,0.8701299279928207,0.02836914,3.642428,76,470,12.209955,-0.003992639,305.29348945617676,155648,1382.64,916.2805269899999
157696,0.0047616693,0.8475517630577087,0.060253907,3.644239,77,470,16.253523,-0.002168845,309.65087938308716,157696,1400.26,930.3308481599998
159744,0.005105962,0.8494254350662231,0.058789063,3.6614323,78,473,11.876204,-0.0040296065,314.0048291683197,159744,1402.81,932.9880490799999
161792,0.003562656,0.8465263694524765,0.040966798,3.6724715,79,472,14.8602085,-0.0047448636,318.3304374217987,161792,1408.0,937.28411115
163840,0.0024961235,0.8768737316131592,0.026855469,3.6777024,80,477,14.789396,-0.0049170353,322.66573333740234,163840,1389.36,925.3385853200001
165888,0.0038159415,0.8435825705528259,0.046582032,3.6999297,81,478,12.807833,-0.0029987807,326.9570369720459,165888,1389.36,925.44692678
167936,0.0031037054,0.9341127723455429,0.03618164,3.7049847,82,477,6.370938,-0.007249438,331.2353582382202,167936,1380.45,919.6942235399999
169984,0.007582873,0.776591345667839,0.08339844,3.703965,83,457,13.844263,-0.003906976,335.5238494873047,169984,1392.34,930.2165440499999
172032,0.0032632675,0.9160334691405296,0.034716796,3.7132325,84,465,12.75894,-0.0017065832,340.00319480895996,172032,1409.89,943.1677865800001
174080,0.0035936316,0.8799979165196419,0.04160156,3.7261615,85,489,11.142488,-0.004384377,344.40645599365234,174080,1409.89,943.0450636500001
176128,0.0036406044,0.8549531102180481,0.039208986,3.7291367,86,483,10.66519,-0.0023600808,348.5867819786072,176128,1419.31,950.6940873400001
178176,0.0026087582,0.9135810732841492,0.025732422,3.7176528,87,475,7.3111916,-0.0040060673,352.8266797065735,178176,1410.37,944.04792184
180224,0.003474007,0.8744641840457916,0.03881836,3.704705,88,449,12.762686,-0.0040559135,357.1376974582672,180224,1427.93,958.0960813899999
182272,0.004844739,0.853781059384346,0.050097656,3.7108903,89,489,19.237265,-0.0069922246,361.68994426727295,182272,1417.68,950.9903616600001
184320,0.0037180767,0.8795770481228828,0.042578124,3.7184582,90,485,16.221806,-0.0043492615,365.8758599758148,184320,1421.44,952.8678856800001
186368,0.003477268,0.9639894179999828,0.03955078,3.7242012,91,492,2.8275514,-0.007368204,370.0982575416565,186368,1431.46,959.1688970299999
188416,0.0027834885,0.8859458863735199,0.028466797,3.7209477,92,472,14.224689,-0.005938834,374.2558102607727,188416,1418.57,949.3345158
190464,0.0039792927,0.8102221637964249,0.045166016,3.721128,93,488,16.934109,-0.0025735204,378.5929527282715,190464,1418.57,951.39663426
192512,0.002777046,0.8438254594802856,0.026757812,3.719195,94,489,12.137885,-0.0011062716,382.78475689888,192512,1420.9,952.8432018299999
194560,0.004686594,0.8397419303655624,0.055371094,3.717992,95,474,14.871195,-0.0010900681,386.9657905101776,194560,1433.89,963.6416546099999
196608,0.0029822958,0.8766878321766853,0.031982422,3.711391,96,493,9.909287,-0.0035751318,391.28190302848816,196608,1433.39,963.4170657499999
198656,0.004108743,0.9083970934152603,0.049853515,3.7058265,97,462,7.5485306,-0.008228371,395.43646907806396,198656,1431.17,961.54110782
200704,0.0031558466,0.7787884026765823,0.035009764,3.706527,98,476,20.422861,-0.0024831283,399.8634440898895,200704,1433.8,963.7482492
202752,0.004286474,0.9422360695898533,0.05180664,3.7073376,99,490,5.1341143,-0.006002222,404.16075229644775,202752,1431.17,962.19965504
204800,0.005858305,0.8386681228876114,0.06982422,3.724712,100,477,14.556668,-0.004244089,408.33304810523987,204800,1434.44,962.5018980100001
206848,0.006829073,0.8594892024993896,0.08930664,3.7322898,101,479,14.415873,-0.0066764094,412.62392807006836,206848,1453.32,977.4642715900002
208896,0.004048431,0.8387237340211868,0.044628907,3.731894,102,474,11.446969,-0.0045389035,416.89376282691956,208896,1455.16,979.4201791400001
210944,0.005800434,0.7502848654985428,0.06503906,3.754491,103,462,11.919341,-0.0034738719,421.2069454193115,210944,1463.7,984.22707767
212992,0.005646507,0.8781961277127266,0.066308595,3.7770634,104,464,12.099992,-0.005373169,425.63617753982544,212992,1474.29,990.2091421499998
215040,0.0039755483,0.8495128154754639,0.043408204,3.7873168,105,478,13.45081,-0.0016543908,430.04921984672546,215040,1486.2,1000.24079347
217088,0.00215969,0.8439034223556519,0.022558594,3.7990463,106,483,15.459116,-0.0022744688,434.3256711959839,217088,1477.16,993.20595256
219136,0.0030157664,0.9117544963955879,0.03359375,3.8035932,107,495,10.361062,-0.0044811345,438.56582856178284,219136,1468.64,986.4850407399999
221184,0.0046276725,0.9542608521878719,0.05332031,3.8122814,108,478,6.740171,-0.0034368695,442.6960196495056,221184,1451.81,974.0995893400001
223232,0.004171507,0.7774597108364105,0.049462892,3.826598,109,461,10.417074,-0.0026327032,446.9784209728241,223232,1451.81,972.2183063400001
225280,0.005908774,0.7926540374755859,0.06147461,3.8347938,110,455,9.620281,-0.0009132011,451.4199752807617,225280,1454.71,973.2278075
227328,0.002692458,0.9357434883713722,0.02578125,3.8362546,111,490,6.9712625,-0.005784945,455.91361808776855,227328,1462.46,978.6215961200002
229376,0.0029148855,0.9376989230513573,0.03388672,3.834737,112,476,5.6747265,-0.0033338405,460.0860757827759,229376,1475.02,988.1979275000002
231424,0.003572426,0.8695271164178848,0.042919923,3.831918,113,479,12.219867,-0.0028339883,464.3857834339142,231424,1477.69,990.5226043400002
233472,0.0026760618,0.9088941961526871,0.027783204,3.836877,114,482,14.445004,-0.0028770107,468.66086864471436,233472,1468.38,983.3720829700002
235520,0.0019321733,0.8856222778558731,0.018945312,3.837254,115,471,11.734632,-0.0018274313,472.91039419174194,235520,1474.02,988.84864398
237568,0.0036891613,0.8065516501665115,0.039794922,3.8319137,116,493,12.932813,-0.0022765032,477.2566511631012,237568,1474.02,988.0805730900001
