total_timesteps,clipfrac,policy_loss,fps,time_elapsed,serial_timesteps,value_loss,ep_reward_mean,ep_len_mean,approxkl,n_updates,policy_entropy,explained_variance
1398784,0.032128908,-0.0046017924,478,2812.2475492954254,1398784,21.593657,782.5822417999999,1107.21,0.0030030017,683,5.9249654,0.8911054208874702
1400832,0.0032714843,-0.0022285497,510,2816.525908470154,1400832,15.831953,766.42182609,1091.25,0.0004683854,684,5.915344,0.9279314503073692
1402880,0.029492188,-0.000863172,507,2820.5349173545837,1402880,20.074799,764.9711206599999,1091.25,0.002752238,685,5.908499,0.8972530886530876
1404928,0.031347655,-0.002190249,503,2824.571535587311,1404928,20.685808,778.93333849,1105.19,0.0028210245,686,5.896209,0.9000876173377037
1406976,0.027148437,-0.001104383,497,2828.641770839691,1406976,20.007484,793.7718721699998,1120.6,0.0027122472,687,5.888953,0.8979327753186226
1409024,0.03696289,-0.0035031992,506,2832.7569320201874,1409024,21.089931,810.2226137499998,1138.41,0.0029708126,688,5.8821783,0.8883296176791191
1411072,0.029150391,-0.007812823,532,2836.7990415096283,1411072,27.382944,810.6751858699998,1139.36,0.0033678294,689,5.892714,0.9185847640037537
1413120,0.035498045,-0.0048841694,498,2840.645114183426,1413120,20.763187,825.2252935199999,1154.94,0.0032433115,690,5.9066763,0.9008955731987953
1415168,0.050097656,-0.003177679,498,2844.750900745392,1415168,20.379042,840.70095075,1170.66,0.0042242785,691,5.9030504,0.894115149974823
1417216,0.05366211,-0.0033642382,498,2848.862082004547,1417216,20.62534,855.28767112,1184.97,0.004271703,692,5.894123,0.8834624364972115
1419264,0.05024414,-0.0035911177,512,2852.9732127189636,1419264,20.290117,870.11559233,1200.08,0.004174685,693,5.88539,0.8952391892671585
1421312,0.030273438,-0.0024128484,518,2856.9734148979187,1421312,20.219212,884.70749049,1215.55,0.0028435106,694,5.8766184,0.8947965428233147
1423360,0.01977539,-0.003420157,497,2860.9217171669006,1423360,21.662762,897.1675042100002,1230.14,0.0018038942,695,5.8758,0.8639198690652847
1425408,0.043701172,-0.0043532047,474,2865.0357372760773,1425408,19.842197,912.9585135800002,1245.9,0.0037935723,696,5.8750925,0.8866962492465973
1427456,0.017285157,-0.0021653431,527,2869.3523881435394,1427456,11.046892,898.91601347,1230.96,0.0017773245,697,5.87808,0.9416482038795948
1429504,0.041503906,-0.0031595812,489,2873.2350997924805,1429504,19.820774,897.5540740000001,1230.96,0.0035422866,698,5.8678303,0.8888063579797745
1431552,0.021826172,-0.0028816527,509,2877.415516614914,1431552,19.950968,897.0556322200001,1230.96,0.002219633,699,5.8462367,0.8961725160479546
1433600,0.018115234,-0.0021634116,497,2881.438514471054,1433600,19.608171,895.9332593800001,1230.96,0.0019865432,700,5.832428,0.8858473151922226
1435648,0.055322267,-0.005872228,519,2885.5603153705597,1435648,29.845484,911.2038842899998,1246.28,0.0046124607,701,5.834545,0.8808923661708832
1437696,0.04526367,-0.0032183132,509,2889.4998881816864,1437696,20.0879,925.9724006299999,1261.64,0.0043609394,702,5.838197,0.8627163767814636
1439744,0.03564453,-0.0042019645,523,2893.516575574875,1439744,11.144285,936.4045632499999,1277.27,0.0027742407,703,5.8424196,0.9263392090797424
1441792,0.031542968,-0.002867644,530,2897.428190946579,1441792,30.616962,939.47331685,1275.63,0.0028218129,704,5.850919,0.8774398192763329
1443840,0.04477539,-0.006688659,510,2901.2918071746826,1443840,1.5171533,942.1590919600001,1278.74,0.0034713876,705,5.8473496,0.9857565304264426
1445888,0.04160156,-0.0069062104,481,2905.3031516075134,1445888,4.6685925,949.28605409,1283.26,0.0042199967,706,5.8228445,0.9648120440542698
1447936,0.04472656,-0.004820661,491,2909.5530440807343,1447936,6.29942,966.2686078400001,1300.81,0.00420765,707,5.7960567,0.9515787698328495
1449984,0.030273438,-0.0077204853,500,2913.7238743305206,1449984,19.364899,982.1975735699999,1315.98,0.003800142,708,5.7884398,0.9198998212814331
1452032,0.039013673,-0.004537794,511,2917.816965818405,1452032,21.016834,998.3826240599998,1331.64,0.0031770398,709,5.790403,0.8609112799167633
1454080,0.06772461,-0.0027105534,492,2921.82079410553,1454080,20.079077,1011.5509809499998,1347.37,0.005453901,710,5.785617,0.8604881465435028
1456128,0.04863281,-0.003357572,483,2925.9759018421173,1456128,19.58667,1027.50907354,1362.65,0.004121662,711,5.781568,0.8706645220518112
1458176,0.033447266,-0.004409422,504,2930.213366508484,1458176,26.407446,1031.20035564,1366.04,0.0029527394,712,5.7855105,0.8905958011746407
1460224,0.017431641,-0.0017846676,492,2934.273897409439,1460224,20.299427,1032.27607758,1366.04,0.001833347,713,5.7825384,0.861078605055809
1462272,0.024072265,-0.002592474,500,2938.4361345767975,1462272,19.87058,1034.17549297,1366.04,0.0026223264,714,5.766158,0.8755818605422974
1464320,0.019433593,-0.0026473675,504,2942.5268585681915,1464320,25.298334,1034.40820219,1365.69,0.00250437,715,5.761471,0.9068650007247925
1466368,0.057275392,-0.0019196462,499,2946.583959341049,1466368,20.447674,1048.79074578,1379.79,0.0042015444,716,5.767118,0.8718910366296768
1468416,0.038476564,-0.0021650675,495,2950.6840257644653,1468416,20.286053,1048.02607215,1379.79,0.0032381173,717,5.7691946,0.8821317553520203
1470464,0.064648435,-0.0023190263,490,2954.81617808342,1470464,20.153555,1048.6609656399999,1379.79,0.005103466,718,5.7680917,0.8607907593250275
1472512,0.03300781,-0.0012998828,484,2958.9937403202057,1472512,20.24944,1049.09647942,1379.79,0.0029767847,719,5.7674646,0.8436857610940933
