ep_reward_mean,time_elapsed,fps,explained_variance,policy_entropy,n_updates,serial_timesteps,value_loss,clipfrac,ep_len_mean,policy_loss,approxkl,total_timesteps
305.32022188,888.3675870895386,476,0.8715007901191711,1.8875284,180,368640,11.234523,0.038183592,579.81,-0.0012810885,0.0036389627,368640
309.90292066,892.6634123325348,470,0.9274038299918175,1.8804553,181,370688,4.142456,0.061816406,587.77,-0.0011247975,0.005274377,370688
310.10318232000003,897.0203440189362,440,0.9464271031320095,1.8746834,182,372736,4.1838083,0.0453125,588.3,-0.004410173,0.004396924,372736
310.23651824999996,901.6680929660797,408,0.8893037140369415,1.8763195,183,374784,8.039656,0.030761719,587.91,-0.0038305342,0.0028954535,374784
311.06141146999994,906.681182384491,396,0.8295964300632477,1.8706334,184,376832,8.145811,0.032958984,589.07,0.00035939406,0.0031652022,376832
314.73978286,911.8407061100006,419,0.7179558575153351,1.8700092,185,378880,15.606021,0.027783204,595.04,0.0003221464,0.0029049667,378880
324.38502363,916.7230408191681,417,0.7500481903553009,1.8651438,186,380928,13.932413,0.02216797,610.57,-0.0025665774,0.0023549097,380928
328.81646786,921.6292476654053,395,0.9178463742136955,1.8555529,187,382976,4.429445,0.054882813,617.54,-0.0037723624,0.0046151737,382976
336.30822014,926.8125696182251,409,0.8740599006414413,1.8515408,188,385024,7.119771,0.035595704,629.92,0.00014369802,0.0033777286,385024
336.94111851,931.8096024990082,406,0.9121243581175804,1.8607161,189,387072,5.7309303,0.08310547,631.24,-0.0052580326,0.00727797,387072
343.91617851,936.8463680744171,379,0.8542233109474182,1.8745697,190,389120,6.7155447,0.0578125,642.19,4.4210825e-05,0.004741667,389120
352.07990981,942.2393448352814,388,0.6961767077445984,1.8670943,191,391168,7.912594,0.104003906,655.57,-0.0024494117,0.008362216,391168
357.31860008999996,947.512503862381,401,0.6726394891738892,1.8699081,192,393216,15.361072,0.07944336,664.75,-0.0029917127,0.0067514726,393216
365.5823934399999,952.6143333911896,411,0.8383362293243408,1.8754604,193,395264,4.83484,0.074560545,677.63,-0.004117842,0.006329817,395264
372.70049546,957.5931708812714,489,0.6164293885231018,1.8761812,194,397312,9.764936,0.05263672,689.45,-0.0015892489,0.0044937492,397312
381.93416189999994,961.774612903595,429,0.7580924034118652,1.8706875,195,399360,7.0641947,0.055517577,704.15,-0.003419748,0.0047326377,399360
393.36124769,966.543065071106,395,0.7674182504415512,1.865955,196,401408,8.052262,0.058789063,724.05,-0.00357975,0.005122609,401408
401.12792938,971.7285153865814,415,0.6792785823345184,1.867745,197,403456,9.419679,0.054785155,738.78,-0.0019078024,0.004730698,403456
410.95654761000003,976.66166639328,416,0.8091078251600266,1.8593347,198,405504,7.501303,0.051855467,754.55,-0.003610266,0.0049265404,405504
419.50212405999997,981.5767946243286,380,0.7921974062919617,1.8520666,199,407552,8.074561,0.03671875,769.67,-0.0010096685,0.0036309175,407552
425.78649851999995,986.9668638706207,393,0.9035678282380104,1.8531468,200,409600,4.1546564,0.055419922,780.39,-0.0038860228,0.00452736,409600
435.7851689699999,992.1741971969604,426,0.8301112651824951,1.8497841,201,411648,8.074012,0.046191406,797.55,0.0021312747,0.0043466636,411648
