n_updates,total_timesteps,policy_entropy,clipfrac,time_elapsed,approxkl,explained_variance,policy_loss,serial_timesteps,fps,value_loss,ep_len_mean,ep_reward_mean
52,106496,4.5466866,0.030712891,189.4220163822174,0.0028246832,0.41016584634780884,-0.0019061571,106496,577,16.002842,406.77,181.63933053
53,108544,4.5474963,0.04399414,192.96957349777222,0.0038061268,0.6612075567245483,-0.0027726437,108544,565,12.100565,423.43,192.06754108999996
54,110592,4.5474305,0.03286133,196.5947723388672,0.0029237655,0.8787074536085129,-0.0019348683,110592,576,6.98823,424.51,192.48528518
55,112640,4.5367045,0.05239258,200.1491723060608,0.0045901714,0.6800251305103302,-0.0044004368,112640,570,8.829118,438.08,200.63813122000002
56,114688,4.518237,0.03461914,203.73943829536438,0.0034085587,0.6382981538772583,-0.0020946458,114688,585,13.452133,457.17,212.55809469000005
57,116736,4.5103292,0.043652344,207.2409040927887,0.0056952657,0.5160626769065857,-0.00746516,116736,552,18.434237,463.33,216.51159094000002
58,118784,4.503631,0.03618164,210.94932079315186,0.0031745385,0.7701725363731384,-0.0017300753,118784,516,13.610995,469.94,220.52534050000003
59,120832,4.5006223,0.047265626,214.91226053237915,0.0041637938,0.7134531140327454,0.0005809935,120832,533,12.944888,489.78,233.03455085000004
60,122880,4.501032,0.016455078,218.74994087219238,0.00158419,0.6809306144714355,-0.0023948138,122880,552,12.312006,491.24,234.15419755
61,124928,4.5052233,0.019824218,222.4577865600586,0.0018678304,0.7225613594055176,-0.003669768,124928,544,12.526072,501.19,240.58520110999999
62,126976,4.5086484,0.083984375,226.22306084632874,0.007474462,0.8991123363375664,-0.0037898335,126976,562,12.006681,518.03,253.49650235999997
63,129024,4.520289,0.06635742,229.86769723892212,0.005098545,0.8572030961513519,-0.004715288,129024,546,4.778775,520.35,255.01144336999997
64,131072,4.5248632,0.05253906,233.61876511573792,0.0044077826,0.720954418182373,-0.002772084,131072,468,7.2546816,538.34,266.18308464
65,133120,4.5221252,0.0815918,237.98942184448242,0.0062304097,0.8829611986875534,-0.006819661,133120,492,10.243946,555.63,277.34493865999997
66,135168,4.514858,0.0390625,242.1498727798462,0.0038629775,0.7363986372947693,-0.0036479037,135168,488,10.951029,569.88,288.23113193
67,137216,4.5139203,0.03730469,246.34076142311096,0.0035395399,0.6457245945930481,-0.0028163702,137216,506,14.643694,581.77,295.86114417
68,139264,4.529786,0.07739258,250.3888394832611,0.0076547833,0.7331940233707428,-0.0069297566,139264,492,12.486226,599.87,307.48886983
69,141312,4.540737,0.06845703,254.55258464813232,0.0056169257,0.9178160950541496,-0.0055099116,141312,468,11.326348,617.0,320.71959051
70,143360,4.5242324,0.07558594,258.9259967803955,0.0058534453,0.9017525166273117,-0.007138134,143360,498,8.407347,634.03,332.82190678
71,145408,4.510461,0.032910157,263.03438997268677,0.003242333,0.8915929049253464,-0.00438255,145408,541,9.624929,639.22,336.08009088
72,147456,4.4936943,0.034375,266.81890988349915,0.0032145318,0.7343961894512177,-0.003164462,147456,545,9.8431835,656.16,347.53884525999996
73,149504,4.485911,0.026953125,270.57170033454895,0.0024432167,0.8249923437833786,-0.0011124023,149504,565,21.578854,676.29,361.71844127
74,151552,4.486439,0.05,274.1967182159424,0.00412021,0.8841182962059975,-0.006029749,151552,551,5.0401425,680.39,364.26838635
75,153600,4.487981,0.05102539,277.9122676849365,0.0049551027,0.952060654759407,-0.0036695402,153600,525,8.296348,697.21,375.34014149
76,155648,4.4859095,0.042578124,281.8118691444397,0.0037823662,0.892431914806366,-0.005659721,155648,527,17.044542,714.31,391.30088481000007
77,157696,4.479379,0.043359376,285.69874143600464,0.0038823888,0.8300074934959412,-0.0026552454,157696,541,15.856485,727.9,404.85796946000005
78,159744,4.4663153,0.0453125,289.4845609664917,0.003867951,0.8368959873914719,-0.005223021,159744,474,23.174065,755.86,426.14529773999993
79,161792,4.455172,0.03828125,293.8057506084442,0.0033969835,0.9038921147584915,-0.0029183426,161792,548,17.716675,772.84,440.63733410000003
80,163840,4.452598,0.034472656,297.53841376304626,0.0030658103,0.7266158163547516,-0.0044124527,163840,548,19.347263,780.4,444.68109587000004
81,165888,4.4492116,0.02446289,301.2711753845215,0.0025937469,0.8737879991531372,-0.0014791948,165888,564,18.348112,795.57,457.52767857
82,167936,4.4422417,0.01826172,304.90286111831665,0.0016648493,0.7820256352424622,-0.0034608792,167936,561,13.870905,798.66,459.33721755999994
83,169984,4.4396386,0.072753906,308.5497360229492,0.006432117,0.9117804318666458,-0.0053242813,169984,568,10.623892,815.83,471.13736096999986
84,172032,4.4347224,0.039208986,312.15068912506104,0.0036000297,0.8968150764703751,-0.0014019536,172032,526,17.819458,832.64,486.93536882999985
85,174080,4.4289565,0.046240233,316.043594121933,0.0037462085,0.8944705799221992,-0.003042753,174080,520,22.747736,851.29,501.83163667
86,176128,4.4225626,0.036132812,319.98137855529785,0.0033839662,0.9500965885818005,-0.0040733675,176128,555,11.268667,851.52,502.43889424
