policy_entropy,time_elapsed,value_loss,approxkl,clipfrac,explained_variance,serial_timesteps,policy_loss,ep_reward_mean,ep_len_mean,fps,total_timesteps,n_updates
2.4075513,2490.573539018631,10.793988,0.0055381497,0.0675293,0.8396906554698944,1011712,-0.0054593356,807.87223068,1271.51,457,1011712,494
2.4117205,2495.0544443130493,9.287203,0.0059447256,0.0715332,0.7179668843746185,1013760,-0.0018621314,807.3799841,1271.51,455,1013760,495
2.4079506,2499.550199985504,11.841387,0.0046272995,0.052099608,0.8525704145431519,1015808,-0.005045782,799.02861549,1261.63,453,1015808,496
2.413883,2504.067552804947,17.500408,0.0058057616,0.062060546,0.8166736215353012,1017856,-0.009132561,776.64738051,1230.06,463,1017856,497
2.4160175,2508.4846696853638,10.201136,0.0073232776,0.08886719,0.594387948513031,1019904,-0.006829329,789.4401505500001,1250.04,426,1019904,498
2.4086165,2513.289715528488,11.557969,0.0041443324,0.047167968,0.6659637987613678,1021952,-0.0017890049,790.2554007699998,1250.04,441,1021952,499
2.4121804,2517.929055452347,8.4846,0.0050492873,0.063769534,0.8972666189074516,1024000,-0.004065682,783.31436979,1240.47,447,1024000,500
2.413774,2522.509270429611,17.957872,0.0042975373,0.04550781,0.7678178697824478,1026048,-0.0034493892,783.1122532899999,1238.17,463,1026048,501
2.4145172,2526.927102804184,18.306065,0.0035582308,0.039404295,0.8349457681179047,1028096,-0.0063358685,742.7800772300001,1182.08,462,1028096,502
2.4229727,2531.351275920868,8.802898,0.0063440674,0.07807617,0.4895358085632324,1030144,-0.0014603856,738.7009959500002,1182.08,439,1030144,503
2.4198554,2536.011486053467,11.568985,0.0062606856,0.07973633,0.7021280229091644,1032192,-0.0014740888,739.2508486600002,1182.08,440,1032192,504
2.4229093,2540.6619737148285,9.164232,0.0029502516,0.033447266,0.8689383268356323,1034240,-0.0029290174,719.4986474000001,1155.07,435,1034240,505
2.4277022,2545.366903781891,15.473546,0.0038271802,0.04350586,0.7525795847177505,1036288,-0.004268157,720.5765704600001,1157.09,438,1036288,506
2.4306586,2550.0381186008453,9.496535,0.0067444174,0.08271484,0.739879697561264,1038336,-0.0016284466,721.5532433200001,1157.09,449,1038336,507
2.4291017,2554.599400281906,11.498472,0.0053927065,0.070654295,0.5718143284320831,1040384,-0.004027648,730.65058314,1170.01,429,1040384,508
2.4213457,2559.3715965747833,12.028567,0.004779366,0.058544923,0.7009076178073883,1042432,-0.004109302,729.7893823299997,1170.01,462,1042432,509
2.4399328,2563.800533771515,14.592562,0.0064056916,0.07563476,0.7007158994674683,1044480,-0.0056910003,738.01283367,1182.24,443,1044480,510
2.460245,2568.4235792160034,10.796164,0.004392289,0.051953126,0.7033894062042236,1046528,-0.0010201882,749.0610616399999,1197.18,435,1046528,511
2.4659162,2573.1264820098877,5.1602287,0.006178421,0.066748045,0.8926207944750786,1048576,-0.009318413,749.27480522,1199.13,442,1048576,512
