fps,serial_timesteps,ep_len_mean,policy_entropy,clipfrac,explained_variance,approxkl,n_updates,policy_loss,total_timesteps,ep_reward_mean,value_loss,time_elapsed
400,129024,1442.3932584269662,2.9992418,0.062207032,0.7897737473249435,0.005558925,63,-0.0063668415,129024,881.4981608426965,11.815506,318.6314926147461
379,131072,1449.1333333333334,2.989383,0.038720705,0.8030623644590378,0.0035173595,64,-0.0039755837,131072,886.358855511111,10.674673,323.74694418907166
376,133120,1455.7252747252746,2.9873595,0.07807617,0.8199617713689804,0.00643308,65,-0.0030694152,133120,890.6231026703294,8.967523,329.14108324050903
374,135168,1449.0,2.9918725,0.035742186,0.8436018377542496,0.0034143324,66,-0.0064074052,135168,886.2072293333331,15.044893,334.58460879325867
376,137216,1455.3829787234042,2.9889004,0.056005858,0.7892195880413055,0.004871992,67,-0.0025648007,137216,891.6497581276593,12.028586,340.0526807308197
378,139264,1448.3645833333333,2.9865162,0.04560547,0.8293762803077698,0.0041976636,68,-0.0031804144,139264,887.1384823020834,13.712822,345.4990406036377
394,141312,1454.5567010309278,2.9962354,0.059912108,0.8071823269128799,0.005358015,69,-0.0027387403,141312,891.9543639175258,11.267026,350.9147515296936
417,143360,1460.6224489795918,3.0054955,0.087939456,0.804941713809967,0.006831883,70,-0.0035812557,143360,895.8396591122448,8.910307,356.10831212997437
370,145408,1466.5656565656566,3.0073338,0.07744141,0.8434486836194992,0.007155218,71,-0.007333855,145408,900.5868006868686,8.913599,361.014285326004
433,147456,1467.63,3.0012593,0.03676758,0.7928062379360199,0.0033802153,72,-0.003826181,147456,902.1943775300001,14.089722,366.54756450653076
425,149504,1467.63,3.0031533,0.070214845,0.8085372745990753,0.005679219,73,-0.004483686,149504,902.9453125799998,8.823328,371.2769265174866
412,151552,1481.37,3.002267,0.06557617,0.7055266201496124,0.005374828,74,-0.006000459,151552,911.63553827,10.641417,376.08759927749634
420,153600,1481.37,3.00211,0.06362305,0.7097748517990112,0.0058049327,75,-0.002282776,153600,910.3579202399998,10.628859,381.04852509498596
458,155648,1481.37,2.9960406,0.032226562,0.8253499865531921,0.0030020184,76,-0.0012485842,155648,912.6916351399997,11.215358,385.92551827430725
441,157696,1481.37,2.993882,0.038183592,0.7912963926792145,0.0034898561,77,-0.002108138,157696,914.10763173,13.2288,390.39084243774414
435,159744,1481.37,2.9993117,0.05581055,0.8511600643396378,0.004549717,78,-0.0041354955,159744,915.26861796,9.417786,395.03497338294983
448,161792,1468.85,2.9960852,0.046435546,0.7847384363412857,0.0042457166,79,-0.0029499675,161792,907.1120932000001,13.9531,399.74313282966614
458,163840,1450.06,2.9946256,0.11640625,0.7610034495592117,0.009385492,80,-0.007845488,163840,895.75654816,16.320553,404.3142092227936
465,165888,1450.06,2.999152,0.031591795,0.8193364888429642,0.0031839479,81,-0.0041179704,165888,895.69588248,9.807928,408.778902053833
461,167936,1463.51,2.9923973,0.037353516,0.8830521777272224,0.0033973088,82,-0.0031326432,167936,906.2454090499999,9.994818,413.1800560951233
459,169984,1475.67,2.9938264,0.025,0.809497058391571,0.0025215414,83,-0.0013114975,169984,914.7912218099998,10.742766,417.61374735832214
444,172032,1494.24,3.0000863,0.02836914,0.8331995606422424,0.002859764,84,-0.001375994,172032,927.5175678899999,8.7084875,422.07021021842957
