total_timesteps,policy_entropy,time_elapsed,explained_variance,ep_len_mean,serial_timesteps,value_loss,ep_reward_mean,approxkl,fps,n_updates,policy_loss,clipfrac
120832,1.3686788,276.12908005714417,-0.016892313957214355,955.31,120832,1.0025883,176.74523531,0.005030012,471,59,-0.00062945,0.05683594
122880,1.3737829,280.4715254306793,0.01657259464263916,974.36,122880,0.9796885,180.84544457,0.0046161455,479,60,-0.0025942565,0.057275392
124928,1.3907889,284.74129605293274,0.02626669406890869,993.39,124928,0.95584315,184.99237310999996,0.0040556234,505,61,0.00014688827,0.046728514
126976,1.3958706,288.7907931804657,0.0507548451423645,1012.54,126976,0.95236844,189.07170935999994,0.003584527,469,62,0.0008267138,0.04008789
129024,1.4045746,293.15726828575134,0.029551386833190918,1031.75,129024,0.9652095,193.30956554,0.005260437,480,63,0.00042495495,0.0659668
131072,1.403759,297.4194219112396,0.0326465368270874,1051.06,131072,0.954377,197.53839519999997,0.005921484,475,64,-0.002579567,0.07392578
133120,1.406109,301.72709918022156,0.061254024505615234,1070.11,133120,0.91971,201.77609662999998,0.0043488615,459,65,-0.0007728698,0.052734375
135168,1.4151623,306.1861484050751,0.08405148983001709,1089.2,135168,0.91255265,206.09829345999998,0.003928792,467,66,-0.0020193558,0.047216795
137216,1.4211085,310.5715136528015,0.07780790328979492,1108.28,137216,0.9798254,210.49123809,0.004055178,449,67,-0.0020205681,0.04838867
139264,1.4326953,315.127738237381,0.12285637855529785,1127.4,139264,0.9452261,215.03242285999997,0.0049473024,485,68,-0.0019907919,0.0597168
141312,1.4373281,319.348379611969,0.05004382133483887,1146.41,141312,1.0320936,219.65577485999998,0.0035043608,473,69,-0.00027965716,0.036621094
143360,1.4273272,323.67604541778564,0.12038302421569824,1165.45,143360,1.011573,224.30927398,0.004205191,442,70,-0.0022998042,0.04736328
145408,1.4160123,328.30506587028503,0.07834696769714355,1184.46,145408,1.0873914,228.97438614000004,0.0050992435,487,71,-0.0013921998,0.062597655
147456,1.418821,332.5083477497101,-0.04519093036651611,1203.59,147456,1.1255902,233.83993901000002,0.004133582,449,72,-0.0003949521,0.048876952
149504,1.4208753,337.06598472595215,-0.031299591064453125,1222.79,149504,1.1435448,238.59906351000006,0.009345079,477,73,-0.007228242,0.124414064
151552,1.4190089,341.3511483669281,0.017450153827667236,1241.9,151552,1.1154835,243.36895441000001,0.0034116462,458,74,-0.0017343946,0.034716796
153600,1.4204509,345.817528963089,-0.0098646879196167,1261.02,153600,1.1441307,248.26976935,0.003645779,479,75,-0.0013318348,0.043310545
155648,1.4334058,350.0905327796936,0.024091601371765137,1280.21,155648,1.134934,253.13888702,0.003457894,477,76,-0.0023941216,0.035009764
157696,1.4530779,354.38100147247314,0.02196747064590454,1299.24,157696,1.2134994,258.01996675000004,0.0047157975,455,77,-0.0020765064,0.058496095
159744,1.4618065,358.8817744255066,0.09831511974334717,1318.29,159744,1.1929837,263.14254464000004,0.00307613,492,78,-0.0012097624,0.034570314
161792,1.4631181,363.0385386943817,0.04097342491149902,1337.08,161792,1.2713377,268.20368631,0.0063947835,424,79,-0.0040580807,0.083544925
163840,1.4694936,367.86200070381165,0.17455333471298218,1356.01,163840,1.168802,273.34818131,0.0056893337,298,80,-0.0031316653,0.072753906
165888,1.4785312,374.7345449924469,0.09616219997406006,1375.1,165888,1.1764696,278.70689487,0.0034004406,307,81,0.00055261474,0.03803711
167936,1.4932024,381.401752948761,0.10298198461532593,1393.94,167936,1.2518324,283.88031407999995,0.004013845,403,82,-0.002254411,0.050097656
169984,1.5127425,386.47802925109863,0.0488966703414917,1412.93,169984,1.3518307,288.98498696,0.004981427,434,83,-0.00064422033,0.06010742
172032,1.5191882,391.1935591697693,-0.022294282913208008,1431.94,172032,1.357321,294.2832628,0.0041726283,476,84,-0.0027978027,0.046533205
174080,1.5172919,395.4922971725464,0.023308217525482178,1450.87,174080,1.3651952,299.44240098,0.005999926,438,85,-0.0028298646,0.076660156
176128,1.5249578,400.16432762145996,0.03739100694656372,1469.7,176128,1.3135574,304.62064902000003,0.0037832696,466,86,-0.0010921129,0.043847658
178176,1.5250916,404.55330419540405,-0.00637209415435791,1488.02,178176,1.3481722,309.61148543,0.005874434,455,87,-0.0004456648,0.07358398
180224,1.5342115,409.0490503311157,0.03426581621170044,1506.77,180224,1.3798525,314.65700058,0.0030965738,453,88,-0.00085640594,0.033203125
182272,1.548375,413.5705316066742,0.06777888536453247,1525.75,182272,1.3316176,319.99383538999996,0.0044827466,402,89,-0.0020253558,0.05263672
184320,1.5616426,418.66488909721375,0.04001086950302124,1544.63,184320,1.317477,325.30151524,0.0026166202,439,90,-0.00045917174,0.027636718
186368,1.5712999,423.3290319442749,0.0059514641761779785,1563.34,186368,1.3127686,330.53433386000006,0.005117982,410,91,-0.0015028621,0.06459961
188416,1.5744014,428.321573972702,0.019306480884552002,1582.13,188416,1.3408427,335.66210852999995,0.0032383963,366,92,-0.00030487325,0.035009764
190464,1.5679965,433.9123408794403,0.028687894344329834,1601.08,190464,1.4123663,340.86773082,0.0046849013,330,93,-0.0031009945,0.05673828
192512,1.5767522,440.1073782444,-0.01053309440612793,1620.06,192512,1.4020461,345.99430407,0.004268202,437,94,-0.0012792911,0.05029297
194560,1.5980142,444.79267621040344,0.02290523052215576,1638.98,194560,1.3362281,351.12722045000004,0.0046634143,382,95,-0.0027559772,0.05625
196608,1.6210016,450.1474916934967,0.010929226875305176,1657.74,196608,1.3042784,356.23073537,0.0032419811,382,96,-0.0021565794,0.039794922
198656,1.6430391,455.49997210502625,0.10016041994094849,1675.23,198656,1.2796988,361.00906059,0.003863363,383,97,-0.0013653259,0.044384766
200704,1.6568091,460.8346574306488,0.08802193403244019,1693.93,200704,1.2967618,365.9742491,0.0036315252,420,98,-0.0017736299,0.03955078
202752,1.6657896,465.7098205089569,0.10853773355484009,1712.91,202752,1.3145812,370.99460758999993,0.0049692495,408,99,-0.003732988,0.05986328
204800,1.6730566,470.72989153862,0.01622188091278076,1731.63,204800,1.3777049,376.04054941999993,0.007707529,432,100,-0.0036608707,0.099609375
206848,1.6824892,475.47279691696167,0.027874469757080078,1749.95,206848,1.40277,381.01364512999993,0.0041303793,441,101,-0.0017886072,0.048193358
208896,1.6841583,480.1137681007385,0.10631287097930908,1768.74,208896,1.2943832,386.02822402,0.0034449282,448,102,-0.0021372293,0.038085938
210944,1.689475,484.6858341693878,0.04793435335159302,1787.26,210944,1.3638031,391.1505347,0.0056800116,432,103,-0.00028052827,0.0737793
212992,1.6908401,489.4257504940033,0.13466185331344604,1805.52,212992,1.3442754,396.13984731000005,0.004721598,411,104,-0.0022029858,0.057519533
215040,1.6955402,494.39802742004395,0.10504251718521118,1823.75,215040,1.3412092,401.2939359300001,0.0044292016,377,105,-0.0020489725,0.051074218
217088,1.7004668,499.8274612426758,0.015628457069396973,1839.59,217088,1.4480475,406.08133166,0.0025779714,437,106,0.00015220264,0.025
