value_loss,fps,clipfrac,approxkl,time_elapsed,serial_timesteps,policy_loss,policy_entropy,total_timesteps,explained_variance,n_updates,ep_reward_mean,ep_len_mean
15.003214,535,0.04433594,0.003831517,2393.281617164612,1185792,-0.00524917,5.574931,1185792,0.7667586356401443,579,1158.4295301500001,1483.87
4.489749,509,0.035498045,0.0034630448,2397.106516599655,1187840,-0.004451971,5.572194,1187840,0.9806761275976896,580,1160.3094497900001,1486.66
19.641953,497,0.04111328,0.0036352496,2401.1252410411835,1189888,-0.0012844176,5.565663,1189888,0.872207447886467,581,1160.11491868,1486.66
19.865282,498,0.06381836,0.0051654438,2405.239536046982,1191936,-0.0045799515,5.5704083,1191936,0.8753779903054237,582,1159.8661138000002,1486.66
19.730839,485,0.047607422,0.003976075,2409.347731113434,1193984,-0.0030760851,5.578075,1193984,0.8805402889847755,583,1177.03601565,1504.92
19.604427,496,0.044287108,0.003980885,2413.5642626285553,1196032,-0.002753288,5.581183,1196032,0.8791575357317924,584,1192.35498039,1520.37
24.45755,504,0.046142578,0.0041350774,2417.689789533615,1198080,-0.0058245775,5.5825167,1198080,0.9056958481669426,585,1207.2822403300001,1535.05
20.89787,526,0.040771484,0.0033628605,2421.746979236603,1200128,-0.0044741705,5.5883183,1200128,0.8527396023273468,586,1224.6963516600001,1554.13
28.168903,487,0.018603515,0.0023057966,2425.6393241882324,1202176,-0.0034518144,5.592787,1202176,0.855928897857666,587,1237.0453814799998,1571.28
24.410702,504,0.042333983,0.003993382,2429.8429675102234,1204224,-0.0041000885,5.5954943,1204224,0.9128831997513771,588,1254.6165001,1590.35
20.383947,520,0.05571289,0.004259295,2433.9054906368256,1206272,-0.0044428757,5.596924,1206272,0.8666305989027023,589,1270.70013146,1608.27
19.255344,504,0.040283203,0.0034751724,2437.839073896408,1208320,-0.0015278033,5.599571,1208320,0.8833625018596649,590,1286.19952596,1623.67
18.213366,555,0.032324217,0.0033377353,2441.89754652977,1210368,-0.0044220043,5.5909615,1210368,0.8765818029642105,591,1283.22328565,1618.55
19.686977,508,0.031933594,0.0029070068,2445.5881428718567,1212416,-0.003608916,5.5797095,1212416,0.8792421519756317,592,1295.8670906000002,1635.0
26.31861,538,0.049462892,0.0040221643,2449.6126656532288,1214464,-0.0066969595,5.582914,1214464,0.9003754258155823,593,1293.19041635,1632.27
31.558401,528,0.027001953,0.0024257468,2453.418350458145,1216512,-0.004466056,5.595514,1216512,0.893935352563858,594,1292.46978457,1631.72
10.506775,543,0.036621094,0.0033706226,2457.293395280838,1218560,-0.00401556,5.610511,1218560,0.9001115560531616,595,1279.58957573,1620.59
5.2566195,545,0.04057617,0.0033939104,2461.0594053268433,1220608,-0.0053577353,5.6207104,1220608,0.9346602782607079,596,1280.26885999,1621.66
10.319343,497,0.0652832,0.005720067,2464.8167510032654,1222656,-0.0042502973,5.612181,1222656,0.9298554584383965,597,1275.37086562,1621.66
19.068573,504,0.02368164,0.0024209318,2468.934469938278,1224704,-0.0017921079,5.60718,1224704,0.8784850984811783,598,1292.74301788,1640.54
19.161072,493,0.12919922,0.009148272,2472.9972286224365,1226752,-0.0026476516,5.607945,1226752,0.8626239001750946,599,1292.8217798900002,1640.54
19.16358,515,0.066064455,0.005415108,2477.1508984565735,1228800,-0.004686608,5.596489,1228800,0.8637833148241043,600,1308.54783324,1655.85
19.939901,509,0.038134765,0.0045111794,2481.1260521411896,1230848,-0.0052833837,5.5845327,1230848,0.8818525597453117,601,1308.3373767199998,1655.85
20.02517,485,0.050976563,0.0043234173,2485.148578643799,1232896,-0.0037439968,5.574808,1232896,0.8581575751304626,602,1322.7277875499997,1670.06
27.900208,532,0.029882813,0.0025523345,2489.3693692684174,1234944,-0.0036683274,5.5677347,1234944,0.6690569519996643,603,1324.7578546299999,1673.32
15.423056,497,0.03378906,0.0029925914,2493.2130897045135,1236992,-0.0039539123,5.58331,1236992,0.9041311740875244,604,1333.48460359,1686.29
19.504978,499,0.042285156,0.0034352678,2497.328515291214,1239040,-0.0027275058,5.5953927,1239040,0.8790335133671761,605,1348.7067902099998,1701.29
19.59844,504,0.025585938,0.002663962,2501.425229072571,1241088,-0.0025228155,5.589511,1241088,0.8762121647596359,606,1348.43839841,1701.29
19.811749,506,0.030908203,0.00280032,2505.4864943027496,1243136,-0.0017229175,5.580483,1243136,0.8784518018364906,607,1350.53081291,1701.29
19.60224,498,0.06938477,0.005277413,2509.533293247223,1245184,-0.005267058,5.584893,1245184,0.8816716223955154,608,1350.65259838,1701.29
28.178837,526,0.035742186,0.0028882772,2513.6443696022034,1247232,-0.0038505748,5.5869093,1247232,0.8895867764949799,609,1350.8842242599997,1701.43
19.577633,497,0.037744142,0.0036058638,2517.5339908599854,1249280,-0.0019874023,5.589066,1249280,0.8811927512288094,610,1351.2655484499999,1701.43
29.238308,504,0.038183592,0.0064764777,2521.6486763954163,1251328,-0.0057830093,5.587018,1251328,0.8959557712078094,611,1338.11491329,1686.51
12.548218,536,0.069970705,0.0054429374,2525.7121086120605,1253376,-0.0052611665,5.591568,1253376,0.7755340933799744,612,1333.4332642299998,1686.51
19.541515,504,0.043310545,0.0036834974,2529.533347129822,1255424,-0.001985065,5.5860786,1255424,0.8739481419324875,613,1334.2029830200001,1686.51
16.041298,543,0.025048828,0.0024602811,2533.591276884079,1257472,-0.0042577377,5.584433,1257472,0.8765474855899811,614,1327.6083395499998,1676.98
19.86668,488,0.047705077,0.0039701518,2537.3578674793243,1259520,-0.0044266162,5.594903,1259520,0.8791442364454269,615,1328.77770318,1676.98
22.389858,483,0.052246094,0.004790447,2541.5465660095215,1261568,-0.0043063285,5.585463,1261568,0.91822649538517,616,1312.63530777,1657.94
14.323873,528,0.047070313,0.004127656,2545.7846620082855,1263616,-0.003754634,5.5869017,1263616,0.7172716557979584,617,1307.2754944599997,1657.94
9.705748,538,0.03305664,0.0030533038,2549.6605920791626,1265664,-0.0050237686,5.59851,1265664,0.9024405777454376,618,1293.23823003,1643.53
9.797806,511,0.047460936,0.0044571958,2553.4624524116516,1267712,-0.0062897676,5.6123896,1267712,0.9435334913432598,619,1293.0429018,1643.53
19.250301,496,0.027294923,0.0026431167,2557.46440076828,1269760,-0.0023947917,5.6232214,1269760,0.8788881897926331,620,1294.1455952299998,1643.53
20.073854,486,0.059179686,0.0047387844,2561.591551542282,1271808,-0.0019997058,5.617406,1271808,0.8858752027153969,621,1294.15903525,1643.53
27.865778,517,0.074804686,0.0055480762,2565.8029391765594,1273856,-0.008651078,5.6092896,1273856,0.8625554591417313,622,1283.11892817,1625.99
27.214853,538,0.04321289,0.0035237067,2569.7612495422363,1275904,-0.0025615066,5.615962,1275904,0.736253559589386,623,1252.48006311,1595.17
8.071548,543,0.03046875,0.0028780922,2573.567970275879,1277952,-0.0034014557,5.6177983,1277952,0.8683485388755798,624,1236.79371912,1579.07
13.1215,498,0.022509765,0.0022971851,2577.337400197983,1280000,-0.003955996,5.6170607,1280000,0.9314049780368805,625,1234.60411426,1579.07
20.504673,514,0.028466797,0.0030951814,2581.444641828537,1282048,-0.0036057655,5.6050205,1282048,0.8707254081964493,626,1234.94330427,1579.07
28.660217,503,0.04169922,0.0037865504,2585.4288392066956,1284096,-0.0022561033,5.5954866,1284096,0.8932301849126816,627,1236.35182094,1580.89
24.714655,512,0.03359375,0.003528194,2589.4975547790527,1286144,-0.0064417445,5.5897923,1286144,0.8942550495266914,628,1225.6851299399998,1565.84
10.137833,541,0.067675784,0.005769572,2593.497498035431,1288192,-0.007314959,5.595832,1288192,0.803690493106842,629,1216.0628873,1559.0
12.258052,500,0.028027344,0.0026016592,2597.281893968582,1290240,-0.0047171493,5.60535,1290240,0.9305782169103622,630,1211.1847448699998,1559.0
24.928183,507,0.02836914,0.0027136325,2601.371073246002,1292288,-0.00224026,5.6040072,1292288,0.9089822620153427,631,1200.53956785,1542.4
19.900862,457,0.04873047,0.0042640455,2605.407716035843,1294336,-0.003622558,5.6082554,1294336,0.8865301460027695,632,1200.0788699,1542.4
10.463618,529,0.068847656,0.006104692,2609.888162612915,1296384,-0.0076351264,5.6244564,1296384,0.930663138628006,633,1195.26406654,1542.4
29.985554,533,0.016992187,0.0019199911,2613.753043651581,1298432,-0.0021896209,5.6325073,1298432,0.8863268345594406,634,1180.76542821,1527.82
22.925789,514,0.037402343,0.0032811768,2617.5936076641083,1300480,-0.0036181912,5.6362333,1300480,0.8645297586917877,635,1193.7536896499998,1542.98
20.18421,512,0.047802735,0.0040432923,2621.576170682907,1302528,-0.0021314446,5.645308,1302528,0.8821942061185837,636,1192.4929063999998,1542.98
