total_timesteps,clipfrac,policy_loss,fps,time_elapsed,serial_timesteps,value_loss,approxkl,n_updates,policy_entropy,explained_variance,ep_reward_mean,ep_len_mean
245760,0.01928711,-0.0026950168,493,482.8038475513458,245760,30.601711,0.0023272359,120,5.9441524,0.8761500045657158,1301.46632264,1625.02
247808,0.016113281,-0.0041162022,487,486.9541759490967,247808,27.170807,0.0019836396,121,5.9423456,0.8973195031285286,1288.39816797,1609.46
249856,0.0418457,-0.007840695,498,491.15376114845276,249856,12.456198,0.0039298916,122,5.940925,0.9232688471674919,1288.5698592200001,1609.46
251904,0.0359375,-0.0041409554,524,495.2640290260315,251904,19.82232,0.003573434,123,5.949695,0.8717041462659836,1288.35430876,1609.46
253952,0.014990235,-0.0033177857,514,499.1701934337616,253952,20.103096,0.0015318429,124,5.958896,0.9010693579912186,1294.24297592,1617.76
256000,0.06801758,-0.00463717,458,503.1499352455139,256000,20.078785,0.0054427935,125,5.970154,0.8860373124480247,1308.8229643799998,1631.97
258048,0.03364258,-0.0031541088,491,507.62245059013367,258048,31.52213,0.003077319,126,5.9734564,0.8720673471689224,1292.6473594999998,1616.02
260096,0.054785155,-0.002680117,469,511.79367113113403,260096,19.67064,0.0043832017,127,5.981459,0.8774962201714516,1308.332158,1631.64
262144,0.024853516,-0.0022517187,483,516.151752948761,262144,19.843603,0.002752315,128,5.9828014,0.8864662945270538,1313.0434959499999,1631.64
264192,0.06362305,-0.006024367,523,520.388569355011,264192,20.733946,0.005346723,129,5.9748535,0.86388099193573,1325.7292705499997,1645.75
266240,0.07768555,-0.003853652,500,524.3037054538727,266240,20.032366,0.006114167,130,5.963229,0.889721617102623,1327.10448165,1645.75
268288,0.051660158,-0.006954084,443,528.4001200199127,268288,25.555462,0.0044698883,131,5.9769096,0.9073973149061203,1311.8001761799999,1630.14
270336,0.021728516,-0.0026585169,489,533.0151472091675,270336,19.653267,0.0022580805,132,5.984341,0.8811462298035622,1314.7266096199999,1630.14
272384,0.046142578,-0.004358852,496,537.198567867279,272384,19.86293,0.003919757,133,5.9706764,0.872583732008934,1315.01267946,1630.14
274432,0.026611328,-0.0044370797,521,541.3201403617859,274432,20.884098,0.0021944449,134,5.9686704,0.8774354234337807,1313.19283278,1630.14
276480,0.04194336,-0.0022864367,476,545.2500863075256,276480,19.742023,0.0034833099,135,5.968994,0.8726702928543091,1327.79084416,1644.52
278528,0.014550781,-0.0025416445,458,549.5484364032745,278528,19.496693,0.0016986544,136,5.9510813,0.8681077659130096,1327.9392777,1644.52
280576,0.017626952,-0.002490667,480,554.0136046409607,280576,13.02799,0.0015067405,137,5.9359446,0.9261259660124779,1329.36653501,1646.36
282624,0.013818359,-0.0009523591,488,558.2773938179016,282624,19.387913,0.0014676205,138,5.945971,0.8601713478565216,1329.85172875,1646.36
284672,0.033935547,-0.0030545958,489,562.4699323177338,284672,19.27367,0.00290452,139,5.9495935,0.8584849387407303,1330.0701296999998,1646.36
286720,0.023144532,-0.002109179,458,566.6518235206604,286720,19.23748,0.0023209355,140,5.933537,0.8704302459955215,1330.5778441400003,1646.36
288768,0.03022461,-0.0033387276,475,571.1184787750244,288768,26.38219,0.0030317202,141,5.9386525,0.8979113772511482,1330.6437352400003,1645.46
290816,0.01328125,-0.001649069,499,575.4277667999268,290816,20.23301,0.0013619288,142,5.9471183,0.8630126863718033,1336.0146659099998,1645.46
292864,0.050390624,-0.0032304316,528,579.5290751457214,292864,20.79031,0.004059571,143,5.9539676,0.8461779952049255,1352.3701527,1663.51
294912,0.05581055,-0.002685853,553,583.4031863212585,294912,11.726783,0.0045048436,144,5.9614286,0.749218761920929,1359.15363184,1673.98
296960,0.045458984,-0.0047680857,524,587.1048917770386,296960,17.636927,0.003847864,145,5.965457,0.5797281861305237,1354.2527493500002,1673.98
299008,0.026660156,-0.002381382,533,591.0088653564453,299008,16.10485,0.0024346074,146,5.9667892,0.819728285074234,1366.1074130700001,1691.97
301056,0.06303711,-0.0023960962,480,594.8470981121063,301056,19.360128,0.00496044,147,5.956257,0.8679018318653107,1364.48487559,1691.97
303104,0.01821289,-0.0018681379,499,599.1114110946655,303104,19.746136,0.0018669793,148,5.950326,0.8570429682731628,1364.75189471,1691.97
305152,0.0147949215,-0.0015144459,503,603.2139928340912,305152,19.84602,0.0016603533,149,5.956794,0.8638913631439209,1381.62488494,1709.95
307200,0.059228517,-0.0028890788,486,607.2809135913849,307200,19.340199,0.004673871,150,5.956936,0.8610373735427856,1382.3908983,1709.95
309248,0.0921875,-0.0048505072,516,611.4963991641998,309248,18.681738,0.0070260195,151,5.961627,0.8701692223548889,1383.7859905799996,1709.95
311296,0.02241211,-0.004106782,494,615.4656503200531,311296,33.093388,0.0026358722,152,5.958965,0.8809870108962059,1382.8541177199995,1708.64
313344,0.036328126,-0.0013028237,454,619.6066341400146,313344,19.187237,0.0031994916,153,5.9561644,0.8592314720153809,1388.0416932499998,1708.64
315392,0.06938477,-0.0028660852,483,624.1167423725128,315392,19.360151,0.0055683884,154,5.9509835,0.8697818219661713,1388.3283025599999,1708.64
317440,0.026806641,-0.004202853,459,628.3563091754913,317440,9.729634,0.0025945639,155,5.953225,0.9591776616871357,1387.1500848699998,1707.15
319488,0.024560547,-0.005441121,414,632.8136065006256,319488,37.455856,0.0023201965,156,5.960133,0.8297456204891205,1371.6405121700002,1691.69
321536,0.02236328,-0.0019243115,472,637.7528533935547,321536,7.850924,0.0026064622,157,5.9701486,0.9609995521605015,1356.7181136000002,1677.15
323584,0.046435546,-0.0068984525,505,642.0909597873688,323584,27.443726,0.0042141294,158,5.9852524,0.8965661898255348,1353.2730538,1673.43
325632,0.06875,-0.004417958,473,646.1448483467102,325632,19.637775,0.005506728,159,5.9850874,0.8803565427660942,1355.8013443100003,1673.43
327680,0.066552736,-0.004430234,497,650.4691834449768,327680,20.340378,0.005387068,160,5.981749,0.8760230392217636,1355.4192505,1673.43
329728,0.04067383,-0.005344174,465,654.5881807804108,329728,26.664093,0.0038061817,161,5.97872,0.8883000239729881,1357.29027773,1676.98
331776,0.035546876,-0.0021997802,444,658.9839298725128,331776,19.686188,0.0030928743,162,5.9767637,0.8755030781030655,1358.12796895,1676.98
333824,0.06865235,-0.0052691572,487,663.5956027507782,333824,20.347652,0.0052447473,163,5.9749136,0.8849152475595474,1362.75223594,1676.98
335872,0.056884766,-0.0034788724,492,667.7934429645538,335872,19.77518,0.004459496,164,5.988042,0.8580469638109207,1361.81542062,1676.98
337920,0.05253906,-0.0037902915,486,671.9487195014954,337920,20.706589,0.005256498,165,5.983641,0.8773885667324066,1365.64329815,1676.98
339968,0.023242187,-0.0024323172,507,676.1546103954315,339968,20.37656,0.0022495997,166,5.9783287,0.8530240952968597,1363.51990536,1676.98
342016,0.018066406,-0.0015416767,489,680.1911187171936,342016,19.469687,0.0018992994,167,5.9810915,0.8812530040740967,1363.4981290800001,1676.98
344064,0.019921875,-0.0032362782,497,684.3750524520874,344064,19.627466,0.001964413,168,5.9870563,0.8834270909428596,1363.3234309100005,1676.98
346112,0.020898437,-0.002553552,494,688.4881131649017,346112,19.97191,0.0022070447,169,5.9729238,0.8722705543041229,1377.7238152300006,1691.91
348160,0.050097656,-0.00301916,437,692.6324725151062,348160,26.55122,0.004030243,170,5.949706,0.8963592872023582,1377.6184562500005,1691.85
