explained_variance,ep_len_mean,approxkl,clipfrac,serial_timesteps,ep_reward_mean,total_timesteps,n_updates,fps,value_loss,policy_entropy,time_elapsed,policy_loss
0.972224535420537,1263.0333333333333,0.002965907,0.03017578,77824,992.7317089833333,77824,38,187,2.8344963,4.560531,439.3960151672363,-0.0036414668
0.9704325329512358,1275.8196721311476,0.0042114574,0.04799805,79872,1006.3009509508196,79872,39,189,2.9170682,4.565631,450.3147509098053,-0.006560076
0.9689237736165524,1288.274193548387,0.004214504,0.0362793,81920,1019.2465001290323,81920,40,189,3.215208,4.568232,461.13920044898987,-0.0073099085
0.9497242793440819,1300.3492063492063,0.0030519962,0.03203125,83968,1031.325465031746,83968,41,204,4.869604,4.565713,471.9662253856659,-0.006191197
0.9656388089060783,1312.015625,0.0034083794,0.039453126,86016,1038.60180359375,86016,42,184,3.842113,4.5688105,481.96505761146545,-0.006985499
0.9689455758780241,1323.3538461538462,0.0032799374,0.033496093,88064,1048.8978786153846,88064,43,184,3.281732,4.570094,493.09335446357727,-0.007183872
0.9663025103509426,1334.3181818181818,0.0039964956,0.040625,90112,1058.5367572272728,90112,44,184,2.6516519,4.5593944,504.19029355049133,-0.008956356
0.9632365219295025,1344.9701492537313,0.0053177704,0.050878905,92160,1070.4341738656717,92160,45,189,2.5664706,4.5111,515.3098220825195,-0.0052525555
0.9736229386180639,1355.3235294117646,0.0038929698,0.039697267,94208,1082.5664895588236,94208,46,186,3.0422552,4.487637,526.0907235145569,-0.006991878
0.9658677093684673,1365.3478260869565,0.002944512,0.02841797,96256,1092.0061651014494,96256,47,188,2.5247033,4.4707217,537.0552799701691,-0.0044733533
0.9631283842027187,1375.1142857142856,0.0029557946,0.029345702,98304,1103.4712025857143,98304,48,187,3.3322861,4.450061,547.9020059108734,-0.0049580024
0.9683114066720009,1384.5774647887324,0.002547841,0.026611328,100352,1113.2650555915493,100352,49,191,2.688984,4.451937,558.8114976882935,-0.004003158
0.9671111665666103,1393.8055555555557,0.0024989322,0.027929688,102400,1123.5638048194442,102400,50,194,2.6886895,4.4511704,569.5213823318481,-0.0048919567
0.9666789174079895,1402.7808219178082,0.004840249,0.045703124,104448,1133.6776808904108,104448,51,187,2.418749,4.4199324,580.0425281524658,-0.0077838115
0.9651033990085125,1411.5135135135135,0.0039429637,0.039160155,106496,1143.9542599459458,106496,52,194,2.806456,4.3870983,590.9906406402588,-0.005751913
0.9707906320691109,1419.96,0.002690797,0.02607422,108544,1153.0019661733331,108544,53,189,2.9490273,4.3845997,601.5343382358551,-0.002927798
0.9665724635124207,1428.2368421052631,0.0025868525,0.023974609,110592,1161.0482422105263,110592,54,186,3.0297241,4.3782363,612.3295783996582,-0.0025965362
0.9686292298138142,1436.2987012987012,0.005864761,0.046826173,112640,1169.5266589090907,112640,55,186,2.3821588,4.3603716,623.2972989082336,-0.012005762
0.9670357406139374,1444.1538461538462,0.0077028396,0.08344726,114688,1178.571008628205,114688,56,188,2.3793936,4.3272142,634.2593379020691,-0.013307683
0.9625223763287067,1451.759493670886,0.005033032,0.05341797,116736,1187.5684632278478,116736,57,190,2.4658558,4.284072,645.1523621082306,-0.0064620906
0.9618844762444496,1459.225,0.005073182,0.045166016,118784,1196.4503344875,118784,58,194,2.770744,4.2512293,655.9214777946472,-0.0031987645
0.961682640016079,1466.4814814814815,0.0032513805,0.031884767,120832,1204.7773244691357,120832,59,184,2.4286792,4.226817,666.4548177719116,-0.0036693998
0.9637491405010223,1473.5853658536585,0.004686752,0.049951173,122880,1213.2948718658538,122880,60,187,2.3795178,4.2002354,677.5525920391083,-0.0052832095
0.9530023261904716,1480.5180722891566,0.003657231,0.03930664,124928,1221.5413356626507,124928,61,187,4.5824685,4.187652,688.4735405445099,-0.006231109
0.9622158110141754,1487.25,0.0030652545,0.02709961,126976,1227.012911559524,126976,62,188,2.5833104,4.193251,699.4030709266663,-0.002050308
0.96220837906003,1493.8470588235293,0.0044391593,0.048046876,129024,1234.581858929412,129024,63,184,2.407873,4.1943145,710.2472703456879,-0.0049636927
0.9583000652492046,1500.2906976744187,0.0045562647,0.04526367,131072,1242.2766079302326,131072,64,184,2.712932,4.182114,721.3258137702942,-0.00083623035
0.9643958024680614,1506.5977011494253,0.005612583,0.06801758,133120,1249.6532305172414,133120,65,194,2.541007,4.163726,732.438704252243,-0.0053845122
0.9640017338097095,1512.7613636363637,0.005072987,0.05419922,135168,1256.9062344659092,135168,66,188,2.397762,4.1354685,742.9958019256592,-0.0028915214
0.9675070680677891,1518.7865168539327,0.0047744894,0.051416017,137216,1264.169619033708,137216,67,188,2.3154502,4.116595,753.8851094245911,-0.0038457527
0.9679898396134377,1524.6777777777777,0.0050927065,0.060302734,139264,1271.1718424555556,139264,68,187,2.2675455,4.1036797,764.7662172317505,-0.0027365347
0.970126511529088,1530.4395604395604,0.0047408724,0.048193358,141312,1278.0805653406594,141312,69,188,2.2004375,4.088835,775.6980929374695,-0.005463258
0.9705251753330231,1536.0760869565217,0.0037468069,0.03173828,143360,1284.8152067826088,143360,70,186,2.2173066,4.0507927,786.5785043239594,-0.0039731734
0.9608712643384933,1541.5913978494623,0.005069974,0.04067383,145408,1291.4698546774193,145408,71,190,3.6781929,4.0399423,797.581814289093,-0.0014950127
0.9689927082508802,1546.9893617021276,0.0032534231,0.034521483,147456,1296.0581636489362,147456,72,187,2.711466,4.0382648,808.3397572040558,-0.0012600768
0.9626275636255741,1552.178947368421,0.004546579,0.047558594,149504,1301.9745353684211,149504,73,189,2.3939939,4.0240536,819.2514491081238,-0.0033693537
0.9637776091694832,1557.34375,0.005144743,0.059570312,151552,1308.1824646041666,151552,74,190,2.3793554,4.0171175,830.0580439567566,-0.0045034345
