n_updates,fps,explained_variance,approxkl,ep_reward_mean,policy_entropy,policy_loss,clipfrac,time_elapsed,serial_timesteps,ep_len_mean,total_timesteps,value_loss
171,459,0.9834283664822578,0.0016388943,1064.09824682,6.7493415,-0.0026361283,0.015722657,814.6907165050507,350208,1106.96,350208,1.4195778
172,470,-0.002805948257446289,0.002113485,1079.05415576,6.749337,-0.0004492029,0.021435548,819.1481144428253,352256,1120.26,352256,19.885754
173,470,-0.037755608558654785,0.0019040505,1079.0407669200001,6.758166,-0.00047829753,0.015771484,823.5045790672302,354304,1120.26,354304,19.876553
174,536,0.4721357822418213,0.00031383344,1065.6291641300002,6.7672744,-0.000119057055,0.0024414062,827.8592479228973,356352,1109.43,356352,52.790825
175,489,0.9210750088095665,0.00029790227,1058.1821299,6.7648697,-0.0006637786,0.0031738281,831.6778819561005,358400,1106.12,358400,16.719128
176,452,0.008525669574737549,0.0038546291,1075.8129478600001,6.7634363,-0.0010486873,0.042675782,835.8672616481781,360448,1122.94,360448,19.524332
177,438,-0.007848024368286133,0.0018174024,1095.9380397900002,6.7728014,0.0010122064,0.01669922,840.3889527320862,362496,1143.12,362496,19.873888
178,454,0.030971407890319824,0.0026133205,1095.9471326600003,6.776867,-0.00027736463,0.027392577,845.0616056919098,364544,1143.12,364544,19.36893
179,455,0.8407031744718552,0.0015640724,1103.92824418,6.780234,-0.00014324833,0.009765625,849.5673921108246,366592,1151.54,366592,23.047749
180,450,0.0036415457725524902,0.003247907,1119.33769577,6.78163,-7.907137e-05,0.039697267,854.0661420822144,368640,1165.13,368640,19.87346
181,443,0.6882376372814178,0.0037829622,1119.3028946799998,6.790451,-0.0016376643,0.04296875,858.6106424331665,370688,1165.11,370688,21.754585
182,471,0.9501167833805084,0.0015605878,1086.03951374,6.805747,-0.0015941958,0.016308594,863.2266047000885,372736,1132.35,372736,13.160528
183,478,0.8913191482424736,0.00046954607,1096.0160399499998,6.815709,-0.0003793459,0.004296875,867.5724914073944,374784,1143.81,374784,29.822323
184,439,0.006888866424560547,0.0016402949,1095.98736937,6.8207,0.0006078173,0.011523438,871.8569529056549,376832,1143.81,376832,19.811321
185,443,0.695169985294342,0.001191392,1095.97779018,6.8200746,-0.00017237519,0.011523438,876.5137112140656,378880,1143.83,378880,21.744415
186,475,0.9559790529310703,0.0031880487,1078.12537168,6.8131495,-0.0026724143,0.028125,881.1343212127686,380928,1125.2,380928,12.473502
187,422,0.7086636126041412,0.0016431024,1078.0504397600002,6.7958374,0.00019243416,0.013964844,885.4435048103333,382976,1125.17,382976,21.47003
188,430,0.01594400405883789,0.0019468783,1078.00644897,6.7805047,-0.0003501096,0.019189453,890.2869966030121,385024,1125.17,385024,19.693806
189,428,0.7977022975683212,0.002481053,1077.9780037,6.772493,-0.0015050787,0.020751953,895.0415499210358,387072,1125.18,387072,24.108646
190,455,0.0015499591827392578,0.0014925776,1077.9601697,6.781337,0.0010217795,0.013525391,899.8171238899231,389120,1125.18,389120,19.729513
