clipfrac,policy_loss,value_loss,ep_reward_mean,total_timesteps,policy_entropy,n_updates,explained_variance,fps,time_elapsed,serial_timesteps,approxkl,ep_len_mean
0.072509766,-0.0028019815,3.355077,379.31822209999996,114688,1.4228555,56,0.7755420655012131,487,231.89939880371094,114688,0.005545121,1014.09
0.031201173,-0.0013908233,3.7744892,384.79120967999995,116736,1.4313252,57,0.7450832426548004,490,236.10163164138794,116736,0.0030499983,1032.53
0.085839845,-0.007283402,4.1564527,391.28632187999995,118784,1.4311677,58,0.6837023496627808,498,240.27867007255554,118784,0.006896968,1051.03
0.047753908,-0.0013602277,3.845235,397.8227522,120832,1.4250692,59,0.633136123418808,486,244.3911554813385,120832,0.004065338,1069.39
0.042285156,0.00025382568,4.068514,404.56045556,122880,1.4305015,60,0.6032023131847382,479,248.60359644889832,122880,0.003643624,1088.02
0.04741211,-0.0017644843,8.978601,409.64390915,124928,1.4313476,61,0.34458214044570923,479,252.87339854240417,124928,0.0039236094,1102.49
0.04121094,-0.001239965,3.948339,416.20710930000007,126976,1.4354309,62,0.586494505405426,480,257.1422553062439,126976,0.003658731,1120.67
0.04736328,-0.0027004262,4.176419,422.59196343,129024,1.4405346,63,0.5905013382434845,461,261.4064917564392,129024,0.0039724503,1138.42
0.016748047,0.0001653605,8.245693,428.08809096,131072,1.4347672,64,0.5545835793018341,456,265.8441433906555,131072,0.0018442174,1154.37
0.07006836,-0.0013193807,12.650711,433.18443396000004,133120,1.4215072,65,0.49900877475738525,487,270.32638120651245,133120,0.005701848,1169.39
0.03725586,-0.0018061387,3.9476085,440.46861208,135168,1.4144357,66,0.6068929433822632,468,274.5314393043518,135168,0.003403321,1188.23
0.040527344,-0.00079579203,4.6249166,448.43976583999995,137216,1.4159011,67,0.37775111198425293,452,278.9051504135132,137216,0.0034929565,1206.65
0.054980468,-0.0029758725,21.720224,455.09979145,139264,1.4241751,68,0.29385507106781006,472,283.42662525177,139264,0.004529734,1222.05
0.0625,0.00044595575,45.484158,454.08654953999996,141312,1.4447461,69,0.28964972496032715,486,287.7623770236969,141312,0.005516864,1217.22
0.049804688,-0.0019856438,39.689957,450.57082083000006,143360,1.4674245,70,0.32466304302215576,477,291.97013878822327,143360,0.004148296,1205.0
0.029150391,-0.00064743566,4.677595,454.8641491300001,145408,1.4698553,71,0.4999203681945801,499,296.2574076652527,145408,0.0028504783,1215.54
0.03354492,-0.001238138,5.1291876,462.12197599,147456,1.4639462,72,0.6174990832805634,478,300.3548777103424,147456,0.00308823,1233.5
0.024023438,-0.000838488,8.684263,465.0942886,149504,1.4649855,73,0.4495188593864441,474,304.63098978996277,149504,0.0024673443,1233.37
0.016845703,-0.001824959,17.238312,456.29295565,151552,1.4651709,74,0.43970149755477905,494,308.9492299556732,151552,0.002039004,1206.78
0.05698242,-0.0005414474,11.698711,463.14598288,153600,1.4625862,75,0.47420674562454224,492,313.0945119857788,153600,0.0046352944,1221.06
0.02602539,-0.0018195361,23.435358,470.88216618000007,155648,1.4605024,76,0.4035223722457886,487,317.25136613845825,155648,0.0025870306,1235.23
0.035839844,-0.0017949458,11.676561,472.81904187,157696,1.467283,77,0.4747425317764282,464,321.4505500793457,157696,0.003114169,1238.48
0.05258789,-0.0010895759,4.954059,471.0804012599999,159744,1.482867,78,0.6177172958850861,466,325.85729718208313,159744,0.004240538,1235.74
0.054980468,-0.0041319635,4.988228,474.08939582,161792,1.4819871,79,0.48576778173446655,442,330.2457013130188,161792,0.004674845,1235.74
0.035791017,-0.0016653799,44.011814,432.61836684,163840,1.4689063,80,0.4895864725112915,488,334.87024188041687,163840,0.0036366011,1062.44
0.035205077,-0.002750443,38.470436,379.0601048399999,165888,1.4752753,81,0.5584804117679596,451,339.06641912460327,165888,0.003040299,857.87
0.046923827,-0.00030376957,6.1138697,374.34076976999995,167936,1.4818612,82,0.6345834136009216,463,343.60621333122253,167936,0.003968354,839.47
0.041894533,-0.0030313917,5.5113745,378.29757646999997,169984,1.4875859,83,0.5023981928825378,464,348.0255424976349,169984,0.003654655,839.47
0.028027344,-0.0015224406,5.3609877,382.0167123400001,172032,1.4910709,84,0.6434884667396545,464,352.43651843070984,172032,0.003299522,839.47
0.027539063,-0.0012617024,3.8274524,384.8814067100001,174080,1.4943599,85,0.8054453283548355,470,356.8480803966522,174080,0.0027937067,839.47
0.06557617,-0.0005309836,3.0460265,387.36630314,176128,1.5016191,86,0.8127598762512207,479,361.20289397239685,176128,0.005242627,839.47
0.027441407,-0.00074635155,3.8669503,390.62753127,178176,1.5082225,87,0.7135419547557831,433,365.4765911102295,178176,0.002775909,839.47
0.0265625,-0.0020121546,3.728622,393.45683235,180224,1.5100287,88,0.7529094964265823,440,370.20037746429443,180224,0.002627653,839.47
0.020117188,-0.001982458,4.161188,396.71909245999996,182272,1.5099477,89,0.6885922253131866,443,374.8552825450897,182272,0.0025280083,839.47
0.031347655,-0.002344419,3.9169128,399.96913901,184320,1.5132555,90,0.7283017337322235,436,379.477112531662,184320,0.0030673556,839.47
0.0730957,-0.0017542647,4.723362,402.83041790999994,186368,1.5234536,91,0.7096100151538849,449,384.1720521450043,186368,0.005780183,839.47
0.026660156,-0.0010549674,5.0112333,406.84508103,188416,1.5328348,92,0.5692673027515411,449,388.7327563762665,188416,0.002804525,839.47
0.047021486,-0.0030494365,4.912103,410.65017047000003,190464,1.5269139,93,0.5561480224132538,470,393.2868618965149,190464,0.0040885517,839.47
0.039013673,-0.00090791844,5.442023,414.72577546,192512,1.5182934,94,0.6125247776508331,432,397.6425201892853,192512,0.0034421938,839.47
0.06069336,-0.0022563853,6.4455643,419.11524451,194560,1.5243038,95,0.567931592464447,469,402.37700176239014,194560,0.005001124,839.47
0.05644531,-0.0012380548,6.0123434,429.29110238,196608,1.5321996,96,0.6772635877132416,469,406.7427659034729,196608,0.0046662246,857.75
0.06669922,-0.0024366544,5.573639,433.86296538000005,198656,1.5372574,97,0.6080076694488525,454,411.10510540008545,198656,0.0052651097,857.75
0.04482422,-0.0025716098,7.754213,438.75134268999994,200704,1.5499038,98,0.4835549592971802,494,415.606782913208,200704,0.0038619018,857.75
0.021337891,-0.0017471283,6.6571198,444.28270111,202752,1.548648,99,0.5410826802253723,434,419.7521092891693,202752,0.0022761566,857.75
0.060839843,-0.005492228,13.746664,442.75479049,204800,1.5499423,100,0.5019725263118744,495,424.4669120311737,204800,0.005051107,839.93
0.04243164,-0.0031246427,21.716282,445.9399972900001,206848,1.5584178,101,0.47549474239349365,514,428.60570335388184,206848,0.0037951681,827.09
0.06293945,-0.002892981,14.696983,437.74221106000005,208896,1.5591611,102,0.5396305620670319,482,432.59066677093506,208896,0.0053965813,797.66
0.06572266,0.0015947182,15.088036,445.67549432,210944,1.5500437,103,0.507693350315094,457,436.8380079269409,210944,0.0058794487,799.69
0.028173828,0.001074915,9.518487,452.07966947,212992,1.5415382,104,0.4817361831665039,515,441.31232833862305,212992,0.0028631252,799.69
0.048046876,-0.0012068456,5.107106,461.72852406,215040,1.5274657,105,0.9127527698874474,520,445.28265380859375,215040,0.0043727024,818.09
0.05234375,-0.0011052679,9.049946,474.5770834299999,217088,1.5252203,106,0.4429977536201477,484,449.220068693161,217088,0.0044271476,836.83
0.061572265,-0.0011692235,9.705637,479.55101159000003,219136,1.5214404,107,0.5259557366371155,503,453.4513735771179,219136,0.0050186957,836.83
0.049804688,-0.00140991,8.833223,484.58995842999997,221184,1.5230522,108,0.5950281918048859,504,457.5231740474701,221184,0.004171118,836.83
0.09990235,-0.008174541,3.9202132,484.80237986,223232,1.5510455,109,0.943171888589859,513,461.58640694618225,223232,0.007781083,836.83
0.04711914,-0.0044605015,7.665284,497.46684243,225280,1.5797071,110,0.5540618896484375,468,465.5788938999176,225280,0.0038911398,855.66
0.03642578,-0.00071211683,9.829664,505.1249873499999,227328,1.583492,111,0.5390497744083405,466,469.9537353515625,227328,0.0033586074,867.23
0.036132812,0.00029602053,9.009003,518.2865032799999,229376,1.5786784,112,0.46735256910324097,450,474.3424301147461,229376,0.003257602,885.96
