value_loss,fps,clipfrac,approxkl,time_elapsed,ep_len_mean,serial_timesteps,policy_loss,ep_reward_mean,policy_entropy,total_timesteps,explained_variance,n_updates
9.302658,462,0.06743164,0.005848059,1526.4970831871033,1543.9,829440,-0.0006356625,992.5746222800001,2.4522426,829440,0.7602505683898926,405
9.66093,396,0.06782226,0.0051969644,1530.9286861419678,1561.86,831488,-0.004397192,1005.8691503600002,2.4457655,831488,0.7954454571008682,406
11.575937,394,0.062207032,0.005529875,1536.088939189911,1561.86,833536,-0.00033557112,1007.4066924500002,2.443773,833536,0.6561978459358215,407
11.612775,372,0.08178711,0.006878156,1541.2866787910461,1576.45,835584,-0.0038391214,1016.99873447,2.4433954,835584,0.43883657455444336,408
9.588105,406,0.076611325,0.0067038583,1546.7873663902283,1583.91,837632,-0.0031529262,1023.0988287600001,2.4293845,837632,0.7230065166950226,409
28.641933,420,0.039794922,0.0034915395,1551.824616909027,1520.02,839680,-0.005412128,980.45954108,2.4246926,839680,0.5703027546405792,410
8.875256,357,0.07299805,0.006455937,1556.6937623023987,1513.55,841728,-0.006043155,976.50218256,2.4317203,841728,0.7224904298782349,411
8.993358,395,0.07358398,0.0059296046,1562.4159893989563,1513.55,843776,-0.0031013913,977.6506754400001,2.4377522,843776,0.7002942860126495,412
12.517546,386,0.076660156,0.005886628,1567.5964319705963,1513.55,845824,-0.00535221,978.5618204500001,2.436212,845824,0.5948307812213898,413
9.131563,388,0.055419922,0.004796067,1572.8949959278107,1525.15,847872,-0.0032078002,986.0813562000002,2.4457774,847872,0.6914898753166199,414
17.545132,423,0.077978514,0.006500975,1578.162407875061,1548.89,849920,-0.0062647425,1001.9453840300001,2.4546742,849920,0.6719349026679993,415
9.841551,369,0.08515625,0.007102134,1582.9983367919922,1567.46,851968,-0.0022703034,1013.5244559300002,2.4669924,851968,0.6512516140937805,416
13.673729,375,0.057421874,0.0050148806,1588.5472204685211,1567.47,854016,-0.002541851,1014.06539442,2.4990504,854016,0.6757138073444366,417
13.631035,420,0.043115236,0.003882148,1593.9980080127716,1569.19,856064,-0.0042576576,1016.0084006499998,2.517571,856064,0.7424009442329407,418
8.388411,423,0.059667967,0.004809067,1598.8631241321564,1583.26,858112,-0.0039307065,1026.8108388899998,2.5169616,858112,0.7670537233352661,419
4.865673,444,0.03666992,0.003145494,1603.6944847106934,1583.42,860160,-0.0031530776,1027.36323314,2.523805,860160,0.8941597193479538,420
9.87764,437,0.061328124,0.005213438,1608.299115896225,1601.41,862208,-0.0060902564,1040.5865826499999,2.5369372,862208,0.7754170447587967,421
17.812864,405,0.04375,0.003941585,1612.9792935848236,1618.23,864256,-0.0017492285,1053.96607544,2.5345888,864256,0.603628933429718,422
10.065999,375,0.07670899,0.006660336,1618.0291848182678,1618.23,866304,-0.0025915036,1054.6418758900002,2.5458822,866304,0.6377050876617432,423
11.396898,385,0.08022461,0.006753282,1623.4829592704773,1618.23,868352,-0.0013059935,1054.90045308,2.5678306,868352,0.6105187833309174,424
9.351085,395,0.041748047,0.0036512758,1628.7963390350342,1618.23,870400,-0.0036735241,1056.6224978899997,2.5867677,870400,0.7389880418777466,425
9.062766,404,0.06289063,0.0051400634,1633.980670452118,1618.23,872448,-0.0069634384,1058.57970833,2.589454,872448,0.7857911288738251,426
19.81587,445,0.03378906,0.0031803926,1639.0406754016876,1623.86,874496,-0.00320644,1061.7398370899998,2.5889258,874496,0.6712492406368256,427
9.133939,396,0.039941408,0.0034915644,1643.642156124115,1622.53,876544,-0.0047805803,1060.6640552199997,2.5909019,876544,0.7597466707229614,428
9.3763485,366,0.04663086,0.0041122315,1648.8097071647644,1622.53,878592,-0.0029732748,1061.1591757699998,2.5915399,878592,0.6947174370288849,429
7.9468565,428,0.038134765,0.0034122474,1654.3956716060638,1622.53,880640,-0.0032066945,1060.9171032499999,2.5972984,880640,0.761049672961235,430
11.512554,413,0.03276367,0.0031550187,1659.1750819683075,1622.53,882688,-0.002320138,1062.5139547499998,2.5950103,882688,0.7287724316120148,431
9.274099,433,0.04765625,0.0042653545,1664.1307826042175,1622.53,884736,-0.0030935095,1062.57711213,2.5882986,884736,0.6810692846775055,432
8.856815,427,0.058886718,0.0049369396,1668.8591811656952,1622.53,886784,-0.0036757789,1063.0115592900002,2.5884004,886784,0.7781599462032318,433
10.872504,401,0.058642577,0.005087507,1673.6553428173065,1622.53,888832,-0.006909542,1063.8192503999999,2.59633,888832,0.7193369567394257,434
10.539849,490,0.06289063,0.005521613,1678.758633852005,1630.17,890880,-0.0014603942,1070.09313555,2.5963504,890880,0.6834925413131714,435
10.447861,458,0.043798827,0.0037960731,1682.936233997345,1630.17,892928,-0.003250982,1071.0914354299998,2.5979266,892928,0.6353243589401245,436
