policy_loss,n_updates,serial_timesteps,explained_variance,clipfrac,policy_entropy,fps,total_timesteps,ep_reward_mean,time_elapsed,value_loss,ep_len_mean,approxkl
-0.0036891482,141,288768,0.6796140074729919,0.034277342,1.6425459,473,288768,461.68174110000007,601.8738186359406,10.046283,981.42,0.0032702151
-0.0010189598,142,290816,0.7691798806190491,0.041796874,1.6520977,500,290816,452.94343514,606.1994862556458,6.4899354,956.38,0.003729385
-0.0032783337,143,292864,0.7234803438186646,0.045410156,1.6599623,469,292864,449.3936554600001,610.2952396869659,10.071086,944.08,0.00395096
-0.002450532,144,294912,0.7435580790042877,0.05307617,1.6634309,483,294912,441.83015847,614.6606340408325,10.582872,923.47,0.0045816787
-0.0041180225,145,296960,0.6930752694606781,0.0668457,1.6627594,472,296960,444.67833812000003,618.9000701904297,8.784648,925.23,0.005532951
-0.0023216251,146,299008,0.7490588128566742,0.03769531,1.6576159,498,299008,447.24084631,623.2377784252167,6.998498,928.53,0.0036627096
-0.0012251094,147,301056,0.6740011870861053,0.033154298,1.6583954,483,301056,456.49583426,627.3489632606506,10.375498,944.72,0.0031778465
-4.6106336e-05,148,303104,0.8187821507453918,0.048583984,1.6628815,474,303104,461.23962194,631.5859000682831,5.128502,952.37,0.004199279
-0.0022646203,149,305152,0.713237464427948,0.093603514,1.6671883,485,305152,470.76406857,635.8981771469116,6.13704,969.36,0.008352703
-0.002886746,150,307200,0.7073111236095428,0.13432617,1.6731899,502,307200,474.9156591699999,640.1169970035553,5.052955,976.39,0.0126626175
-0.0016637947,151,309248,0.6083466112613678,0.050732423,1.6758397,478,309248,476.72410615,644.1970551013947,11.250252,979.35,0.0046235775
-0.002904468,152,311296,0.6984909176826477,0.11220703,1.676945,484,311296,482.67786535999994,648.4783871173859,6.0781617,987.49,0.008388906
-0.0038679182,153,313344,0.6741687953472137,0.10913086,1.6730833,475,313344,492.25887305000003,652.7082252502441,5.4870195,1005.24,0.0085878605
-0.0014147876,154,315392,0.6590641736984253,0.06689453,1.6852413,484,315392,501.68209003,657.0192203521729,7.081191,1020.42,0.005355926
-0.0016202955,155,317440,0.7759304940700531,0.044970702,1.6991974,460,317440,510.43189510999997,661.2446100711823,5.8581476,1034.0,0.0040225894
-0.0027455448,156,319488,0.7750218957662582,0.077978514,1.7071298,465,319488,515.97817159,665.6919331550598,8.373879,1043.72,0.006938039
-0.002254873,157,321536,0.8205732256174088,0.03334961,1.7126449,485,321536,523.0150225000001,670.0959742069244,5.66914,1054.96,0.0033316836
-0.0021462769,158,323584,0.7196422219276428,0.05288086,1.7098697,494,323584,534.08902289,674.3146283626556,10.805299,1072.05,0.004406914
-0.0002570292,159,325632,0.8498043715953827,0.044140626,1.721935,477,325632,539.17507471,678.4537253379822,4.817628,1080.18,0.0038180246
-0.0012373624,160,327680,0.872239962220192,0.051367186,1.7290525,479,327680,545.28589329,682.7447535991669,4.181798,1090.7,0.004504579
-0.0013547578,161,329728,0.8159026652574539,0.035351563,1.7461714,487,329728,553.9431522699999,687.019341468811,5.4019938,1105.14,0.0031900753
-0.0039077615,162,331776,0.7682986408472061,0.05307617,1.7531735,483,331776,567.07067034,691.2166390419006,9.563223,1126.61,0.0049378304
-0.003167669,163,333824,0.8229871988296509,0.033691406,1.7494824,486,333824,574.28812622,695.4501163959503,7.3743997,1140.76,0.0034393624
-0.00014662145,164,335872,0.8455754220485687,0.054101564,1.744724,478,335872,576.83484698,699.6560823917389,5.431156,1144.51,0.0046057445
-0.0024513197,165,337920,0.7841142863035202,0.06386719,1.7348356,487,337920,585.7652464600001,703.9350090026855,6.4379845,1158.88,0.0055318875
-0.0029974342,166,339968,0.7159911096096039,0.063085936,1.7267828,476,339968,596.86108831,708.1386075019836,8.106817,1178.72,0.0050395434
-0.0028298758,167,342016,0.887387752532959,0.059179686,1.7216225,477,342016,599.1267289599999,712.4395203590393,4.854172,1182.91,0.0052790646
-0.000845926,168,344064,0.8107051998376846,0.059423827,1.7161915,483,344064,597.80931711,716.7315261363983,10.0357275,1179.97,0.005328703
-0.0035983627,169,346112,0.8177098333835602,0.05986328,1.7153355,482,346112,598.47506597,720.970600605011,8.888717,1177.98,0.0051918686
-0.0037094243,170,348160,0.8141642212867737,0.052197266,1.7176435,505,348160,591.96594579,725.2151243686676,5.8459983,1164.76,0.0046203677
-0.0015913707,171,350208,0.7923779189586639,0.054394532,1.7187719,499,350208,595.14434103,729.2640883922577,8.545889,1165.66,0.0051123584
0.00033603678,172,352256,0.7741040885448456,0.04741211,1.7191654,504,352256,599.40053267,733.3672678470612,9.526531,1171.39,0.0041121794
-0.0005943951,173,354304,0.7766116559505463,0.027001953,1.7188324,505,354304,597.5786744999999,737.4295241832733,10.467333,1165.26,0.0026896226
0.0025750536,174,356352,0.8000204265117645,0.04375,1.7269655,481,356352,602.20950689,741.4790241718292,10.09862,1172.39,0.0038547642
-0.003564883,175,358400,0.7652864456176758,0.04921875,1.7307669,463,358400,609.2664937,745.7344398498535,9.376825,1185.95,0.004336813
0.0014395112,176,360448,0.8423029184341431,0.05253906,1.730561,511,360448,613.2525492199999,750.1561074256897,7.948133,1192.35,0.004937628
-0.0053789234,177,362496,0.8231336623430252,0.07163086,1.7333863,494,362496,617.65695192,754.1579332351685,8.651258,1198.43,0.006137395
0.0011293484,178,364544,0.8514637649059296,0.05595703,1.7382107,511,364544,624.39427512,758.2980585098267,8.340598,1208.45,0.004822552
-0.0048627993,179,366592,0.8725070059299469,0.050830077,1.7394127,492,366592,628.18839178,762.3008840084076,7.3302817,1214.02,0.004962369
-0.0029518257,180,368640,0.836995080113411,0.087939456,1.737519,472,368640,627.2950242799999,766.4580073356628,8.125368,1212.54,0.007885931
