n_updates,fps,explained_variance,approxkl,policy_entropy,clipfrac,policy_loss,time_elapsed,serial_timesteps,total_timesteps,value_loss,ep_len_mean,ep_reward_mean
92,433,0.6688958704471588,0.0033725887,4.0471926,0.034375,-0.0005130983,494.23491406440735,188416,188416,22.414068,1260.51,1255.68610597
93,420,0.0014941692352294922,0.0061954493,4.041743,0.08408203,-0.00073164294,498.9637727737427,190464,190464,19.901102,1260.51,1255.7756173900002
94,388,0.6661076545715332,0.002657197,4.0363936,0.021386718,-0.00067521504,503.8378496170044,192512,192512,21.758636,1280.72,1275.9179021
95,442,0.0014911890029907227,0.004916782,4.03967,0.060595702,-0.0011278687,509.109427690506,194560,194560,19.788038,1280.72,1275.9279989299998
96,417,0.0021883249282836914,0.0026584805,4.034499,0.023583984,-0.001144144,513.7370369434357,196608,196608,20.009193,1280.72,1275.98853014
97,411,0.027265310287475586,0.0044156467,4.0326576,0.05288086,-0.0011769893,518.640501499176,198656,198656,19.60484,1280.72,1276.11080899
98,443,0.5711329877376556,0.0035954404,4.0236573,0.038330078,-0.00041548646,523.6156454086304,200704,200704,22.421658,1280.72,1276.1977874899999
99,382,0.9417825192213058,0.0028692184,4.0278115,0.03276367,-0.0019796188,528.2387063503265,202752,202752,8.823839,1220.06,1215.75219472
100,483,0.030539393424987793,0.0030305744,4.0496416,0.03276367,-0.0005690461,533.5977323055267,204800,204800,20.041561,1220.06,1215.71608448
101,441,0.015284895896911621,0.0040964955,4.0620394,0.04897461,-0.00155657,537.833333492279,206848,206848,20.20522,1220.06,1215.67973607
102,416,-2.300739288330078e-05,0.003352008,4.0705385,0.032080077,-0.0013282625,542.4716501235962,208896,208896,20.457355,1240.28,1235.8291438200001
103,442,-0.006149411201477051,0.003266701,4.0685964,0.031298827,-0.00067050935,547.3866045475006,210944,210944,20.447351,1240.28,1235.76383592
104,443,0.007512688636779785,0.0046081077,4.0737214,0.056152344,-0.0024735776,552.0130383968353,212992,212992,20.227163,1240.28,1235.6853761999998
105,454,0.7041372060775757,0.006937628,4.092761,0.087207034,-0.0016041897,556.6305930614471,215040,215040,21.931284,1240.29,1235.59503042
106,444,0.012129247188568115,0.0032483893,4.10048,0.0296875,-0.0012746763,561.1342747211456,217088,217088,20.159714,1260.5,1255.6251868299998
107,427,0.7993639707565308,0.0075853937,4.104123,0.099169925,-0.007156849,565.7390673160553,219136,219136,25.27424,1220.1,1215.26816792
108,401,-0.0028104782104492188,0.00273679,4.1064806,0.022216797,-0.0014935744,570.527988910675,221184,221184,20.304781,1240.32,1235.39149897
109,412,0.0016372203826904297,0.002036677,4.1075926,0.018164063,-0.00050327333,575.626202583313,223232,223232,20.254524,1260.54,1255.4744006399999
110,351,-0.0009429454803466797,0.002103918,4.109704,0.015283203,-1.152521e-05,580.5922358036041,225280,225280,20.299168,1280.76,1275.62289171
111,399,-0.005101799964904785,0.0016400557,4.1079464,0.011962891,-0.00061921595,586.4228122234344,227328,227328,20.257559,1280.76,1275.60524196
112,424,0.8271254301071167,0.003459857,4.110244,0.03701172,-0.002463057,591.5483000278473,229376,229376,27.475119,1240.32,1235.2789608900002
113,428,0.0019320249557495117,0.0064551802,4.1186895,0.08500977,-0.003274485,596.3749830722809,231424,231424,20.137865,1240.32,1235.28019415
114,383,0.6865817308425903,0.0066681826,4.121015,0.0847168,-0.0033945763,601.1589245796204,233472,233472,21.887781,1260.54,1255.4300660400002
115,452,-0.0016429424285888672,0.004021725,4.1253786,0.050634764,-0.0007757811,606.4986984729767,235520,235520,20.204514,1280.76,1275.5239657600002
116,418,0.6821712851524353,0.0052688327,4.1237664,0.06611328,-0.0027397254,611.020626783371,237568,237568,21.950085,1280.74,1275.3817643500004
117,382,-0.0007274150848388672,0.0032456848,4.123871,0.03491211,0.0001614271,615.9136271476746,239616,239616,20.03132,1280.74,1275.2582097500003
118,425,0.6462253630161285,0.0053039864,4.120398,0.066552736,-0.0025558972,621.273796081543,241664,241664,22.865576,1280.74,1275.1531166900002
119,428,-0.00316619873046875,0.003386104,4.115656,0.03754883,-0.0011409599,626.0839269161224,243712,243712,19.920538,1300.96,1295.1612163700001
120,454,-0.003845691680908203,0.004505936,4.114822,0.052685548,-0.002109004,630.8585560321808,245760,245760,19.846754,1321.16,1315.1697260800001
121,418,0.002920210361480713,0.005664044,4.1156096,0.0746582,-0.0022566335,635.3648533821106,247808,247808,19.720997,1341.38,1335.20298198
