serial_timesteps,ep_len_mean,clipfrac,explained_variance,value_loss,ep_reward_mean,n_updates,approxkl,time_elapsed,policy_entropy,policy_loss,fps,total_timesteps
962560,1530.0,0.04609375,0.7805487960577011,17.055521,1010.76558594,470,0.003915456,3117.468555212021,2.3479543,-0.0051985406,285,962560
964608,1530.0,0.052001953,0.583780974149704,13.515943,1010.6748808300002,471,0.0043957382,3124.6397404670715,2.3604212,-0.001978491,284,964608
966656,1520.91,0.06328125,0.7330456078052521,16.156836,1004.5286685699998,472,0.0057281284,3131.8447411060333,2.3653445,-0.0024884965,281,966656
968704,1520.91,0.060009766,0.604386568069458,12.936597,1004.8214835599999,473,0.005122146,3139.1213245391846,2.369619,-0.0034916003,285,968704
970752,1520.91,0.05205078,0.6733654737472534,12.046359,1004.6752084100001,474,0.0044016135,3146.299996137619,2.3680787,-0.0019423224,286,970752
972800,1505.6,0.10136719,0.7615433186292648,7.14977,993.8954266800001,475,0.008613098,3153.445993423462,2.3893735,-0.002578063,265,972800
974848,1497.15,0.0421875,0.7316947281360626,15.146811,986.4360057900002,476,0.0036767055,3161.161896944046,2.398547,-0.0033198628,289,974848
976896,1498.07,0.040966798,0.7005972266197205,10.988266,987.2183478400001,477,0.0036160462,3168.2394547462463,2.3980966,-0.0038067643,286,976896
978944,1498.07,0.053515624,0.7527921348810196,9.394799,987.4370862000001,478,0.0042645573,3175.3880195617676,2.404894,-0.0026577786,288,978944
980992,1498.07,0.050927736,0.6741102635860443,11.364031,987.38042404,479,0.004444231,3182.4882414340973,2.4229407,-0.0047267643,286,980992
983040,1481.46,0.04243164,0.7051577270030975,17.728483,975.63248336,480,0.0039653494,3189.6315834522247,2.4354825,-0.004963024,292,983040
985088,1479.84,0.041015625,0.6989597380161285,14.7173,973.5500221499999,481,0.0037252475,3196.6443071365356,2.4397292,-0.0007697756,259,985088
987136,1479.84,0.10024414,0.6164050102233887,10.997572,972.76242048,482,0.0080462275,3204.5425066947937,2.450891,-0.00526163,267,987136
989184,1492.97,0.07719727,0.6254792511463165,11.130397,981.3557325400001,483,0.0060748537,3212.202838897705,2.4668994,-0.0042405454,278,989184
991232,1482.69,0.0265625,0.7793468087911606,13.463635,973.8433883800001,484,0.0026837548,3219.5449409484863,2.4750714,-0.004375344,292,991232
993280,1499.52,0.035253905,0.7479550242424011,10.565838,986.292386,485,0.0031880424,3226.545835018158,2.4796598,-0.001867838,283,993280
995328,1507.93,0.054248046,0.8432923555374146,10.1630945,992.0631214200001,486,0.0046769306,3233.7666161060333,2.4924998,-0.0072508613,285,995328
997376,1507.93,0.041308593,0.7207877337932587,9.390741,991.9541178899999,487,0.0038726158,3240.948350429535,2.4898388,-0.0036092866,289,997376
999424,1524.51,0.053222656,0.6008273959159851,13.391403,1004.0794152199998,488,0.004703709,3248.0312950611115,2.4849763,-0.002248108,282,999424
1001472,1524.51,0.0546875,0.6769714653491974,10.194845,1003.7708332399999,489,0.0050583943,3255.283339738846,2.4782243,-0.0019035566,278,1001472
1003520,1521.5,0.036083985,0.9301793575286865,3.5738049,1001.5963538199999,490,0.0031976593,3262.65021276474,2.4722815,-0.004294251,286,1003520
1005568,1505.55,0.04140625,0.746566653251648,16.61089,990.5203942300001,491,0.0039593,3269.808493375778,2.479601,0.00031043225,281,1005568
1007616,1489.7,0.05756836,0.7496394515037537,14.900339,976.9309444799999,492,0.0045500733,3277.0925142765045,2.4940035,-0.001961082,261,1007616
1009664,1442.3,0.03793945,0.8569852262735367,14.098729,943.10301737,493,0.0031492761,3284.938585281372,2.5138135,-0.004161398,294,1009664
1011712,1442.3,0.05571289,0.5558264255523682,11.3662815,942.9756193600001,494,0.005129977,3291.885710000992,2.51197,-0.0014526384,258,1011712
1013760,1457.62,0.055761717,0.694325178861618,11.668776,953.7796436200001,495,0.0049947677,3299.8075573444366,2.5011525,-0.008464096,281,1013760
1015808,1444.31,0.06225586,0.786972314119339,19.755777,943.8028740300001,496,0.005351196,3307.075515985489,2.50771,-0.005552455,284,1015808
1017856,1444.31,0.04057617,0.7488638758659363,9.285451,944.9149045700001,497,0.00363121,3314.2632772922516,2.5199583,-0.0015847308,290,1017856
1019904,1444.31,0.114990234,0.5587968528270721,11.005901,944.66018604,498,0.010004511,3321.3169445991516,2.5338926,-0.007123679,259,1019904
1021952,1422.35,0.07241211,0.8045086562633514,16.08869,930.5468805000002,499,0.0061861733,3329.2168419361115,2.549724,-0.005971606,291,1021952
1024000,1371.45,0.03466797,0.8077071458101273,14.881012,897.9766049599999,500,0.002975043,3336.255215406418,2.563355,-0.0059580756,290,1024000
1026048,1371.45,0.062060546,0.7193878591060638,9.335413,897.3690492900001,501,0.0054916614,3343.3051946163177,2.5808034,-0.002788944,262,1026048
1028096,1354.57,0.08110352,0.6786573827266693,15.802157,886.63705817,502,0.006626387,3351.1071259975433,2.592397,-0.0019231772,276,1028096
1030144,1337.1,0.07143555,0.6336295306682587,16.16427,874.3744399100002,503,0.005809231,3358.5061416625977,2.6005244,-0.003546536,267,1030144
1032192,1348.26,0.054003906,0.7344577014446259,11.304977,883.1957450800002,504,0.0042839637,3366.1490592956543,2.6104386,-0.00253434,283,1032192
1034240,1348.26,0.050732423,0.550045371055603,13.622917,883.80400978,505,0.004528848,3373.381660223007,2.614756,-0.003273235,283,1034240
1036288,1364.59,0.06723633,0.6438037157058716,9.031511,894.2171232700001,506,0.0056985165,3380.608141183853,2.6272721,-0.0035020434,259,1036288
1038336,1364.59,0.08867188,0.6563413441181183,9.17029,893.2015494799997,507,0.00748084,3388.5114555358887,2.6471267,-0.0042038425,278,1038336
1040384,1364.59,0.031396486,0.6031075119972229,11.780471,893.41527773,508,0.0030719235,3395.873777627945,2.6543891,-0.001414855,283,1040384
1042432,1363.05,0.06923828,0.6951013207435608,13.4508915,892.3575377999998,509,0.005956175,3403.107466697693,2.643471,-0.006610097,262,1042432
1044480,1346.16,0.048876952,0.8342968374490738,7.4839544,880.01815494,510,0.0042847944,3410.905084848404,2.6403575,-0.0024986775,287,1044480
1046528,1346.16,0.025488282,0.6618527173995972,11.505787,881.8190232100001,511,0.0024964267,3418.0282158851624,2.6468616,-0.0022158043,282,1046528
1048576,1354.46,0.036083985,0.7604862302541733,14.01533,887.3470658,512,0.003397283,3425.2892973423004,2.6484416,-0.0028177896,282,1048576
1050624,1354.46,0.043115236,0.7276780903339386,10.442024,886.4470911199999,513,0.0038832545,3432.551374435425,2.6535358,-0.002767076,280,1050624
1052672,1359.18,0.04584961,0.616073340177536,19.153791,889.0375471099999,514,0.004140069,3439.8502357006073,2.6587672,-0.001947551,279,1052672
1054720,1362.66,0.047607422,0.8282144665718079,8.004763,890.59574854,515,0.004022485,3447.1857726573944,2.6634514,-0.004336358,275,1054720
1056768,1362.66,0.04868164,0.7539249211549759,9.685981,890.05098489,516,0.0042539816,3454.624615907669,2.6693125,-0.0036724035,279,1056768
1058816,1380.47,0.062646486,0.7360369861125946,9.299171,902.3837071600001,517,0.0055694575,3461.9412956237793,2.6687756,-0.003321961,279,1058816
1060864,1380.47,0.04741211,0.6400498151779175,10.429924,902.5375598400002,518,0.0040558046,3469.261149406433,2.6732993,-0.0026963307,283,1060864
1062912,1386.69,0.055566408,0.7506555914878845,8.963089,906.80259533,519,0.004756051,3476.493067741394,2.6820138,-0.004749349,285,1062912
1064960,1398.2,0.036083985,0.7069137990474701,11.633657,915.1023007399999,520,0.0035138824,3483.6796131134033,2.6804075,-0.0016517853,281,1064960
1067008,1416.1,0.053710938,0.658828616142273,13.570938,927.94689138,521,0.004924065,3490.9443254470825,2.6836333,-0.0039030432,281,1067008
1069056,1399.22,0.047167968,0.7300394773483276,15.570821,916.9433534599999,522,0.0040460993,3498.220999479294,2.688839,-0.003281017,287,1069056
1071104,1415.95,0.0690918,0.579785168170929,13.205913,928.55423924,523,0.005732468,3505.3375170230865,2.6885371,-0.0055617774,283,1071104
1073152,1415.95,0.073876955,0.726113349199295,11.877417,928.56009381,524,0.0059894496,3512.573836326599,2.6932359,-0.0035341047,285,1073152
1075200,1415.95,0.062207032,0.6743841767311096,10.720655,928.17055185,525,0.0051729274,3519.7490017414093,2.6974516,-0.003718062,284,1075200
1077248,1411.61,0.051953126,0.8443891406059265,15.868269,925.5406273200001,526,0.0044360226,3526.958214044571,2.7025378,-0.0042802445,288,1077248
1079296,1391.72,0.06074219,0.7389810085296631,15.662305,912.03953705,527,0.005694433,3534.058755636215,2.7125258,-0.004651732,280,1079296
1081344,1409.82,0.051953126,0.8157053291797638,9.312897,925.41780082,528,0.0048418096,3541.349460840225,2.7045333,-0.0012843399,278,1081344
1083392,1427.42,0.019189453,0.6249694526195526,13.370356,938.06822609,529,0.0019795322,3548.7009513378143,2.6972136,-0.00074292405,278,1083392
1085440,1427.42,0.08691406,0.6001840233802795,10.220996,937.34963742,530,0.007657533,3556.056883573532,2.6992996,-0.0033057847,274,1085440
1087488,1429.79,0.024902344,0.8310698866844177,12.581548,938.7482281399998,531,0.002606353,3563.519820690155,2.7062259,-0.004745987,287,1087488
1089536,1429.79,0.072021484,0.5924574136734009,10.315615,938.2351959299999,532,0.0057460126,3570.6539096832275,2.7189288,-0.0015889978,263,1089536
1091584,1448.48,0.08598633,0.6574104726314545,10.014322,950.62502467,533,0.006692822,3578.434646844864,2.727517,-0.0040232926,277,1091584
1093632,1466.46,0.06586914,0.7646404206752777,9.100213,963.64291199,534,0.005601065,3585.8263001441956,2.7179203,-0.004138135,283,1093632
1095680,1466.46,0.042675782,0.6373603641986847,12.531294,963.34016502,535,0.004064172,3593.0577917099,2.7142024,-0.005508947,285,1095680
1097728,1475.09,0.053369142,0.7735034823417664,9.755184,970.19938421,536,0.0046390803,3600.243213415146,2.711561,-0.0034016285,280,1097728
1099776,1475.09,0.054248046,0.754005029797554,10.609322,970.9539375500001,537,0.0044254316,3607.5395720005035,2.7020235,-0.006815682,280,1099776
1101824,1480.82,0.041503906,0.6089192628860474,14.17388,974.3816829300001,538,0.003780966,3614.8384470939636,2.6979501,-0.0024227025,282,1101824
1103872,1497.65,0.044921875,0.7164743542671204,9.309706,986.3067708600003,539,0.00425316,3622.076096057892,2.7014678,-0.0030272661,287,1103872
1105920,1512.27,0.05625,0.4346963167190552,13.250338,995.4705320900002,540,0.0049589,3629.1932559013367,2.6896322,-0.0008089723,260,1105920
1107968,1510.93,0.03491211,0.918999969959259,4.278858,993.6967191000002,541,0.0031287936,3637.0530548095703,2.685847,-0.0002368897,287,1107968
1110016,1506.24,0.02241211,0.9293702244758606,3.8927433,990.3754452000001,542,0.0024338602,3644.184354543686,2.6910005,-0.001228995,288,1110016
1112064,1524.1,0.049804688,0.6802844703197479,12.9030485,1003.5484392000002,543,0.0040031103,3651.2951140403748,2.6887777,-0.0034814705,285,1112064
1114112,1524.1,0.06201172,0.7714603841304779,9.74872,1003.1409147800001,544,0.004861151,3658.476798057556,2.692724,-0.0033542148,287,1114112
1116160,1540.48,0.06386719,0.586940199136734,11.922,1014.0623118400002,545,0.0055915504,3665.604459285736,2.6977923,-0.005195006,290,1116160
1118208,1540.48,0.04375,0.6899370849132538,13.83375,1014.3387827600002,546,0.0039173616,3672.652085542679,2.697452,-0.002431991,282,1118208
1120256,1540.48,0.054394532,0.7321117520332336,10.205934,1014.55475691,547,0.0048940377,3679.890372276306,2.6870322,-0.002429223,277,1120256
1122304,1549.57,0.10366211,0.5222260057926178,10.989022,1018.9307400099999,548,0.008723352,3687.276378393173,2.6943676,-0.0043133125,271,1122304
1124352,1532.91,0.038085938,0.6664568185806274,19.91367,1006.0672738299997,549,0.0036262958,3694.8131828308105,2.7074368,-0.0022671963,286,1124352
1126400,1533.24,0.038134765,0.7085858881473541,17.910198,1007.67041562,550,0.0032917834,3701.96022105217,2.7097564,-0.004638267,286,1126400
1128448,1541.69,0.027880859,0.6046580076217651,13.47489,1013.85989288,551,0.002690194,3709.1184849739075,2.7179465,-0.0035819728,281,1128448
1130496,1541.69,0.02060547,0.6690064966678619,13.849411,1014.54935918,552,0.002097028,3716.382495164871,2.7179155,-0.000792298,281,1130496
1132544,1541.69,0.06074219,0.677165299654007,11.130712,1014.8447199300001,553,0.0053234873,3723.6565005779266,2.7101674,-0.004081346,287,1132544
1134592,1541.69,0.050048828,0.7192273437976837,11.2394085,1015.4874906,554,0.004804687,3730.788207769394,2.6917052,-0.0035885733,278,1134592
1136640,1519.84,0.047216795,0.80405692756176,15.79365,999.3668343100002,555,0.0041998765,3738.1462001800537,2.6789546,-0.0027608904,302,1136640
1138688,1517.2,0.03251953,0.7642557173967361,19.009531,998.9564952300002,556,0.0030686,3744.909527540207,2.677273,-0.0026473515,285,1138688
1140736,1499.14,0.068603516,0.8378615826368332,15.055803,987.0896104,557,0.0058405623,3752.0914738178253,2.6654706,-0.006900198,289,1140736
1142784,1486.72,0.042919923,0.7758472412824631,17.09302,978.7928396799997,558,0.0036860264,3759.1756081581116,2.660466,-0.002237809,286,1142784
1144832,1502.2,0.06499024,0.7355321645736694,9.50609,989.90812947,559,0.0064907833,3766.329602956772,2.6544309,-0.0038103394,285,1144832
1146880,1418.7,0.06914063,0.7480785548686981,31.984722,930.8749010200002,560,0.0067888247,3773.511828184128,2.6457512,-0.008517272,295,1146880
1148928,1403.66,0.044873048,0.9080609306693077,11.034261,923.0047218,561,0.0039643683,3780.4468512535095,2.6488264,-0.00595814,288,1148928
1150976,1417.69,0.035205077,0.877520777285099,9.924971,933.03465503,562,0.0034768507,3787.541985988617,2.647775,-0.0039809356,284,1150976
1153024,1407.32,0.03276367,0.9512280076742172,2.9371104,926.9561185199999,563,0.0031182922,3794.7361884117126,2.644237,-0.00139634,282,1153024
