approxkl,policy_loss,time_elapsed,fps,total_timesteps,ep_len_mean,policy_entropy,clipfrac,explained_variance,n_updates,serial_timesteps,value_loss,ep_reward_mean
0.006205976,-0.002604357,192.36793088912964,639,116736,953.84,1.7939421,0.07695313,0.013107001781463623,57,116736,1.1095362,200.51180237000005
0.0024219346,-0.0002992947,195.5719132423401,625,118784,972.68,1.808314,0.023486327,-0.0008084774017333984,58,118784,1.14322,205.16254037000002
0.0062033962,-0.003318216,198.84529066085815,568,120832,991.42,1.816693,0.07768555,0.008451998233795166,59,120832,1.13455,209.72580415000002
0.005751798,-0.0038317633,202.44933438301086,612,122880,1010.33,1.8398583,0.07397461,0.0025064945220947266,60,122880,1.1219007,214.41511313999996
0.0029451202,-0.00044661303,205.7916181087494,568,124928,1029.44,1.8492346,0.031396486,0.005427837371826172,61,124928,1.1260549,219.18334115000002
0.0043207216,-0.0020524757,209.39629220962524,605,126976,1048.55,1.8448795,0.05,0.03694725036621094,62,126976,1.117651,224.00117376999998
0.0058196345,-0.0018878749,212.78136587142944,612,129024,1067.6,1.8308494,0.07172851,0.06323373317718506,63,129024,1.1440423,228.86650438
0.006863284,-0.004627957,216.12673354148865,607,131072,1086.75,1.8223346,0.08725586,-0.04960513114929199,64,131072,1.201083,233.75895644
0.005342204,-0.0008297952,219.49940872192383,588,133120,1105.65,1.8295847,0.0609375,-0.0020389556884765625,65,133120,1.1917703,238.53887153
0.0061685545,-0.0037568219,222.98207807540894,563,135168,1124.73,1.8427751,0.07709961,0.01773977279663086,66,135168,1.1407164,243.47312651000001
0.0046847286,-0.0035196994,226.61938643455505,576,137216,1143.5,1.8449743,0.056933593,0.05270141363143921,67,137216,1.1321682,248.36011034999999
0.005155035,-0.0016559332,230.17117953300476,596,139264,1162.19,1.8493204,0.06616211,0.02432096004486084,68,139264,1.189816,253.32779875000008
0.0054928293,-0.0021348537,233.60722827911377,572,141312,1181.1,1.8516912,0.070654295,0.0525478720664978,69,141312,1.1980114,258.28343465000006
0.004310484,-0.0020057522,237.18427324295044,509,143360,1199.93,1.8667538,0.05180664,0.022638142108917236,70,143360,1.2557603,263.26258085000006
0.0037739028,-0.00056977523,241.20092844963074,603,145408,1218.82,1.8773909,0.038330078,-0.010980606079101562,71,145408,1.2642106,268.1298993500001
0.0038244978,-0.0015667148,244.5959289073944,604,147456,1237.76,1.8872864,0.046044923,0.032332539558410645,72,147456,1.1829597,273.03828573000004
0.0033755754,-0.00078595075,247.98445796966553,615,149504,1256.77,1.8947817,0.03730469,0.012231945991516113,73,149504,1.2129756,277.84019818
0.0057294304,-0.0033296347,251.31096625328064,636,151552,1275.63,1.8968216,0.07382812,0.04782295227050781,74,151552,1.2770363,282.94022527
0.0035522182,-0.0015425166,254.5309715270996,600,153600,1294.57,1.9013231,0.039404295,0.07566803693771362,75,153600,1.3102041,288.09518925
0.005522319,-0.0023443059,257.94270181655884,609,155648,1313.5,1.9088371,0.06557617,0.011205792427062988,76,155648,1.3757632,293.39915791
0.00401255,-0.0012453947,261.3030655384064,619,157696,1332.55,1.9097843,0.04145508,0.06355553865432739,77,157696,1.4166688,298.71579126999995
0.00306893,-0.0020195935,264.6101543903351,606,159744,1351.52,1.9044117,0.030712891,0.08312612771987915,78,159744,1.3138818,304.09915579999995
0.003096527,-0.0011396367,267.988153219223,600,161792,1369.88,1.9107119,0.030761719,0.17644017934799194,79,161792,1.3589122,309.7067496700001
0.004083183,-0.002512511,271.40177273750305,598,163840,1389.0,1.9344279,0.045654297,0.16967368125915527,80,163840,1.408634,315.5550883
0.0046630474,-0.0018788942,274.8239667415619,588,165888,1407.52,1.9350294,0.052246094,0.14926743507385254,81,165888,1.3764445,320.76470602
0.003523501,-0.0017674962,278.30536103248596,600,167936,1425.69,1.933728,0.04091797,0.1594744324684143,82,167936,1.7994187,326.79422705
0.004188179,-0.0027945512,281.71886229515076,599,169984,1444.05,1.9372381,0.046240233,0.17437809705734253,83,169984,1.7920516,332.93196770000003
0.0024296665,-0.0026572861,285.1367952823639,594,172032,1462.59,1.9345793,0.025,0.22009289264678955,84,172032,1.8748682,339.10979255
0.0040892093,-0.002242859,288.58230566978455,567,174080,1481.29,1.943299,0.043701172,0.23412752151489258,85,174080,1.8813581,345.24848574000004
0.003794124,-0.0011789693,292.18998432159424,574,176128,1500.26,1.952203,0.042871095,0.28805387020111084,86,176128,1.9316285,351.8255800900001
0.0052367514,-0.0037572726,295.7539825439453,540,178176,1518.53,1.9533148,0.06479492,0.29265642166137695,87,178176,1.6578989,357.98153342999996
0.0026499536,-0.0003841802,299.54194164276123,565,180224,1536.84,1.9513242,0.025048828,0.1633581519126892,88,180224,2.316155,364.581936
0.005819681,-0.005501819,303.16685152053833,495,182272,1555.22,1.9503307,0.0671875,0.3360956907272339,89,182272,2.44118,371.45858518000006
0.0042967834,-0.0040735784,307.2994818687439,557,184320,1574.06,1.9502981,0.049853515,0.11805003881454468,90,184320,4.206829,379.1704335400001
0.0017404512,-0.0011145498,310.9739224910736,535,186368,1592.1,1.95167,0.013378906,0.3777349591255188,91,186368,4.1451316,387.16694111000004
0.003548388,-0.002161088,314.8020484447479,530,188416,1610.84,1.947052,0.036376953,0.2496282458305359,92,188416,5.4018984,395.76793216000004
0.0034229015,-0.0018956971,318.65976905822754,561,190464,1629.27,1.9422674,0.031396486,0.20440471172332764,93,190464,5.5987372,404.35889342
0.0042774538,-0.0035799588,322.3099319934845,567,192512,1646.97,1.9470043,0.04916992,0.2606632709503174,94,192512,4.72231,412.80653519
0.0024725865,-0.0024031762,325.9189293384552,578,194560,1665.07,1.9480219,0.020214844,0.3277639150619507,95,194560,4.5662,421.35252248999996
0.0056022583,-0.00477001,329.4603636264801,573,196608,1683.25,1.9425042,0.0715332,0.37181365489959717,96,196608,2.692433,428.49516209999996
0.0033273362,-0.0040532877,333.0311667919159,591,198656,1701.88,1.927647,0.034179688,0.4232255816459656,97,198656,5.2072744,437.1412771000001
0.0026419247,-0.0020894487,336.4950873851776,587,200704,1719.82,1.9098232,0.023291016,0.46275627613067627,98,200704,3.1806614,444.7589795300001
0.0028212878,-0.0014915459,339.98133087158203,565,202752,1738.85,1.9011648,0.024316406,0.4469035267829895,99,202752,4.7274275,452.9759720900001
0.0034720139,-0.0016356788,343.6062824726105,587,204800,1756.65,1.8971831,0.038671874,0.48826175928115845,100,204800,2.7993932,460.40610513
0.004178135,-0.0035949114,347.09384989738464,609,206848,1774.42,1.8950222,0.047753908,0.43344080448150635,101,206848,5.9461317,469.49340727000003
0.0029428883,-0.0029303806,350.4518449306488,583,208896,1792.26,1.8984616,0.027929688,0.4942031502723694,102,208896,5.497392,478.26334085
0.002450497,-0.0009438371,353.9604842662811,540,210944,1803.27,1.8952961,0.023242187,0.5511494576931,103,210944,3.4962888,483.25436697000004
0.0042034904,-0.005265352,357.7488887310028,578,212992,1822.97,1.9042556,0.05307617,0.590938925743103,104,212992,5.5182095,493.4207098300001
