explained_variance,time_elapsed,value_loss,ep_len_mean,serial_timesteps,fps,ep_reward_mean,policy_loss,total_timesteps,n_updates,approxkl,clipfrac,policy_entropy
0.7399034798145294,227.50337076187134,11.802482,770.19,122880,562,430.16761378,0.0013365885,122880,60,0.004108543,0.044921875,3.622348
0.7951411604881287,231.14439964294434,10.696989,787.69,124928,560,442.14840487000004,-0.005344924,124928,61,0.0072980747,0.08364258,3.621622
0.7815686762332916,234.80048298835754,10.913964,805.48,126976,572,454.30371833,-0.002737529,126976,62,0.004436382,0.051660158,3.627095
0.8980120345950127,238.38138699531555,8.404793,808.75,129024,567,456.2443444400001,-0.005423685,129024,63,0.0035772405,0.04350586,3.632875
0.8142374902963638,241.98749160766602,10.76213,825.96,131072,540,468.30543275,-0.004572044,131072,64,0.0053009465,0.057714842,3.6475086
0.8751535415649414,245.77601146697998,17.084188,843.31,133120,547,480.65329993,-0.0033506237,133120,65,0.0027881758,0.03261719,3.6486943
0.8981538861989975,249.51798057556152,10.324114,858.83,135168,542,493.2995416800001,-0.0045822836,135168,66,0.0048249746,0.054394532,3.6456757
0.8283652067184448,253.2947392463684,18.091417,882.35,137216,565,510.27307644999996,-0.002906273,137216,67,0.0028210361,0.027392577,3.6519656
0.7736637145280838,256.9164719581604,10.748025,900.03,139264,547,522.1368507399999,-0.0071124127,139264,68,0.006576021,0.07993164,3.6546948
0.906003437936306,260.6589183807373,9.106646,917.66,141312,555,536.1212713799999,-0.0038229693,141312,69,0.0048871753,0.0515625,3.644835
0.8364085555076599,264.34339332580566,13.763014,933.36,143360,572,546.90377149,-0.0029136837,143360,70,0.0024528508,0.023632813,3.632753
0.8690162301063538,267.92322635650635,14.011316,945.74,145408,568,555.9620150000001,-0.002707235,145408,71,0.0019533173,0.02109375,3.6299694
0.8798420131206512,271.5258696079254,11.979024,963.29,147456,563,569.9660173400001,-0.0015906894,147456,72,0.003807335,0.043115236,3.6256847
0.9416541270911694,275.162645816803,5.574157,971.13,149504,576,575.8426854500001,-0.0036590374,149504,73,0.00348244,0.03642578,3.6157963
0.8834086433053017,278.7172541618347,18.85212,994.74,151552,547,594.0334728400001,-0.0051764254,151552,74,0.0042585665,0.046777345,3.6149685
0.8799896016716957,282.45819878578186,10.877768,994.74,153600,569,596.1811084799999,-0.0028681522,153600,75,0.0033690748,0.038867187,3.6269867
0.9659316390752792,286.0566647052765,4.8054433,994.42,155648,569,595.9195779099999,-0.0042537227,155648,76,0.0028159274,0.029003907,3.6177268
