ep_reward_mean,ep_len_mean,clipfrac,n_updates,total_timesteps,approxkl,fps,value_loss,policy_entropy,explained_variance,policy_loss,serial_timesteps,time_elapsed
708.2281440563381,1046.605633802817,0.016601562,37,75776,0.0015748801,595,10.835789,5.1959734,0.8706132173538208,2.3275212e-05,75776,132.3483180999756
708.7416686438355,1051.4383561643835,0.011669922,38,77824,0.0014089101,599,18.511194,5.1934943,0.8195080459117889,-0.0017892864,77824,135.7858955860138
709.2515234933333,1056.04,0.030566406,39,79872,0.002719333,600,13.4963045,5.1891966,0.8260777741670609,-0.0033483058,79872,139.20519828796387
712.5257347012987,1061.7402597402597,0.0107421875,40,81920,0.0012210311,579,25.576382,5.183984,0.842188686132431,-0.0025468282,81920,142.61659336090088
700.1209833037974,1046.5822784810127,0.028320312,41,83968,0.0028613699,549,10.727228,5.1797943,0.9585267342627048,-0.0052901637,83968,146.1509771347046
705.7743921481481,1049.4444444444443,0.034960937,42,86016,0.0030291416,551,24.634495,5.183503,0.8879068866372108,-0.004162351,86016,149.87823343276978
717.2214048170731,1061.6341463414635,0.038916014,43,88064,0.0038949023,522,17.54715,5.186261,0.8876372575759888,-0.0031247293,88064,153.59473752975464
729.4410567710842,1073.5301204819277,0.095214844,44,90112,0.007730633,537,20.037006,5.162864,0.8896788731217384,-0.0056330576,90112,157.51168942451477
736.3483183411763,1078.6941176470589,0.043017577,45,92160,0.004130701,535,24.297817,5.146064,0.9034504070878029,-0.0026648156,92160,161.31941390037537
725.1976551494251,1065.7701149425288,0.023486327,46,94208,0.0022285236,562,8.955571,5.137567,0.9067578464746475,-0.002369067,94208,165.144216299057
725.8414906629214,1070.6179775280898,0.05722656,47,96256,0.005434718,576,16.236113,5.1314917,0.9095024392008781,-0.005269601,96256,168.7831952571869
737.4157455888889,1081.4888888888888,0.046826173,48,98304,0.0038111962,561,18.025124,5.1320252,0.8949469923973083,-0.0036984202,98304,172.33722257614136
743.1909251538461,1092.1208791208792,0.057910156,49,100352,0.0048891874,572,11.264615,5.1312504,0.908676490187645,-0.0027815585,100352,175.98463201522827
748.8651847419354,1096.3978494623657,0.034521483,50,102400,0.0034583833,548,14.254091,5.126565,0.9346264749765396,-0.006892994,102400,179.5606725215912
753.1778483263157,1097.9894736842105,0.06010742,51,104448,0.0047052237,464,24.46189,5.1271467,0.8984410911798477,-0.005684049,104448,183.29937028884888
736.2917841326531,1077.5714285714287,0.028759766,52,106496,0.0027818582,534,21.259136,5.1409855,0.7449378073215485,-0.0038002166,106496,187.70925855636597
736.6390870799999,1081.79,0.04033203,53,108544,0.0033376075,519,16.305765,5.1474643,0.7789569050073624,-0.0039726705,108544,191.53932976722717
726.2396893899999,1072.21,0.0126953125,54,110592,0.0013497414,536,19.259632,5.1559,0.8940399736166,-0.0024477243,110592,195.48066782951355
712.0781356999998,1057.36,0.016162109,55,112640,0.0015308298,540,7.2802887,5.158332,0.9499141126871109,-0.0032867834,112640,199.29620718955994
683.20122511,1026.75,0.011767578,56,114688,0.0012502907,562,25.093445,5.159494,0.8833115696907043,-0.0026811436,114688,203.08462595939636
694.6264645499999,1037.3,0.06567383,57,116736,0.0049994057,546,9.318753,5.154897,0.9362098500132561,-0.0052127996,116736,206.7266538143158
680.42220628,1016.27,0.059228517,58,118784,0.0054701543,553,12.223469,5.145289,0.9447051659226418,-0.006898234,118784,210.47795343399048
695.4612944299998,1031.94,0.099560544,59,120832,0.007739071,494,18.624645,5.1302934,0.8708063662052155,-0.0039339233,120832,214.17923951148987
711.0714092799999,1047.43,0.019824218,60,122880,0.0021344689,486,20.07262,5.122911,0.8954458385705948,-0.0017561342,122880,218.32025051116943
711.3476403199999,1048.82,0.082128905,61,124928,0.0066048107,472,25.528393,5.1312366,0.9087201505899429,-0.0054980684,124928,222.5327968597412
720.2621211699999,1062.65,0.025341798,62,126976,0.0022015627,532,12.973805,5.1450305,0.7299449443817139,-7.745379e-06,126976,226.8659315109253
737.3785376499998,1080.9,0.0987793,63,129024,0.006990616,519,20.29471,5.1461515,0.8861447870731354,-0.005421498,129024,230.70961499214172
735.7783326,1077.81,0.023388673,64,131072,0.0027111573,514,6.515609,5.14244,0.9709409028291702,-0.006511203,131072,234.65241360664368
737.2686988099999,1075.59,0.047705077,65,133120,0.0047025415,507,25.140753,5.1393514,0.9080773219466209,-0.004351164,133120,238.63241982460022
751.6856996599998,1089.51,0.017382812,66,135168,0.0018803282,540,22.513128,5.138531,0.7899076789617538,-0.0021854963,135168,242.66818284988403
763.6796615499998,1106.48,0.036376953,67,137216,0.0036971278,518,14.795369,5.1338444,0.9360921904444695,-0.0029447288,137216,246.46089100837708
777.01210282,1119.68,0.046777345,68,139264,0.004216622,508,29.581766,5.1467404,0.9118178933858871,-0.005275299,139264,250.41121983528137
772.14493243,1119.68,0.042236328,69,141312,0.0035220925,489,11.359751,5.1675754,0.7805047035217285,-0.0029486301,141312,254.4405677318573
784.21577953,1129.43,0.0725586,70,143360,0.0058284686,462,23.022083,5.182925,0.9119108393788338,-0.006943787,143360,258.6234085559845
733.7356156999999,1067.23,0.02060547,71,145408,0.0018808423,507,26.045506,5.200246,0.7822539210319519,-0.0045565264,145408,263.0537676811218
722.27178005,1049.66,0.037158202,72,147456,0.003269586,558,9.590909,5.209517,0.9277416840195656,-0.0025554597,147456,267.09422421455383
731.51478632,1062.37,0.035253905,73,149504,0.0034006387,555,22.873484,5.211312,0.8157974034547806,-0.0033564628,149504,270.7607333660126
693.95416177,1013.22,0.018701172,74,151552,0.0017095242,561,33.04931,5.215163,0.6660194098949432,-0.0054339776,151552,274.4458131790161
629.9760211500001,937.18,0.02578125,75,153600,0.0021873836,543,21.695705,5.2174377,0.742093950510025,-0.0024825293,153600,278.097962141037
590.76226984,885.96,0.020458985,76,155648,0.001970043,532,12.941913,5.2141376,0.910511203110218,-0.0034898084,155648,281.86772060394287
583.86905446,882.19,0.038085938,77,157696,0.0030978099,561,15.110001,5.2097692,0.8719967901706696,-0.0039421255,157696,285.71309876441956
583.57670202,881.84,0.0328125,78,159744,0.0036019352,547,5.438161,5.214952,0.9797092285007238,-0.0067785894,159744,289.36430048942566
598.15292538,898.41,0.08510742,79,161792,0.007993792,543,19.965107,5.221486,0.863622710108757,-0.007987752,161792,293.1062865257263
612.5781027400001,916.17,0.026757812,80,163840,0.00242132,547,24.164251,5.22869,0.918235719203949,-0.0026393633,163840,296.87586998939514
627.1003915,930.32,0.03022461,81,165888,0.0028191432,536,31.546198,5.2299805,0.9148653671145439,-0.0030046855,165888,300.61998081207275
624.59434835,926.65,0.033837892,82,167936,0.0031804815,556,8.302621,5.226226,0.9725969135761261,-0.004261209,167936,304.43766617774963
638.82494802,941.82,0.0359375,83,169984,0.003197878,528,21.35676,5.208864,0.8923779278993607,-0.0022657695,169984,308.12128829956055
643.0015580300001,941.82,0.072265625,84,172032,0.006827727,520,20.472012,5.2002325,0.89292062073946,-0.005892013,172032,311.9944109916687
658.67941843,958.34,0.05654297,85,174080,0.004599692,537,19.237719,5.1982474,0.8817289620637894,-0.0043759276,174080,315.9298207759857
649.76243548,941.1,0.019677734,86,176128,0.002332924,584,29.499252,5.1814504,0.8822085931897163,-0.0028983871,176128,319.7382936477661
665.9319898100001,957.59,0.08662109,87,178176,0.0065052607,532,19.360592,5.1733155,0.8971247747540474,-0.0028729904,178176,323.24458742141724
635.70219531,924.82,0.03276367,88,180224,0.0026179792,599,27.52149,5.1750526,0.8412816673517227,-0.007925732,180224,327.0904595851898
620.16421816,908.38,0.055029295,89,182272,0.0048254416,544,24.467094,5.174332,0.9218502789735794,-0.0061905505,182272,330.505028963089
618.5917434400002,905.93,0.1050293,90,184320,0.0080369,550,4.683488,5.1705422,0.9771365206688643,-0.0068643577,184320,334.26984333992004
633.4316139800001,921.19,0.034179688,91,186368,0.002845588,588,15.809506,5.167491,0.626953661441803,-0.0027449206,186368,337.9934298992157
632.14850451,919.04,0.018652344,92,188416,0.00202476,548,14.730684,5.164628,0.953192338347435,-0.0032351385,188416,341.4742913246155
630.95431279,916.85,0.069970705,93,190464,0.005234422,554,26.392673,5.172552,0.9114855453372002,-0.0052869227,190464,345.20828199386597
636.22378307,916.85,0.066748045,94,192512,0.0052907923,545,20.089787,5.179225,0.8904154449701309,-0.0021778813,192512,348.90427899360657
634.45492974,913.26,0.024560547,95,194560,0.0026582119,539,22.68917,5.1765556,0.9256322532892227,-0.0017899465,194560,352.6611409187317
636.7632367900001,916.55,0.027832031,96,196608,0.0025383942,570,30.85619,5.1750455,0.9006311073899269,-0.003963803,196608,356.45827460289
