approxkl,serial_timesteps,explained_variance,policy_entropy,n_updates,ep_len_mean,value_loss,fps,clipfrac,ep_reward_mean,total_timesteps,policy_loss,time_elapsed
0.0033672624,231424,0.38001585006713867,1.8673918,113,2049.0,3.3471274,413,0.037353516,543.1346888800001,231424,-0.0024557891,548.7973580360413
0.004089174,233472,0.36293262243270874,1.8662474,114,2049.0,3.210397,412,0.04663086,546.9030456200001,233472,-0.00347707,553.7478296756744
0.0026614277,235520,0.3590623736381531,1.8491735,115,2049.0,3.8177166,390,0.021386718,550.54540209,235520,-0.0004009069,558.7078456878662
0.0029211787,237568,0.43090158700942993,1.8347967,116,2049.0,3.7260444,407,0.027392577,554.2944702299999,237568,-0.00080964033,563.9496171474457
0.0020569083,239616,0.4255499243736267,1.8299425,117,2049.0,4.582385,420,0.016601562,558.0554893499999,239616,-0.0012018261,568.975346326828
0.00289877,241664,0.4120520353317261,1.828582,118,2049.0,3.9658363,416,0.028466797,562.29476226,241664,-0.0020458032,573.8508877754211
0.0033011225,243712,0.48881351947784424,1.8168032,119,2049.0,3.516193,410,0.03203125,566.09067369,243712,-0.0016547956,578.765711069107
0.0025811833,245760,0.424724280834198,1.801554,120,2049.0,3.1308432,401,0.021923829,569.6779791399999,245760,-0.00066166493,583.7558379173279
0.0035472058,247808,0.5570983290672302,1.7976749,121,2049.0,3.988937,391,0.036328126,573.00156368,247808,-0.0025893163,588.8554508686066
0.00440583,249856,0.428402304649353,1.8020065,122,2049.0,2.5850663,415,0.052197266,576.25324797,249856,-0.0020610765,594.0915722846985
0.005476105,251904,0.4868761897087097,1.808307,123,2049.0,2.9961188,416,0.06347656,578.03268104,251904,-0.0042032516,599.018013715744
0.0019240051,253952,0.4966936707496643,1.807204,124,2044.52,8.773076,434,0.016162109,584.4705874399999,253952,-0.0015954366,603.9355771541595
0.005828365,256000,0.5590021312236786,1.8121666,125,2038.64,5.674317,424,0.07714844,586.38162432,256000,-0.002787137,608.6498095989227
0.0032472082,258048,0.5627712607383728,1.8211868,126,2036.51,6.712896,422,0.035009764,591.02189042,258048,-0.0013630383,613.4787955284119
0.0025815065,260096,0.5634033381938934,1.8284113,127,2036.51,5.824725,408,0.02470703,596.31450563,260096,-0.00109269,618.3275723457336
0.0030389747,262144,0.5426543056964874,1.8150961,128,2036.51,6.99006,438,0.027294923,602.2067723900001,262144,-0.004195868,623.3416569232941
0.0033029139,264192,0.568591833114624,1.8078449,129,2022.02,8.751399,431,0.03701172,605.04286055,264192,-0.0033812597,628.015397310257
0.0038305235,266240,0.5564953088760376,1.8167499,130,1999.44,9.16983,428,0.044677734,604.0269481299999,266240,-0.0027732085,632.7667164802551
0.0022630407,268288,0.5645230114459991,1.8173021,131,1979.34,7.9092155,431,0.01821289,605.22654059,268288,-0.00014674789,637.5413384437561
0.0024552871,270336,0.4922136068344116,1.8177229,132,1941.34,10.687384,427,0.022607422,601.93488392,270336,-0.0035595607,642.2885284423828
0.0042219046,272384,0.47145652770996094,1.8192451,133,1882.59,12.325323,431,0.046728514,593.23362947,272384,-0.0047984584,647.083247423172
0.003924751,274432,0.5982750356197357,1.8173711,134,1854.5,7.239105,426,0.043115236,589.5018145299999,274432,-0.0011293135,651.8331210613251
0.0027621784,276480,0.47292208671569824,1.8134323,135,1781.42,13.904523,434,0.030126953,577.1337874000001,276480,-0.0013908066,656.6326680183411
0.002634687,278528,0.4522339701652527,1.8271843,136,1699.36,12.560868,435,0.027148437,558.0720797199999,278528,-0.0022947395,661.3514888286591
0.0025992948,280576,0.5856818556785583,1.839337,137,1654.75,7.8284783,420,0.026904296,548.68883294,280576,-0.0009470161,666.0576357841492
0.0034853946,282624,0.6068921685218811,1.8365425,138,1612.78,9.591985,436,0.03696289,541.15016225,282624,-0.0015382421,670.9305305480957
0.0025290758,284672,0.5361309051513672,1.8371111,139,1550.9,9.26486,421,0.02368164,527.37718032,284672,-0.0015814767,675.6184158325195
0.0025082373,286720,0.6806917786598206,1.8325384,140,1509.94,7.613305,427,0.02475586,520.2435039799999,286720,-0.0017292431,680.4783847332001
0.0026847343,288768,0.6545891761779785,1.8303149,141,1466.62,7.635405,431,0.02841797,511.87193596000003,288768,-0.0028406736,685.2720396518707
0.0050014323,290816,0.703119307756424,1.8252633,142,1452.27,7.584052,431,0.05229492,515.1784734,290816,-0.0028312833,690.0139338970184
0.0037573136,292864,0.4803839325904846,1.8187977,143,1370.88,12.666286,438,0.041015625,497.04585935,292864,-0.0023541243,694.7577497959137
0.0014997923,294912,0.6211707890033722,1.8181616,144,1307.12,9.313287,441,0.012402344,482.49644288999997,294912,-0.0009792193,699.4310712814331
0.002097216,296960,0.6104983687400818,1.8242214,145,1243.17,9.037643,426,0.01665039,467.24301419999995,296960,0.00013949184,704.0705223083496
0.0035591908,299008,0.6706625521183014,1.8281462,146,1184.72,8.659607,425,0.038671874,454.98336387999996,299008,-0.0030627248,708.8754966259003
0.0023906108,301056,0.6211055815219879,1.8270614,147,1125.64,9.746881,430,0.02211914,442.21045318999995,301056,-0.00204066,713.691624879837
0.005590515,303104,0.6712366342544556,1.8282839,148,1062.7,8.260958,440,0.06640625,427.49380751999996,303104,-0.0025801961,718.4507310390472
0.0029583303,305152,0.6929903328418732,1.8394775,149,999.93,8.349423,427,0.03261719,412.4841941699999,305152,-0.004550916,723.1034436225891
0.0033786013,307200,0.759319931268692,1.845714,150,957.3,6.430265,423,0.035742186,402.9734776899999,307200,-0.0014977998,727.8914697170258
0.0041042333,309248,0.6814090013504028,1.8445175,151,878.58,10.016462,427,0.045654297,380.95416825999996,309248,-0.0052059237,732.7292416095734
0.004287552,311296,0.6561102867126465,1.8430725,152,835.59,7.9628477,423,0.047314454,368.42550137,311296,-0.0021568332,737.525351524353
0.003523947,313344,0.5589458048343658,1.8480976,153,773.8,12.979797,441,0.039453126,345.70978445000003,313344,-0.0024642483,742.363049030304
0.003095129,315392,0.6921622157096863,1.8516821,154,715.02,8.945999,439,0.033740234,321.63019090999995,315392,-0.0029092564,746.997207403183
0.0030064012,317440,0.6490678191184998,1.8462206,155,651.59,9.667978,431,0.030126953,298.49492906,317440,-0.00075799687,751.6599636077881
0.004992383,319488,0.7262719571590424,1.8432058,156,584.19,9.517268,442,0.06298828,262.76168631,319488,-0.0029154853,756.4111557006836
0.0076377233,321536,0.5533985793590546,1.8453991,157,563.61,11.12693,427,0.09213867,252.62021467000002,321536,-0.0037749014,761.041583776474
0.003973941,323584,0.6268553137779236,1.848216,158,539.39,11.826335,413,0.04160156,239.7458633,323584,-0.0015589732,765.8305735588074
0.0044634896,325632,0.690606415271759,1.8579779,159,537.67,9.76262,431,0.050830077,239.10176549999997,325632,-0.0024750913,770.7853534221649
0.0041391016,327680,0.6135217547416687,1.8778288,160,524.29,13.649473,454,0.051416017,232.91528598000002,327680,-0.0051412145,775.5322637557983
0.0046289423,329728,0.7015525102615356,1.8929037,161,526.39,10.580683,432,0.056884766,235.08289750000003,329728,-0.0037961875,780.0430297851562
0.004504401,331776,0.696522057056427,1.9245058,162,535.71,8.28404,400,0.05493164,240.6373054,331776,-0.0026798663,784.7767903804779
0.0034153336,333824,0.7561809420585632,1.9402752,163,527.08,9.771866,420,0.03754883,236.89738196999994,333824,-0.0029487377,789.8855662345886
0.002860999,335872,0.730429083108902,1.9562786,164,525.95,8.741913,408,0.029394532,236.95821752,335872,-0.0038038816,794.7600872516632
0.00391909,337920,0.8344150334596634,1.9683071,165,524.9,4.8068347,411,0.043603517,236.92740075999998,337920,0.0013568979,799.7764830589294
0.0029520162,339968,0.7063919603824615,1.979603,166,489.17,14.119108,447,0.031201173,218.32248570000004,339968,-0.0039617214,804.7539668083191
0.0039588194,342016,0.6529423296451569,1.98616,167,482.79,13.145038,442,0.04526367,216.01236801000002,342016,-0.001723442,809.3280069828033
0.0044491254,344064,0.7894196659326553,1.99241,168,485.11,9.658004,419,0.05644531,218.06798904000004,344064,-0.006262803,813.9608957767487
0.0030105403,346112,0.7538947761058807,2.007173,169,480.77,9.161533,360,0.03413086,217.24426487999997,346112,-0.0024807465,818.8400638103485
0.0023648217,348160,0.6850343644618988,2.0112267,170,469.94,13.374662,281,0.023095703,213.05777306,348160,2.2915925e-05,824.5266327857971
0.0030355654,350208,0.6156969964504242,2.01326,171,464.87,14.834493,427,0.031591795,211.53115020999996,350208,-0.0034213152,831.8154196739197
0.004050092,352256,0.7777107506990433,2.009903,172,458.06,10.596115,397,0.04848633,208.59292132,352256,-0.0052143456,836.6088802814484
0.0029822758,354304,0.6809900999069214,2.0004528,173,449.14,14.680699,391,0.030078124,205.13413979999999,354304,-0.0024760948,841.7606842517853
0.0036093846,356352,0.7614857405424118,1.9874277,174,446.57,9.208174,416,0.04008789,204.57373047,356352,0.00058064016,846.9896342754364
0.0037814318,358400,0.7266853451728821,1.9777787,175,443.45,13.390604,416,0.04243164,203.63867001000006,358400,-0.0054005487,851.90522813797
0.003955067,360448,0.7191936671733856,1.9811504,176,440.85,11.685995,420,0.04638672,202.80694291000003,360448,-0.0022495803,856.8286774158478
0.0036734077,362496,0.7531652897596359,1.9904249,177,428.37,15.784709,435,0.039697267,197.93432187000002,362496,-0.0019094018,861.6992943286896
0.003747838,364544,0.6711070835590363,1.9961268,178,416.37,17.344715,431,0.043408204,192.49639944000003,364544,-0.0058534956,866.4026825428009
0.0035053727,366592,0.6926354467868805,2.0054817,179,413.86,12.199497,423,0.036621094,192.05629932000002,366592,-0.0042053806,871.1546874046326
0.004007471,368640,0.7996410876512527,2.0089924,180,420.03,10.426046,368,0.04375,196.64792644000005,368640,-0.0031346164,875.986035823822
