n_updates,policy_loss,value_loss,total_timesteps,approxkl,serial_timesteps,time_elapsed,ep_len_mean,clipfrac,explained_variance,ep_reward_mean,policy_entropy,fps
85,-0.00071595353,7.9964323,174080,0.0016907153,174080,401.2912349700928,1494.66,0.0109375,0.5602653920650482,550.71634351,1.669231,422
86,9.951372e-05,6.243026,176128,0.0029650826,176128,406.13581800460815,1494.4,0.030126953,0.6524680554866791,552.77743175,1.6679617,427
87,-0.0015981754,7.5369654,178176,0.002443099,178176,410.9293797016144,1479.47,0.022558594,0.5825543999671936,554.1668245399999,1.6686319,394
88,-0.0025807773,7.061136,180224,0.004003291,180224,416.12434697151184,1460.42,0.045703124,0.5431296229362488,553.9707717199999,1.6844976,454
89,-0.0022881718,4.968862,182272,0.0020644525,182272,420.6306402683258,1436.82,0.018017579,0.7003606557846069,551.37800745,1.704483,476
90,-0.0020305142,7.5553083,184320,0.0028896139,184320,424.927939414978,1432.81,0.030810546,0.5223033726215363,554.51711291,1.7151892,470
91,-0.0014484089,9.502038,186368,0.0016037645,186368,429.28260564804077,1420.12,0.011669922,0.5298627316951752,558.2886809799999,1.7227865,435
92,-0.003849992,6.803159,188416,0.0037844428,188416,433.98157477378845,1395.03,0.041748047,0.4759622812271118,554.65447858,1.7318159,403
93,-0.002759729,8.710372,190464,0.003527008,190464,439.06198811531067,1359.66,0.03691406,0.5427029728889465,549.11138848,1.7376446,418
94,-0.0046122437,7.5910964,192512,0.004585336,192512,443.9509787559509,1334.24,0.05317383,0.533598780632019,545.1679834800001,1.7388418,426
95,-0.0026446206,9.2364855,194560,0.0029693376,194560,448.74930143356323,1293.77,0.03286133,0.5673041641712189,537.54649885,1.7560686,395
96,-0.0005924908,11.20383,196608,0.0032463733,196608,453.9322507381439,1235.14,0.031054687,0.42503446340560913,522.65417097,1.773773,442
97,-0.0052462006,7.487906,198656,0.0047494913,198656,458.56441855430603,1192.03,0.058398437,0.6183291673660278,510.84987724999996,1.7793629,430
98,-0.0022426932,8.351344,200704,0.003238711,200704,463.318745136261,1154.78,0.035107423,0.6376420259475708,503.93019878,1.7785393,407
99,-0.0028468475,10.089847,202752,0.0030326701,202752,468.3394727706909,1106.42,0.03017578,0.5050897300243378,490.24560711,1.7718407,467
100,-0.002877586,10.394001,204800,0.0036333944,204800,472.7248020172119,1047.34,0.037353516,0.6391764581203461,472.06246781000004,1.7678998,397
101,-0.0015378917,9.877825,206848,0.0020514296,206848,477.8776972293854,1010.8,0.017089844,0.5694877505302429,461.5147294199999,1.7689207,419
102,-0.001882017,11.84563,208896,0.0032679543,208896,482.7611634731293,1024.48,0.03378906,0.563471645116806,469.97865684000004,1.7698399,403
103,-0.0014755283,13.53784,210944,0.0021068736,210944,487.83756923675537,990.37,0.01796875,0.5601650774478912,458.47340249000007,1.7673209,437
104,-0.0016725415,9.261145,212992,0.0042313444,212992,492.5182776451111,921.04,0.04345703,0.6929466724395752,432.83796565999995,1.7567822,453
105,-0.0036637872,13.20101,215040,0.002704406,215040,497.03279304504395,833.76,0.03227539,0.5524204671382904,399.0474971300001,1.7571455,439
106,-0.0017290473,9.611418,217088,0.0026014461,217088,501.69812846183777,790.57,0.02470703,0.5961630642414093,383.6369894899999,1.7729667,429
107,-0.0034850587,9.527414,219136,0.003326305,219136,506.46940541267395,740.91,0.036132812,0.6904650032520294,360.30810999,1.7924092,475
108,-0.0023747084,8.826397,221184,0.004365105,221184,510.78070425987244,741.7,0.049951173,0.6755593717098236,362.91552831,1.8045244,463
109,-0.0034936531,7.3450403,223232,0.00224835,223232,515.2043552398682,698.8,0.017236328,0.7633264064788818,343.60350977,1.8062903,458
110,-0.0010753804,6.395069,225280,0.0015387556,225280,519.6673266887665,673.93,0.013720703,0.7604033499956131,332.31634426000005,1.8042142,439
111,-0.0008222973,11.341533,227328,0.0021105572,227328,524.3229932785034,648.07,0.013818359,0.5807339251041412,319.45994896,1.803951,458
112,-0.0022126236,10.246926,229376,0.0022832844,229376,528.7906589508057,623.19,0.01689453,0.6834870278835297,306.57853206,1.8059921,489
113,-0.0027404134,9.851162,231424,0.0029787929,231424,532.9773728847504,610.22,0.03330078,0.7407620549201965,300.52996321,1.8139708,446
114,-0.0012543697,8.109579,233472,0.0036382875,233472,537.5681037902832,609.59,0.042285156,0.7705849260091782,301.33314455999994,1.8162912,474
