ep_len_mean,total_timesteps,approxkl,ep_reward_mean,explained_variance,clipfrac,policy_entropy,n_updates,fps,value_loss,policy_loss,time_elapsed,serial_timesteps
1282.59,131072,0.00400184,779.6957513499999,0.7689968198537827,0.041064452,2.498422,64,462,10.953023,-0.004353662,284.1414852142334,131072
1275.97,133120,0.0023140411,775.3323424800001,0.916721373796463,0.019824218,2.49338,65,433,6.811302,-0.0025171493,288.5717921257019,133120
1289.53,135168,0.0046781995,785.0392650900001,0.8561379462480545,0.057861328,2.4912372,66,489,9.328123,-0.0023274908,293.30014419555664,135168
1299.1,137216,0.004528164,791.9240723900002,0.852953314781189,0.05673828,2.4911265,67,452,9.545578,-0.0036891059,297.4845931529999,137216
1297.78,139264,0.0040557166,791.84156424,0.8590240776538849,0.043408204,2.4827192,68,478,13.375392,-0.004754314,302.01168727874756,139264
1282.93,141312,0.0047432883,781.7574214099998,0.8551856577396393,0.055566408,2.4787593,69,467,18.083681,-0.0030073384,306.2894027233124,141312
1269.87,143360,0.00681279,772.28848897,0.8512225896120071,0.08481445,2.4864426,70,479,14.946184,-0.006142544,310.66705775260925,143360
1253.23,145408,0.0034029516,760.1849346600003,0.9250105619430542,0.033935547,2.4954057,71,446,5.7328434,-0.003983802,314.93814754486084,145408
1253.23,147456,0.0049025794,760.5581093300002,0.839240163564682,0.056152344,2.5067885,72,450,8.8899555,-0.003196468,319.5262565612793,147456
1239.35,149504,0.004277483,749.2099913099999,0.8438489586114883,0.046582032,2.5145714,73,478,13.997027,-0.004854612,324.0711758136749,149504
1239.35,151552,0.004417069,748.7222843799999,0.8352442532777786,0.049072266,2.512008,74,454,11.52785,-0.005443098,328.35195231437683,151552
1239.35,153600,0.004247234,748.2029375100001,0.8549881726503372,0.046728514,2.5050452,75,465,8.932044,-0.003723514,332.8583619594574,153600
1218.57,155648,0.0028951312,733.2507181600001,0.8378594517707825,0.02734375,2.5049057,76,436,14.815016,-0.00364829,337.25750494003296,155648
1205.2,157696,0.0031574524,723.3793372099999,0.8354016989469528,0.03125,2.5082872,77,497,17.715227,-0.0014289655,341.95198345184326,157696
1205.2,159744,0.002307977,723.4405330599999,0.8285305052995682,0.023876954,2.498283,78,431,10.715413,-0.0004259178,346.07192373275757,159744
1163.71,161792,0.0039525228,693.3146504799998,0.8879212886095047,0.042773437,2.496127,79,465,14.221609,-0.0031469956,350.81520318984985,161792
1151.48,163840,0.00573655,684.26499508,0.9221445694565773,0.066503905,2.5018392,80,458,6.178985,-0.00079434784,355.2117049694061,163840
1138.48,165888,0.0032248572,675.14063562,0.7640258222818375,0.038623046,2.5024903,81,457,18.420456,-0.0024802652,359.6828806400299,165888
1148.46,167936,0.0038926986,682.6878755500001,0.854491338133812,0.04350586,2.497746,82,435,9.728889,0.00014681541,364.1609182357788,167936
1159.54,169984,0.004036612,691.2061619500001,0.819012850522995,0.047167968,2.484008,83,441,12.959734,-0.0022833948,368.86443305015564,169984
1140.97,172032,0.0051777335,677.2388179499999,0.8883902803063393,0.055615235,2.4835238,84,450,12.085696,-0.0059131724,373.5010142326355,172032
1129.28,174080,0.005031599,668.48202507,0.9503251910209656,0.051757812,2.4835565,85,458,4.0921392,-0.0032142731,378.0508270263672,174080
1140.29,176128,0.004559931,677.2026031299999,0.8283660858869553,0.054589845,2.4897676,86,480,9.380992,-0.0027926152,382.51880383491516,176128
1126.58,178176,0.0049075307,667.23382405,0.7906084209680557,0.0597168,2.497301,87,459,19.29879,-0.0015356803,386.7838702201843,178176
1138.48,180224,0.0045934794,676.63923639,0.8149190545082092,0.049316406,2.4916701,88,438,11.697662,-0.0010940093,391.24415254592896,180224
1156.41,182272,0.0026562517,690.0926074,0.8553454428911209,0.029199218,2.4837608,89,439,15.147568,-0.0018906081,395.9157545566559,182272
1168.82,184320,0.0028666498,699.8943311800001,0.8538949936628342,0.030126953,2.481734,90,465,11.945837,-0.002480268,400.5758044719696,184320
1149.45,186368,0.0057637333,687.15316904,0.7973340451717377,0.063769534,2.4741435,91,458,18.726543,-0.0043168915,404.97672271728516,186368
1151.62,188416,0.0034956965,688.5203616299998,0.9027066379785538,0.03652344,2.471782,92,413,6.433236,-0.0020913535,409.4407238960266,188416
1165.11,190464,0.0041845078,699.0601222199999,0.8388892561197281,0.046240233,2.4693863,93,440,11.221308,-0.0044719484,414.3981592655182,190464
1163.99,192512,0.004740046,697.9503495099999,0.8864629790186882,0.05258789,2.46583,94,468,7.412383,-0.004386359,419.0454993247986,192512
1179.6,194560,0.0037510656,709.6197613,0.7948914766311646,0.040234376,2.4626708,95,447,12.016871,-0.0003239545,423.4203209877014,194560
1190.29,196608,0.0054914914,716.8579055800001,0.8162329494953156,0.064404294,2.449841,96,445,9.158743,0.0006858855,427.9936521053314,196608
1205.3,198656,0.0046114624,727.5220362800002,0.7599051743745804,0.052246094,2.4468875,97,466,12.370715,-0.0031778887,432.589635848999,198656
1219.3,200704,0.0060517965,738.0098520900002,0.7728695720434189,0.06733398,2.4485438,98,468,14.053975,-0.0034956238,436.9845130443573,200704
1234.7,202752,0.0063249073,748.8222363700002,0.8245207965373993,0.073632814,2.4474998,99,447,8.843656,0.000686786,441.35457611083984,202752
1247.98,204800,0.0068982346,759.0068032500001,0.8168373852968216,0.07905273,2.453619,100,471,12.343742,-0.0052074557,445.92721605300903,204800
1254.03,206848,0.006225102,764.0483266100001,0.8416554480791092,0.06987305,2.4624648,101,489,14.488136,-0.0069289207,450.2710876464844,206848
1254.59,208896,0.0041639907,764.6436442199999,0.8586711138486862,0.047021486,2.4675343,102,472,9.344455,-0.0027282785,454.4556887149811,208896
1266.84,210944,0.006845437,774.60320227,0.7617348432540894,0.07880859,2.4635215,103,468,19.70239,-0.0026683079,458.7896885871887,210944
1280.35,212992,0.0045374646,784.92842447,0.8180145174264908,0.048339844,2.4605143,104,485,10.994504,-0.0011567648,463.1583468914032,212992
1294.19,215040,0.0040594507,795.52928506,0.8428684324026108,0.04057617,2.446514,105,462,10.544935,-0.004099167,467.37904620170593,215040
1305.32,217088,0.0055524767,804.02672035,0.8060229569673538,0.058007814,2.4321628,106,458,18.608974,-0.003114768,471.8097229003906,217088
1305.32,219136,0.007827173,804.0069295899999,0.7911513149738312,0.089697264,2.437924,107,474,9.458082,-0.000481373,476.275493144989,219136
1320.75,221184,0.0038595633,815.57188445,0.8094935119152069,0.043798827,2.4435534,108,450,10.783425,-0.0032518648,480.5889039039612,221184
1334.69,223232,0.0057683582,826.1951410899998,0.8089342415332794,0.06274414,2.441619,109,451,12.565375,-0.0022128508,485.13530373573303,223232
1326.11,225280,0.0058304556,821.25238018,0.8359583020210266,0.06391601,2.4361496,110,455,14.324712,-0.0069591426,489.6704385280609,225280
1339.33,227328,0.0052588684,831.4659308,0.8042391687631607,0.062646486,2.4413552,111,452,12.249243,-0.0025615399,494.1695795059204,227328
1334.13,229376,0.0043637287,828.4577467500001,0.8616341799497604,0.04892578,2.4518213,112,444,13.904198,-0.0017048419,498.6962881088257,229376
1340.18,231424,0.0060207006,833.0848113100001,0.9159683585166931,0.06923828,2.463954,113,495,5.6984844,-0.0050036926,503.3042755126953,231424
1351.11,233472,0.0049930955,841.5907369800001,0.8721567392349243,0.058642577,2.4575984,114,488,8.681275,-0.0024255305,507.43590569496155,233472
1367.8,235520,0.003959824,854.0653802700002,0.8168208301067352,0.042529296,2.457323,115,469,11.1645975,-0.0019618897,511.63263964653015,235520
1378.7,237568,0.0064616674,863.0994266700001,0.843160018324852,0.07705078,2.4578142,116,446,15.675908,-0.004235433,515.9915399551392,237568
1395.3,239616,0.005117581,874.8159456500001,0.8111181110143661,0.059912108,2.465507,117,473,9.919704,-0.0011161019,520.5741212368011,239616
1401.03,241664,0.003907445,879.38204128,0.855353444814682,0.043896485,2.4694529,118,470,8.89351,-0.0014800318,524.8969037532806,241664
1393.08,243712,0.0046352535,874.77094887,0.8180407285690308,0.054589845,2.4741502,119,452,19.346088,-0.003941779,529.2486491203308,243712
1393.08,245760,0.0036931958,876.16723441,0.7806475162506104,0.040283203,2.4659672,120,458,13.2427845,-0.0019548645,533.7743802070618,245760
1406.26,247808,0.0056105414,886.0559045099998,0.7707319110631943,0.067919925,2.4477675,121,464,12.987486,-0.0020330714,538.2405602931976,247808
1399.47,249856,0.004288552,883.01347739,0.9155313372612,0.046533205,2.434106,122,468,8.506373,0.0015448624,542.6503021717072,249856
1392.51,251904,0.00436641,879.20336228,0.8925331085920334,0.051416017,2.4266064,123,466,9.977836,-0.0055442327,547.0251114368439,251904
1394.29,253952,0.0032377176,880.47791101,0.8942234367132187,0.0362793,2.432668,124,492,6.6776795,-0.007955005,551.4131782054901,253952
1420.21,256000,0.003740529,899.2294340300001,0.8163772821426392,0.041992188,2.444292,125,462,15.872363,-0.00033159892,555.572616815567,256000
1415.41,258048,0.006358412,896.4996144900001,0.9100688025355339,0.07973633,2.4479249,126,461,5.650688,-0.0052570673,560.0033578872681,258048
1415.41,260096,0.0074710757,897.98093564,0.847595140337944,0.08129883,2.446383,127,478,10.034459,-0.0054474534,564.4418094158173,260096
1406.91,262144,0.0057124747,892.4574008099999,0.9414945691823959,0.06669922,2.4520326,128,460,4.9228997,-0.0044673947,568.7260873317719,262144
1421.72,264192,0.007917458,904.1535052099998,0.8183823227882385,0.07836914,2.4646773,129,467,11.58151,-0.0075564072,573.171751499176,264192
1413.52,266240,0.004086032,899.1255475499999,0.8267667442560196,0.048535157,2.4796178,130,449,17.493622,-0.002384986,577.5535352230072,266240
1429.09,268288,0.002702571,911.01521566,0.8407540321350098,0.027783204,2.484424,131,467,10.547617,-3.7102593e-05,582.1072280406952,268288
1444.46,270336,0.0039285524,922.6775099999999,0.8123259991407394,0.042382814,2.4753408,132,461,11.816412,0.0005714588,586.4908874034882,270336
1459.86,272384,0.0048846616,934.30038399,0.8213079124689102,0.05581055,2.4718134,133,486,10.741888,-0.0044004354,590.9287717342377,272384
1459.86,274432,0.0023879418,934.8840449,0.801975429058075,0.02470703,2.4744754,134,473,12.445453,-0.0025616274,595.1356582641602,274432
1475.22,276480,0.007963239,945.9824536700002,0.7974646091461182,0.09243164,2.492701,135,492,11.256501,-0.00588899,599.4627199172974,276480
