approxkl,n_updates,policy_loss,clipfrac,value_loss,explained_variance,time_elapsed,fps,policy_entropy,serial_timesteps,total_timesteps,ep_len_mean,ep_reward_mean
0.0016540147,779,-0.0033056326,0.016455078,20.624445,0.1146005392074585,3842.179820537567,422,8.351571,1595392,1595392,1891.73,1870.11255498
0.0014873005,780,-0.0005529644,0.015429688,1.7341877,0.9716394413262606,3847.0279533863068,433,8.338246,1597440,1597440,1876.45,1854.8463773400001
0.0004668561,781,-0.0010184004,0.0033691407,20.06438,0.012810349464416504,3851.75315117836,414,8.331317,1599488,1599488,1876.45,1854.86174102
0.0005812791,782,-0.0007002431,0.0026855469,24.25813,0.8186023831367493,3856.6921241283417,428,8.316977,1601536,1601536,1872.88,1852.5016610599998
0.0013807268,783,-0.00080566166,0.014013672,20.165943,0.004141867160797119,3861.4695403575897,426,8.299045,1603584,1603584,1872.88,1852.56959531
0.0025568805,784,-0.0016464362,0.029052734,20.114626,0.03988003730773926,3866.2727420330048,423,8.292007,1605632,1605632,1872.88,1852.5325748499997
0.0023992804,785,-0.0009388528,0.030126953,20.131426,-0.000933527946472168,3871.10511803627,416,8.288361,1607680,1607680,1872.88,1852.4300861699999
0.0018981922,786,-0.002612439,0.02451172,19.812946,0.0325627326965332,3876.020367860794,417,8.288221,1609728,1609728,1872.88,1852.4333210699997
0.0011183016,787,-0.000231008,0.011572266,20.312302,-0.0112229585647583,3880.9225635528564,420,8.28504,1611776,1611776,1872.88,1852.4850914699998
0.00096888264,788,0.00028144085,0.008886719,20.079426,0.008843421936035156,3885.7954733371735,416,8.282347,1613824,1613824,1872.88,1852.5308386699999
0.0018611342,789,-0.0008461224,0.022802735,20.067118,0.010508894920349121,3890.716678380966,415,8.284139,1615872,1615872,1872.88,1852.52125297
0.0012241143,790,-0.001065264,0.011328125,20.36368,-0.021004438400268555,3895.6410682201385,414,8.275902,1617920,1617920,1872.88,1852.3331568
0.0018559301,791,0.0007961655,0.0203125,20.205566,-0.006485104560852051,3900.5839030742645,410,8.261682,1619968,1619968,1872.88,1852.30755485
0.0018194153,792,-0.0006160866,0.020507812,20.015804,0.010041594505310059,3905.572451353073,431,8.25819,1622016,1622016,1872.88,1852.3400664599997
0.00086658093,793,-0.000802523,0.0087890625,20.2708,-0.015793681144714355,3910.3229398727417,424,8.263312,1624064,1624064,1872.92,1852.6445155299996
0.00025162203,794,0.00029905213,0.0005371094,19.992924,0.012791693210601807,3915.1525745391846,418,8.268942,1626112,1626112,1886.26,1866.16004547
7.371247e-05,795,-0.00013002256,0.0,14.186292,0.9674782752990723,3920.0432024002075,422,8.261934,1628160,1628160,1888.58,1865.41973636
0.0026713419,796,-0.0016391089,0.03276367,20.01896,0.005045473575592041,3924.891564846039,427,8.257719,1630208,1630208,1888.58,1865.4137891899995
0.0013620435,797,-0.0009641716,0.015527343,20.424936,-0.01500093936920166,3929.6842958927155,409,8.266249,1632256,1632256,1888.58,1865.4196763299997
0.0017899724,798,-0.00022203207,0.019091796,20.195766,-0.00649416446685791,3934.682368040085,428,8.270281,1634304,1634304,1888.58,1865.4122121699995
0.0005737295,799,-2.1316168e-06,0.005029297,20.17081,-0.0024091005325317383,3939.457168340683,382,8.26965,1636352,1636352,1888.58,1865.38547378
0.00042381737,800,0.00023808455,0.0026855469,20.020737,0.005931377410888672,3944.8131217956543,415,8.259668,1638400,1638400,1888.58,1865.38905011
0.00047905682,801,0.00026081776,0.00390625,29.661865,0.4572408199310303,3949.742598772049,424,8.25487,1640448,1640448,1887.12,1864.98227801
0.00039522612,802,-0.00022983062,0.0029785156,23.111397,0.7002361416816711,3954.572495698929,399,8.253586,1642496,1642496,1887.12,1864.93116656
0.001859265,803,-0.00051848526,0.025341798,30.29775,0.8246325701475143,3959.6972773075104,427,8.258204,1644544,1644544,1887.12,1863.64016369
0.0014049718,804,-0.0016264291,0.015039062,19.926012,0.013485372066497803,3964.4875712394714,408,8.254183,1646592,1646592,1904.59,1881.00316329
0.0008818212,805,-0.00046254933,0.008886719,19.855602,0.0727691650390625,3969.496263742447,415,8.245337,1648640,1648640,1904.59,1880.8842076499998
0.00113386,806,-0.0007004485,0.012109375,20.059002,0.0023040175437927246,3974.425463438034,424,8.246683,1650688,1650688,1904.59,1880.8201461700003
0.0005645554,807,-0.00012693171,0.0043945312,4.886704,0.9337976947426796,3979.2530105113983,424,8.246981,1652736,1652736,1912.87,1889.09190898
0.0012495352,808,-0.0010209354,0.012939453,20.238224,-0.002461552619934082,3984.0793013572693,408,8.238578,1654784,1654784,1912.87,1889.1604805800002
0.0012081076,809,-0.0008113172,0.012744141,20.160835,-0.00045692920684814453,3989.0965924263,412,8.227186,1656832,1656832,1912.87,1889.2087963
0.0010610808,810,-0.00021097339,0.010644531,20.29989,-0.015810132026672363,3994.063215970993,414,8.223428,1658880,1658880,1912.87,1889.1832449700003
0.0006073466,811,-9.245705e-07,0.0044921874,20.183578,0.0008537769317626953,3999.007539510727,401,8.213083,1660928,1660928,1912.87,1889.2073856199997
0.0010261303,812,-0.0012325074,0.0071777343,20.01212,0.012705445289611816,4004.1120693683624,418,8.194184,1662976,1662976,1912.87,1889.1367183600003
0.0032934907,813,-0.0026470295,0.042919923,20.222662,-0.006799817085266113,4009.004639863968,418,8.186563,1665024,1665024,1912.87,1889.16531377
0.0013291761,814,-0.0013687069,0.01586914,20.197964,-0.0003777742385864258,4013.8941576480865,413,8.19788,1667072,1667072,1912.87,1889.2265206400002
0.0014478003,815,-4.121087e-05,0.01796875,20.18317,-0.002930879592895508,4018.847222328186,413,8.200252,1669120,1669120,1912.87,1889.2350143999997
0.0008706236,816,-0.00016622154,0.0075683594,20.144096,0.0046389102935791016,4023.798963546753,422,8.210706,1671168,1671168,1912.87,1889.2883046600002
0.00128001,817,-4.4199773e-05,0.011572266,20.118256,0.006631910800933838,4028.6493360996246,419,8.230532,1673216,1673216,1932.14,1908.52816414
0.0018250402,818,-0.00092824164,0.021826172,20.23703,-0.003475785255432129,4033.530220746994,411,8.242169,1675264,1675264,1932.14,1908.52979105
0.0024203868,819,-0.0016933273,0.02998047,20.261793,-0.009610414505004883,4038.510021209717,415,8.2330475,1677312,1677312,1932.14,1908.58333113
0.0019942424,820,-0.0013508761,0.022070313,20.129667,0.004658997058868408,4043.4441182613373,425,8.224438,1679360,1679360,1932.14,1908.6959103800002
0.00056387106,821,-0.00024435244,0.0045410157,20.147184,0.009036898612976074,4048.263242959976,422,8.21846,1681408,1681408,1932.14,1908.88040414
0.0035553097,822,-0.0006788456,0.047021486,20.143265,0.002012789249420166,4053.115250825882,420,8.218693,1683456,1683456,1932.14,1909.0106645600004
0.00052090915,823,5.3482676e-05,0.0030273437,20.097279,0.007917821407318115,4057.981953382492,405,8.21921,1685504,1685504,1932.14,1909.09275083
0.000612742,824,-0.00076918094,0.0049804687,19.9696,0.014765620231628418,4063.0389699935913,404,8.228523,1687552,1687552,1932.14,1909.1405559000004
0.0025907182,825,-0.0021478743,0.027001953,20.03556,-0.006193876266479492,4068.1046736240387,381,8.256003,1689600,1689600,1932.14,1909.1457530200005
0.0010239391,826,-0.0007943662,0.010009766,7.241793,0.9585125893354416,4073.471189022064,427,8.282369,1691648,1691648,1926.74,1903.0223987200004
0.00071858783,827,5.132965e-05,0.0065429686,20.215946,-0.003876328468322754,4078.2608292102814,414,8.28965,1693696,1693696,1926.74,1903.0372155500002
0.0019487885,828,-0.00024072625,0.025585938,20.128262,0.004866063594818115,4083.207844734192,404,8.29574,1695744,1695744,1926.74,1903.0945959800003
0.0012529636,829,-0.00017886594,0.01484375,20.201136,-0.0037238597869873047,4088.2734949588776,392,8.294522,1697792,1697792,1926.74,1903.1200605300005
0.00050843536,830,-0.000101387945,0.004296875,20.067745,0.010800421237945557,4093.4876585006714,414,8.295899,1699840,1699840,1926.74,1903.11937252
0.0010899445,831,-0.0008650793,0.011376953,20.096672,0.006538271903991699,4098.430970430374,426,8.297674,1701888,1701888,1926.74,1903.19264962
0.0012212743,832,-0.0023617584,0.013427734,27.705173,0.5567287504673004,4103.238127708435,421,8.300891,1703936,1703936,1913.25,1889.9485079499998
0.0010314792,833,-0.0005994035,0.01171875,19.96327,0.01934140920639038,4108.097602844238,409,8.296743,1705984,1705984,1913.25,1889.9187533199997
0.0005764403,834,-0.00022114259,0.0043945312,20.282383,-0.005948185920715332,4113.097674131393,438,8.289645,1708032,1708032,1913.25,1890.01022767
0.0015978325,835,-0.0015738413,0.01845703,20.233835,-0.0035697221755981445,4117.765981197357,422,8.276141,1710080,1710080,1913.25,1889.94450188
0.0004742268,836,0.00022482124,0.0026367188,20.292797,-0.005188941955566406,4122.61424779892,421,8.272631,1712128,1712128,1913.25,1890.0571528899998
0.0022451342,837,-0.0016442084,0.025341798,20.20147,0.06586384773254395,4127.477483510971,420,8.280109,1714176,1714176,1913.25,1889.98504919
0.002534284,838,-0.0029367947,0.031347655,20.247448,-0.00203859806060791,4132.344989776611,418,8.275072,1716224,1716224,1913.25,1890.0891032200002
0.001471312,839,-0.00064285006,0.016162109,20.196321,-0.00719451904296875,4137.238219261169,427,8.276512,1718272,1718272,1913.25,1890.08820483
0.0010507778,840,-0.0008283599,0.009570313,20.140743,0.0040891170501708984,4142.0265872478485,409,8.285873,1720320,1720320,1913.25,1890.19399996
0.0006635223,841,-0.0010046219,0.00546875,20.05534,0.010438978672027588,4147.022877931595,409,8.274953,1722368,1722368,1913.25,1890.16979491
0.00060362637,842,-0.00030729568,0.0047851563,20.19981,-0.004213213920593262,4152.023414373398,410,8.264689,1724416,1724416,1913.25,1890.23210894
0.001249949,843,-0.00028242808,0.01328125,20.103271,0.004340171813964844,4157.007892608643,417,8.262228,1726464,1726464,1913.25,1890.2899106000002
0.00040262606,844,-0.00018194153,0.0029785156,19.960165,0.01904428005218506,4161.918533563614,410,8.261902,1728512,1728512,1913.25,1890.3043934199998
0.0015326758,845,-0.0008299978,0.019238282,20.119059,0.003926098346710205,4166.91325545311,405,8.262632,1730560,1730560,1913.25,1890.3505750299998
0.0021129437,846,-0.0014627595,0.029101562,19.981419,0.011056840419769287,4171.963578701019,429,8.265791,1732608,1732608,1913.25,1890.3055812999999
0.001273004,847,-0.00071237766,0.0147949215,20.187458,0.01451808214187622,4176.73397898674,412,8.265173,1734656,1734656,1913.25,1890.41583315
0.0009020277,848,-0.0006029657,0.0109375,20.060837,0.009401917457580566,4181.698778152466,421,8.266939,1736704,1736704,1913.25,1890.28776556
0.0006313502,849,-0.00034083793,0.005859375,20.062124,-0.0011790990829467773,4186.5527312755585,396,8.276062,1738752,1738752,1913.25,1890.2917514800001
0.00052712334,850,-0.00015819239,0.003857422,20.165152,-0.004267334938049316,4191.718342065811,402,8.286172,1740800,1740800,1913.25,1890.41138419
0.003099305,851,-0.0032520057,0.04248047,20.18169,-0.012536168098449707,4196.8082048892975,419,8.307801,1742848,1742848,1915.29,1892.6708272199999
0.0024594585,852,-0.0029653802,0.022949219,20.249203,0.020695269107818604,4201.696352720261,395,8.315595,1744896,1744896,1919.18,1896.8174493100003
0.0015075358,853,-0.0019498484,0.015576172,20.028214,-0.0005947351455688477,4206.873309612274,429,8.297642,1746944,1746944,1922.0,1899.6864386500006
0.0015342466,854,5.2424868e-05,0.018115234,20.01394,0.0025686025619506836,4211.644547700882,411,8.285463,1748992,1748992,1927.87,1905.7581753000004
0.00056974246,855,-2.8347824e-05,0.0034179688,20.115612,0.10066348314285278,4216.625156164169,416,8.294031,1751040,1751040,1927.87,1905.6436836300004
0.0004310927,856,-0.0014996426,0.0043945312,8.6831455,0.791956752538681,4221.545737981796,418,8.2953205,1753088,1753088,1920.36,1898.2241326700002
0.002358625,857,-0.0015314433,0.030273438,19.973545,0.002152860164642334,4226.435538768768,407,8.298823,1755136,1755136,1935.48,1913.2477484100004
0.0036865093,858,-0.002234553,0.04501953,19.823067,0.022901177406311035,4231.458683729172,395,8.289728,1757184,1757184,1941.48,1919.3737232800004
0.0012717496,859,-0.0022488583,0.0145019535,28.158,0.5144656896591187,4236.632760047913,379,8.273857,1759232,1759232,1921.9,1900.0169475700002
0.00043170637,860,-0.00010085498,0.0036132813,20.171442,-0.00892329216003418,4242.030304431915,414,8.272999,1761280,1761280,1931.06,1909.1880018000002
0.00026420548,861,-3.2931952e-05,0.0015625,19.900023,0.016400694847106934,4246.967479228973,410,8.266016,1763328,1763328,1931.06,1909.2411399700002
0.0014230572,862,-0.0014731445,0.01586914,20.188997,-0.022329092025756836,4251.954590082169,426,8.272238,1765376,1765376,1931.06,1909.2233860400002
0.0017623149,863,-0.0009514339,0.022021484,19.969492,-0.003692030906677246,4256.7552790641785,407,8.276333,1767424,1767424,1936.21,1914.4710545
