serial_timesteps,n_updates,explained_variance,policy_entropy,total_timesteps,fps,value_loss,approxkl,clipfrac,time_elapsed,policy_loss,ep_reward_mean,ep_len_mean
337920,165,0.716603547334671,4.230447,337920,487,11.977851,0.002137734,0.023828125,675.311690568924,-0.0022823368,767.8358426000002,1123.91
339968,166,0.6767067313194275,4.242163,339968,488,18.731756,0.0047174077,0.053515624,679.5172045230865,-0.002980322,761.4856891500001,1123.04
342016,167,0.7089395523071289,4.251654,342016,495,10.509207,0.0051051006,0.062158205,683.7143378257751,-0.005008138,755.87807577,1123.04
344064,168,0.8866922780871391,4.265533,344064,470,19.180017,0.0047887815,0.059570312,687.8519756793976,-0.0078405235,770.6934544,1137.98
346112,169,0.885783776640892,4.2678804,346112,484,19.974924,0.0042767166,0.049609374,692.2080402374268,-0.002653752,771.0481702799999,1137.98
348160,170,0.6839771866798401,4.2620068,348160,471,11.091887,0.0029787454,0.03334961,696.4336748123169,-0.0018332669,765.1003918600001,1137.98
350208,171,0.88774024695158,4.2665176,350208,467,19.762695,0.0028529319,0.032910157,700.7758274078369,-0.002568625,765.2951698500001,1137.98
352256,172,0.8187062442302704,4.269643,352256,465,11.610651,0.0036282898,0.041064452,705.1602051258087,-0.0035869512,774.60973826,1152.5
354304,173,0.713260143995285,4.277877,354304,497,9.942718,0.0038904636,0.047607422,709.5610861778259,-0.003611413,784.0533597799999,1167.34
356352,174,0.7400869429111481,4.2786694,356352,500,9.330009,0.0020255013,0.01977539,713.677661895752,-0.0017077619,792.7088458700001,1181.33
358400,175,0.8797376304864883,4.2691565,358400,488,20.404263,0.0042062392,0.05292969,717.7693068981171,-0.0036673725,791.8993767600001,1181.33
360448,176,0.8687009811401367,4.260471,360448,504,21.796284,0.004459863,0.058300782,721.9692866802216,-0.0040180357,804.9487184800001,1195.49
362496,177,0.5798518359661102,4.2603326,362496,555,32.493988,0.0052228044,0.049462892,726.0282554626465,-0.009738752,792.06159186,1183.68
364544,178,0.8914161548018456,4.2698,364544,479,19.868986,0.0031371862,0.038183592,729.7133097648621,-0.0021408335,805.42565573,1198.19
366592,179,0.8932818025350571,4.2709885,366592,476,19.855814,0.0051183896,0.05683594,733.9894051551819,-0.0028500187,804.99068792,1198.19
368640,180,0.9606473222374916,4.2730265,368640,465,9.10085,0.0017640714,0.016259765,738.2923800945282,-0.0036840648,806.3695008499999,1199.53
370688,181,0.899896502494812,4.2834415,370688,476,19.851753,0.004637216,0.05581055,742.6943800449371,-0.0047763716,820.88938042,1214.15
372736,182,0.8832770958542824,4.2840986,372736,465,19.79771,0.0031019733,0.034765624,746.9971613883972,-0.003196045,821.1419552299999,1214.15
374784,183,0.8239876329898834,4.2920866,374784,508,15.277098,0.0026045165,0.029492188,751.3952369689941,-0.0034489732,819.8041628100001,1214.15
376832,184,0.9427238889038563,4.29159,376832,493,10.478003,0.0039754147,0.05029297,755.4252781867981,-0.005000126,814.5011055499999,1212.36
378880,185,0.8867951333522797,4.282449,378880,481,19.467588,0.0035036118,0.03676758,759.5723140239716,-0.0021352498,830.6951933600001,1230.27
380928,186,0.8238687813282013,4.268708,380928,492,19.951614,0.0023316531,0.02421875,763.8244431018829,-0.002940982,845.2825906899998,1244.68
382976,187,0.7066519558429718,4.271284,382976,526,35.624344,0.0022731342,0.02216797,767.9804601669312,-0.005423634,833.11794901,1236.07
385024,188,0.716134250164032,4.2895894,385024,542,35.27205,0.0021058992,0.022607422,771.870439529419,-0.0053486237,796.25828952,1184.96
387072,189,0.9528731144964695,4.3064137,387072,487,7.983064,0.0060668094,0.075976565,775.6429598331451,-0.005918482,812.4542087899999,1202.69
389120,190,0.9264751151204109,4.316195,389120,515,15.74927,0.0013851912,0.012451172,779.84228682518,-0.0025709886,813.5413869700002,1203.81
391168,191,0.886378213763237,4.318868,391168,495,29.487507,0.0023674264,0.023583984,783.8164572715759,-0.0026582112,828.3819357699999,1218.89
393216,192,0.786022275686264,4.3231554,393216,535,27.802195,0.0026978175,0.029052734,787.954048871994,-0.005814064,788.3996103499999,1177.05
395264,193,0.7862756699323654,4.3351626,395264,528,21.14585,0.0028976318,0.030810546,791.7809879779816,-0.0048922454,759.6770404400002,1145.53
