value_loss,approxkl,explained_variance,serial_timesteps,time_elapsed,fps,total_timesteps,n_updates,policy_loss,clipfrac,policy_entropy,ep_reward_mean,ep_len_mean
5.0306025,0.0075465417,0.9253713935613632,516096,1121.381511926651,441,516096,252,-0.0070180567,0.07675781,3.4345431,969.58483173,1468.14
16.857237,0.0054932674,0.8720630258321762,518144,1126.0162980556488,430,518144,253,-0.0011989545,0.06147461,3.437209,963.60154639,1457.62
6.723254,0.0038979915,0.8918825164437294,520192,1130.7698438167572,437,520192,254,-0.0029632628,0.04423828,3.4414535,960.7711851500001,1454.37
12.293504,0.0045455126,0.7751212567090988,522240,1135.4464075565338,424,522240,255,-0.0048974007,0.05234375,3.4455323,961.0824854800001,1454.37
10.626264,0.005054268,0.7969537526369095,524288,1140.2736859321594,426,524288,256,-0.0040946417,0.06044922,3.4450982,961.4059463000001,1454.37
14.736053,0.004860968,0.8624427765607834,526336,1145.07861328125,425,526336,257,-0.003483108,0.054785155,3.4450626,948.10618131,1436.67
8.404066,0.0029887315,0.8565435260534286,528384,1149.895759820938,435,528384,258,-0.001111767,0.027392577,3.4428432,945.6448190299999,1433.13
12.180359,0.004943104,0.7654331177473068,530432,1154.6001360416412,442,530432,259,-0.0055763717,0.06298828,3.4372883,945.10672789,1433.13
11.955709,0.0024387515,0.8321942239999771,532480,1159.229323387146,402,532480,260,0.00022418362,0.025195312,3.4380524,945.81734575,1433.13
9.445468,0.007396245,0.8428583443164825,534528,1164.3131594657898,418,534528,261,-0.006457874,0.07143555,3.447947,946.66555707,1433.13
10.870883,0.009072805,0.7095058262348175,536576,1169.201712846756,409,536576,262,-0.0030775391,0.115625,3.4633858,946.0479088999999,1434.36
19.618734,0.0024917144,0.803977370262146,538624,1174.2090575695038,432,538624,263,-0.0017543163,0.024169922,3.4708378,954.6789906000001,1445.59
9.00979,0.003645455,0.7988130301237106,540672,1178.94216299057,397,540672,264,-0.0011963474,0.037158202,3.465448,953.9511562600002,1445.59
11.565186,0.005211941,0.8445204943418503,542720,1184.0953843593597,454,542720,265,-0.0057042167,0.059472658,3.4585857,956.1348395300001,1448.54
11.118904,0.0051071,0.7921721041202545,544768,1188.5980715751648,422,544768,266,-0.006805794,0.0574707,3.4627545,954.4938356100001,1448.54
9.972662,0.0035073678,0.850796177983284,546816,1193.4426774978638,439,546816,267,-0.0028389732,0.03701172,3.4610271,967.19333895,1465.31
8.356353,0.004788623,0.8496101498603821,548864,1198.10720205307,417,548864,268,-0.0040803957,0.05522461,3.455668,979.3203764000001,1482.29
17.17759,0.004951675,0.828133836388588,550912,1203.008073091507,427,550912,269,-0.004134649,0.060253907,3.4648902,965.6564928399999,1464.4
10.786392,0.005064014,0.8303047269582748,552960,1207.797949552536,429,552960,270,-0.0051859827,0.06479492,3.4931922,966.3429920799999,1464.4
11.504066,0.0022111237,0.8292373418807983,555008,1212.5702657699585,426,555008,271,-0.00041804562,0.020019531,3.5073059,966.71417099,1464.4
12.103271,0.004978906,0.8065828084945679,557056,1217.3716096878052,417,557056,272,-0.002981455,0.0578125,3.4965687,973.28415433,1472.32
12.985158,0.0041119875,0.8789801076054573,559104,1222.2738790512085,421,559104,273,-0.0027422444,0.047314454,3.4916732,959.8869120500002,1454.28
11.031337,0.0056302054,0.8317569196224213,561152,1227.1304392814636,423,561152,274,-0.00580102,0.06899414,3.4930806,960.9026205700002,1454.28
2.564575,0.0032229808,0.9680742770433426,563200,1231.9672725200653,431,563200,275,-0.0032873726,0.035498045,3.49371,948.1035755300001,1436.22
10.573089,0.0035836485,0.859449490904808,565248,1236.7124676704407,424,565248,276,-0.0015612191,0.04057617,3.4845493,959.8982549799999,1452.96
16.74936,0.004096484,0.8170834630727768,567296,1241.535561323166,441,567296,277,-0.0027198405,0.045458984,3.4709942,944.7343764100001,1433.11
15.326985,0.0038472258,0.7553088665008545,569344,1246.1758351325989,421,569344,278,-0.0028882273,0.04799805,3.4825935,948.1608995700001,1436.82
